# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.110
metadata : {}


# id : NWRW1800000021.110.1.1
‘부적격 경찰관’ 퇴출시킨다

‘부적격	‘/SS+부/XPN+적격/NNG
지방경찰청에도	지방/NNG+경찰청/NNG+에/JKB+도/JX
청문감사관을	청문/NNG+감사관/NNG+을/JKO
비롯해	비롯하/VV+아/EC
사정	사정/NNG
인력을	인력/NNG+을/JKO
대폭	대폭/MAG
충원키로	충원/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.110.5.3
또 유흥업소 밀집 지역과 자체 사고가 빈번한 곳, 자체 청렴도 평가 결과가 낮은 곳 등의 44개 경찰서는 사고 위험 관서로 지정하고, 경찰청과 지방청 감찰요원이 전담해 사정 및 비위 예방활동을 벌이는 ‘지역 책임제’가 도입된다.

또	또/MAG
유흥업소	유흥업소/NNG
밀집	밀집/NNG
지역과	지역/NNG+과/JC
자체	자체/NNG
사고가	사고/NNG+가/JKS
빈번한	빈번하/VA+ㄴ/ETM
곳,	곳/NNG+,/SP
청렴도	청렴도/NNG
평가	평가/NNG
결과가	결과/NNG+가/JKS
낮은	낮/VA+은/ETM
곳	곳/NNG
등의	등/NNB+의/JKG
44개	44/SN+개/NNB
경찰서는	경찰서/NNG+는/JX
사고	사고/NNG
위험	위험/NNG
관서로	관서/NNG+로/JKB
지정하고,	지정/NNG+하/XSV+고/EC+,/SP
경찰청과	경찰청/NNG+과/JC
지방청	지방청/NNG
감찰요원이	감찰/NNG+요원/NNG+이/JKS
전담해	전담/NNG+하/XSV+아/EC
사정	사정/NNG
및	및/MAG
비위	비위/NNG
예방활동을	예방/NNG+활동/NNG+을/JKO
벌이는	벌이/VV+는/ETM
‘지역	‘/SS+지역/NNG
책임제’가	책임/NNG+제/XSN+’/SS+가/JKS
도입된다.	도입/NNG+되/XSV+ㄴ다/EF+./SF


