# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.419
metadata : {}


# id : NWRW1800000054.419.1.1
北 도발 대비… 한·미, 대북감시 시간·횟수 늘려

北	北/SH
항공통제기,	항공/NNG+통제기/NNG+,/SP
P-3C	P/SL+-/SO+3/SN+C/SL
해상초계기	해상/NNG+초계기/NNG
등을	등/NNB+을/JKO
운용해왔다.	운용/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.419.4.2
현재 이들 감시 자산의 운용 빈도와 강도가 평상시보다 일정 수준 높아진 것으로 보인다.

현재	현재/MAG
이들	이/NP+들/XSN
감시	감시/NNG
자산의	자산/NNG+의/JKG
운용	운용/NNG
빈도와	빈도/NNG+와/JC
강도가	강도/NNG+가/JKS
평상시보다	평상시/NNG+보다/JKB
일정	일정/NNG
수준	수준/NNG
높아진	높아지/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.419.4.3
이 밖에도 동해와 남해 상에는 북한 탄도미사일 탐지 능력을 갖춘 이지스 구축함들이 작전 중이고, 지상에는 탄도탄 조기 경보 레이더인 그린파인도 가동되고 있다.

이	이/NP
밖에도	밖/NNG+에/JKB+도/JX
동해와	동해/NNP+와/JC
남해	남해/NNP
상에는	상/XSN+에/JKB+는/JX
북한	북한/NNP
탄도미사일	탄도/NNG+미사일/NNG
탐지	탐지/NNG
능력을	능력/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
이지스	이지스/NNG
구축함들이	구축함/NNG+들/XSN+이/JKS
작전	작전/NNG
중이고,	중/NNB+이/VCP+고/EC+,/SP
지상에는	지상/NNG+에/JKB+는/JX
탄도탄	탄도탄/NNG
조기	조기/NNG
경보	경보/NNG
레이더인	레이더/NNG+이/VCP+ㄴ/ETM
그린파인도	그린파인/NNG+도/JX
가동되고	가동/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.419.5.1
이와 함께 군은 "전방 지역 경계 초소를 증강 운용하는 등 강화된 경계 태세를 유지하고 있으며 주요 직위자들도 모두 대기 상태"라고 밝혔다.

이와	이/NP+와/JKB
함께	함께/MAG
군은	군/NNG+은/JX
"전방	"/SS+전방/NNG
지역	지역/NNG
경계	경계/NNG
초소를	초소/NNG+를/JKO
증강	증강/NNG
운용하는	운용/NNG+하/XSV+는/ETM
등	등/NNB
강화된	강화/NNG+되/XSV+ㄴ/ETM
태세를	태세/NNG+를/JKO
유지하고	유지/NNG+하/XSV+고/EC
있으며	있/VX+으며/EC
주요	주요/NNG
직위자들도	직위자/NNG+들/XSN+도/JX
모두	모두/MAG
대기	대기/NNG
상태"라고	상태/NNG+"/SS+라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.419.5.2
청와대도 추석 연휴 시작과 함께 국가안전보장회의(NSC)를 비상 가동하며 북한의 동향을 관찰해왔다.

청와대도	청와대/NNP+도/JX
추석	추석/NNG
연휴	연휴/NNG
시작과	시작/NNG+과/JKB
함께	함께/MAG
국가안전보장회의(NSC)를	국가안전보장회의/NNP+(/SS+NSC/SL+)/SS+를/JKO
비상	비상/NNG
가동하며	가동/NNG+하/XSV+며/EC
북한의	북한/NNP+의/JKG
동향을	동향/NNG+을/JKO
관찰해왔다.	관찰/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.419.6.1
앞서 김정은 북한 노동당 위원장은 지난달 22일 본인 명의 성명을 통해 도널드 트럼프 미국 대통령을 '늙다리 미치광이' '깡패'라고 비난하며 "사상 최고의 초강경 대응 조치를 단행하겠다"고 했다.

앞서	앞서/MAG
김정은	김정은/NNP
북한	북한/NNP
노동당	노동당/NNP
위원장은	위원장/NNG+은/JX
지난달	지난달/NNG
22일	22/SN+일/NNB
본인	본인/NNG
명의	명의/NNG
성명을	성명/NNG+을/JKO
통해	통하/VV+아/EC
도널드	도널드/NNP
트럼프	트럼프/NNP
미국	미국/NNP
대통령을	대통령/NNG+을/JKO
'늙다리	'/SS+늙다리/NNG
미치광이'	미치광이/NNG+'/SS
'깡패'라고	'/SS+깡패/NNG+'/SS+라고/JKQ
비난하며	비난/NNG+하/XSV+며/EC
"사상	"/SS+사상/NNG
최고의	최고/NNG+의/JKG
초강경	초/XPN+강경/NNG
대응	대응/NNG
조치를	조치/NNG+를/JKO
단행하겠다"고	단행/NNG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.419.6.2
이어 지난 7일엔 노동당 중앙위원회 전원회의를 열어 "당의 (핵·경제) 병진 노선을 계속 철저히 관철하여 국가 핵 무력 건설의 역사적 대업을 빛나게 완수하겠다"고 했다.

이어	이어/MAG
지난	지나/VV+ㄴ/ETM
7일엔	7/SN+일/NNB+에/JKB+ㄴ/JX
노동당	노동당/NNP
중앙위원회	중앙/NNG+위원회/NNG
전원회의를	전원회의/NNG+를/JKO
열어	열/VV+어/EC
"당의	"/SS+당/NNG+의/JKG
(핵·경제)	(/SS+핵/NNG+·/SP+경제/NNG+)/SS
병진	병진/NNG
노선을	노선/NNG+을/JKO
계속	계속/MAG
철저히	철저히/MAG
관철하여	관철/NNG+하/XSV+아/EC
국가	국가/NNG
핵	핵/NNG
무력	무력/NNG
건설의	건설/NNG+의/JKG
역사적	역사/NNG+적/XSN
대업을	대업/NNG+을/JKO
빛나게	빛나/VV+게/EC
완수하겠다"고	완수/NNG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.419.6.3
'국가 핵 무력 건설'은 수소탄을 탑재한 ICBM(대륙간탄도미사일)의 완성을 뜻하는 것으로 풀이된다.

'국가	'/SS+국가/NNG
핵	핵/NNG
무력	무력/NNG
건설'은	건설/NNG+'/SS+은/JX
수소탄을	수소탄/NNG+을/JKO
탑재한	탑재/NNG+하/XSV+ㄴ/ETM
ICBM(대륙간탄도미사일)의	ICBM/SL+(/SS+대륙/NNG+간/NNB+탄도/NNG+미사일/NNG+)/SS+의/JKG
완성을	완성/NNG+을/JKO
뜻하는	뜻/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
풀이된다.	풀이/NNG+되/XSV+ㄴ다/EF+./SF


