# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.216
metadata : {}


# id : NWRW1800000054.216.1.1
삼성합병 반대론자가 돌연 "이병철 회장 불쌍해요"

삼성합병	삼성/NNP+합병/NNG
소액주주들을	소액/NNG+주주/NNG+들/XSN+을/JKO
약탈했다.	약탈/NNG+하/XSV+았/EP+다/EF+./SF
재판부에서	재판부/NNG+에서/JKB
사건	사건/NNG
관계자들을	관계자/NNG+들/XSN+을/JKO
전부	전부/MAG
다	다/MAG
나오라고	나오/VV+라고/EC
해서	하/VV+아서/EC
대화할	대화/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
해달라"며	하/VX+아/EC+달/VX+라/EF+"/SS+며/EC
목소리를	목소리/NNG+를/JKO
높였다.	높이/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.216.6.5
그런데 이날 법대 앞으로 나선 윤 회장은 전과는 다른 모습이었다.

그런데	그런데/MAJ
이날	이날/NNG
법대	법대/NNG
앞으로	앞/NNG+으로/JKB
나선	나서/VV+ㄴ/ETM
윤	윤/NNP
회장은	회장/NNG+은/JX
전과는	전/NNG+과/JKB+는/JX
다른	다른/MMD
모습이었다.	모습/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.216.6.6
윤 회장은 미리 준비해 온 진정서를 함종식 부장판사에게 내밀면서 "사실 삼성을 아끼는 사람은 나예요. 이병철 회장이 눈물을 흘리고 있을 겁니다. 대법원 가지 말고 꼭 여기서 이 사건이 해결되게 해주세요"라고 했다.

윤	윤/NNP
회장은	회장/NNG+은/JX
미리	미리/MAG
준비해	준비/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
진정서를	진정서/NNG+를/JKO
함종식	함종식/NNP
부장판사에게	부장/NNG+판사/NNG+에게/JKB
내밀면서	내밀/VV+면서/EC
"사실	"/SS+사실/MAG
삼성을	삼성/NNP+을/JKO
아끼는	아끼/VV+는/ETM
사람은	사람/NNG+은/JX
나예요.	나/NP+이/VCP+에요/EF+./SF
이병철	이병철/NNP
회장이	회장/NNG+이/JKS
눈물을	눈물/NNG+을/JKO
흘리고	흘리/VV+고/EC
있을	있/VX+을/ETM
겁니다.	거/NNB+이/VCP+ㅂ니다/EF+./SF
대법원	대/XPN+법원/NNG
가지	가/VV+지/EC
말고	말/VX+고/EC
꼭	꼭/MAG
여기서	여기/NP+서/JKB
이	이/MMD
사건이	사건/NNG+이/JKS
해결되게	해결/NNG+되/XSV+게/EC
해주세요"라고	하/VX+아/EC+주/VX+시/EP+어요/EF+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.216.6.7
그는 이어 피고석(삼성물산) 쪽으로 다가가 "죄송합니다. 내가 미안해요. 그렇게 됐어요"라고 말했다.

그는	그/NP+는/JX
이어	이어/MAG
피고석(삼성물산)	피고석/NNG+(/SS+삼성물산/NNP+)/SS
쪽으로	쪽/NNB+으로/JKB
다가가	다가가/VV+아/EC
"죄송합니다.	"/SS+죄송하/VA+ㅂ니다/EF+./SF
내가	내/NP+가/JKS
미안해요.	미안/NNG+하/XSA+아요/EF+./SF
그렇게	그렇/VA+게/EC
됐어요"라고	되/VV+었/EP+어요/EF+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.216.7.1
이날 재판은 다음 달 19일 선고를 앞두고 마지막으로 열렸다.

이날	이날/NNG
재판은	재판/NNG+은/JX
다음	다음/NNG
달	달/NNG
19일	19/SN+일/NNB
선고를	선고/NNG+를/JKO
앞두고	앞두/VV+고/EC
마지막으로	마지막/NNG+으로/JKB
열렸다.	열리/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.216.7.2
민사재판에서도 형사사건처럼 마지막 재판에선 원고와 피고 양측이 재판부에 자신들의 주장을 각인시키기 위해 최종 변론에 힘을 쏟는다.

민사재판에서도	민사/NNG+재판/NNG+에서/JKB+도/JX
형사사건처럼	형사/NNG+사건/NNG+처럼/JKB
마지막	마지막/NNG
재판에선	재판/NNG+에서/JKB+ㄴ/JX
원고와	원고/NNG+와/JC
피고	피고/NNG
양측이	양측/NNG+이/JKS
재판부에	재판부/NNG+에/JKB
자신들의	자신/NNG+들/XSN+의/JKG
주장을	주장/NNG+을/JKO
각인시키기	각인/NNG+시키/XSV+기/ETN
위해	위하/VV+아/EC
최종	최종/NNG
변론에	변론/NNG+에/JKB
힘을	힘/NNG+을/JKO
쏟는다.	쏟/VV+는다/EF+./SF


# id : NWRW1800000054.216.7.3
하지만 일성신약 측은 그렇게 하지 않았다.

하지만	하지만/MAJ
일성신약	일성신약/NNP
측은	측/NNB+은/JX
그렇게	그렇/VA+게/EC
하지	하/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.216.7.4
일성신약 측 변호인은 대신 "윤병강 회장은 자신과 각별한 사이였던 고(故) 이병철 회장의 손자인 이재용 삼성전자 부회장과 삼성 임직원들의 고초를 외면할 수 없는 처지"라며 "(윤 회장은) 이번 갈등을 판결이 아닌 화해나 조정으로 원만하게 해결하기를 원한다"고 했다.

일성신약	일성신약/NNP
측	측/NNB
변호인은	변호인/NNG+은/JX
대신	대신/NNG
"윤병강	"/SS+윤병강/NNP
회장은	회장/NNG+은/JX
자신과	자신/NNG+과/JKB
각별한	각별/NNG+하/XSA+ㄴ/ETM
사이였던	사이/NNG+이/VCP+었/EP+던/ETM
고(故)	고/MMA+(/SS+故/SH+)/SS
이병철	이병철/NNP
회장의	회장/NNG+의/JKG
손자인	손자/NNG+이/VCP+ㄴ/ETM
이재용	이재용/NNP
삼성전자	삼성전자/NNP
부회장과	부회장/NNG+과/JC
삼성	삼성/NNP
임직원들의	임직원/NNG+들/XSN+의/JKG
고초를	고초/NNG+를/JKO
외면할	외면/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
처지"라며	처지/NNG+"/SS+이/VCP+라며/EC
"(윤	"/SS+(/SS+윤/NNP
회장은)	회장/NNG+은/JX+)/SS
이번	이번/NNG
갈등을	갈등/NNG+을/JKO
판결이	판결/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
화해나	화해/NNG+나/JC
조정으로	조정/NNG+으로/JKB
원만하게	원만하/VA+게/EC
해결하기를	해결/NNG+하/XSV+기/ETN+를/JKO
원한다"고	원/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.216.7.5
일성신약 측이 이번 소송 진행 과정에서 '화해'나 '조정'을 언급한 것은 처음이다.

일성신약	일성신약/NNP
측이	측/NNB+이/JKS
이번	이번/NNG
소송	소송/NNG
진행	진행/NNG
과정에서	과정/NNG+에서/JKB
'화해'나	'/SS+화해/NNG+'/SS+나/JC
'조정'을	'/SS+조정/NNG+'/SS+을/JKO
언급한	언급/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.216.8.1
법조계에선 이 같은 변화가 이재용 부회장이 박근혜 전 대통령 측에 뇌물을 준 혐의 등으로 지난달 1심에서 징역 5년 실형을 선고받은 일과 무관치 않을 것이라는 관측이 나온다.

법조계에선	법조/NNG+계/XSN+에서/JKB+ㄴ/JX
이	이/NP
같은	같/VA+은/ETM
변화가	변화/NNG+가/JKS
이재용	이재용/NNP
부회장이	부회장/NNG+이/JKS
박근혜	박근혜/NNP
전	전/MMD
대통령	대통령/NNG
측에	측/NNB+에/JKB
뇌물을	뇌물/NNG+을/JKO
준	주/VV+ㄴ/ETM
혐의	혐의/NNG
등으로	등/NNB+으로/JKB
지난달	지난달/NNG
1심에서	1심/NNG+에서/JKB
징역	징역/NNG
5년	5/SN+년/NNB
실형을	실형/NNG+을/JKO
선고받은	선고/NNG+받/XSV+은/ETM
일과	일/NNG+과/JKB
무관치	무관하/VA+지/EC
않을	않/VX+을/ETM
것이라는	것/NNB+이/VCP+라는/ETM
관측이	관측/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.216.8.2
이 일을 보며 윤 회장의 심경에 변화가 생긴 게 아니냐는 것이다.

이	이/MMD
일을	일/NNG+을/JKO
보며	보/VV+며/EC
윤	윤/NNP
회장의	회장/NNG+의/JKG
심경에	심경/NNG+에/JKB
변화가	변화/NNG+가/JKS
생긴	생기/VV+ㄴ/ETM
게	거/NNB+이/JKC
아니냐는	아니/VCN+냐는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.216.9.1
재계에 따르면 윤 회장은 이병철 창업주와 오래전부터 호형호제할 정도로 가까운 사이였다고 한다.

재계에	재계/NNG+에/JKB
따르면	따르/VV+면/EC
윤	윤/NNP
회장은	회장/NNG+은/JX
이병철	이병철/NNP
창업주와	창업주/NNG+와/JKB
오래전부터	오래전/NNG+부터/JX
호형호제할	호형호제/NNG+하/XSV+ㄹ/ETM
정도로	정도/NNG+로/JKB
가까운	가깝/VA+ㄴ/ETM
사이였다고	사이/NNG+이/VCP+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.216.9.2
윤 회장 스스로 재판에서 "6·25 이전부터 이병철 회장과 잘 알고 있다"고 했다.

윤	윤/NNP
회장	회장/NNG
스스로	스스로/MAG
재판에서	재판/NNG+에서/JKB
"6·25	"/SS+6/SN+·/SP+25/SN
이전부터	이전/NNG+부터/JX
이병철	이병철/NNP
회장과	회장/NNG+과/JKB
잘	잘/MAG
알고	알/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.216.9.3
윤 회장은 미래에셋대우증권(옛 대우증권)의 전신인 동양증권을 창업한 '증권업계 1세대'이며 원조 주식 도사라는 별명을 갖고 있을 정도로 주식에 큰돈을 투자해왔다.

윤	윤/NNP
회장은	회장/NNG+은/JX
미래에셋대우증권(옛	미래에셋대우증권/NNP+(/SS+옛/MMA
대우증권)의	대우증권/NNP+)/SS+의/JKG
전신인	전신/NNG+이/VCP+ㄴ/ETM
동양증권을	동양증권/NNP+을/JKO
창업한	창업/NNG+하/XSV+ㄴ/ETM
'증권업계	'/SS+증권업/NNG+계/XSN
1세대'이며	1/SN+세대/NNG+'/SS+이/VCP+며/EC
원조	원조/NNG
주식	주식/NNG
도사라는	도사/NNG+이/VCP+라는/ETM
별명을	별명/NNG+을/JKO
갖고	갖/VV+고/EC
있을	있/VX+을/ETM
정도로	정도/NNG+로/JKB
주식에	주식/NNG+에/JKB
큰돈을	큰돈/NNG+을/JKO
투자해왔다.	투자/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.216.9.4
삼성물산 주식에 투자한 것도 이병철 창업주의 권유에 따른 것이고, 2004년부터는 일성신약이 회사 차원에서 삼성물산 주식을 사들였다.

삼성물산	삼성물산/NNP
주식에	주식/NNG+에/JKB
투자한	투자/NNG+하/XSV+ㄴ/ETM
것도	것/NNB+도/JX
이병철	이병철/NNP
창업주의	창업주/NNG+의/JKG
권유에	권유/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
것이고,	것/NNB+이/VCP+고/EC+,/SP
2004년부터는	2004/SN+년/NNB+부터/JX+는/JX
일성신약이	일성신약/NNP+이/JKS
회사	회사/NNG
차원에서	차원/NNG+에서/JKB
주식을	주식/NNG+을/JKO
사들였다.	사들이/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.216.9.5
삼성물산 합병 전 일성신약의 지분 2.11%는 이건희 회장 지분(1.37%)보다 많았다.

삼성물산	삼성물산/NNP
합병	합병/NNG
전	전/MMD
일성신약의	일성신약/NNP+의/JKG
지분	지분/NNG
2.11%는	2/SN+./SP+11/SN+%/SW+는/JX
이건희	이건희/NNP
회장	회장/NNG
지분(1.37%)보다	지분/NNG+(/SS+1/SN+./SP+37/SN+%/SW+)/SS+보다/JKB
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000054.216.10.1
윤 회장은 A4 용지 2장 분량의 진정서를 직접 썼다고 한다.

윤	윤/NNP
회장은	회장/NNG+은/JX
A4	A/SL+4/SN
용지	용지/NNG
2장	2/SN+장/NNB
분량의	분량/NNG+의/JKG
진정서를	진정서/NNG+를/JKO
직접	직접/MAG
썼다고	쓰/VV+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.216.10.2
일성신약 관계자는 "고 이병철 회장과의 인연과 그 때문에 삼성물산과 다투는 것에 대해 심적 부담을 느끼고 안타깝게 생각한다. 가능하면 원만히 해결되길 바란다는 내용을 담았다"고 전했다.

일성신약	일성신약/NNP
관계자는	관계자/NNG+는/JX
"고	"/SS+고/MMA
이병철	이병철/NNP
회장과의	회장/NNG+과/JKB+의/JKG
인연과	인연/NNG+과/JC
그	그/MMD
때문에	때문/NNB+에/JKB
삼성물산과	삼성물산/NNP+과/JKB
다투는	다투/VV+는/ETM
것에	것/NNB+에/JKB
대해	대하/VV+아/EC
심적	심적/MMA
부담을	부담/NNG+을/JKO
느끼고	느끼/VV+고/EC
안타깝게	안타깝/VA+게/EC
생각한다.	생각/NNG+하/XSV+ㄴ다/EF+./SF
가능하면	가능/NNG+하/XSA+면/EC
원만히	원만히/MAG
해결되길	해결/NNG+되/XSV+기/ETN+ㄹ/JKO
바란다는	바라/VV+ㄴ다는/ETM
내용을	내용/NNG+을/JKO
담았다"고	담/VV+았/EP+다/EF+"/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


