# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.274
metadata : {}


# id : NWRW1800000029.274.1.1
[프로야구]마운드도 높아진 LG 19세 임찬규 싱싱투

[프로야구]마운드도	[/SS+프로/NNG+야구/NNG+]/SS+마운드/NNG+도/JX
수월해졌다.	수월하/VA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000029.274.6.2
그는 “지난해까지만 해도 투수가 일찍 무너져 버려 타자들이 아무리 잘 쳐도 이기기 어려웠다.

그는	그/NP+는/JX
“지난해까지만	“/SS+지난해/NNG+까지/JX+만/JX
해도	하/VV+아도/EC
투수가	투수/NNG+가/JKS
일찍	일찍/MAG
무너져	무너지/VV+어/EC
버려	버리/VX+어/EC
타자들이	타자/NNG+들/XSN+이/JKS
아무리	아무리/MAG
잘	잘/MAG
쳐도	치/VV+어도/EC
이기기	이기/VV+기/ETN
어려웠다.	어렵/VA+었/EP+다/EF+./SF


# id : NWRW1800000029.274.6.3
하지만 올해는 투수가 버텨주니 어느 팀과 만나도 해볼 만하다”며 자신감을 드러냈다.

하지만	하지만/MAJ
올해는	올해/NNG+는/JX
투수가	투수/NNG+가/JKS
버텨주니	버티/VV+어/EC+주/VX+니/EC
어느	어느/MMD
팀과	팀/NNG+과/JKB
만나도	만나/VV+아도/EC
해볼	해보/VV+ㄹ/ETM
만하다”며	만/NNB+하/XSA+다/EF+”/SS+며/EC
자신감을	자신감/NNG+을/JKO
드러냈다.	드러내/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.274.7.1
6일 대구구장에서 열린 삼성과의 경기는 선발 투수가 일찍 무너진 날이었다.

6일	6/SN+일/NNB
대구구장에서	대구구장/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
삼성과의	삼성/NNP+과/JKB+의/JKG
경기는	경기/NNG+는/JX
선발	선발/NNG
투수가	투수/NNG+가/JKS
일찍	일찍/MAG
무너진	무너지/VV+ㄴ/ETM
날이었다.	날/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000029.274.7.2
선발로 나선 김광삼은 1회에만 3점을 주는 등 2이닝도 버티지 못하고 강판됐다.

선발로	선발/NNG+로/JKB
나선	나서/VV+ㄴ/ETM
김광삼은	김광삼/NNP+은/JX
1회에만	1/SN+회/NNB+에/JKB+만/JX
3점을	3/SN+점/NNB+을/JKO
주는	주/VV+는/ETM
등	등/NNB
2이닝도	2/SN+이닝/NNG+도/JX
버티지	버티/VV+지/EC
못하고	못하/VX+고/EC
강판됐다.	강판/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000029.274.7.3
하지만 LG에는 초반 투수진의 부진을 상쇄할 만한 강력한 타선과 19세 고졸 신인 투수 임찬규가 버티고 있었다.

하지만	하지만/MAJ
LG에는	LG/SL+에/JKB+는/JX
초반	초반/NNG
투수진의	투수진/NNG+의/JKG
부진을	부진/NNG+을/JKO
상쇄할	상쇄/NNG+하/XSV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
강력한	강력/NNG+하/XSA+ㄴ/ETM
타선과	타선/NNG+과/JC
19세	19/SN+세/NNB
고졸	고졸/NNG
신인	신인/NNG
투수	투수/NNG
임찬규가	임찬규/NNP+가/JKS
버티고	버티/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000029.274.8.1
0-3으로 뒤진 2회 초 공격.

0-3으로	0/SN+-/SO+3/SN+으로/JKB
뒤진	뒤지/VV+ㄴ/ETM
2회	2/SN+회/NNB
초	초/NNB
공격.	공격/NNG+./SF


# id : NWRW1800000029.274.8.2
포문을 연 것은 4번 타자 박용택이었다.

포문을	포문/NNG+을/JKO
연	열/VV+ㄴ/ETM
것은	것/NNB+은/JX
4번	4/SN+번/NNB
타자	타자/NNG
박용택이었다.	박용택/NNP+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000029.274.8.3
전날까지 타율, 홈런, 최다안타 1위를 달리던 박용택은 2회 선두 타자로 나서 장원삼의 높은 직구를 받아쳐 오른쪽 담장을 훌쩍 넘겨 버렸다.

전날까지	전날/NNG+까지/JX
타율,	타율/NNG+,/SP
홈런,	홈런/NNG+,/SP
최다안타	최다/NNG+안타/NNG
1위를	1/SN+위/NNB+를/JKO
달리던	달리/VV+던/ETM
박용택은	박용택/NNP+은/JX
2회	2/SN+회/NNB
선두	선두/NNG
타자로	타자/NNG+로/JKB
나서	나서/VV+어/EC
장원삼의	장원삼/NNP+의/JKG
높은	높/VA+은/ETM
직구를	직구/NNG+를/JKO
받아쳐	받아치/VV+어/EC
오른쪽	오른쪽/NNG
담장을	담장/NNG+을/JKO
훌쩍	훌쩍/MAG
넘겨	넘기/VV+어/EC
버렸다.	버리/VX+었/EP+다/EF+./SF


# id : NWRW1800000029.274.8.4
후속 조인성 역시 장원삼으로부터 중월 솔로 홈런을 터뜨렸다.

후속	후속/NNG
조인성	조인성/NNP
역시	역시/MAG
장원삼으로부터	장원삼/NNP+으로부터/JKB
중월	중월/NNG
솔로	솔로/NNG
홈런을	홈런/NNG+을/JKO
터뜨렸다.	터뜨리/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.274.8.5
불붙은 LG 타선은 이후 5개의 안타를 더 집중시키며 4점을 추가해 단숨에 스코어를 6-3으로 뒤집었다.

불붙은	불붙/VV+은/ETM
LG	LG/SL
타선은	타선/NNG+은/JX
이후	이후/NNG
5개의	5/SN+개/NNB+의/JKG
안타를	안타/NNG+를/JKO
더	더/MAG
집중시키며	집중/NNG+시키/XSV+며/EC
4점을	4/SN+점/NNB+을/JKO
추가해	추가/NNG+하/XSV+아/EC
단숨에	단숨에/MAG
스코어를	스코어/NNG+를/JKO
6-3으로	6/SN+-/SO+3/SN+으로/JKB
뒤집었다.	뒤집/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.274.8.6
LG는 4회에도 바뀐 투수 이우선을 상대로 이진영 정성훈 박용택이 잇달아 안타를 터뜨렸고 이우선의 폭투까지 더해 2점을 더 달아났다.

LG는	LG/SL+는/JX
4회에도	4/SN+회/NNB+에/JKB+도/JX
바뀐	바뀌/VV+ㄴ/ETM
투수	투수/NNG
이우선을	이우선/NNP+을/JKO
상대로	상대/NNG+로/JKB
이진영	이진영/NNP
정성훈	정성훈/NNP
박용택이	박용택/NNP+이/JKS
잇달아	잇달/VV+아/EC
안타를	안타/NNG+를/JKO
터뜨렸고	터뜨리/VV+었/EP+고/EC
이우선의	이우선/NNP+의/JKG
폭투까지	폭투/NNG+까지/JX
더해	더/MAG+하/XSV+아/EC
2점을	2/SN+점/NNB+을/JKO
더	더/MAG
달아났다.	달아나/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.274.8.7
LG는 이날 8개 구단을 통틀어 시즌 첫 선발 전원 안타를 기록했다.

LG는	LG/SL+는/JX
이날	이날/NNG
8개	8/SN+개/NNB
구단을	구단/NNG+을/JKO
통틀어	통틀/VV+어/EC
시즌	시즌/NNG
첫	첫/MMN
선발	선발/NNG
전원	전원/NNG
안타를	안타/NNG+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.274.9.1
마운드에서는 고졸 루키 임찬규의 호투가 빛났다.

마운드에서는	마운드/NNG+에서/JKB+는/JX
고졸	고졸/NNG
루키	루키/NNG
임찬규의	임찬규/NNP+의/JKG
호투가	호투/NNG+가/JKS
빛났다.	빛나/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.274.9.2
2회 김광삼을 구원 등판한 임찬규는 4이닝을 1실점(비자책)으로 막고 데뷔 후 첫 승을 따냈다.

2회	2/SN+회/NNB
김광삼을	김광삼/NNP+을/JKO
구원	구원/NNG
등판한	등판/NNG+하/XSV+ㄴ/ETM
임찬규는	임찬규/NNP+는/JX
4이닝을	4/SN+이닝/NNG+을/JKO
1실점(비자책)으로	1/SN+실점/NNG+(/SS+비/XPN+자책/NNG+)/SS+으로/JKB
막고	막/VV+고/EC
데뷔	데뷔/NNG
후	후/NNG
첫	첫/MMN
승을	승/NNG+을/JKO
따냈다.	따내/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.274.9.3
이날 9-5로 승리한 LG는 롯데에 6-10으로 패한 두산을 끌어내리고 단독 2위에 올랐다.

이날	이날/NNG
9-5로	9/SN+-/SO+5/SN+로/JKB
승리한	승리/NNG+하/XSV+ㄴ/ETM
LG는	LG/SL+는/JX
롯데에	롯데/NNP+에/JKB
6-10으로	6/SN+-/SO+10/SN+으로/JKB
패한	패/NNG+하/XSV+ㄴ/ETM
두산을	두산/NNP+을/JKO
끌어내리고	끌어내리/VV+고/EC
단독	단독/NNG
2위에	2/SN+위/NNB+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.274.10.1
한화는 9회말 1사 만루에서 터진 전현태의 끝내기 안타로 넥센을 9-8로 꺾었다.

한화는	한화/NNP+는/JX
9회말	9/SN+회/NNB+말/NNB
1사	1/SN+사/NNG
만루에서	만루/NNG+에서/JKB
터진	터지/VV+ㄴ/ETM
전현태의	전현태/NNP+의/JKG
끝내기	끝내기/NNG
안타로	안타/NNG+로/JKB
넥센을	넥센/NNP+을/JKO
9-8로	9/SN+-/SO+8/SN+로/JKB
꺾었다.	꺾/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.274.10.2
SK는 KIA에 2-1로 승리했다.

SK는	SK/SL+는/JX
KIA에	KIA/SL+에/JKB
2-1로	2/SN+-/SO+1/SN+로/JKB
승리했다.	승리/NNG+하/XSV+았/EP+다/EF+./SF


