# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.259
metadata : {}


# id : NWRW1800000026.259.1.1
몸 낮췄지만… "역시 이재오";MB, 당선 다음 날 독대·만찬

몸	몸/NNG
제의해	제의/NNG+하/XSV+아/EC
갑작스럽게	갑작스럽/VA+게/EC
성사됐다고	성사/NNG+되/XSV+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF
다른	다른/MMD
배석자는	배석자/NNG+는/JX
없이	없이/MAG
두	두/MMN
분만	분/NNB+만/JX
식사한	식사/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
안다"고	알/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.259.3.2
이 대통령과 이 의원 간 대화 내용은 알려지지 않았으나, 이 대통령이 힘든 선거운동을 치른 이 의원을 격려하면서 집권 후반기를 맞아 국회에서 중요한 역할을 해 줄 것을 당부하지 않았겠느냐는 관측이 나오고 있다.

이	이/NNP
대통령과	대통령/NNG+과/JC
의원	의원/NNG
간	간/NNB
대화	대화/NNG
내용은	내용/NNG+은/JX
알려지지	알려지/VV+지/EC
않았으나,	않/VX+았/EP+으나/EC+,/SP
대통령이	대통령/NNG+이/JKS
힘든	힘들/VA+ㄴ/ETM
선거운동을	선거/NNG+운동/NNG+을/JKO
치른	치르/VV+ㄴ/ETM
의원을	의원/NNG+을/JKO
격려하면서	격려/NNG+하/XSV+면서/EC
집권	집권/NNG
후반기를	후반기/NNG+를/JKO
맞아	맞/VV+아/EC
국회에서	국회/NNG+에서/JKB
중요한	중요/NNG+하/XSA+ㄴ/ETM
역할을	역할/NNG+을/JKO
해	하/VV+아/EC
줄	주/VX+ㄹ/ETM
것을	것/NNB+을/JKO
당부하지	당부/NNG+하/XSV+지/EC
않았겠느냐는	않/VX+았/EP+겠/EP+느냐는/ETM
관측이	관측/NNG+이/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.259.4.1
이를 두고 당 안팎에서는 "역시 이재오가 세긴 세다"는 반응이 나온다.

이를	이/NP+를/JKO
두고	두/VV+고/EC
당	당/NNG
안팎에서는	안팎/NNG+에서/JKB+는/JX
"역시	"/SS+역시/MAG
이재오가	이재오/NNP+가/JKS
세긴	세/VA+기/ETN+ㄴ/JX
세다"는	세/VA+다/EF+"/SS+는/ETM
반응이	반응/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.259.4.2
이 의원이 "정기국회 전인 8월까지는 여의도와 거리를 두면서 지역구를 계속 챙기겠다"고 '낮은 행보'를 이어가고 있지만, '정권 실세'의 위상은 흔들림이 없다는 것이다.

이	이/NNP
의원이	의원/NNG+이/JKS
"정기국회	"/SS+정기/NNG+국회/NNG
전인	전/NNG+이/VCP+ㄴ/ETM
8월까지는	8/SN+월/NNB+까지/JX+는/JX
여의도와	여의도/NNP+와/JKB
거리를	거리/NNG+를/JKO
두면서	두/VV+면서/EC
지역구를	지역구/NNG+를/JKO
계속	계속/MAG
챙기겠다"고	챙기/VV+겠/EP+다/EF+"/SS+고/JKQ
'낮은	'/SS+낮/VA+은/ETM
행보'를	행보/NNG+'/SS+를/JKO
이어가고	잇/VV+어/EC+가/VX+고/EC
있지만,	있/VX+지만/EC+,/SP
'정권	'/SS+정권/NNG
실세'의	실세/NNG+'/SS+의/JKG
위상은	위상/NNG+은/JX
흔들림이	흔들리/VV+ㅁ/ETN+이/JKS
없다는	없/VA+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.259.4.3
여권 관계자는 "지난 14일 당선된 여당 최고위원들도 오늘(30일) 처음 청와대에 들어가는데, 이 의원을 선거 다음 날 부른 걸 보면 답이 나오지 않냐"고 했다.

여권	여권/NNG
관계자는	관계자/NNG+는/JX
"지난	"/SS+지나/VV+ㄴ/ETM
14일	14/SN+일/NNB
당선된	당선/NNG+되/XSV+ㄴ/ETM
여당	여당/NNG
최고위원들도	최고/NNG+위원/NNG+들/XSN+도/JX
오늘(30일)	오늘/NNG+(/SS+30/SN+일/NNB+)/SS
처음	처음/NNG
청와대에	청와대/NNP+에/JKB
들어가는데,	들어가/VV+는데/EC+,/SP
이	이/NNP
의원을	의원/NNG+을/JKO
선거	선거/NNG
다음	다음/NNG
날	날/NNG
부른	부르/VV+ㄴ/ETM
걸	거/NNB+ㄹ/JKO
보면	보/VV+면/EC
답이	답/NNG+이/JKS
나오지	나오/VV+지/EC
않냐"고	않/VX+냐/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


