# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.22
metadata : {}


# id : NWRW1800000048.22.1.1
“인터넷은행, 자산 5조 미만 산업자본에 허용”

“인터넷은행,	“/SS+인터넷/NNG+은행/NNG+,/SP
안팎으로	안팎/NNG+으로/JKB
올리는	올리/VV+는/ETM
방안을	방안/NNG+을/JKO
검토하고	검토/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.22.9.1
다만 비금융 자산 총액 5조원 이상 재벌 대기업에 대해선 이러한 은산분리 규제 완화를 적용하지 않는 방안을 함께 논의하고 있다.

다만	다만/MAG
비금융	비/XPN+금융/NNG
자산	자산/NNG
총액	총액/NNG
5조원	5/SN+조/NR+원/NNB
이상	이상/NNG
재벌	재벌/NNG
대기업에	대/XPN+기업/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
이러한	이러하/VA+ㄴ/ETM
은산분리	은산/NNG+분리/NNG
규제	규제/NNG
완화를	완화/NNG+를/JKO
적용하지	적용/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
방안을	방안/NNG+을/JKO
함께	함께/MAG
논의하고	논의/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.22.9.2
네이버나 다음카카오 등 정보통신 자본이 주도하는 인터넷전문은행은 허용하되, 삼성이나 현대차, 엘지, 에스케이 등 주요 재벌의 인터넷전문은행업 진출은 차단하겠다는 취지다.

네이버나	네이버/NNP+나/JC
다음카카오	다음카카오/NNP
등	등/NNB
정보통신	정보/NNG+통신/NNG
자본이	자본/NNG+이/JKS
주도하는	주도/NNG+하/XSV+는/ETM
인터넷전문은행은	인터넷/NNG+전문/NNG+은행/NNG+은/JX
허용하되,	허용/NNG+하/XSV+되/EC+,/SP
삼성이나	삼성/NNP+이나/JC
현대차,	현대차/NNP+,/SP
엘지,	엘지/NNP+,/SP
에스케이	에스케이/NNP
주요	주요/NNG
재벌의	재벌/NNG+의/JKG
인터넷전문은행업	인터넷/NNG+전문/NNG+은행업/NNG
진출은	진출/NNG+은/JX
차단하겠다는	차단/NNG+하/XSV+겠/EP+다는/ETM
취지다.	취지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.22.9.3
조 변호사는 “5조원 이상으로 해도 공기업을 빼면 거의 50개에 달하는 기업집단이 (은산분리 규제 완화 제외 대상에) 포함된다”고 설명했다.

조	조/NNP
변호사는	변호사/NNG+는/JX
“5조원	“/SS+5/SN+조/NR+원/NNB
이상으로	이상/NNG+으로/JKB
해도	하/VV+아도/EC
공기업을	공기업/NNG+을/JKO
빼면	빼/VV+면/EC
거의	거의/MAG
50개에	50/SN+개/NNB+에/JKB
달하는	달하/VV+는/ETM
기업집단이	기업/NNG+집단/NNG+이/JKS
(은산분리	(/SS+은산/NNG+분리/NNG
규제	규제/NNG
완화	완화/NNG
제외	제외/NNG
대상에)	대상/NNG+에/JKB+)/SS
포함된다”고	포함/NNG+되/XSV+ㄴ다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.22.10.1
은산분리 규제 완화에 따른 부작용을 막기 위한 보완 대책도 논의됐다.

은산분리	은산/NNG+분리/NNG
규제	규제/NNG
완화에	완화/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
부작용을	부작용/NNG+을/JKO
막기	막/VV+기/ETN
위한	위하/VV+ㄴ/ETM
보완	보완/NNG
대책도	대책/NNG+도/JX
논의됐다.	논의/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000048.22.10.2
조 변호사는 “대주주의 사금고화나 위험 전이 우려에 대해선 은행업 진입단계에서의 금융위원회 인가제도, 운영단계에서의 대주주와 거래 규제, 은행 경영의 독립성 확보 등으로 해결할 수 있다”고 설명했다.

조	조/NNP
변호사는	변호사/NNG+는/JX
“대주주의	“/SS+대/XPN+주주/NNG+의/JKG
사금고화나	사금고/NNG+화/XSN+나/JC
위험	위험/NNG
전이	전이/NNG
우려에	우려/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
은행업	은행업/NNG
진입단계에서의	진입/NNG+단계/NNG+에서/JKB+의/JKG
금융위원회	금융/NNG+위원회/NNG
인가제도,	인가/NNG+제도/NNG+,/SP
운영단계에서의	운영/NNG+단계/NNG+에서/JKB+의/JKG
대주주와	대/XPN+주주/NNG+와/JKB
거래	거래/NNG
규제,	규제/NNG+,/SP
은행	은행/NNG
경영의	경영/NNG+의/JKG
독립성	독립/NNG+성/XSN
확보	확보/NNG
등으로	등/NNB+으로/JKB
해결할	해결/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.22.10.3
서병호 금융연구원 연구위원도 “동일인차주 규제, 대주주 거래 제한, 대주주 의무사항 등에 대한 규제와 감독을 강화할 필요가 있다”고 주장했다.

서병호	서병호/NNP
금융연구원	금융연구원/NNP
연구위원도	연구/NNG+위원/NNG+도/JX
“동일인차주	“/SS+동일인/NNG+차주/NNG
규제,	규제/NNG+,/SP
대주주	대/XPN+주주/NNG
거래	거래/NNG
제한,	제한/NNG+,/SP
의무사항	의무/NNG+사항/NNG
등에	등/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
규제와	규제/NNG+와/JC
감독을	감독/NNG+을/JKO
강화할	강화/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.22.11.1
인터넷전문은행 도입 논의에서 또다른 쟁점인 비대면 실명 인증(은행 지점 방문 없이 계좌 개설하는 방안) 방안도 곧 구체화될 전망이다.

인터넷전문은행	인터넷/NNG+전문/NNG+은행/NNG
도입	도입/NNG
논의에서	논의/NNG+에서/JKB
또다른	또/MAG+다른/MMD
쟁점인	쟁점/NNG+이/VCP+ㄴ/ETM
비대면	비/XPN+대면/NNG
실명	실명/NNG
인증(은행	인증/NNG+(/SS+은행/NNG
지점	지점/NNG
방문	방문/NNG
없이	없이/MAG
계좌	계좌/NNG
개설하는	개설/NNG+하/XSV+는/ETM
방안)	방안/NNG+)/SS
방안도	방안/NNG+도/JX
곧	곧/MAG
구체화될	구체/NNG+화/XSN+되/XSV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.22.11.2
임종룡 금융위원장은 이날 “비대면 실명 확인은 모든 금융회사에 공통적으로 적용되는 사안으로 이른 시일 내에 개정 방안을 마련할 것”이라고 말했다.

임종룡	임종룡/NNP
금융위원장은	금융/NNG+위원장/NNG+은/JX
이날	이날/NNG
“비대면	“/SS+비/XPN+대면/NNG
실명	실명/NNG
확인은	확인/NNG+은/JX
모든	모든/MMN
금융회사에	금융/NNG+회사/NNG+에/JKB
공통적으로	공통/NNG+적/XSN+으로/JKB
적용되는	적용/NNG+되/XSV+는/ETM
사안으로	사안/NNG+으로/JKB
이른	이르/VA+ㄴ/ETM
시일	시일/NNG
내에	내/NNB+에/JKB
개정	개정/NNG
방안을	방안/NNG+을/JKO
마련할	마련/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.22.11.3
금융위는 이르면 다음달 비대면 실명 확인 방안을 발표할 예정이다.

금융위는	금융위/NNG+는/JX
이르면	이르/VA+면/EC
다음달	다음/NNG+달/NNG
비대면	비/XPN+대면/NNG
실명	실명/NNG
확인	확인/NNG
방안을	방안/NNG+을/JKO
발표할	발표/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.22.12.1
인터넷전문은행 설립 노력은 2002년과 2008년에 이어 이번이 세번째다.

인터넷전문은행	인터넷/NNG+전문/NNG+은행/NNG
설립	설립/NNG
노력은	노력/NNG+은/JX
2002년과	2002/SN+년/NNB+과/JC
2008년에	2008/SN+년/NNB+에/JKB
이어	잇/VV+어/EC
이번이	이번/NNG+이/JKS
세번째다.	세/MMN+번/NNB+째/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000048.22.12.2
그동안은 은산분리와 비대면 실명 확인 문제, 글로벌 금융위기 여파 등으로 인해 좌초된 바 있다.

그동안은	그동안/NNG+은/JX
은산분리와	은산/NNG+분리/NNG+와/JC
비대면	비/XPN+대면/NNG
실명	실명/NNG
확인	확인/NNG
문제,	문제/NNG+,/SP
글로벌	글로벌/NNG
금융위기	금융/NNG+위기/NNG
여파	여파/NNG
등으로	등/NNB+으로/JKB
인해	인/NNG+하/XSV+아/EC
좌초된	좌초/NNG+되/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000048.22.12.3
이번에도 인터넷전문은행 도입이 순조롭게 추진될 것으로 낙관하기엔 이르다.

이번에도	이번/NNG+에/JKB+도/JX
인터넷전문은행	인터넷/NNG+전문/NNG+은행/NNG
도입이	도입/NNG+이/JKS
순조롭게	순조/NNG+롭/XSA+게/EC
추진될	추진/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
낙관하기엔	낙관/NNG+하/XSV+기/ETN+에/JKB+ㄴ/JX
이르다.	이르/VA+다/EF+./SF


# id : NWRW1800000048.22.12.4
기존 은산분리 규제를 완화하기 위해서는 관련법 개정이 이루어져야 하는데, 국회에서 상당한 진통을 빚을 수 있기 때문이다.

기존	기존/NNG
은산분리	은산/NNG+분리/NNG
규제를	규제/NNG+를/JKO
완화하기	완화/NNG+하/XSV+기/ETN
위해서는	위하/VV+아서/EC+는/JX
관련법	관련/NNG+법/NNG
개정이	개정/NNG+이/JKS
이루어져야	이루어지/VV+어야/EC
하는데,	하/VX+는데/EC+,/SP
국회에서	국회/NNG+에서/JKB
상당한	상당/NNG+하/XSA+ㄴ/ETM
진통을	진통/NNG+을/JKO
빚을	빚/VV+을/ETM
수	수/NNB
있기	있/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.22.12.5
전성인 홍익대 교수(경제학)는 “자산총액 5조원 이상 재벌을 제외했다고 해서 산업자본의 은행 소유에 대한 위험 요인이 사라지는 것은 아니기 때문에 우려스럽다”고 지적했다.

전성인	전성인/NNP
홍익대	홍익대/NNP
교수(경제학)는	교수/NNG+(/SS+경제학/NNG+)/SS+는/JX
“자산총액	“/SS+자산/NNG+총액/NNG
5조원	5/SN+조/NR+원/NNB
이상	이상/NNG
재벌을	재벌/NNG+을/JKO
제외했다고	제외/NNG+하/XSV+았/EP+다고/EC
해서	하/VV+아서/EC
산업자본의	산업/NNG+자본/NNG+의/JKG
은행	은행/NNG
소유에	소유/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
위험	위험/NNG
요인이	요인/NNG+이/JKS
사라지는	사라지/VV+는/ETM
것은	것/NNB+은/JX
아니기	아니/VCN+기/ETN
때문에	때문/NNB+에/JKB
우려스럽다”고	우려/NNG+스럽/XSA+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


