# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.315
metadata : {}


# id : NWRW1800000030.315.1.1
소리없이 끓고 있는 여권

소리없이	소리/NNG+없이/MAG
상당한	상당/NNG+하/XSA+ㄴ/ETM
영향력을	영향력/NNG+을/JKO
갖고	갖/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.315.6.2
대통령이 직접 임명장을 주는 자문위원만 국내에 약 1만5000명, 해외에 약 3000명이고 '10만 통일 일꾼 양성'을 목표로 조직을 확대해왔다.

대통령이	대통령/NNG+이/JKS
직접	직접/MAG
임명장을	임명장/NNG+을/JKO
주는	주/VV+는/ETM
자문위원만	자문/NNG+위원/NNG+만/JX
국내에	국내/NNG+에/JKB
약	약/MMA
1만5000명,	1/SN+만/NR+5000/SN+명/NNB+,/SP
해외에	해외/NNG+에/JKB
3000명이고	3000/SN+명/NNB+이/VCP+고/EC
'10만	'/SS+10/SN+만/NR
통일	통일/NNG
일꾼	일/NNG+꾼/XSN
양성'을	양성/NNG+'/SS+을/JKO
목표로	목표/NNG+로/JKB
조직을	조직/NNG+을/JKO
확대해왔다.	확대/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.315.6.3
이 장관 쪽은 지금껏 여권 주류 진영을 대표해서 자신들이 전국 선거 조직을 관리하고 있다고 생각해 왔다.

이	이/NNP
장관	장관/NNG
쪽은	쪽/NNB+은/JX
지금껏	지금껏/MAG
여권	여권/NNG
주류	주류/NNG
진영을	진영/NNG+을/JKO
대표해서	대표/NNG+하/XSV+아서/EC
자신들이	자신/NNG+들/XSN+이/JKS
전국	전국/NNG
선거	선거/NNG
조직을	조직/NNG+을/JKO
관리하고	관리/NNG+하/XSV+고/EC
있다고	있/VX+다고/EC
생각해	생각/NNG+하/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.315.6.4
그런데 이 자리를 빼앗기자 '이상득계가 진짜 우리와 갈라설 생각이구나'라고 믿게 됐다는 것이다.

그런데	그런데/MAJ
이	이/MMD
자리를	자리/NNG+를/JKO
빼앗기자	빼앗기/VV+자/EC
'이상득계가	'/SS+이상득/NNP+계/XSN+가/JKS
진짜	진짜/MAG
우리와	우리/NP+와/JKB
갈라설	갈라서/VV+ㄹ/ETM
생각이구나'라고	생각/NNG+이/VCP+구나/EF+'/SS+라고/JKQ
믿게	믿/VV+게/EC
됐다는	되/VV+었/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.315.7.1
이재오계와 이상득계는 올 들어 곳곳에서 부딪히며 갈등을 키워온 것으로 알려졌다.

이재오계와	이재오/NNP+계/XSN+와/JC
이상득계는	이상득/NNP+계/XSN+는/JX
올	올/NNG
들어	들/VV+어/EC
곳곳에서	곳곳/NNG+에서/JKB
부딪히며	부딪히/VV+며/EC
갈등을	갈등/NNG+을/JKO
키워온	키우/VV+어/EC+오/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.315.7.2
이재오계는 개헌에 적극적이었지만 이상득계는 임태희 실장을 중심으로 반대 전선을 펴왔다.

이재오계는	이재오/NNP+계/XSN+는/JX
개헌에	개헌/NNG+에/JKB
적극적이었지만	적극/NNG+적/XSN+이/VCP+었/EP+지만/EC
이상득계는	이상득/NNP+계/XSN+는/JX
임태희	임태희/NNP
실장을	실장/NNG+을/JKO
중심으로	중심/NNG+으로/JKB
반대	반대/NNG
전선을	전선/NNG+을/JKO
펴왔다.	펴/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.315.7.3
그래서 이 대통령이 지난 2월 "개헌이 필요하다"고 했을 때 여권 내부에선 "이재오가 처음으로 이상득을 꺾었다"는 말이 나왔다.

그래서	그래서/MAJ
이	이/NNP
대통령이	대통령/NNG+이/JKS
지난	지나/VV+ㄴ/ETM
2월	2/SN+월/NNB
"개헌이	"/SS+개헌/NNG+이/JKS
필요하다"고	필요/NNG+하/XSA+다/EF+"/SS+고/JKQ
했을	하/VV+았/EP+을/ETM
때	때/NNG
여권	여권/NNG
내부에선	내부/NNG+에서/JKB+ㄴ/JX
"이재오가	"/SS+이재오/NNP+가/JKS
처음으로	처음/NNG+으로/JKB
이상득을	이상득/NNP+을/JKO
꺾었다"는	꺾/VV+었/EP+다/EF+"/SS+는/ETM
말이	말/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.315.8.1
양측은 이번 재·보선에서 분당을 공천을 놓고도 부딪혔다.

양측은	양측/NNG+은/JX
이번	이번/NNG
재·보선에서	재·보선/NNG+에서/JKB
분당을	분당을/NNP
공천을	공천/NNG+을/JKO
놓고도	놓/VV+고/EC+도/JX
부딪혔다.	부딪히/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.315.8.2
이재오계에선 정운찬 전 총리를, 임태희 실장은 강재섭 전 한나라당 대표를 직·간접적으로 밀었다.

이재오계에선	이재오/NNP+계/XSN+에서/JKB+ㄴ/JX
정운찬	정운찬/NNP
전	전/MMD
총리를,	총리/NNG+를/JKO+,/SP
임태희	임태희/NNP
실장은	실장/NNG+은/JX
강재섭	강재섭/NNP
한나라당	한나라당/NNP
대표를	대표/NNG+를/JKO
직·간접적으로	직·간접/NNG+적/XSN+으로/JKB
밀었다.	밀/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.315.8.3
그러던 차에 민주평통 사무처장 자리가 박영준 차관과 가까운 이상직 처장에게 돌아갔다.

그러던	그러/VV+던/ETM
차에	차/NNB+에/JKB
민주평통	민주평통/NNG
사무처장	사무처장/NNG
자리가	자리/NNG+가/JKS
박영준	박영준/NNP
차관과	차관/NNG+과/JKB
가까운	가깝/VA+ㄴ/ETM
이상직	이상직/NNP
처장에게	처장/NNG+에게/JKB
돌아갔다.	돌아가/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.315.8.4
이 장관이 최근 외부 비판에도 불구하고 계파 모임을 잇따라 열며 '집안 단속'에 나선 것도 '이대로 있다가는 친(親)박근혜계는 그만두고, 이상득계에 당하겠다'는 인식이 작용한 것으로 보는 관측이 나오고 있다.

이	이/NNP
장관이	장관/NNG+이/JKS
최근	최근/NNG
외부	외부/NNG
비판에도	비판/NNG+에/JKB+도/JX
불구하고	불구하/VV+고/EC
계파	계파/NNG
모임을	모임/NNG+을/JKO
잇따라	잇따르/VV+아/EC
열며	열/VV+며/EC
'집안	'/SS+집안/NNG
단속'에	단속/NNG+'/SS+에/JKB
나선	나서/VV+ㄴ/ETM
것도	것/NNB+도/JX
'이대로	'/SS+이대로/MAG
있다가는	있/VA+다가/EC+는/JX
친(親)박근혜계는	친/XPN+(/SS+親/SH+)/SS+박근혜/NNP+계/XSN+는/JX
그만두고,	그만두/VV+고/EC+,/SP
이상득계에	이상득/NNP+계/XSN+에/JKB
당하겠다'는	당하/VV+겠/EP+다/EF+'/SS+는/ETM
인식이	인식/NNG+이/JKS
작용한	작용/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보는	보/VV+는/ETM
관측이	관측/NNG+이/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.315.8.5
반면 이상득계 쪽에선 '임태희 실장 교체설' 진원지를 이재오계로 의심하고 있다.

반면	반면/NNG
이상득계	이상득/NNP+계/XSN
쪽에선	쪽/NNB+에서/JKB+ㄴ/JX
'임태희	'/SS+임태희/NNP
실장	실장/NNG
교체설'	교체설/NNG+'/SS
진원지를	진원지/NNG+를/JKO
이재오계로	이재오/NNP+계/XSN+로/JKB
의심하고	의심/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.315.9.1
양진영과 모두 통하는 여권 고위 관계자는 "재·보선 승리라는 눈앞의 공동 목표 때문에 일단 갈등이 물밑에 있지만 그 직후에 있을 원내대표 선출 때부터 뜨겁게 표출될 것"이라며 "이상득계를 표방하는 이병석 의원이 최근에 '이재오 장관의 행동에 오해 소지가 있다'고 한 것도 원내대표 경쟁자인 안경률 의원을 이재오계로 규정하고 싸우려는 것"이라고 했다.

양진영과	양/MMN+진영/NNG+과/JKB
모두	모두/MAG
통하는	통하/VV+는/ETM
여권	여권/NNG
고위	고위/NNG
관계자는	관계자/NNG+는/JX
"재·보선	"/SS+재·보선/NNG
승리라는	승리/NNG+이/VCP+라는/ETM
눈앞의	눈앞/NNG+의/JKG
공동	공동/NNG
목표	목표/NNG
때문에	때문/NNB+에/JKB
일단	일단/MAG
갈등이	갈등/NNG+이/JKS
물밑에	물밑/NNG+에/JKB
있지만	있/VA+지만/EC
그	그/MMD
직후에	직후/NNG+에/JKB
있을	있/VA+을/ETM
원내대표	원내/NNG+대표/NNG
선출	선출/NNG
때부터	때/NNG+부터/JX
뜨겁게	뜨겁/VA+게/EC
표출될	표출/NNG+되/XSV+ㄹ/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"이상득계를	"/SS+이상득/NNP+계/XSN+를/JKO
표방하는	표방/NNG+하/XSV+는/ETM
이병석	이병석/NNP
의원이	의원/NNG+이/JKS
최근에	최근/NNG+에/JKB
'이재오	'/SS+이재오/NNP
장관의	장관/NNG+의/JKG
행동에	행동/NNG+에/JKB
오해	오해/NNG
소지가	소지/NNG+가/JKS
있다'고	있/VA+다/EF+'/SS+고/JKQ
한	하/VV+ㄴ/ETM
것도	것/NNB+도/JX
경쟁자인	경쟁자/NNG+이/VCP+ㄴ/ETM
안경률	안경률/NNP
의원을	의원/NNG+을/JKO
이재오계로	이재오/NNP+계/XSN+로/JKB
규정하고	규정/NNG+하/XSV+고/EC
싸우려는	싸우/VV+려는/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.315.10.1
이재오계 역시 "모든 인사와 정무 사안을 중간에서 흔드는 임태희 실장을 이번 기회에 바꾸겠다"고 벼르고 있는 참이다.

이재오계	이재오/NNP+계/XSN
역시	역시/MAG
"모든	"/SS+모든/MMN
인사와	인사/NNG+와/JC
정무	정무/NNG
사안을	사안/NNG+을/JKO
중간에서	중간/NNG+에서/JKB
흔드는	흔들/VV+는/ETM
임태희	임태희/NNP
실장을	실장/NNG+을/JKO
이번	이번/NNG
기회에	기회/NNG+에/JKB
바꾸겠다"고	바꾸/VV+겠/EP+다/EF+"/SS+고/JKQ
벼르고	벼르/VV+고/EC
있는	있/VX+는/ETM
참이다.	참/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.315.10.2
이 관계자는 "이상득 의원과 이재오 장관이 최근 비공개 만남을 갖고 자신들이 갈등을 빚으면 이명박 정부 성공을 위해 좋지 않다는 데는 공감했지만 각론에서는 의견 차이가 제법 컸던 것으로 안다"고 전했다.

이	이/MMD
관계자는	관계자/NNG+는/JX
"이상득	"/SS+이상득/NNP
의원과	의원/NNG+과/JC
이재오	이재오/NNP
장관이	장관/NNG+이/JKS
최근	최근/NNG
비공개	비/XPN+공개/NNG
만남을	만남/NNG+을/JKO
갖고	갖/VV+고/EC
자신들이	자신/NNG+들/XSN+이/JKS
갈등을	갈등/NNG+을/JKO
빚으면	빚/VV+으면/EC
이명박	이명박/NNP
정부	정부/NNG
성공을	성공/NNG+을/JKO
위해	위하/VV+아/EC
좋지	좋/VA+지/EC
않다는	않/VX+다는/ETM
데는	데/NNB+는/JX
공감했지만	공감/NNG+하/XSV+았/EP+지만/EC
각론에서는	각론/NNG+에서/JKB+는/JX
의견	의견/NNG
차이가	차이/NNG+가/JKS
제법	제법/MAG
컸던	크/VA+었/EP+던/ETM
것으로	것/NNB+으로/JKB
안다"고	알/VV+ㄴ다/EF+"/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


