# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.259
metadata : {}


# id : NWRW1800000028.259.1.1
김구선생, 시한부 신탁통치 수용했어야 /아버지 잘못 사과한 박근혜엔 고마움 /개그우먼 김미화, 시사진행자 자질 상당

김구선생,	김구/NNP+선생/NNG+,/SP
만났다.	만나/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.259.4.1
격렬한 좌우대립 속에 1947년 암살당한 여운형은 “해방 공간에서 민족을 구하려 동분서주했던 빼어난 인물”로 평가했다.

격렬한	격렬하/VA+ㄴ/ETM
좌우대립	좌우/NNG+대립/NNG
속에	속/NNG+에/JKB
1947년	1947/SN+년/NNB
암살당한	암살/NNG+당하/XSV+ㄴ/ETM
여운형은	여운형/NNP+은/JX
“해방	“/SS+해방/NNG
공간에서	공간/NNG+에서/JKB
민족을	민족/NNG+을/JKO
구하려	구하/VV+려/EC
동분서주했던	동분서주/NNG+하/XSV+았/EP+던/ETM
빼어난	빼어나/VA+ㄴ/ETM
인물”로	인물/NNG+”/SS+로/JKB
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.259.4.2
그러나 김 전 대통령이 가장 흠모한 한 사람은 김구였다.

그러나	그러나/MAJ
김	김/NNP
전	전/MMD
대통령이	대통령/NNG+이/JKS
가장	가장/MAG
흠모한	흠모/NNG+하/XSV+ㄴ/ETM
한	한/MMN
사람은	사람/NNG+은/JX
김구였다.	김구/NNP+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000028.259.4.3
“김구 선생은 진정 애국자였다.

“김구	“/SS+김구/NNP
선생은	선생/NNG+은/JX
진정	진정/MAG
애국자였다.	애국자/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000028.259.4.4
어른을 잃은 국민들은 위인의 자취를 기리며 비탄에 젖었다.”

어른을	어른/NNG+을/JKO
잃은	잃/VV+은/ETM
국민들은	국민/NNG+들/XSN+은/JX
위인의	위인/NNG+의/JKG
자취를	자취/NNG+를/JKO
기리며	기리/VV+며/EC
비탄에	비탄/NNG+에/JKB
젖었다.”	젖/VV+었/EP+다/EF+./SF+”/SS


# id : NWRW1800000028.259.5.1
김 전 대통령이 김구 선생을 존경한 사실은 널리 알려졌다.

김	김/NNP
전	전/MMD
대통령이	대통령/NNG+이/JKS
김구	김구/NNP
선생을	선생/NNG+을/JKO
존경한	존경/NNG+하/XSV+ㄴ/ETM
사실은	사실/NNG+은/JX
널리	널리/MAG
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.259.5.2
자서전에선 김구 선생을 정치인으로 평가한 대목이 눈에 띈다.

자서전에선	자서전/NNG+에서/JKB+ㄴ/JX
김구	김구/NNP
선생을	선생/NNG+을/JKO
정치인으로	정치인/NNG+으로/JKB
평가한	평가/NNG+하/XSV+ㄴ/ETM
대목이	대목/NNG+이/JKS
눈에	눈/NNG+에/JKB
띈다.	띄/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.259.5.3
김 전 대통령은 “김구 선생은 독립투사였고 절세의 애국자였지만 정치인으로는 아쉬운 점이 있었다”고 평가했다.

김	김/NNP
전	전/MMD
대통령은	대통령/NNG+은/JX
“김구	“/SS+김구/NNP
선생은	선생/NNG+은/JX
독립투사였고	독립투사/NNG+이/VCP+었/EP+고/EC
절세의	절세/NNG+의/JKG
애국자였지만	애국자/NNG+이/VCP+었/EP+지만/EC
정치인으로는	정치인/NNG+으로/JKB+는/JX
아쉬운	아쉽/VA+ㄴ/ETM
점이	점/NNG+이/JKS
있었다”고	있/VA+었/EP+다/EF+”/SS+고/JKQ
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.259.5.4
“좌우합작 논의가 있을 때 선생은 그 속으로 뛰어들었어야 했다…신탁통치를 무조건 반대만 할 것이 아니라 시한부 신탁통치를 받아들였어야 했다.”

“좌우합작	“/SS+좌우/NNG+합작/NNG
논의가	논의/NNG+가/JKS
있을	있/VA+을/ETM
때	때/NNG
선생은	선생/NNG+은/JX
그	그/MMD
속으로	속/NNG+으로/JKB
뛰어들었어야	뛰어들/VV+었/EP+어야/EC
했다…신탁통치를	하/VX+았/EP+다/EF+…/SE+신탁/NNG+통치/NNG+를/JKO
무조건	무/XPN+조건/NNG
반대만	반대/NNG+만/JX
할	하/VV+ㄹ/ETM
것이	것/NNB+이/JKC
아니라	아니/VCN+라/EC
시한부	시한부/NNG
신탁통치를	신탁/NNG+통치/NNG+를/JKO
받아들였어야	받아들이/VV+었/EP+어야/EC
했다.”	하/VX+았/EP+다/EF+./SF+”/SS


# id : NWRW1800000028.259.5.5
김구 선생이 5·10 총선에 참여해 권력을 잡았다면 친일파에 의한 독재를 막을 수 있었을 것이라고 김 전 대통령은 한탄했다.

김구	김구/NNP
선생이	선생/NNG+이/JKS
5·10	5/SN+·/SP+10/SN
총선에	총선/NNG+에/JKB
참여해	참여/NNG+하/XSV+아/EC
권력을	권력/NNG+을/JKO
잡았다면	잡/VV+았/EP+다면/EC
친일파에	친일파/NNG+에/JKB
의한	의하/VV+ㄴ/ETM
독재를	독재/NNG+를/JKO
막을	막/VV+을/ETM
수	수/NNB
있었을	있/VA+었/EP+을/ETM
것이라고	것/NNB+이/VCP+라고/EC
김	김/NNP
전	전/MMD
대통령은	대통령/NNG+은/JX
한탄했다.	한탄/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.259.5.6
그가 볼 때 “이승만 대통령의 당선은 우리 현대사의 비극의 시작이었다.”

그가	그/NP+가/JKS
볼	보/VV+ㄹ/ETM
때	때/NNG
“이승만	“/SS+이승만/NNP
대통령의	대통령/NNG+의/JKG
당선은	당선/NNG+은/JX
우리	우리/NP
현대사의	현대사/NNG+의/JKG
비극의	비극/NNG+의/JKG
시작이었다.”	시작/NNG+이/VCP+었/EP+다/EF+./SF+”/SS


# id : NWRW1800000028.259.6.1
김 전 대통령은 자신을 죽음의 문턱까지 몰아갔던 박 전 대통령과 딱 한번 만났다.

김	김/NNP
전	전/MMD
대통령은	대통령/NNG+은/JX
자신을	자신/NNG+을/JKO
죽음의	죽음/NNG+의/JKG
문턱까지	문턱/NNG+까지/JX
몰아갔던	몰아가/VV+았/EP+던/ETM
박	박/NNP
대통령과	대통령/NNG+과/JKB
딱	딱/MAG
한번	한번/NNG
만났다.	만나/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.259.6.2
국회의원 당선 뒤 1968년 새해 인사에서 선 채로 짧게 인사했다.

국회의원	국회/NNG+의원/NNG
당선	당선/NNG
뒤	뒤/NNG
1968년	1968/SN+년/NNB
새해	새해/NNG
인사에서	인사/NNG+에서/JKB
선	서/VV+ㄴ/ETM
채로	채/NNB+로/JKB
짧게	짧/VA+게/EC
인사했다.	인사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.259.6.3
박 전 대통령은 매우 친절했고 성의 있게 답했다.

박	박/NNP
전	전/MMD
대통령은	대통령/NNG+은/JX
매우	매우/MAG
친절했고	친절/NNG+하/XSA+았/EP+고/EC
성의	성의/NNG
있게	있/VA+게/EC
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.259.6.4
거기까지였다.

거기까지였다.	거기/NP+까지/JX+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000028.259.6.5
김 전 대통령은 납치 사건을 겪는 등 박정희 정권에서 모진 탄압을 받았다.

김	김/NNP
전	전/MMD
대통령은	대통령/NNG+은/JX
납치	납치/NNG
사건을	사건/NNG+을/JKO
겪는	겪/VV+는/ETM
등	등/NNB
박정희	박정희/NNP
정권에서	정권/NNG+에서/JKB
모진	모질/VA+ㄴ/ETM
탄압을	탄압/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.259.7.1
화해는 뒤늦게 찾아왔다.

화해는	화해/NNG+는/JX
뒤늦게	뒤늦/VA+게/EC
찾아왔다.	찾아오/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.259.7.2
“세월이 흘러 그의 맏딸 박근혜가 나를 찾아왔다.

“세월이	“/SS+세월/NNG+이/JKS
흘러	흐르/VV+어/EC
그의	그/NP+의/JKG
맏딸	맏/XPN+딸/NNG
박근혜가	박근혜/NNP+가/JKS
나를	나/NP+를/JKO
찾아왔다.	찾아오/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.259.7.3
박정희가 세상을 떠난 지 25년 만이었다.”

박정희가	박정희/NNP+가/JKS
세상을	세상/NNG+을/JKO
떠난	떠나/VV+ㄴ/ETM
지	지/NNB
25년	25/SN+년/NNB
만이었다.”	만/NNB+이/VCP+었/EP+다/EF+./SF+”/SS


# id : NWRW1800000028.259.7.4
2004년 8월 김대중도서관에서 두 사람은 만났다.

2004년	2004/SN+년/NNB
8월	8/SN+월/NNB
김대중도서관에서	김대중도서관/NNP+에서/JKB
두	두/MMN
사람은	사람/NNG+은/JX
만났다.	만나/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.259.7.5
박 전 대표는 “아버지 시절에 여러 가지로 피해를 입고 고생하신 데 대해 딸로서 사과말씀드립니다”라고 사과했다.

박	박/NNP
전	전/MMD
대표는	대표/NNG+는/JX
“아버지	“/SS+아버지/NNG
시절에	시절/NNG+에/JKB
여러	여러/MMN
가지로	가지/NNB+로/JKB
피해를	피해/NNG+를/JKO
입고	입/VV+고/EC
고생하신	고생/NNG+하/XSV+시/EP+ㄴ/ETM
데	데/NNB
대해	대하/VV+아/EC
딸로서	딸/NNG+로서/JKB
사과말씀드립니다”라고	사과/NNG+말씀/NNG+드리/VV+ㅂ니다/EF+”/SS+라고/JKQ
사과했다.	사과/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.259.7.6
김 전 대통령은 “나는 그 말이 참으로 고마웠다…사과는 독재자의 딸이 했지만 정작 내가 구원을 받는 것 같았다”고 밝혔다.

김	김/NNP
전	전/MMD
대통령은	대통령/NNG+은/JX
“나는	“/SS+나/NP+는/JX
그	그/MMD
말이	말/NNG+이/JKS
참으로	참으로/MAG
고마웠다…사과는	고맙/VA+었/EP+다/EF+…/SE+사과/NNG+는/JX
독재자의	독재자/NNG+의/JKG
딸이	딸/NNG+이/JKS
했지만	하/VV+았/EP+지만/EC
정작	정작/MAG
내가	내/NP+가/JKS
구원을	구원/NNG+을/JKO
받는	받/VV+는/ETM
것	것/NNB
같았다”고	같/VA+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.259.8.1
김 전 대통령의 ‘만인보’는 서거 직전까지 멈추지 않았다.

김	김/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
‘만인보’는	‘/SS+만인보/NNG+’/SS+는/JX
서거	서거/NNG
직전까지	직전/NNG+까지/JX
멈추지	멈추/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000028.259.8.2
특히 이명박 대통령에 대해선 강한 실망감을 드러냈다.

특히	특히/MAG
이명박	이명박/NNP
대통령에	대통령/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
강한	강하/VA+ㄴ/ETM
실망감을	실망감/NNG+을/JKO
드러냈다.	드러내/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.259.8.3
“이명박 당선자의 국정운영이 걱정됐다.

“이명박	“/SS+이명박/NNP
당선자의	당선자/NNG+의/JKG
국정운영이	국정/NNG+운영/NNG+이/JKS
걱정됐다.	걱정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000028.259.8.4
과거 건설회사에 재직할 때의 안하무인식 태도를 드러냈다.”

과거	과거/NNG
건설회사에	건설/NNG+회사/NNG+에/JKB
재직할	재직/NNG+하/XSV+ㄹ/ETM
때의	때/NNG+의/JKG
안하무인식	안하무인식/NNG
태도를	태도/NNG+를/JKO
드러냈다.”	드러내/VV+었/EP+다/EF+./SF+”/SS


# id : NWRW1800000028.259.8.5
자신의 일생일대 업적인 남북화해 정책을 역류한 이 대통령에 대한 배신감도 표출했다.

자신의	자신/NNG+의/JKG
일생일대	일생일대/NNG
업적인	업적/NNG+이/VCP+ㄴ/ETM
남북화해	남북/NNP+화해/NNG
정책을	정책/NNG+을/JKO
역류한	역류/NNG+하/XSV+ㄴ/ETM
이	이/NNP
대통령에	대통령/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
배신감도	배신감/NNG+도/JX
표출했다.	표출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.259.8.6
“대통령 후보로 나를 찾아왔을 때는 햇볕정책에 공감한다고 여러 번 말했다.

“대통령	“/SS+대통령/NNG
후보로	후보/NNG+로/JKB
나를	나/NP+를/JKO
찾아왔을	찾아오/VV+았/EP+을/ETM
때는	때/NNG+는/JX
햇볕정책에	햇볕/NNG+정책/NNG+에/JKB
공감한다고	공감/NNG+하/XSV+ㄴ다고/EC
여러	여러/MMN
번	번/NNB
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.259.8.7
그의 말대로 실용적인 사람으로 알고 대세에 역행하지 않을 것으로 믿었는데…그는 실용의 개념을 잘못 이해하는 것 같았다.”

그의	그/NP+의/JKG
말대로	말/NNG+대로/JX
실용적인	실용/NNG+적/XSN+이/VCP+ㄴ/ETM
사람으로	사람/NNG+으로/JKB
알고	알/VV+고/EC
대세에	대세/NNG+에/JKB
역행하지	역행/NNG+하/XSV+지/EC
않을	않/VX+을/ETM
것으로	것/NNB+으로/JKB
믿었는데…그는	믿/VV+었/EP+는데/EC+…/SE+그/NP+는/JX
실용의	실용/NNG+의/JKG
개념을	개념/NNG+을/JKO
잘못	잘못/MAG
이해하는	이해/NNG+하/XSV+는/ETM
것	것/NNB
같았다.”	같/VA+았/EP+다/EF+./SF+”/SS


# id : NWRW1800000028.259.9.1
그의 시선은 정치인에 멈추지 않는다.

그의	그/NP+의/JKG
시선은	시선/NNG+은/JX
정치인에	정치인/NNG+에/JKB
멈추지	멈추/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000028.259.9.2
국제구호활동가 한비야씨에 대해서 “여러 인종의 세 아이를 입양하였다니 고개가 숙여졌다”고 칭찬했다.

국제구호활동가	국제/NNG+구호/NNG+활동가/NNG
한비야씨에	한비야/NNP+씨/NNB+에/JKB
대해서	대하/VV+아서/EC
“여러	“/SS+여러/MMN
인종의	인종/NNG+의/JKG
세	세/MMN
아이를	아이/NNG+를/JKO
입양하였다니	입양/NNG+하/XSV+았/EP+다니/EC
고개가	고개/NNG+가/JKS
숙여졌다”고	숙이/VV+어/EC+지/VX+었/EP+다/EF+”/SS+고/JKQ
칭찬했다.	칭찬/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.259.9.3
개그우먼 김미화씨에 대해서는 “평소 개그우먼으로 김미화씨를 높이 평가했는데 시사 자키의 자질도 상당해서 놀라웠다”고 즐거워했다.

개그우먼	개그우먼/NNG
김미화씨에	김미화/NNP+씨/NNB+에/JKB
대해서는	대하/VV+아서/EC+는/JX
“평소	“/SS+평소/NNG
개그우먼으로	개그우먼/NNG+으로/JKB
김미화씨를	김미화/NNP+씨/NNB+를/JKO
높이	높이/MAG
평가했는데	평가/NNG+하/XSV+았/EP+는데/EC
시사	시사/NNG
자키의	자키/NNG+의/JKG
자질도	자질/NNG+도/JX
상당해서	상당/NNG+하/XSA+아서/EC
놀라웠다”고	놀랍/VA+었/EP+다/EF+”/SS+고/JKQ
즐거워했다.	즐거워하/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.259.10.1
김 전 대통령의 ‘만인보’는 “내 몸의 반이 무너지는 것 같은 심정”이라는 말로 마무리된다.

김	김/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
‘만인보’는	‘/SS+만인보/NNG+’/SS+는/JX
“내	“/SS+나/NP+의/JKG
몸의	몸/NNG+의/JKG
반이	반/NNG+이/JKS
무너지는	무너지/VV+는/ETM
것	것/NNB
같은	같/VA+은/ETM
심정”이라는	심정/NNG+”/SS+이/VCP+라는/ETM
말로	말/NNG+로/JKB
마무리된다.	마무리/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.259.10.2
노무현 전 대통령의 서거 앞에서 그는 “행동하는 양심”이 되라고 역설했다.

노무현	노무현/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
서거	서거/NNG
앞에서	앞/NNG+에서/JKB
그는	그/NP+는/JX
“행동하는	“/SS+행동/NNG+하/XSV+는/ETM
양심”이	양심/NNG+”/SS+이/JKC
되라고	되/VV+라고/EC
역설했다.	역설/NNG+하/XSV+았/EP+다/EF+./SF


