# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.352
metadata : {}


# id : NWRW1800000053.352.1.1
금액으론 15위… 소득 대비로 보면 8위

금액으론	금액/NNG+으로/JKB+ㄴ/JX
주장한다.	주장/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.352.3.2
하지만 실제로 한국의 최저임금은 세계적으로 중상위권에 해당하는 것으로 나타났다.

하지만	하지만/MAJ
실제로	실제로/MAG
한국의	한국/NNP+의/JKG
최저임금은	최저/NNG+임금/NNG+은/JX
세계적으로	세계/NNG+적/XSN+으로/JKB
중상위권에	중상위/NNG+권/XSN+에/JKB
해당하는	해당/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.352.3.3
국민총소득(GNI)과 비교하거나 절대액수로도 중간 이상 수준을 차지하고 있었다.

국민총소득(GNI)과	국민/NNG+총소득/NNG+(/SS+GNI/SL+)/SS+과/JKB
비교하거나	비교/NNG+하/XSV+거나/EC
절대액수로도	절대/NNG+액수/NNG+로/JKB+도/JX
중간	중간/NNG
이상	이상/NNG
수준을	수준/NNG+을/JKO
차지하고	차지/NNG+하/XSV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000053.352.4.1
최저임금제를 채택하고 있는 경제협력개발기구(OECD) 27개 회원국 가운데 최저임금이 가장 높은 나라는 독일(1만4800원)이다.

최저임금제를	최저/NNG+임금/NNG+제/XSN+를/JKO
채택하고	채택/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
경제협력개발기구(OECD)	경제협력개발기구/NNP+(/SS+OECD/SL+)/SS
27개	27/SN+개/NNB
회원국	회원국/NNG
가운데	가운데/NNG
최저임금이	최저/NNG+임금/NNG+이/JKS
가장	가장/MAG
높은	높/VA+은/ETM
나라는	나라/NNG+는/JX
독일(1만4800원)이다.	독일/NNP+(/SS+1/SN+만/NR+4800/SN+원/NNB+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000053.352.4.2
독일은 유로존 재정위기 등을 겪으면서 취업을 해도 빈곤층에서 벗어나지 못하는 워킹푸어가 사회 문제로 부각되자 2015년 최저임금제를 도입했다.

독일은	독일/NNP+은/JX
유로존	유로존/NNG
재정위기	재정/NNG+위기/NNG
등을	등/NNB+을/JKO
겪으면서	겪/VV+으면서/EC
취업을	취업/NNG+을/JKO
해도	하/VV+아도/EC
빈곤층에서	빈곤/NNG+층/XSN+에서/JKB
벗어나지	벗어나/VV+지/EC
못하는	못하/VX+는/ETM
워킹푸어가	워킹푸어/NNG+가/JKS
사회	사회/NNG
문제로	문제/NNG+로/JKB
부각되자	부각/NNG+되/XSV+자/EC
2015년	2015/SN+년/NNB
최저임금제를	최저/NNG+임금/NNG+제/XSN+를/JKO
도입했다.	도입/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.352.4.3
프랑스(1만1746원)와 아일랜드(1만1132원), 영국(9904원) 등 유럽 주요국은 1만 원 안팎이다.

프랑스(1만1746원)와	프랑스/NNP+(/SS+1/SN+만/NR+1746/SN+원/NNB+)/SS+와/JC
아일랜드(1만1132원),	아일랜드/NNP+(/SS+1/SN+만/NR+1132/SN+원/NNB+)/SS+,/SP
영국(9904원)	영국/NNP+(/SS+9904/SN+원/NNB+)/SS
등	등/NNB
유럽	유럽/NNP
주요국은	주요국/NNG+은/JX
1만	1/SN+만/NR
원	원/NNB
안팎이다.	안팎/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.352.5.1
한국은 올해 적용된 최저임금(6470원)이 15위로 중위권이다.

한국은	한국/NNP+은/JX
올해	올해/NNG
적용된	적용/NNG+되/XSV+ㄴ/ETM
최저임금(6470원)이	최저/NNG+임금/NNG+(/SS+6470/SN+원/NNG+)/SS+이/JKS
15위로	15/SN+위/NNB+로/JKB
중위권이다.	중위/NNG+권/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000053.352.5.2
액수로 보면 독일 등의 절반에도 못 미친다.

액수로	액수/NNG+로/JKB
보면	보/VV+면/EC
독일	독일/NNP
등의	등/NNB+의/JKG
절반에도	절반/NNG+에/JKB+도/JX
못	못/MAG
미친다.	미치/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.352.5.3
하지만 이는 최저임금 산출 방법이 이들과 달라서 비롯된 것으로 단순 비교는 어렵다.

하지만	하지만/MAJ
이는	이/NP+는/JX
최저임금	최저/NNG+임금/NNG
산출	산출/NNG
방법이	방법/NNG+이/JKS
이들과	이/NP+들/XSN+과/JKB
달라서	다르/VA+아서/EC
비롯된	비롯되/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
단순	단순/NNG
비교는	비교/NNG+는/JX
어렵다.	어렵/VA+다/EF+./SF


# id : NWRW1800000053.352.5.4
유럽 국가들은 상여금, 숙식비, 휴가비, 각종 수당까지 포함해 최저임금을 산출한다.

유럽	유럽/NNP
국가들은	국가/NNG+들/XSN+은/JX
상여금,	상여금/NNG+,/SP
숙식비,	숙식비/NNG+,/SP
휴가비,	휴가비/NNG+,/SP
각종	각종/NNG
수당까지	수당/NNG+까지/JX
포함해	포함/NNG+하/XSV+아/EC
최저임금을	최저/NNG+임금/NNG+을/JKO
산출한다.	산출/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.352.5.5
반면 한국은 기본급, 고정수당만 포함할 뿐 상여금, 비고정 수당은 제외한다.

반면	반면/NNG
한국은	한국/NNP+은/JX
기본급,	기본급/NNG+,/SP
고정수당만	고정/NNG+수당/NNG+만/JX
포함할	포함/NNG+하/XSV+ㄹ/ETM
뿐	뿐/NNB
상여금,	상여금/NNG+,/SP
비고정	비/XPN+고정/NNG
수당은	수당/NNG+은/JX
제외한다.	제외/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.352.5.6
상여금 및 수당까지 포함하면 선진국 못지않은 수준이라는 게 경영계의 주장이다.

상여금	상여금/NNG
및	및/MAG
수당까지	수당/NNG+까지/JX
포함하면	포함/NNG+하/XSV+면/EC
선진국	선진국/NNG
못지않은	못지않/VA+은/ETM
수준이라는	수준/NNG+이/VCP+라는/ETM
게	거/NNB+이/JKS
경영계의	경영/NNG+계/XSN+의/JKG
주장이다.	주장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.352.6.1
실제로 최저임금위원회의 ‘국민소득 대비 최저임금 지표’(2016년 기준)에 따르면 한국의 최저임금은 OECD 8위다.

실제로	실제로/MAG
최저임금위원회의	최저/NNG+임금/NNG+위원회/NNG+의/JKG
‘국민소득	‘/SS+국민/NNG+소득/NNG
대비	대비/NNG
최저임금	최저/NNG+임금/NNG
지표’(2016년	지표/NNG+’/SS+(/SS+2016/SN+년/NNB
기준)에	기준/NNG+)/SS+에/JKB
따르면	따르/VV+면/EC
한국의	한국/NNP+의/JKG
최저임금은	최저/NNG+임금/NNG+은/JX
OECD	OECD/SL
8위다.	8/SN+위/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.352.6.2
한국의 GNI 대비 최저임금을 100으로 잡았을 때 지난해 기준으로 한국보다 최저임금이 더 높은 나라는 독일, 프랑스, 뉴질랜드, 터키, 영국, 아일랜드, 호주 등 7개국이다.

한국의	한국/NNP+의/JKG
GNI	GNI/SL
대비	대비/NNG
최저임금을	최저/NNG+임금/NNG+을/JKO
100으로	100/SN+으로/JKB
잡았을	잡/VV+았/EP+을/ETM
때	때/NNG
지난해	지난해/NNG
기준으로	기준/NNG+으로/JKB
한국보다	한국/NNP+보다/JKB
최저임금이	최저/NNG+임금/NNG+이/JKS
더	더/MAG
높은	높/VA+은/ETM
나라는	나라/NNG+는/JX
독일,	독일/NNP+,/SP
프랑스,	프랑스/NNP+,/SP
뉴질랜드,	뉴질랜드/NNP+,/SP
터키,	터키/NNP+,/SP
영국,	영국/NNP+,/SP
아일랜드,	아일랜드/NNP+,/SP
호주	호주/NNP
등	등/NNB
7개국이다.	7/SN+개국/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.352.6.3
일본(89.6)과 미국(69.3)보다도 한국이 높다.

일본(89.6)과	일본/NNP+(/SS+89/SN+./SP+6/SN+)/SS+과/JC
미국(69.3)보다도	미국/NNP+(/SS+69/SN+./SP+3/SN+)/SS+보다/JKB+도/JX
한국이	한국/NNP+이/JKS
높다.	높/VA+다/EF+./SF


# id : NWRW1800000053.352.6.4
최저임금이 당장 1만 원이 되면 독일(140.2)을 제치고 OECD 1위가 된다.

최저임금이	최저/NNG+임금/NNG+이/JKS
당장	당장/NNG
1만	1/SN+만/NR
원이	원/NNB+이/JKC
되면	되/VV+면/EC
독일(140.2)을	독일/NNP+(/SS+140/SN+./SP+2/SN+)/SS+을/JKO
제치고	제치/VV+고/EC
OECD	OECD/SL
1위가	1/SN+위/NNB+가/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.352.7.1
특히 선진국들은 업종별, 지역별로 최저임금을 차등 적용하고 있어 모든 업종에 일괄 적용하는 한국과 단순 비교하는 것은 무리가 있다는 지적도 나온다.

특히	특히/MAG
선진국들은	선진국/NNG+들/XSN+은/JX
업종별,	업종/NNG+별/XSN+,/SP
지역별로	지역/NNG+별/XSN+로/JKB
최저임금을	최저/NNG+임금/NNG+을/JKO
차등	차등/NNG
적용하고	적용/NNG+하/XSV+고/EC
있어	있/VX+어/EC
모든	모든/MMN
업종에	업종/NNG+에/JKB
일괄	일괄/NNG
적용하는	적용/NNG+하/XSV+는/ETM
한국과	한국/NNP+과/JKB
단순	단순/NNG
비교하는	비교/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
무리가	무리/NNG+가/JKS
있다는	있/VA+다는/ETM
지적도	지적/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.352.7.2
일본은 철강업, 기계제조업, 소매업 등 업종별로 최저임금이 다르고 지역별로도 차이가 있다.

일본은	일본/NNP+은/JX
철강업,	철강업/NNG+,/SP
기계제조업,	기계/NNG+제조업/NNG+,/SP
소매업	소매업/NNG
등	등/NNB
업종별로	업종/NNG+별/XSN+로/JKB
최저임금이	최저/NNG+임금/NNG+이/JKS
다르고	다르/VA+고/EC
지역별로도	지역/NNG+별/XSN+로/JKB+도/JX
차이가	차이/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000053.352.7.3
프랑스는 연령별로 다른 최저임금을 지급한다.

프랑스는	프랑스/NNP+는/JX
연령별로	연령/NNG+별/XSN+로/JKB
다른	다른/MMD
최저임금을	최저/NNG+임금/NNG+을/JKO
지급한다.	지급/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.352.7.4
캐나다도 13개 주정부가 각각 최저임금을 발표하며 연령별, 업종별로 액수가 다르다.

캐나다도	캐나다/NNP+도/JX
13개	13/SN+개/NNB
주정부가	주/NNG+정부/NNG+가/JKS
각각	각각/MAG
최저임금을	최저/NNG+임금/NNG+을/JKO
발표하며	발표/NNG+하/XSV+며/EC
연령별,	연령/NNG+별/XSN+,/SP
업종별로	업종/NNG+별/XSN+로/JKB
액수가	액수/NNG+가/JKS
다르다.	다르/VA+다/EF+./SF


# id : NWRW1800000053.352.8.1
익명을 요구한 한국경영자총협회의 한 관계자는 “외국인 근로자가 숙식비까지 받으면 내국인보다 월급이 더 많아질 수 있다”며 “최저임금이 실효성을 가지려면 산입범위(최저임금에 포함되는 임금의 범위)를 넓혀야 한다”고 지적했다.

익명을	익명/NNG+을/JKO
요구한	요구/NNG+하/XSV+ㄴ/ETM
한국경영자총협회의	한국경영자총협회/NNP+의/JKG
한	한/MMN
관계자는	관계자/NNG+는/JX
“외국인	“/SS+외국인/NNG
근로자가	근로자/NNG+가/JKS
숙식비까지	숙식비/NNG+까지/JX
받으면	받/VV+으면/EC
내국인보다	내국인/NNG+보다/JKB
월급이	월급/NNG+이/JKS
더	더/MAG
많아질	많아지/VV+ㄹ/ETM
수	수/NNB
있다”며	있/VA+다/EF+”/SS+며/EC
“최저임금이	“/SS+최저/NNG+임금/NNG+이/JKS
실효성을	실효/NNG+성/XSN+을/JKO
가지려면	가지/VV+려면/EC
산입범위(최저임금에	산입/NNG+범위/NNG+(/SS+최저/NNG+임금/NNG+에/JKB
포함되는	포함/NNG+되/XSV+는/ETM
임금의	임금/NNG+의/JKG
범위)를	범위/NNG+)/SS+를/JKO
넓혀야	넓히/VV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


