# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.130
metadata : {}


# id : NWRW1800000049.130.1.1
혹시 최근 아이의 말과 행동이 평소와 달리 거칠어졌나요

혹시	혹시/MAG
사소한 실수에 ‘죄송하다’는 말을 자주 하거나 죽음과 외로움에 대해 언급하는 것도 ‘경고 표시’ 중 하나다.

사소한	사소하/VA+ㄴ/ETM
실수에	실수/NNG+에/JKB
‘죄송하다’는	‘/SS+죄송하/VA+다/EF+’/SS+는/ETM
말을	말/NNG+을/JKO
자주	자주/MAG
하거나	하/VV+거나/EC
죽음과	죽음/NNG+과/JC
외로움에	외로움/NNG+에/JKB
대해	대하/VV+아/EC
언급하는	언급/NNG+하/XSV+는/ETM
것도	것/NNB+도/JX
‘경고	‘/SS+경고/NNG
표시’	표시/NNG+’/SS
중	중/NNB
하나다.	하나/NR+이/VCP+다/EF+./SF


# id : NWRW1800000049.130.6.3
자신이 벌을 받아야 한다는 ‘처벌 망상’이나 주변에서 벌어진 일을 과도하게 자신이 한 행동의 결과로 해석하는 ‘관계 망상’은 우울증이 심한 정도에 이르렀다는 신호일 수 있다.

자신이	자신/NNG+이/JKS
벌을	벌/NNG+을/JKO
받아야	받/VV+아야/EC
한다는	하/VX+ㄴ다는/ETM
‘처벌	‘/SS+처벌/NNG
망상’이나	망상/NNG+’/SS+이나/JC
주변에서	주변/NNG+에서/JKB
벌어진	벌어지/VV+ㄴ/ETM
일을	일/NNG+을/JKO
과도하게	과도/NNG+하/XSA+게/EC
한	하/VV+ㄴ/ETM
행동의	행동/NNG+의/JKG
결과로	결과/NNG+로/JKB
해석하는	해석/NNG+하/XSV+는/ETM
‘관계	‘/SS+관계/NNG
망상’은	망상/NNG+’/SS+은/JX
우울증이	우울증/NNG+이/JKS
심한	심하/VA+ㄴ/ETM
정도에	정도/NNG+에/JKB
이르렀다는	이르/VV+었/EP+다는/ETM
신호일	신호/NNG+이/VCP+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.130.6.4
이럴 때 덩달아 자녀에게 짜증을 내거나 야단을 치면 큰 상처를 주게 된다.

이럴	이렇/VA+ㄹ/ETM
때	때/NNG
덩달아	덩달/VV+아/EC
자녀에게	자녀/NNG+에게/JKB
짜증을	짜증/NNG+을/JKO
내거나	내/VV+거나/EC
야단을	야단/NNG+을/JKO
치면	치/VV+면/EC
큰	크/VA+ㄴ/ETM
상처를	상처/NNG+를/JKO
주게	주/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.130.7.1
청소년 우울증과 관련된 가장 잘못된 믿음은 ‘우울감에 대해 얘기하면 증상이 더 나빠지기 때문에 사춘기와 함께 자연히 사라지도록 내버려 두는 게 낫다’는 것이다.

청소년	청소년/NNG
우울증과	우울증/NNG+과/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
가장	가장/MAG
잘못된	잘못/MAG+되/XSV+ㄴ/ETM
믿음은	믿음/NNG+은/JX
‘우울감에	‘/SS+우울감/NNG+에/JKB
대해	대하/VV+아/EC
얘기하면	얘기/NNG+하/XSV+면/EC
증상이	증상/NNG+이/JKS
더	더/MAG
나빠지기	나빠지/VV+기/ETN
때문에	때문/NNB+에/JKB
사춘기와	사춘기/NNG+와/JKB
함께	함께/MAG
자연히	자연히/MAG
사라지도록	사라지/VV+도록/EC
내버려	내버리/VV+어/EC
두는	두/VX+는/ETM
게	거/NNB+이/JKS
낫다’는	낫/VA+다/EF+’/SS+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.130.7.2
우울증은 단순히 기분이 좋지 않은 정도가 아니라 두뇌의 신경전달물질과 관련된 질환이다.

우울증은	우울증/NNG+은/JX
단순히	단순히/MAG
기분이	기분/NNG+이/JKS
좋지	좋/VA+지/EC
않은	않/VX+은/ETM
정도가	정도/NNG+가/JKC
아니라	아니/VCN+라/EC
두뇌의	두뇌/NNG+의/JKG
신경전달물질과	신경/NNG+전달/NNG+물질/NNG+과/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
질환이다.	질환/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.130.7.3
적절히 치료받지 않으면 수개월 혹은 수년 동안 지속되다 극단적인 행동을 유발할 수 있다.

적절히	적절히/MAG
치료받지	치료/NNG+받/XSV+지/EC
않으면	않/VX+으면/EC
수개월	수개월/NNG
혹은	혹은/MAG
수년	수년/NNG
동안	동안/NNG
지속되다	지속/NNG+되/XSV+다/EC
극단적인	극단/NNG+적/XSN+이/VCP+ㄴ/ETM
행동을	행동/NNG+을/JKO
유발할	유발/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.130.8.1
친구나 가족과 우울한 감정에 대해 얘기하는 것은 우울증을 극복하는 첫 단계다.

친구나	친구/NNG+나/JC
가족과	가족/NNG+과/JKB
우울한	우울/NNG+하/XSA+ㄴ/ETM
감정에	감정/NNG+에/JKB
대해	대하/VV+아/EC
얘기하는	얘기/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
우울증을	우울증/NNG+을/JKO
극복하는	극복/NNG+하/XSV+는/ETM
첫	첫/MMN
단계다.	단계/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.130.8.2
증상이 지속되면 꼭 정신건강의학과를 방문해 정식으로 검사를 받아야 하고, 일상생활이나 학업에 지장을 줄 정도로 심각해지면 항우울제 복용을 고려해야 한다.

증상이	증상/NNG+이/JKS
지속되면	지속/NNG+되/XSV+면/EC
꼭	꼭/MAG
정신건강의학과를	정신/NNG+건강/NNG+의학과/NNG+를/JKO
방문해	방문/NNG+하/XSV+아/EC
정식으로	정식/NNG+으로/JKB
검사를	검사/NNG+를/JKO
받아야	받/VV+아야/EC
하고,	하/VX+고/EC+,/SP
일상생활이나	일상생활/NNG+이나/JC
학업에	학업/NNG+에/JKB
지장을	지장/NNG+을/JKO
줄	주/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
심각해지면	심각하/VA+아/EC+지/VX+면/EC
항우울제	항우울제/NNG
복용을	복용/NNG+을/JKO
고려해야	고려/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000049.130.8.3
무엇보다도 가족 등 주변 사람이 청소년과 함께 우울증이 생각과 행동에 미치는 영향에 대해 공부하고 치료를 잘 받고 있는지 관심을 가져주는 게 중요하다.

무엇보다도	무엇/NP+보다/JKB+도/JX
가족	가족/NNG
등	등/NNB
주변	주변/NNG
사람이	사람/NNG+이/JKS
청소년과	청소년/NNG+과/JKB
함께	함께/MAG
우울증이	우울증/NNG+이/JKS
생각과	생각/NNG+과/JC
행동에	행동/NNG+에/JKB
미치는	미치/VV+는/ETM
영향에	영향/NNG+에/JKB
대해	대하/VV+아/EC
공부하고	공부/NNG+하/XSV+고/EC
치료를	치료/NNG+를/JKO
잘	잘/MAG
받고	받/VV+고/EC
있는지	있/VX+는지/EC
관심을	관심/NNG+을/JKO
가져주는	가져주/VV+는/ETM
게	거/NNB+이/JKS
중요하다.	중요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000049.130.9.1
생명보험사회공헌재단은 서울시교육청, 중앙자살예방센터와 함께 청소년 예방 지원 사업을 벌이고 있다.

생명보험사회공헌재단은	생명/NNG+보험/NNG+사회/NNG+공헌/NNG+재단/NNG+은/JX
서울시교육청,	서울시교육청/NNP+,/SP
중앙자살예방센터와	중앙/NNG+자살/NNG+예방/NNG+센터/NNG+와/JKB
함께	함께/MAG
청소년	청소년/NNG
예방	예방/NNG
지원	지원/NNG
사업을	사업/NNG+을/JKO
벌이고	벌이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.130.9.2
미술치료와 연극치료, 생명존중 연극 관람엔 4428명이 참가했고, 우울증 위험을 조기에 진단하기 위한 교우관계검사는 5199명이 받았다.

미술치료와	미술/NNG+치료/NNG+와/JC
연극치료,	연극/NNG+치료/NNG+,/SP
생명존중	생명/NNG+존중/NNG
연극	연극/NNG
관람엔	관람/NNG+에/JKB+ㄴ/JX
4428명이	4428/SN+명/NNB+이/JKS
참가했고,	참가/NNG+하/XSV+았/EP+고/EC+,/SP
우울증	우울증/NNG
위험을	위험/NNG+을/JKO
조기에	조기/NNG+에/JKB
진단하기	진단/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
교우관계검사는	교우/NNG+관계/NNG+검사/NNG+는/JX
5199명이	5199/SN+명/NNB+이/JKS
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.130.9.3
자살 예방과 스트레스 관리를 위해 초등학생을 상대로 실시하는 인성 교육엔 1만2780명이 참여했다.

자살	자살/NNG
예방과	예방/NNG+과/JC
스트레스	스트레스/NNG
관리를	관리/NNG+를/JKO
위해	위하/VV+아/EC
초등학생을	초등학생/NNG+을/JKO
상대로	상대/NNG+로/JKB
실시하는	실시/NNG+하/XSV+는/ETM
인성	인성/NNG
교육엔	교육/NNG+에/JKB+ㄴ/JX
1만2780명이	1/SN+만/NR+2780/SN+명/NNB+이/JKS
참여했다.	참여/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.130.9.4
재단 관계자는 “지난 2주 동안 슬프거나 화나는 기분이 지속되는 등 우울증 의심 증상에 시달렸다면 중앙자살예방센터(02-2203-0053)나 정신건강위기 상담전화(1577-0199)로 전화해 달라”고 말했다.

재단	재단/NNG
관계자는	관계자/NNG+는/JX
“지난	“/SS+지나/VV+ㄴ/ETM
2주	2/SN+주/NNB
동안	동안/NNG
슬프거나	슬프/VA+거나/EC
화나는	화나/VV+는/ETM
기분이	기분/NNG+이/JKS
지속되는	지속/NNG+되/XSV+는/ETM
등	등/NNB
우울증	우울증/NNG
의심	의심/NNG
증상에	증상/NNG+에/JKB
시달렸다면	시달리/VV+었/EP+다면/EC
중앙자살예방센터(02-2203-0053)나	중앙/NNG+자살/NNG+예방/NNG+센터/NNG+(/SS+02/SN+-/SO+2203/SN+-/SO+0053/SN+)/SS+나/JC
정신건강위기	정신/NNG+건강/NNG+위기/NNG
상담전화(1577-0199)로	상담/NNG+전화/NNG+(/SS+1577/SN+-/SO+0199/SN+)/SS+로/JKB
전화해	전화/NNG+하/XSV+아/EC
달라”고	달/VX+라/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


