# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.68
metadata : {}


# id : NWRW1800000032.68.1.1
한진중, 노·사합의 뒤 첫 선박 수주

한진중,	한진중/NNP+,/SP
# id : NWRW1800000032.68.8.1
조선·해운 시황 전문기관인 ‘클라크슨’이 집계한 자료를 보면, 지난달 기준으로 한진중공업 영도조선소의 수주잔량은 17만1000CGT(표준화물선 환산톤수)로 세계 조선업체 순위 117위로 밀려났다.

조선·해운	조선/NNG+·/SP+해운/NNG
시황	시황/NNG
전문기관인	전문/NNG+기관/NNG+이/VCP+ㄴ/ETM
‘클라크슨’이	‘/SS+클라크슨/NNP+’/SS+이/JKS
집계한	집계/NNG+하/XSV+ㄴ/ETM
자료를	자료/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
지난달	지난달/NNG
기준으로	기준/NNG+으로/JKB
한진중공업	한진중공업/NNP
영도조선소의	영도조선소/NNP+의/JKG
수주잔량은	수주/NNG+잔량/NNG+은/JX
17만1000CGT(표준화물선	17/SN+만/NR+1000/SN+CGT/SL+(/SS+표준/NNG+화물선/NNG
환산톤수)로	환산/NNG+톤수/NNG+)/SS+로/JKB
세계	세계/NNG
조선업체	조선업체/NNG
순위	순위/NNG
117위로	117/SN+위/NNB+로/JKB
밀려났다.	밀려나/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.68.8.2
영도조선소의 수주잔량은 2008년 말만 하더라도 148만CGT에 이르렀고, 순위도 20위 안쪽이었다.

영도조선소의	영도조선소/NNP+의/JKG
수주잔량은	수주/NNG+잔량/NNG+은/JX
2008년	2008/SN+년/NNB
말만	말/NNB+만/JX
하더라도	하/VV+더라도/EC
148만CGT에	148/SN+만/NR+CGT/SL+에/JKB
이르렀고,	이르/VV+었/EP+고/EC+,/SP
순위도	순위/NNG+도/JX
20위	20/SN+위/NNB
안쪽이었다.	안쪽/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000032.68.9.1
한진중공업 관계자는 “방위사업청 발주는 건조의향서 체결 없이 바로 본계약으로 이어질 것”이라며 “아직 연말 비수기라서 일반 상선 쪽에서 본격적인 수주 소식이 들려오진 않지만 좋은 결과가 나올 걸로 기대한다”고 말했다.

한진중공업	한진중공업/NNP
관계자는	관계자/NNG+는/JX
“방위사업청	“/SS+방위/NNG+사업청/NNG
발주는	발주/NNG+는/JX
건조의향서	건조/NNG+의향서/NNG
체결	체결/NNG
없이	없이/MAG
바로	바로/MAG
본계약으로	본계약/NNG+으로/JKB
이어질	이어지/VV+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“아직	“/SS+아직/MAG
연말	연말/NNG
비수기라서	비수기/NNG+이/VCP+라서/EC
일반	일반/NNG
상선	상선/NNG
쪽에서	쪽/NNB+에서/JKB
본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
수주	수주/NNG
소식이	소식/NNG+이/JKS
들려오진	들려오/VV+지/EC+ㄴ/JX
않지만	않/VX+지만/EC
좋은	좋/VA+은/ETM
결과가	결과/NNG+가/JKS
나올	나오/VV+ㄹ/ETM
걸로	거/NNB+ㄹ로/JKB
기대한다”고	기대/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.68.9.2
한진중공업은 현재 회사 내부적으로 내년도 사업계획을 세우는 중이다.

한진중공업은	한진중공업/NNP+은/JX
현재	현재/MAG
회사	회사/NNG
내부적으로	내부/NNG+적/XSN+으로/JKB
내년도	내년도/NNG
사업계획을	사업/NNG+계획/NNG+을/JKO
세우는	세우/VV+는/ETM
중이다.	중/NNB+이/VCP+다/EF+./SF


