# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.299
metadata : {}


# id : NWRW1800000025.299.1.1
[부동산 캘린더]수원 이목동 ‘STX칸’ 등 4곳 청약

[부동산	[/SS+부동산/NNG
거리다.	거리/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.299.5.1
29일 한국토지주택공사(LH)는 충남 연기군 세종시 첫마을의 ‘퍼스트프라임’ 모델하우스를 연다.

29일	29/SN+일/NNB
한국토지주택공사(LH)는	한국토지주택공사/NNP+(/SS+LH/SL+)/SS+는/JX
충남	충남/NNP
연기군	연기군/NNP
세종시	세종시/NNP
첫마을의	첫마을/NNP+의/JKG
‘퍼스트프라임’	‘/SS+퍼스트프라임/NNP+’/SS
모델하우스를	모델하우스/NNG+를/JKO
연다.	열/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.299.5.2
지하 2층, 지상 29층, 24개 동에 59∼149m² 1582채로 구성된다.

지하	지하/NNG
2층,	2/SN+층/NNG+,/SP
지상	지상/NNG
29층,	29/SN+층/NNG+,/SP
24개	24/SN+개/NNB
동에	동/NNB+에/JKB
59∼149m²	59/SN+∼/SO+149/SN+m²/SW
1582채로	1582/SN+채/NNB+로/JKB
구성된다.	구성/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.299.5.3
충남 공주시와 연기군 주민들에게 일부 물량이 우선 배정될 예정이다.

충남	충남/NNP
공주시와	공주시/NNP+와/JC
연기군	연기군/NNP
주민들에게	주민/NNG+들/XSN+에게/JKB
일부	일부/NNG
물량이	물량/NNG+이/JKS
우선	우선/MAG
배정될	배정/NNG+되/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.299.6.1
같은 날 한라건설은 충북 청주시 상당구 용정지구 ‘한라비발디’의 모델하우스를 연다.

같은	같/VA+은/ETM
날	날/NNG
한라건설은	한라건설/NNP+은/JX
충북	충북/NNP
청주시	청주시/NNP
상당구	상당구/NNP
용정지구	용정지구/NNP
‘한라비발디’의	‘/SS+한라비발디/NNP+’/SS+의/JKG
모델하우스를	모델하우스/NNG+를/JKO
연다.	열/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.299.6.2
지하 2층, 지상 25층, 16개 동에 84∼134m² 1400채가 들어선다.

지하	지하/NNG
2층,	2/SN+층/NNG+,/SP
지상	지상/NNG
25층,	25/SN+층/NNG+,/SP
16개	16/SN+개/NNB
동에	동/NNB+에/JKB
84∼134m²	84/SN+∼/SO+134/SN+m²/SW
1400채가	1400/SN+채/NNB+가/JKS
들어선다.	들어서/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.299.6.3
대원도 청주시 상당구 율량2지구 B-1블록에서 대원칸타빌의 모델하우스를 연다.

대원도	대원/NNG+도/JX
청주시	청주시/NNP
상당구	상당구/NNP
율량2지구	율량2지구/NNP
B-1블록에서	B/SL+-/SO+1/SN+블록/NNG+에서/JKB
대원칸타빌의	대원칸타빌/NNP+의/JKG
모델하우스를	모델하우스/NNG+를/JKO
연다.	열/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.299.6.4
지하 2층, 지상 25층, 10개동에 84m² 903채가 들어선다.

지하	지하/NNG
2층,	2/SN+층/NNG+,/SP
지상	지상/NNG
25층,	25/SN+층/NNG+,/SP
10개동에	10/SN+개/NNB+동/NNB+에/JKB
84m²	84/SN+m²/SW
903채가	903/SN+채/NNB+가/JKS
들어선다.	들어서/VV+ㄴ다/EF+./SF


