# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.215
metadata : {}


# id : NWRW1800000032.215.1.1
‘한화 재무통’ 홍동옥사장 영장 재청구

‘한화	‘/SS+한화/NNP
포함됐다.	포함/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000032.215.6.1
검찰은 지난해 12월 그룹 비자금을 관리하며 김 회장이 소유한 회사를 부당지원한 혐의로 홍 사장의 구속영장을 청구했다 기각당한 바 있다.

검찰은	검찰/NNG+은/JX
지난해	지난해/NNG
12월	12/SN+월/NNB
그룹	그룹/NNG
비자금을	비자금/NNG+을/JKO
관리하며	관리/NNG+하/XSV+며/EC
김	김/NNP
회장이	회장/NNG+이/JKS
소유한	소유/NNG+하/XSV+ㄴ/ETM
회사를	회사/NNG+를/JKO
부당지원한	부당/NNG+지원/NNG+하/XSV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
홍	홍/NNP
사장의	사장/NNG+의/JKG
구속영장을	구속/NNG+영장/NNG+을/JKO
청구했다	청구/NNG+하/XSV+았/EP+다/EC
기각당한	기각/NNG+당하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000032.215.7.1
이날 홍 사장과 함께 영장이 청구된 김 대표 등은 2005~2006년 한화 계열사의 땅을 김 회장이 100% 차명으로 소유한 업체에 저가로 매각하거나, 김 회장의 부동산을 고가로 매각하는 등의 방법으로 회사에 2000억원가량의 손해를 끼친 혐의를 받고 있다.

이날	이날/NNG
홍	홍/NNP
사장과	사장/NNG+과/JKB
함께	함께/MAG
영장이	영장/NNG+이/JKS
청구된	청구/NNG+되/XSV+ㄴ/ETM
김	김/NNP
대표	대표/NNG
등은	등/NNB+은/JX
2005~2006년	2005/SN+~/SO+2006/SN+년/NNB
한화	한화/NNP
계열사의	계열사/NNG+의/JKG
땅을	땅/NNG+을/JKO
회장이	회장/NNG+이/JKS
100%	100/SN+%/SW
차명으로	차명/NNG+으로/JKB
소유한	소유/NNG+하/XSV+ㄴ/ETM
업체에	업체/NNG+에/JKB
저가로	저가/NNG+로/JKB
매각하거나,	매각/NNG+하/XSV+거나/EC+,/SP
회장의	회장/NNG+의/JKG
부동산을	부동산/NNG+을/JKO
고가로	고가/NNG+로/JKB
매각하는	매각/NNG+하/XSV+는/ETM
등의	등/NNB+의/JKG
방법으로	방법/NNG+으로/JKB
회사에	회사/NNG+에/JKB
2000억원가량의	2000/SN+억/NR+원/NNB+가량/XSN+의/JKG
손해를	손해/NNG+를/JKO
끼친	끼치/VV+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


