# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.332
metadata : {}


# id : NWRW1800000022.332.1.1
[인천ㆍ부천]인천 입시학원 증가율 전국 최고

[인천ㆍ부천]인천	[/SS+인천/NNP+ㆍ/SP+부천/NNP+]/SS+인천/NNP
인천(3377곳)	인천/NNP+(/SS+3377/SN+곳/NNG+)/SS
등	등/NNB
순이다.	순/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.332.5.1
하지만 2008년에 비해 2009년에 이들 학원 숫자가 늘어난 비율로 따져보면 대구가 6.21%로 전국에서 가장 높고, 다음은 인천(5.17%), 광주(4.69%), 경북(4.12%), 경기(3.51%) 순이다.

하지만	하지만/MAJ
2008년에	2008/SN+년/NNB+에/JKB
비해	비/NNG+하/XSV+아/EC
2009년에	2009/SN+년/NNB+에/JKB
이들	이/NP+들/XSN
학원	학원/NNG
숫자가	숫자/NNG+가/JKS
늘어난	늘어나/VV+ㄴ/ETM
비율로	비율/NNG+로/JKB
따져보면	따지/VV+어/EC+보/VX+면/EC
대구가	대구/NNP+가/JKS
6.21%로	6/SN+./SP+21/SN+%/SW+로/JKB
전국에서	전국/NNG+에서/JKB
가장	가장/MAG
높고,	높/VA+고/EC+,/SP
다음은	다음/NNG+은/JX
인천(5.17%),	인천/NNP+(/SS+5/SN+./SP+17/SN+%/SW+)/SS+,/SP
광주(4.69%),	광주/NNP+(/SS+4/SN+./SP+69/SN+%/SW+)/SS+,/SP
경북(4.12%),	경북/NNP+(/SS+4/SN+./SP+12/SN+%/SW+)/SS+,/SP
경기(3.51%)	경기/NNP+(/SS+3/SN+./SP+51/SN+%/SW+)/SS
순이다.	순/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.332.6.1
특히 이들 학원 가운데 입시·검정·보습 등 입시와 직결된 학원수만 따지면 지난해에 비해 올해 늘어난 비율로 볼 때 인천이 10.64%로 전국에서 가장 높다.

특히	특히/MAG
이들	이/NP+들/XSN
학원	학원/NNG
가운데	가운데/NNG
입시·검정·보습	입시/NNG+·/SP+검정/NNG+·/SP+보습/NNG
등	등/NNB
입시와	입시/NNG+와/JKB
직결된	직결/NNG+되/XSV+ㄴ/ETM
학원수만	학원/NNG+수/NNG+만/JX
따지면	따지/VV+면/EC
지난해에	지난해/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
올해	올해/NNG
늘어난	늘어나/VV+ㄴ/ETM
비율로	비율/NNG+로/JKB
볼	보/VV+ㄹ/ETM
때	때/NNG
인천이	인천/NNP+이/JKS
10.64%로	10/SN+./SP+64/SN+%/SW+로/JKB
전국에서	전국/NNG+에서/JKB
가장	가장/MAG
높다.	높/VA+다/EF+./SF


# id : NWRW1800000022.332.6.2
인천 다음으로는 광주(7.7%), 대구(7.51%), 경기(7.31%)의 순이고 전국 평균치는 4.87%다.

인천	인천/NNP
다음으로는	다음/NNG+으로/JKB+는/JX
광주(7.7%),	광주/NNP+(/SS+7/SN+./SP+7/SN+%/SW+)/SS+,/SP
대구(7.51%),	대구/NNP+(/SS+7/SN+./SP+51/SN+%/SW+)/SS+,/SP
경기(7.31%)의	경기/NNP+(/SS+7/SN+./SP+31/SN+%/SW+)/SS+의/JKG
순이고	순/NNB+이/VCP+고/EC
전국	전국/NNG
평균치는	평균/NNG+치/XSN+는/JX
4.87%다.	4/SN+./SP+87/SN+%/SW+이/VCP+다/EF+./SF


