# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.287
metadata : {}


# id : NWRW1800000048.287.1.1
‘죽기 전 고향 땅으로…’ 고령 이산가족들, 성묘 방북 추진 나서

‘죽기	‘/SS+죽/VV+기/ETN
70여명이	70/SN+여/XSN+명/NNB+이/JKS
참여한다.	참여/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.287.5.1
통일부 이산가족정보통합시스템을 보면, 2000년 남북 이산가족 상봉을 시작한 뒤로 올해 7월까지 상봉 신청을 한 이산가족 12만9698명 가운데 6만3406명이 세상을 떠났다.

통일부	통일부/NNG
이산가족정보통합시스템을	이산가족/NNG+정보/NNG+통합/NNG+시스템/NNG+을/JKO
보면,	보/VV+면/EC+,/SP
2000년	2000/SN+년/NNB
남북	남북/NNP
이산가족	이산가족/NNG
상봉을	상봉/NNG+을/JKO
시작한	시작/NNG+하/XSV+ㄴ/ETM
뒤로	뒤/NNG+로/JKB
올해	올해/NNG
7월까지	7/SN+월/NNB+까지/JX
상봉	상봉/NNG
신청을	신청/NNG+을/JKO
한	하/VV+ㄴ/ETM
12만9698명	12/SN+만/NR+9698/SN+명/NNB
가운데	가운데/NNG
6만3406명이	6/SN+만/NR+3406/SN+명/NNB+이/JKS
세상을	세상/NNG+을/JKO
떠났다.	떠나/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.287.5.2
마지막 상봉이 이뤄진 2014년 2월(19차 상봉) 이후에만 4807명이 숨졌다.

마지막	마지막/NNG
상봉이	상봉/NNG+이/JKS
이뤄진	이뤄지/VV+ㄴ/ETM
2014년	2014/SN+년/NNB
2월(19차	2/SN+월/NNB+(/SS+19/SN+차/NNB
상봉)	상봉/NNG+)/SS
이후에만	이후/NNG+에/JKB+만/JX
4807명이	4807/SN+명/NNB+이/JKS
숨졌다.	숨지/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.287.6.1
생존자(6만6292명) 가운데 80살 이상 고령자는 54.3%(3만5997명)에 이른다.

생존자(6만6292명)	생존자/NNG+(/SS+6/SN+만/NR+6292/SN+명/NNB+)/SS
가운데	가운데/NNG
80살	80/SN+살/NNB
이상	이상/NNG
고령자는	고령자/NNG+는/JX
54.3%(3만5997명)에	54/SN+./SP+3/SN+%/SW+(/SS+3/SN+만/NR+5997/SN+명/NNB+)/SS+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.287.6.2
그러나 2000년 이후 이뤄진 19차례 이산가족 상봉을 통해 가족을 만난 사람은 1956명뿐이다.

그러나	그러나/MAJ
2000년	2000/SN+년/NNB
이후	이후/NNG
이뤄진	이뤄지/VV+ㄴ/ETM
19차례	19/SN+차례/NNG
이산가족	이산가족/NNG
상봉을	상봉/NNG+을/JKO
통해	통하/VV+아/EC
가족을	가족/NNG+을/JKO
만난	만나/VV+ㄴ/ETM
사람은	사람/NNG+은/JX
1956명뿐이다.	1956/SN+명/NNB+뿐/JX+이/VCP+다/EF+./SF


# id : NWRW1800000048.287.6.3
이동복 추진위 집행위원장은 “(남북 정부가 추진한) 상봉이 이산가족 문제 해결에 얼마나 기여했는지를 생각해보면 허무하다.

이동복	이동복/NNP
추진위	추진위/NNG
집행위원장은	집행/NNG+위원장/NNG+은/JX
“(남북	“/SS+(/SS+남북/NNP
정부가	정부/NNG+가/JKS
추진한)	추진/NNG+하/XSV+ㄴ/ETM+)/SS
상봉이	상봉/NNG+이/JKS
이산가족	이산가족/NNG
문제	문제/NNG
해결에	해결/NNG+에/JKB
얼마나	얼마나/MAG
기여했는지를	기여/NNG+하/XSV+았/EP+는지/EF+를/JKO
생각해보면	생각/NNG+하/XSV+아/EC+보/VX+면/EC
허무하다.	허무/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000048.287.6.4
불확실한 상봉에 목을 매기보다, 실향민들의 고향 땅 방문의 길을 하루라도 빨리 여는 것이 시급하다”고 추진 이유를 밝혔다.

불확실한	불확실/NNG+하/XSA+ㄴ/ETM
상봉에	상봉/NNG+에/JKB
목을	목/NNG+을/JKO
매기보다,	매/VV+기/ETN+보다/JKB+,/SP
실향민들의	실향민/NNG+들/XSN+의/JKG
고향	고향/NNG
땅	땅/NNG
방문의	방문/NNG+의/JKG
길을	길/NNG+을/JKO
하루라도	하루/NNG+이/VCP+라도/EC
빨리	빨리/MAG
여는	열/VV+는/ETM
것이	것/NNB+이/JKS
시급하다”고	시급하/VA+다/EF+”/SS+고/JKQ
추진	추진/NNG
이유를	이유/NNG+를/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.287.6.5
추진위는 이번 방북 결과에 따라 함경남도 함흥, 평양, 황해도 사리원, 강원도 통천 등을 대상으로도 성묘 방북 신청을 확대하기로 했다.

추진위는	추진위/NNG+는/JX
이번	이번/NNG
방북	방북/NNG
결과에	결과/NNG+에/JKB
따라	따르/VV+아/EC
함경남도	함경남도/NNP
함흥,	함흥/NNP+,/SP
평양,	평양/NNP+,/SP
황해도	황해도/NNP
사리원,	사리원/NNP+,/SP
강원도	강원도/NNP
통천	통천/NNP
등을	등/NNB+을/JKO
대상으로도	대상/NNG+으로/JKB+도/JX
성묘	성묘/NNG
신청을	신청/NNG+을/JKO
확대하기로	확대/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.287.7.1
이에 대해 통일부 관계자는 “(추진위의) 신청이 오면 ‘남북교류협력에 관한 법률’의 절차에 따라 방북 신청에 대해 검토하겠다”고 했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
통일부	통일부/NNG
관계자는	관계자/NNG+는/JX
“(추진위의)	“/SS+(/SS+추진위/NNG+의/JKG+)/SS
신청이	신청/NNG+이/JKS
오면	오/VV+면/EC
‘남북교류협력에	‘/SS+남북/NNP+교류/NNG+협력/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법률’의	법률/NNG+’/SS+의/JKG
절차에	절차/NNG+에/JKB
따라	따르/VV+아/EC
방북	방북/NNG
신청에	신청/NNG+에/JKB
검토하겠다”고	검토/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


