# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.75
metadata : {}


# id : NWRW1800000046.75.1.1
공연티켓 1+1 사업 한 달… 효과는 '글쎄'

공연티켓	공연/NNG+티켓/NNG
늘어나게	늘어나/VV+게/EC
되고,	되/VV+고/EC+,/SP
제작사의	제작사/NNG+의/JKG
매출은	매출/NNG+은/JX
훨씬	훨씬/MAG
되리라는	되/VV+리라는/ETM
계산이었다.	계산/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.75.5.1
그러나 300억원의 추경예산이 투입된 이 사업은 이달 초까지 예산 집행률이 7.5%에 불과했다.

그러나	그러나/MAJ
300억원의	300/SN+억/NR+원/NNB+의/JKG
추경예산이	추경/NNG+예산/NNG+이/JKS
투입된	투입/NNG+되/XSV+ㄴ/ETM
이	이/MMD
사업은	사업/NNG+은/JX
이달	이달/NNG
초까지	초/NNB+까지/JX
예산	예산/NNG
집행률이	집행/NNG+률/XSN+이/JKS
7.5%에	7/SN+./SP+5/SN+%/SW+에/JKB
불과했다.	불과/MAG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000046.75.5.2
초창기라는 점을 감안해도 호응이 너무 낮아 "티켓 상한선을 5만원에서 7만원으로 올려야 한다"는 말까지 나오고 있다.

초창기라는	초창기/NNG+이/VCP+라는/ETM
점을	점/NNG+을/JKO
감안해도	감안/NNG+하/XSV+아도/EC
호응이	호응/NNG+이/JKS
너무	너무/MAG
낮아	낮/VA+아/EC
"티켓	"/SS+티켓/NNG
상한선을	상한선/NNG+을/JKO
5만원에서	5/SN+만/NR+원/NNB+에서/JKB
7만원으로	7/SN+만/NR+원/NNB+으로/JKB
올려야	올리/VV+어야/EC
한다"는	하/VX+ㄴ다/EF+"/SS+는/ETM
말까지	말/NNG+까지/JX
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.75.6.1
공연계에선 "메르스 피해 정도를 정교하게 살피지 않은 채 모든 공연에 동일한 지원을 하고 있기 때문에 지원 효과가 제대로 나타나지 않는 것"이란 지적이 나오고 있다.

공연계에선	공연/NNG+계/XSN+에서/JKB+ㄴ/JX
"메르스	"/SS+메르스/NNG
피해	피해/NNG
정도를	정도/NNG+를/JKO
정교하게	정교하/VA+게/EC
살피지	살피/VV+지/EC
않은	않/VX+은/ETM
채	채/NNB
모든	모든/MMN
공연에	공연/NNG+에/JKB
동일한	동일/NNG+하/XSA+ㄴ/ETM
지원을	지원/NNG+을/JKO
하고	하/VV+고/EC
있기	있/VX+기/ETN
때문에	때문/NNB+에/JKB
지원	지원/NNG
효과가	효과/NNG+가/JKS
제대로	제대로/MAG
나타나지	나타나/VV+지/EC
않는	않/VX+는/ETM
것"이란	것/NNB+"/SS+이/VCP+란/ETM
지적이	지적/NNG+이/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.75.6.2
메르스가 대형 뮤지컬 시장에는 상대적으로 큰 영향을 미치지 않은 반면, 아동극이나 관광객의 비중이 많은 논버벌 퍼포먼스(비언어극) 등에는 치명적인 타격을 입혔는데도, 1+1 사업은 이 차이를 외면했다는 것이다.

메르스가	메르스/NNG+가/JKS
대형	대형/NNG
뮤지컬	뮤지컬/NNG
시장에는	시장/NNG+에/JKB+는/JX
상대적으로	상대/NNG+적/XSN+으로/JKB
큰	크/VA+ㄴ/ETM
영향을	영향/NNG+을/JKO
미치지	미치/VV+지/EC
않은	않/VX+은/ETM
반면,	반면/NNG+,/SP
아동극이나	아동극/NNG+이나/JC
관광객의	관광객/NNG+의/JKG
비중이	비중/NNG+이/JKS
많은	많/VA+은/ETM
논버벌	논버벌/NNG
퍼포먼스(비언어극)	퍼포먼스/NNG+(/SS+비언어극/NNG+)/SS
등에는	등/NNB+에/JKB+는/JX
치명적인	치명/NNG+적/XSN+이/VCP+ㄴ/ETM
타격을	타격/NNG+을/JKO
입혔는데도,	입히/VV+었/EP+는데/EC+도/JX+,/SP
1+1	1/SN++/SW+1/SN
사업은	사업/NNG+은/JX
이	이/MMD
차이를	차이/NNG+를/JKO
외면했다는	외면/NNG+하/XSV+았/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.75.6.3
한 아동극 제작자는 "많은 아동극이 공연 자체를 취소한 상황인데 어떻게 '1+1' 지원을 받을 수 있겠느냐"고 말했다.

한	한/MMN
아동극	아동극/NNG
제작자는	제작자/NNG+는/JX
"많은	"/SS+많/VA+은/ETM
아동극이	아동극/NNG+이/JKS
공연	공연/NNG
자체를	자체/NNG+를/JKO
취소한	취소/NNG+하/XSV+ㄴ/ETM
상황인데	상황/NNG+이/VCP+ㄴ데/EC
어떻게	어떻/VA+게/EC
'1+1'	'/SS+1/SN++/SW+1/SN+'/SS
지원을	지원/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있겠느냐"고	있/VA+겠/EP+느냐/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.75.7.1
오히려 대형 뮤지컬이 '1+1'의 수혜자가 되는 현상도 나타나고 있다, 일부 대형 뮤지컬이 '5만원 이하 티켓이 할인 대상'이라는 기준에 맞추기 위해 10만원이 넘는 티켓을 5만원으로 할인했기 때문이다.

오히려	오히려/MAG
대형	대형/NNG
뮤지컬이	뮤지컬/NNG+이/JKS
'1+1'의	'/SS+1/SN++/SW+1/SN+'/SS+의/JKG
수혜자가	수혜자/NNG+가/JKC
되는	되/VV+는/ETM
현상도	현상/NNG+도/JX
나타나고	나타나/VV+고/EC
있다,	있/VX+다/EF+,/SP
일부	일부/NNG
'5만원	'/SS+5/SN+만/NR+원/NNB
이하	이하/NNG
티켓이	티켓/NNG+이/JKS
할인	할인/NNG
대상'이라는	대상/NNG+'/SS+이/VCP+라는/ETM
기준에	기준/NNG+에/JKB
맞추기	맞추/VV+기/ETN
위해	위하/VV+아/EC
10만원이	10/SN+만/NR+원/NNB+이/JKS
넘는	넘/VV+는/ETM
티켓을	티켓/NNG+을/JKO
5만원으로	5/SN+만/NR+원/NNB+으로/JKB
할인했기	할인/NNG+하/XSV+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.75.7.2
유기홍 새정치민주연합 의원이 최근 문화체육관광부로부터 제출받은 국정감사 자료에 따르면, 전체 1+1 티켓 판매액 중 대형 뮤지컬인 '엘리자벳'과 '맨 오브 라 만차'의 비중이 25.6%에 달했다.

유기홍	유기홍/NNP
새정치민주연합	새정치민주연합/NNP
의원이	의원/NNG+이/JKS
최근	최근/MAG
문화체육관광부로부터	문화/NNG+체육/NNG+관광부/NNG+로부터/JKB
제출받은	제출/NNG+받/XSV+은/ETM
국정감사	국정/NNG+감사/NNG
자료에	자료/NNG+에/JKB
따르면,	따르/VV+면/EC+,/SP
전체	전체/NNG
1+1	1/SN++/SW+1/SN
티켓	티켓/NNG
판매액	판매액/NNG
중	중/NNB
대형	대형/NNG
뮤지컬인	뮤지컬/NNG+이/VCP+ㄴ/ETM
'엘리자벳'과	'/SS+엘리자벳/NNP+'/SS+과/JC
'맨	'/SS+맨/NNP
오브	오브/NNP
라	라/NNP
만차'의	만차/NNP+'/SS+의/JKG
비중이	비중/NNG+이/JKS
25.6%에	25/SN+./SP+6/SN+%/SW+에/JKB
달했다.	달하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.75.7.3
반면 연극 공연은 1+1 티켓 대상 공연 99개 중 44개가 선정됐으나 결제 금액의 22.6%를 차지하는 데 그쳤다.

반면	반면/NNG
연극	연극/NNG
공연은	공연/NNG+은/JX
1+1	1/SN++/SW+1/SN
티켓	티켓/NNG
대상	대상/NNG
공연	공연/NNG
99개	99/SN+개/NNB
중	중/NNB
44개가	44/SN+개/NNB+가/JKS
선정됐으나	선정/NNG+되/XSV+었/EP+으나/EC
결제	결제/NNG
금액의	금액/NNG+의/JKG
22.6%를	22/SN+./SP+6/SN+%/SW+를/JKO
차지하는	차지/NNG+하/XSV+는/ETM
데	데/NNB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.75.8.1
이 밖에 ▲공연을 혼자서 보는 기존 마니아 관객층에 대한 혜택이 전혀 없다는 것 ▲1+1 티켓 예매처가 인터파크로 일원화된 것도 문제로 지적되고 있다.

이	이/MMD
밖에	밖/NNG+에/JKB
▲공연을	▲/SW+공연/NNG+을/JKO
혼자서	혼자/NNG+서/JKS
보는	보/VV+는/ETM
기존	기존/NNG
마니아	마니아/NNG
관객층에	관객/NNG+층/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
혜택이	혜택/NNG+이/JKS
전혀	전혀/MAG
없다는	없/VA+다는/ETM
것	것/NNB
▲1+1	▲/SW+1/SN++/SW+1/SN
티켓	티켓/NNG
예매처가	예매처/NNG+가/JKS
인터파크로	인터파크/NNP+로/JKB
일원화된	일원/NNG+화/XSN+되/XSV+ㄴ/ETM
것도	것/NNB+도/JX
문제로	문제/NNG+로/JKB
지적되고	지적/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.75.8.2
1+1 티켓 사업이 끝난 뒤 할인 혜택에 익숙해진 관객이 오히려 공연을 외면하는 현상이 나타날 우려도 있다.

1+1	1/SN++/SW+1/SN
티켓	티켓/NNG
사업이	사업/NNG+이/JKS
끝난	끝나/VV+ㄴ/ETM
뒤	뒤/NNG
할인	할인/NNG
혜택에	혜택/NNG+에/JKB
익숙해진	익숙하/VA+아/EC+지/VX+ㄴ/ETM
관객이	관객/NNG+이/JKS
오히려	오히려/MAG
공연을	공연/NNG+을/JKO
외면하는	외면/NNG+하/XSV+는/ETM
현상이	현상/NNG+이/JKS
나타날	나타나/VV+ㄹ/ETM
우려도	우려/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.75.8.3
공연 관계자 B씨는 "'티켓 한 장 더 사준다'는 시혜성 정책보다는 기초예술을 살리려는 치밀한 조사와 계획을 통해 공연계를 제대로 지원할 필요가 있다"고 말했다.

공연	공연/NNG
관계자	관계자/NNG
B씨는	B/SL+씨/NNB+는/JX
"'티켓	"/SS+'/SS+티켓/NNG
한	한/MMN
장	장/NNB
더	더/MAG
사준다'는	사/VV+아/EC+주/VX+ㄴ다/EF+'/SS+는/ETM
시혜성	시혜/NNG+성/XSN
정책보다는	정책/NNG+보다/JKB+는/JX
기초예술을	기초/NNG+예술/NNG+을/JKO
살리려는	살리/VV+려는/ETM
치밀한	치밀하/VA+ㄴ/ETM
조사와	조사/NNG+와/JC
계획을	계획/NNG+을/JKO
통해	통하/VV+아/EC
공연계를	공연/NNG+계/XSN+를/JKO
제대로	제대로/MAG
지원할	지원/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


