# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.335
metadata : {}


# id : NWRW1800000044.335.1.1
‘초박빙’ 박근혜-문재인 마지막 TV토론 경찰이 “댓글 흔적없다” 한밤 기습발표

‘초박빙’	‘/SS+초/XPN+박빙/NNG+’/SS
셈이	셈/NNB+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.335.6.1
당시 선거 판세는 예측을 불허하는 혼전 양상이어서 경찰의 이례적인 심야 발표 배경을 놓고 특히 야권 등에서 상당한 의구심을 제기했다.

당시	당시/NNG
선거	선거/NNG
판세는	판세/NNG+는/JX
예측을	예측/NNG+을/JKO
불허하는	불허/NNG+하/XSV+는/ETM
혼전	혼전/NNG
양상이어서	양상/NNG+이/VCP+어서/EC
경찰의	경찰/NNG+의/JKG
이례적인	이례/NNG+적/XSN+이/VCP+ㄴ/ETM
심야	심야/NNG
발표	발표/NNG
배경을	배경/NNG+을/JKO
놓고	놓/VV+고/EC
특히	특히/MAG
야권	야권/NNG
등에서	등/NNB+에서/JKB
상당한	상당/NNG+하/XSA+ㄴ/ETM
의구심을	의구심/NNG+을/JKO
제기했다.	제기/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.335.6.2
댓글 사건 발생 나흘째이자 경찰 발표 이틀 전인 14일 각 언론에 공개된 대선 전 마지막 여론조사에선 문 후보가 박 후보와 격차를 좁혀가면서 초접전을 벌이고 있다는 게 대체적인 판세 분석이었다.

댓글	댓글/NNG
사건	사건/NNG
발생	발생/NNG
나흘째이자	나흘/NNG+째/XSN+이/VCP+자/EC
경찰	경찰/NNG
발표	발표/NNG
이틀	이틀/NNG
전인	전/NNG+이/VCP+ㄴ/ETM
14일	14/SN+일/NNB
각	각/MMD
언론에	언론/NNG+에/JKB
공개된	공개/NNG+되/XSV+ㄴ/ETM
대선	대선/NNG
전	전/NNG
마지막	마지막/NNG
여론조사에선	여론/NNG+조사/NNG+에서/JKB+ㄴ/JX
문	문/NNP
후보가	후보/NNG+가/JKS
박	박/NNP
후보와	후보/NNG+와/JKB
격차를	격차/NNG+를/JKO
좁혀가면서	좁히/VV+어/EC+가/VX+면서/EC
초접전을	초/XPN+접전/NNG+을/JKO
벌이고	벌이/VV+고/EC
있다는	있/VX+다는/ETM
게	거/NNB+이/JKS
대체적인	대체/NNG+적/XSN+이/VCP+ㄴ/ETM
판세	판세/NNG
분석이었다.	분석/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000044.335.6.3
경찰의 발표 내용이 선거 결과를 좌지우지할 수도 있는 상황이었던 셈이다.

경찰의	경찰/NNG+의/JKG
발표	발표/NNG
내용이	내용/NNG+이/JKS
선거	선거/NNG
결과를	결과/NNG+를/JKO
좌지우지할	좌지우지/NNG+하/XSV+ㄹ/ETM
수도	수/NNB+도/JX
있는	있/VA+는/ETM
상황이었던	상황/NNG+이/VCP+었/EP+던/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.335.7.1
실제 여론조사 전문기관인 <리서치뷰>는 지난해 10월 “대선 당시 경찰이 국정원 사건의 전모를 제대로 밝혔다면, 박근혜 후보에게 투표한 사람의 8.3%가 마음을 바꿔 문재인 후보를 찍어 승패가 바뀌었을 것”이라는 여론조사 분석 결과를 발표하기도 했다.

실제	실제/NNG
여론조사	여론/NNG+조사/NNG
전문기관인	전문/NNG+기관/NNG+이/VCP+ㄴ/ETM
<리서치뷰>는	</SS+리서치뷰/NNP+>/SS+는/JX
지난해	지난해/NNG
10월	10/SN+월/NNB
“대선	“/SS+대선/NNG
당시	당시/NNG
경찰이	경찰/NNG+이/JKS
국정원	국정원/NNG
사건의	사건/NNG+의/JKG
전모를	전모/NNG+를/JKO
제대로	제대로/MAG
밝혔다면,	밝히/VV+었/EP+다면/EC+,/SP
박근혜	박근혜/NNP
후보에게	후보/NNG+에게/JKB
투표한	투표/NNG+하/XSV+ㄴ/ETM
사람의	사람/NNG+의/JKG
8.3%가	8/SN+./SP+3/SN+%/SW+가/JKS
마음을	마음/NNG+을/JKO
바꿔	바꾸/VV+어/EC
문재인	문재인/NNP
후보를	후보/NNG+를/JKO
찍어	찍/VV+어/EC
승패가	승패/NNG+가/JKS
바뀌었을	바뀌/VV+었/EP+을/ETM
것”이라는	것/NNB+”/SS+이/VCP+라는/ETM
분석	분석/NNG
결과를	결과/NNG+를/JKO
발표하기도	발표/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.335.7.2
이택수 <리얼미터> 대표도 지난해 7월 한 토론회에서 “당시 <리얼미터>와 방송 3사의 조사를 보면, 딱 하루 골든크로스(문재인 후보의 역전)가 있었다.

이택수	이택수/NNP
<리얼미터>	</SS+리얼미터/NNP+>/SS
대표도	대표/NNG+도/JX
지난해	지난해/NNG
7월	7/SN+월/NNB
한	한/MMN
토론회에서	토론회/NNG+에서/JKB
“당시	“/SS+당시/NNG
<리얼미터>와	</SS+리얼미터/NNP+>/SS+와/JC
방송	방송/NNG
3사의	3사/NNG+의/JKG
조사를	조사/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
딱	딱/MAG
하루	하루/NNG
골든크로스(문재인	골든/NNG+크로스/NNG+(/SS+문재인/NNP
후보의	후보/NNG+의/JKG
역전)가	역전/NNG+)/SS+가/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000044.335.7.3
그런데 16일 늦은 밤 경찰 발표 뒤에 흐름이 다시 박근혜 후보의 우세로 원상복귀했다”며, 당시 경찰의 중간 수사결과 발표가 판세에 미친 영향을 평가한 바 있다.

그런데	그런데/MAJ
16일	16/SN+일/NNB
늦은	늦/VA+은/ETM
밤	밤/NNG
경찰	경찰/NNG
발표	발표/NNG
뒤에	뒤/NNG+에/JKB
흐름이	흐름/NNG+이/JKS
다시	다시/MAG
박근혜	박근혜/NNP
후보의	후보/NNG+의/JKG
우세로	우세/NNG+로/JKB
원상복귀했다”며,	원상/NNG+복귀/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC+,/SP
당시	당시/NNG
경찰의	경찰/NNG+의/JKG
중간	중간/NNG
수사결과	수사/NNG+결과/NNG
발표가	발표/NNG+가/JKS
판세에	판세/NNG+에/JKB
미친	미치/VV+ㄴ/ETM
영향을	영향/NNG+을/JKO
평가한	평가/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


