# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.221
metadata : {}


# id : NWRW1800000029.221.1.1
‘5共 경호실장’ 안현태 씨 국립묘지 서둘러 안장

‘5共	‘/SS+5/SN+共/SH
73세로	73/SN+세/NNB+로/JKB
지병으로	지병/NNG+으로/JKB
사망했다.	사망/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.221.4.4
육군사관학교 17기인 안 씨는 ‘하나회’ 출신으로 수도경비사령부(수경사) 30경비단장과 공수여단장을 지냈으며 전두환 전 대통령 재임시절인 1985년부터 3년간 대통령경호실장을 지냈다.

육군사관학교	육군사관학교/NNP
17기인	17/SN+기/NNG+이/VCP+ㄴ/ETM
안	안/NNP
씨는	씨/NNB+는/JX
‘하나회’	‘/SS+하나회/NNP+’/SS
출신으로	출신/NNG+으로/JKB
수도경비사령부(수경사)	수도경비사령부/NNP+(/SS+수경사/NNP+)/SS
30경비단장과	30/SN+경비단장/NNG+과/JC
공수여단장을	공수/NNG+여단장/NNG+을/JKO
지냈으며	지내/VV+었/EP+으며/EC
전두환	전두환/NNP
전	전/MMD
대통령	대통령/NNG
재임시절인	재임/NNG+시절/NNG+이/VCP+ㄴ/ETM
1985년부터	1985/SN+년/NNB+부터/JX
3년간	3/SN+년/NNB+간/XSN
대통령경호실장을	대통령/NNG+경호실장/NNG+을/JKO
지냈다.	지내/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.221.5.1
안 씨는 육군 소장으로 예편했기 때문에 원칙적으로는 국립묘지에 안장될 자격이 있지만 5공 시절 불법 비자금 조성에 관여한 혐의로 1997년 징역 2년 6개월이 확정돼 복역한 바 있어 안장 자격을 놓고 논란이 일었다.

안	안/NNP
씨는	씨/NNB+는/JX
육군	육군/NNG
소장으로	소장/NNG+으로/JKB
예편했기	예편/NNG+하/XSV+았/EP+기/ETN
때문에	때문/NNB+에/JKB
원칙적으로는	원칙/NNG+적/XSN+으로/JKB+는/JX
국립묘지에	국립묘지/NNG+에/JKB
안장될	안장/NNG+되/XSV+ㄹ/ETM
자격이	자격/NNG+이/JKS
있지만	있/VA+지만/EC
5공	5/SN+공/NNG
시절	시절/NNG
불법	불법/NNG
비자금	비자금/NNG
조성에	조성/NNG+에/JKB
관여한	관여/NNG+하/XSV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
1997년	1997/SN+년/NNB
징역	징역/NNG
2년	2/SN+년/NNB
6개월이	6/SN+개월/NNB+이/JKS
확정돼	확정/NNG+되/XSV+어/EC
복역한	복역/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있어	있/VA+어/EC
안장	안장/NNG
자격을	자격/NNG+을/JKO
놓고	놓/VV+고/EC
논란이	논란/NNG+이/JKS
일었다.	일/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.221.5.2
국립묘지 안장을 심사하는 보훈처 안장대상심의위원회 운영규정은 변호사법 위반, 사기 등의 범죄로 큰 피해를 준 대상자는 국립묘지 안장을 엄격하게 제한하고 있다.

국립묘지	국립묘지/NNG
안장을	안장/NNG+을/JKO
심사하는	심사/NNG+하/XSV+는/ETM
보훈처	보훈처/NNG
안장대상심의위원회	안장/NNG+대상/NNG+심의/NNG+위원회/NNG
운영규정은	운영/NNG+규정/NNG+은/JX
변호사법	변호사법/NNG
위반,	위반/NNG+,/SP
사기	사기/NNG
등의	등/NNB+의/JKG
범죄로	범죄/NNG+로/JKB
큰	크/VA+ㄴ/ETM
피해를	피해/NNG+를/JKO
준	주/VV+ㄴ/ETM
대상자는	대상자/NNG+는/JX
엄격하게	엄격/NNG+하/XSA+게/EC
제한하고	제한/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.221.6.1
하지만 국가보훈처는 5일 국립묘지 안장대상심의위원회를 열고 안 씨를 대전현충원에 안장하기로 의결했다.

하지만	하지만/MAJ
국가보훈처는	국가/NNG+보훈처/NNG+는/JX
5일	5/SN+일/NNB
국립묘지	국립묘지/NNG
안장대상심의위원회를	안장/NNG+대상/NNG+심의/NNG+위원회/NNG+를/JKO
열고	열/VV+고/EC
안	안/NNP
씨를	씨/NNB+를/JKO
대전현충원에	대전현충원/NNP+에/JKB
안장하기로	안장/NNG+하/XSV+기/ETN+로/JKB
의결했다.	의결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.221.6.2
위원회는 안 씨가 베트남전에 참전했고 대통령경호실장을 지내며 국가안보에 기여한 점, 재향군인회 등이 건의서를 제출한 점 등을 고려해 안장을 결정한 것으로 알려졌다.

위원회는	위원회/NNG+는/JX
안	안/NNP
씨가	씨/NNB+가/JKS
베트남전에	베트남전/NNG+에/JKB
참전했고	참전/NNG+하/XSV+았/EP+고/EC
대통령경호실장을	대통령/NNG+경호실장/NNG+을/JKO
지내며	지내/VV+며/EC
국가안보에	국가/NNG+안보/NNG+에/JKB
기여한	기여/NNG+하/XSV+ㄴ/ETM
점,	점/NNG+,/SP
재향군인회	재향/NNG+군인회/NNG
등이	등/NNB+이/JKS
건의서를	건의서/NNG+를/JKO
제출한	제출/NNG+하/XSV+ㄴ/ETM
점	점/NNG
등을	등/NNB+을/JKO
고려해	고려/NNG+하/XSV+아/EC
안장을	안장/NNG+을/JKO
결정한	결정/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.221.7.1
이와 관련해 5·18 기념재단과 5·18유공자 3단체는 보도자료를 내고 “안 씨는 전두환 등 신군부의 핵심인사로 천문학적인 정치자금을 불법 조성한 혐의로 사법처리를 받은 자”라며 반발했다.

이와	이/NP+와/JKB
관련해	관련/NNG+하/XSV+아/EC
5·18	5/SN+·/SP+18/SN
기념재단과	기념/NNG+재단/NNG+과/JC
5·18유공자	5/SN+·/SP+18/SN+유공자/NNG
3단체는	3/SN+단체/NNG+는/JX
보도자료를	보도/NNG+자료/NNG+를/JKO
내고	내/VV+고/EC
“안	“/SS+안/NNP
씨는	씨/NNB+는/JX
전두환	전두환/NNP
등	등/NNB
신군부의	신/XPN+군부/NNG+의/JKG
핵심인사로	핵심/NNG+인사/NNG+로/JKB
천문학적인	천문학/NNG+적/XSN+이/VCP+ㄴ/ETM
정치자금을	정치/NNG+자금/NNG+을/JKO
불법	불법/NNG
조성한	조성/NNG+하/XSV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
사법처리를	사법/NNG+처리/NNG+를/JKO
받은	받/VV+은/ETM
자”라며	자/NNB+”/SS+이/VCP+라며/EC
반발했다.	반발/NNG+하/XSV+았/EP+다/EF+./SF


