# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.38
metadata : {}


# id : NWRW1800000041.38.1.1
막걸리, 2014년내 中企적합업종서 제외

막걸리,	막걸리/NNG+,/SP
개척해	개척/NNG+하/XSV+아/EC
침체된	침체/NNG+되/XSV+ㄴ/ETM
막걸리	막걸리/NNG
부흥시키는	부흥/NNG+시키/XSV+는/ETM
방향으로	방향/NNG+으로/JKB
갈	가/VV+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
이같이	이/NP+같이/JKB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.38.5.1
동반위는 막걸리를 2011년 9월 중소기업 적합업종으로 지정하면서 롯데, CJ 등 대기업의 국내 시장 신규 진출을 막아왔다.

동반위는	동반위/NNG+는/JX
막걸리를	막걸리/NNG+를/JKO
2011년	2011/SN+년/NNB
9월	9/SN+월/NNB
중소기업	중소기업/NNG
적합업종으로	적합/NNG+업종/NNG+으로/JKB
지정하면서	지정/NNG+하/XSV+면서/EC
롯데,	롯데/NNP+,/SP
CJ	CJ/SL
등	등/NNB
대기업의	대/XPN+기업/NNG+의/JKG
국내	국내/NNG
시장	시장/NNG
신규	신규/NNG
진출을	진출/NNG+을/JKO
막아왔다.	막/VV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.38.5.2
그로부터 3년이 지나 9월 말 적합업종으로 다시 지정할지를 결정해야 했지만 대기업과 중소기업 간 시각차가 커 합의에 진통을 겪었다.

그로부터	그/NP+로부터/JKB
3년이	3/SN+년/NNB+이/JKS
지나	지나/VV+아/EC
9월	9/SN+월/NNB
말	말/NNB
적합업종으로	적합/NNG+업종/NNG+으로/JKB
다시	다시/MAG
지정할지를	지정/NNG+하/XSV+ㄹ지/EF+를/JKO
결정해야	결정/NNG+하/XSV+아야/EC
했지만	하/VX+았/EP+지만/EC
대기업과	대/XPN+기업/NNG+과/JC
중소기업	중소기업/NNG
간	간/NNB
시각차가	시각차/NNG+가/JKS
커	크/VA+어/EC
합의에	합의/NNG+에/JKB
진통을	진통/NNG+을/JKO
겪었다.	겪/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.38.6.1
결국 막걸리를 중소기업 적합업종 명단에서는 빼되 중소기업은 국내 시장, 대기업은 해외 시장으로 교통정리를 한 것이다.

결국	결국/MAG
막걸리를	막걸리/NNG+를/JKO
중소기업	중소기업/NNG
적합업종	적합/NNG+업종/NNG
명단에서는	명단/NNG+에서/JKB+는/JX
빼되	빼/VV+되/EC
중소기업은	중소기업/NNG+은/JX
국내	국내/NNG
시장,	시장/NNG+,/SP
대기업은	대/XPN+기업/NNG+은/JX
해외	해외/NNG
시장으로	시장/NNG+으로/JKB
교통정리를	교통정리/NNG+를/JKO
한	하/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.38.7.1
동반위는 2011년 9월 이후 총 101개 품목을 중소기업 적합업종으로 지정했다.

동반위는	동반위/NNG+는/JX
2011년	2011/SN+년/NNB
9월	9/SN+월/NNB
이후	이후/NNG
총	총/MMA
101개	101/SN+개/NNB
품목을	품목/NNG+을/JKO
중소기업	중소기업/NNG
적합업종으로	적합/NNG+업종/NNG+으로/JKB
지정했다.	지정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.38.7.2
이 중 지정 기간 3년이 이미 지났거나 이달 말 만기가 돌아와 재지정 여부를 결정해야 할 품목은 77개였다.

이	이/NP
중	중/NNB
지정	지정/NNG
기간	기간/NNG
3년이	3/SN+년/NNB+이/JKS
이미	이미/MAG
지났거나	지나/VV+았/EP+거나/EC
이달	이달/NNG
말	말/NNB
만기가	만기/NNG+가/JKS
돌아와	돌아오/VV+아/EC
재지정	재/XPN+지정/NNG
여부를	여부/NNG+를/JKO
결정해야	결정/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
품목은	품목/NNG+은/JX
77개였다.	77/SN+개/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.38.7.3
동반위는 간장 고추장 된장 떡 김치 단무지 등 12개 품목은 적합업종으로 다시 지정했다.

동반위는	동반위/NNG+는/JX
간장	간장/NNG
고추장	고추장/NNG
된장	된장/NNG
떡	떡/NNG
김치	김치/NNG
단무지	단무지/NNG
등	등/NNB
12개	12/SN+개/NNB
품목은	품목/NNG+은/JX
적합업종으로	적합/NNG+업종/NNG+으로/JKB
다시	다시/MAG
지정했다.	지정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.38.7.4
막걸리처럼 대·중소기업 상생협약을 조건으로 적합업종에서 제외한 품목은 11개다.

막걸리처럼	막걸리/NNG+처럼/JKB
대·중소기업	대·중소기업/NNG
상생협약을	상생/NNG+협약/NNG+을/JKO
조건으로	조건/NNG+으로/JKB
적합업종에서	적합/NNG+업종/NNG+에서/JKB
제외한	제외/NNG+하/XSV+ㄴ/ETM
품목은	품목/NNG+은/JX
11개다.	11/SN+개/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.38.7.5
기타 인쇄물 아스콘 부동액 등 3개는 시장감시 품목으로 지정하고, 나머지 51개 품목에 대해서는 업계와 함께 재지정 여부를 계속 논의하기로 했다.

기타	기타/NNG
인쇄물	인쇄물/NNG
아스콘	아스콘/NNG
부동액	부동액/NNG
등	등/NNB
3개는	3/SN+개/NNB+는/JX
시장감시	시장/NNG+감시/NNG
품목으로	품목/NNG+으로/JKB
지정하고,	지정/NNG+하/XSV+고/EC+,/SP
나머지	나머지/NNG
51개	51/SN+개/NNB
품목에	품목/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
업계와	업계/NNG+와/JKB
함께	함께/MAG
재지정	재/XPN+지정/NNG
여부를	여부/NNG+를/JKO
계속	계속/MAG
논의하기로	논의/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.38.8.1
한편 동반위는 내년 1분기(1∼3월) 식품 및 주류업체를 대상으로 본사와 대리점 간 갑을관계에 대한 조사에도 나설 것으로 전망된다.

한편	한편/MAG
동반위는	동반위/NNG+는/JX
내년	내년/NNG
1분기(1∼3월)	1/SN+분기/NNG+(/SS+1/SN+∼/SO+3/SN+월/NNB+)/SS
식품	식품/NNG
및	및/MAG
주류업체를	주류업체/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
본사와	본사/NNG+와/JC
대리점	대리점/NNG
간	간/NNB
갑을관계에	갑을/NNG+관계/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
조사에도	조사/NNG+에/JKB+도/JX
나설	나서/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.38.9.1
안 위원장은 이날 “최근 일부 업체와 대리점 사이에 갑을관계가 재연되고 있다는 이야기가 있다”며 “대리점을 대상으로 본사의 갑을관계 체감도 조사를 진행하는 방안을 고민하고 있다”고 말했다.

안	안/NNP
위원장은	위원장/NNG+은/JX
이날	이날/NNG
“최근	“/SS+최근/NNG
일부	일부/NNG
업체와	업체/NNG+와/JC
대리점	대리점/NNG
사이에	사이/NNG+에/JKB
갑을관계가	갑을/NNG+관계/NNG+가/JKS
재연되고	재연/NNG+되/XSV+고/EC
있다는	있/VX+다는/ETM
이야기가	이야기/NNG+가/JKS
있다”며	있/VA+다/EF+”/SS+며/EC
“대리점을	“/SS+대리점/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
본사의	본사/NNG+의/JKG
갑을관계	갑을/NNG+관계/NNG
체감도	체감도/NNG
조사를	조사/NNG+를/JKO
진행하는	진행/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
고민하고	고민/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


