# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.224
metadata : {}


# id : NWRW1800000032.224.1.1
탈북자단체 대북전단 기습살포

탈북자단체	탈북자/NNG+단체/NNG
조준포격	조준/NNG+포격/NNG
경고’	경고/NNG+’/SS
이후	이후/NNG
전쟁	전쟁/NNG
위험지역으로	위험/NNG+지역/NNG+으로/JKB
부각돼	부각/NNG+되/XSV+어/EC
땅값이	땅값/NNG+이/JKS
폭락하고	폭락/NNG+하/XSV+고/EC
지역상권이	지역/NNG+상권/NNG+이/JKS
붕괴돼	붕괴/NNG+되/XSV+어/EC
주민들이	주민/NNG+들/XSN+이/JKS
살기가	살/VV+기/ETN+가/JKS
힘들어졌는데,	힘들어지/VV+었/EP+는데/EC+,/SP
또다시	또다시/MAG
북에	북/NNP+에/JKB
공격의	공격/NNG+의/JKG
빌미를	빌미/NNG+를/JKO
줘	주/VV+어/EC
걱정이	걱정/NNG+이/JKS
크다”며	크/VA+다/EF+”/SS+며/EC
이날	이날/NNG
전단	전단/NNG
살포에	살포/NNG+에/JKB
강한	강하/VA+ㄴ/ETM
불만을	불만/NNG+을/JKO
나타냈다.	나타내/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.224.9.1
김포지역 시민사회단체 총연합회 상임대표인 이적 민통선평화교회 목사는 “휴전선 2~3㎞ 앞에서 군부대 담장을 낀 채 사는 월곶면 민통선 마을은 북에서 조준포격을 하면 쑥대밭이 될 수밖에 없다”며 “이명박 정부의 국민포기 정책으로 접경지역 주민들이 공포에 떨고 있다”고 비판했다.

김포지역	김포/NNP+지역/NNG
시민사회단체	시민/NNG+사회단체/NNG
총연합회	총/MMA+연합회/NNG
상임대표인	상임/NNG+대표/NNG+이/VCP+ㄴ/ETM
이적	이적/NNP
민통선평화교회	민통선평화교회/NNP
목사는	목사/NNG+는/JX
“휴전선	“/SS+휴전선/NNG
2~3㎞	2/SN+~/SO+3/SN+㎞/SW
앞에서	앞/NNG+에서/JKB
군부대	군부대/NNG
담장을	담장/NNG+을/JKO
낀	끼/VV+ㄴ/ETM
채	채/NNB
사는	살/VV+는/ETM
월곶면	월곶면/NNP
민통선	민통선/NNG
마을은	마을/NNG+은/JX
북에서	북/NNP+에서/JKB
조준포격을	조준/NNG+포격/NNG+을/JKO
하면	하/VV+면/EC
쑥대밭이	쑥대밭/NNG+이/JKC
될	되/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다”며	없/VA+다/EF+”/SS+며/EC
“이명박	“/SS+이명박/NNP
정부의	정부/NNG+의/JKG
국민포기	국민/NNG+포기/NNG
정책으로	정책/NNG+으로/JKB
접경지역	접경/NNG+지역/NNG
주민들이	주민/NNG+들/XSN+이/JKS
공포에	공포/NNG+에/JKB
떨고	떨/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.224.10.1
한편 자유북한운동연합과 납북자가족모임 등 탈북자·보수단체는 오는 9~15일 파주시 임진각에서 대북 규탄대회와 전단 살포 행사를 열겠다고 경찰에 집회 신고를 내, 주민들과의 충돌 우려가 높아지고 있다.

한편	한편/MAG
자유북한운동연합과	자유북한운동연합/NNP+과/JC
납북자가족모임	납북자가족모임/NNP
등	등/NNB
탈북자·보수단체는	탈북자/NNG+·/SP+보수/NNG+단체/NNG+는/JX
오는	오/VV+는/ETM
9~15일	9/SN+~/SO+15/SN+일/NNB
파주시	파주시/NNP
임진각에서	임진각/NNP+에서/JKB
대북	대북/NNG
규탄대회와	규탄/NNG+대회/NNG+와/JC
전단	전단/NNG
살포	살포/NNG
행사를	행사/NNG+를/JKO
열겠다고	열/VV+겠/EP+다고/EC
경찰에	경찰/NNG+에/JKB
집회	집회/NNG
신고를	신고/NNG+를/JKO
내,	내/VV+어/EC+,/SP
주민들과의	주민/NNG+들/XSN+과/JKB+의/JKG
충돌	충돌/NNG
우려가	우려/NNG+가/JKS
높아지고	높아지/VV+고/EC
있다.	있/VX+다/EF+./SF


