# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.234
metadata : {}


# id : NWRW1800000038.234.1.1
남으려는 박지성, 오르려는 이청용

남으려는	남/VV+으려는/ETM
보여줬다.	보이/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.234.5.3
자신의 장기를 100% 발휘하면서 절박한 사정에 몰린 소속팀에 귀중한 승리를 안겼다.

자신의	자신/NNG+의/JKG
장기를	장기/NNG+를/JKO
100%	100/SN+%/SW
발휘하면서	발휘/NNG+하/XSV+면서/EC
절박한	절박하/VA+ㄴ/ETM
사정에	사정/NNG+에/JKB
몰린	몰리/VV+ㄴ/ETM
소속팀에	소속/NNG+팀/NNG+에/JKB
귀중한	귀중하/VA+ㄴ/ETM
승리를	승리/NNG+를/JKO
안겼다.	안기/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.234.5.4
2부 리그의 이청용(25·볼턴)도 팀의 프리미어리그 복귀를 위한 도전에 큰 힘을 보탰다.

2부	2부/NNG
리그의	리그/NNG+의/JKG
이청용(25·볼턴)도	이청용/NNP+(/SS+25/SN+·/SP+볼턴/NNP+)/SS+도/JX
팀의	팀/NNG+의/JKG
프리미어리그	프리미어리그/NNG
복귀를	복귀/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
도전에	도전/NNG+에/JKB
큰	크/VA+ㄴ/ETM
힘을	힘/NNG+을/JKO
보탰다.	보태/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.234.6.1
박지성은 영국 런던의 로프터스로드 스타디움에서 열린 프리미어리그 29라운드 홈경기 선덜랜드전에서 수비형 미드필더로 선발 출전해 풀타임을 소화했다.

박지성은	박지성/NNP+은/JX
영국	영국/NNP
런던의	런던/NNP+의/JKG
로프터스로드	로프터스로드/NNP
스타디움에서	스타디움/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
프리미어리그	프리미어리그/NNG
29라운드	29/SN+라운드/NNG
홈경기	홈경기/NNG
선덜랜드전에서	선덜랜드전/NNG+에서/JKB
수비형	수비/NNG+형/XSN
미드필더로	미드필더/NNG+로/JKB
선발	선발/NNG
출전해	출전/NNG+하/XSV+아/EC
풀타임을	풀타임/NNG+을/JKO
소화했다.	소화/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.234.6.2
잉글랜드 프리미어리그는 페이스북을 통해 '박지성이 자신의 150번째 리그 경기 출장을 자축했다'고 전했다.

잉글랜드	잉글랜드/NNP
프리미어리그는	프리미어리그/NNG+는/JX
페이스북을	페이스북/NNP+을/JKO
통해	통하/VV+아/EC
'박지성이	'/SS+박지성/NNP+이/JKS
자신의	자신/NNG+의/JKG
150번째	150/SN+번/NNB+째/XSN
리그	리그/NNG
경기	경기/NNG
출장을	출장/NNG+을/JKO
자축했다'고	자축/NNG+하/XSV+았/EP+다/EF+'/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.234.7.1
박지성은 90분 내내 쉴 새 없이 뛰면서 중원에서 상대 공격을 차단했다.

박지성은	박지성/NNP+은/JX
90분	90/SN+분/NNB
내내	내내/MAG
쉴	쉬/VV+ㄹ/ETM
새	새/NNG
없이	없이/MAG
뛰면서	뛰/VV+면서/EC
중원에서	중원/NNG+에서/JKB
상대	상대/NNG
공격을	공격/NNG+을/JKO
차단했다.	차단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.234.7.2
'두 개의 심장을 가진 사나이'라고 불렸던 맨체스터 유나이티드 시절 못지않았다.

'두	'/SS+두/MMN
개의	개/NNB+의/JKG
심장을	심장/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
사나이'라고	사나이/NNG+'/SS+라고/JKQ
불렸던	불리/VV+었/EP+던/ETM
맨체스터	맨체스터/NNP
유나이티드	유나이티드/NNP
시절	시절/NNG
못지않았다.	못지않/VA+았/EP+다/EF+./SF


# id : NWRW1800000038.234.8.1
이날 3대1 승리로 2연승을 거둔 QPR 해리 레드냅 감독은 "오늘 우리는 좋은 경기를 했다"며 "중원에서 박지성은 정말 환상적이었다"고 말했다.

이날	이날/NNG
3대1	3/SN+대/NNB+1/SN
승리로	승리/NNG+로/JKB
2연승을	2/SN+연승/NNG+을/JKO
거둔	거두/VV+ㄴ/ETM
QPR	QPR/SL
해리	해리/NNP
레드냅	레드냅/NNP
감독은	감독/NNG+은/JX
"오늘	"/SS+오늘/MAG
우리는	우리/NP+는/JX
좋은	좋/VA+은/ETM
경기를	경기/NNG+를/JKO
했다"며	하/VV+았/EP+다/EF+"/SS+며/EC
"중원에서	"/SS+중원/NNG+에서/JKB
박지성은	박지성/NNP+은/JX
정말	정말/MAG
환상적이었다"고	환상/NNG+적/XSN+이/VCP+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.234.8.2
이례적인 박지성에 대한 칭찬이었다.

이례적인	이례/NNG+적/XSN+이/VCP+ㄴ/ETM
박지성에	박지성/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
칭찬이었다.	칭찬/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.234.8.3
레드냅 감독은 작년 11월 지휘봉을 잡은 이후 "명성과 몸값만큼 활약을 못하는 선수"라며 박지성의 경기력에 불만을 나타내곤 했다.

레드냅	레드냅/NNP
감독은	감독/NNG+은/JX
작년	작년/NNG
11월	11/SN+월/NNB
지휘봉을	지휘봉/NNG+을/JKO
잡은	잡/VV+은/ETM
이후	이후/NNG
"명성과	"/SS+명성/NNG+과/JC
몸값만큼	몸값/NNG+만큼/JKB
활약을	활약/NNG+을/JKO
못하는	못/MAG+하/XSV+는/ETM
선수"라며	선수/NNG+"/SS+이/VCP+라며/EC
박지성의	박지성/NNP+의/JKG
경기력에	경기력/NNG+에/JKB
불만을	불만/NNG+을/JKO
나타내곤	나타내/VV+곤/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.234.8.4
프리미어리그 꼴찌인 20위 QPR(승점 23·4승11무14패)은 시즌 첫 2연승을 올리면서 1부 리그 잔류 마지노선인 17위 애스턴 빌라(승점 27·6승9무14패)와의 격차를 승점 '4'로 줄였다.

프리미어리그	프리미어리그/NNG
꼴찌인	꼴찌/NNG+이/VCP+ㄴ/ETM
20위	20/SN+위/NNB
QPR(승점	QPR/SL+(/SS+승점/NNG
23·4승11무14패)은	23/SN+·/SP+4/SN+승/NNB+11/SN+무/NNB+14/SN+패/NNB+)/SS+은/JX
시즌	시즌/NNG
첫	첫/MMN
2연승을	2/SN+연승/NNG+을/JKO
올리면서	올리/VV+면서/EC
1부	1부/NNG
리그	리그/NNG
잔류	잔류/NNG
마지노선인	마지노선/NNG+이/VCP+ㄴ/ETM
17위	17/SN+위/NNB
애스턴	애스턴/NNP
빌라(승점	빌라/NNP+(/SS+승점/NNG
27·6승9무14패)와의	27/SN+·/SP+6/SN+승/NNB+9/SN+무/NNB+14/SN+패/NNB+)/SS+와/JKB+의/JKG
격차를	격차/NNG+를/JKO
승점	승점/NNG
'4'로	'/SS+4/SN+'/SS+로/JKB
줄였다.	줄이/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.234.8.5
박지성은 "계속 이겨서 빨리 강등권을 탈출해야 한다"며 "나뿐 아니라 모든 선수가 1부 리그 잔류에 대한 강한 믿음을 갖고 있다.

박지성은	박지성/NNP+은/JX
"계속	"/SS+계속/MAG
이겨서	이기/VV+어서/EC
빨리	빨리/MAG
강등권을	강등/NNG+권/XSN+을/JKO
탈출해야	탈출/NNG+하/XSV+아야/EC
한다"며	하/VX+ㄴ다/EF+"/SS+며/EC
"나뿐	"/SS+나/NP+뿐/JX
아니라	아니/VCN+라/EC
모든	모든/MMN
선수가	선수/NNG+가/JKS
1부	1부/NNG
리그	리그/NNG
잔류에	잔류/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
강한	강하/VA+ㄴ/ETM
믿음을	믿음/NNG+을/JKO
갖고	갖/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.234.8.6
연승 분위기를 시즌 끝까지 이어가겠다"고 말했다.

연승	연승/NNG
분위기를	분위기/NNG+를/JKO
시즌	시즌/NNG
끝까지	끝/NNG+까지/JX
이어가겠다"고	잇/VV+어/EC+가/VX+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.234.9.1
볼턴의 이청용은 같은 날 영국 볼턴의 리복 스타디움에서 치른 브라이턴과의 챔피언십(2부 리그) 홈경기에서 결승 골을 배달하면서 팀의 1대0 승리를 이끌었다.

볼턴의	볼턴/NNP+의/JKG
이청용은	이청용/NNP+은/JX
같은	같/VA+은/ETM
날	날/NNG
영국	영국/NNP
리복	리복/NNP
스타디움에서	스타디움/NNG+에서/JKB
치른	치르/VV+ㄴ/ETM
브라이턴과의	브라이턴/NNP+과/JKB+의/JKG
챔피언십(2부	챔피언십/NNG+(/SS+2부/NNG
리그)	리그/NNG+)/SS
홈경기에서	홈경기/NNG+에서/JKB
결승	결승/NNG
골을	골/NNG+을/JKO
배달하면서	배달/NNG+하/XSV+면서/EC
팀의	팀/NNG+의/JKG
1대0	1/SN+대/NNB+0/SN
승리를	승리/NNG+를/JKO
이끌었다.	이끌/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.234.9.2
그는 전반 20분 왼쪽 측면에서 날카로운 크로스로 마르코스 알론소(스페인)의 골을 도왔다.

그는	그/NP+는/JX
전반	전반/NNG
20분	20/SN+분/NNB
왼쪽	왼쪽/NNG
측면에서	측면/NNG+에서/JKB
날카로운	날카롭/VA+ㄴ/ETM
크로스로	크로스/NNG+로/JKB
마르코스	마르코스/NNP
알론소(스페인)의	알론소/NNP+(/SS+스페인/NNP+)/SS+의/JKG
골을	골/NNG+을/JKO
도왔다.	돕/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.234.9.3
잉글랜드 1·2부 리그에서 통산 17개의 어시스트를 올린 'A급 도우미'다운 모습이었다.

잉글랜드	잉글랜드/NNP
1·2부	1/SN+·/SP+2부/NNG
리그에서	리그/NNG+에서/JKB
통산	통산/NNG
17개의	17/SN+개/NNB+의/JKG
어시스트를	어시스트/NNG+를/JKO
올린	올리/VV+ㄴ/ETM
'A급	'/SS+A/SL+급/NNG
도우미'다운	도우미/NNG+'/SS+답/XSA+ㄴ/ETM
모습이었다.	모습/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.234.9.4
볼턴의 더기 프리드먼 감독은 "이청용은 공을 잡으면 항상 뭔가 기대하게끔 만드는 선수"라고 말했다.

볼턴의	볼턴/NNP+의/JKG
더기	더기/NNP
프리드먼	프리드먼/NNP
감독은	감독/NNG+은/JX
"이청용은	"/SS+이청용/NNP+은/JX
공을	공/NNG+을/JKO
잡으면	잡/VV+으면/EC
항상	항상/MAG
뭔가	뭐/NP+이/VCP+ㄴ가/EF
기대하게끔	기대/NNG+하/XSV+게끔/EC
만드는	만들/VV+는/ETM
선수"라고	선수/NNG+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.234.10.1
볼턴은 5연승 행진을 달렸다.

볼턴은	볼턴/NNP+은/JX
5연승	5/SN+연승/NNG
행진을	행진/NNG+을/JKO
달렸다.	달리/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.234.10.2
볼턴은 올 시즌 중반 챔피언십 20위까지 떨어지면서 3부 리그 강등을 걱정해야 할 처지에 놓이기도 했다.

볼턴은	볼턴/NNP+은/JX
올	올/NNG
시즌	시즌/NNG
중반	중반/NNG
챔피언십	챔피언십/NNG
20위까지	20/SN+위/NNB+까지/JX
떨어지면서	떨어지/VV+면서/EC
3부	3/SN+부/NNB
리그	리그/NNG
강등을	강등/NNG+을/JKO
걱정해야	걱정/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
처지에	처지/NNG+에/JKB
놓이기도	놓이/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.234.10.3
하지만 최근 상승세로 순위를 8위까지 끌어올렸다.

하지만	하지만/MAJ
최근	최근/NNG
상승세로	상승세/NNG+로/JKB
순위를	순위/NNG+를/JKO
8위까지	8/SN+위/NNB+까지/JX
끌어올렸다.	끌어올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.234.10.4
챔피언십에선 리그 1~2위가 1부 리그로 직행한다.

챔피언십에선	챔피언십/NNG+에서/JKB+ㄴ/JX
리그	리그/NNG
1~2위가	1/SN+~/SO+2/SN+위/NNB+가/JKS
1부	1부/NNG
리그로	리그/NNG+로/JKB
직행한다.	직행/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.234.10.5
3~6위는 승격 플레이오프를 거쳐 한 팀만 1부 리그에 올라간다.

3~6위는	3/SN+~/SO+6/SN+위/NNB+는/JX
승격	승격/NNG
플레이오프를	플레이오프/NNG+를/JKO
거쳐	거치/VV+어/EC
한	한/MMN
팀만	팀/NNG+만/JX
1부	1부/NNG
리그에	리그/NNG+에/JKB
올라간다.	올라가/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.234.10.6
현재 8위 볼턴(승점 54·14승12무11패)과 6위 노팅엄 포레스트(승점 57·15승12무10패)의 차이는 '3'이다.

현재	현재/MAG
8위	8/SN+위/NNB
볼턴(승점	볼턴/NNP+(/SS+승점/NNG
54·14승12무11패)과	54/SN+·/SP+14/SN+승/NNB+12/SN+무/NNB+11/SN+패/NNB+)/SS+과/JC
6위	6/SN+위/NNB
노팅엄	노팅엄/NNP
포레스트(승점	포레스트/NNP+(/SS+승점/NNG
57·15승12무10패)의	57/SN+·/SP+15/SN+승/NNB+12/SN+무/NNB+10/SN+패/NNB+)/SS+의/JKG
차이는	차이/NNG+는/JX
'3'이다.	'/SS+3/SN+'/SS+이/VCP+다/EF+./SF


# id : NWRW1800000038.234.10.7
이청용은 "팀이 힘든 고비를 넘겼다"며 "앞으로는 질 것 같지 않다"고 말했다.

이청용은	이청용/NNP+은/JX
"팀이	"/SS+팀/NNG+이/JKS
힘든	힘들/VA+ㄴ/ETM
고비를	고비/NNG+를/JKO
넘겼다"며	넘기/VV+었/EP+다/EF+"/SS+며/EC
"앞으로는	"/SS+앞/NNG+으로/JKB+는/JX
질	지/VV+ㄹ/ETM
것	것/NNB
같지	같/VA+지/EC
않다"고	않/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.234.10.8
QPR과 볼턴은 리그 종료까지 각각 9경기씩을 남겨두고 있다.

QPR과	QPR/SL+과/JC
볼턴은	볼턴/NNP+은/JX
리그	리그/NNG
종료까지	종료/NNG+까지/JX
각각	각각/MAG
9경기씩을	9/SN+경기/NNG+씩/XSN+을/JKO
남겨두고	남기/VV+어/EC+두/VX+고/EC
있다.	있/VX+다/EF+./SF


