# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.124
metadata : {}


# id : NWRW1800000038.124.1.1
"26년간 모은 자수(刺繡) 작품이 한땀한땀 인생 2막 돼"

"26년간	"/SS+26/SN+년/NNB+간/XSN
깊었다.	깊/VA+었/EP+다/EF+./SF


# id : NWRW1800000038.124.4.5
"자수에는 규방에서 가족의 화목을 기원하면서 한 땀 한 땀 정성스레 수를 놓은 어머니들의 마음이 담겨 있습니다."

"자수에는	"/SS+자수/NNG+에/JKB+는/JX
규방에서	규방/NNG+에서/JKB
가족의	가족/NNG+의/JKG
화목을	화목/NNG+을/JKO
기원하면서	기원/NNG+하/XSV+면서/EC
한	한/MMN
땀	땀/NNG
정성스레	정성스레/MAG
수를	수/NNG+를/JKO
놓은	놓/VV+은/ETM
어머니들의	어머니/NNG+들/XSN+의/JKG
마음이	마음/NNG+이/JKS
담겨	담기/VV+어/EC
있습니다."	있/VX+습니다/EF+./SF+"/SS


# id : NWRW1800000038.124.5.1
안 관장은 교수로 재직하면서도 주말에는 서울·광주 등 대도시의 고미술관을 돌아다녔고, 방학 동안에는 배낭을 메고 전국 중소 도시를 뛰어다녔다.

안	안/NNP
관장은	관장/NNG+은/JX
교수로	교수/NNG+로/JKB
재직하면서도	재직/NNG+하/XSV+면서/EC+도/JX
주말에는	주말/NNG+에/JKB+는/JX
서울·광주	서울/NNP+·/SP+광주/NNP
등	등/NNB
대도시의	대/XPN+도시/NNG+의/JKG
고미술관을	고미술관/NNG+을/JKO
돌아다녔고,	돌아다니/VV+었/EP+고/EC+,/SP
방학	방학/NNG
동안에는	동안/NNG+에/JKB+는/JX
배낭을	배낭/NNG+을/JKO
메고	메/VV+고/EC
전국	전국/NNG
중소	중소/NNG
도시를	도시/NNG+를/JKO
뛰어다녔다.	뛰어다니/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.124.5.2
자수는 수집상들이 가정집에서 구해다가 고미술관에 판매해 세상에 나온다.

자수는	자수/NNG+는/JX
수집상들이	수집상/NNG+들/XSN+이/JKS
가정집에서	가정집/NNG+에서/JKB
구해다가	구하/VV+아다가/EC
고미술관에	고미술관/NNG+에/JKB
판매해	판매/NNG+하/XSV+아/EC
세상에	세상/NNG+에/JKB
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.124.5.3
"26년 동안 떠돌다 보니 전국 고미술관 주인 중 나를 모르는 사람이 없어요.

"26년	"/SS+26/SN+년/NNB
동안	동안/NNG
떠돌다	떠돌/VV+다/EC
보니	보/VX+니/EC
전국	전국/NNG
고미술관	고미술관/NNG
주인	주인/NNG
중	중/NNB
나를	나/NP+를/JKO
모르는	모르/VV+는/ETM
사람이	사람/NNG+이/JKS
없어요.	없/VA+어요/EF+./SF


# id : NWRW1800000038.124.5.4
어떤 분들은 좋은 작품이 들어오면 숨겨뒀다가 저에게만 연락해 오기도 하지요(웃음)."

어떤	어떤/MMD
분들은	분/NNB+들/XSN+은/JX
좋은	좋/VA+은/ETM
작품이	작품/NNG+이/JKS
들어오면	들어오/VV+면/EC
숨겨뒀다가	숨기/VV+어/EC+두/VX+었/EP+다가/EC
저에게만	저/NP+에게/JKB+만/JX
연락해	연락/NNG+하/XSV+아/EC
오기도	오/VX+기/ETN+도/JX
하지요(웃음)."	하/VX+지요/EF+(/SS+웃음/NNG+)/SS+./SF+"/SS


# id : NWRW1800000038.124.6.1
주변에서는 자수 수집에 몰두하느라 대학교수 일에 소홀한 것 아니냐고 묻지만, 안 관장은 예술에 대한 자신의 취미를 살려 10년 전 문화 예술 기관의 마케팅을 연구하는 '문화마케팅' 강의를 개설했다.

주변에서는	주변/NNG+에서/JKB+는/JX
자수	자수/NNG
수집에	수집/NNG+에/JKB
몰두하느라	몰두/NNG+하/XSV+느라/EC
대학교수	대학교수/NNG
일에	일/NNG+에/JKB
소홀한	소홀/NNG+하/XSA+ㄴ/ETM
것	것/NNB
아니냐고	아니/VCN+냐고/EC
묻지만,	묻/VV+지만/EC+,/SP
안	안/NNP
관장은	관장/NNG+은/JX
예술에	예술/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
자신의	자신/NNG+의/JKG
취미를	취미/NNG+를/JKO
살려	살리/VV+어/EC
10년	10/SN+년/NNB
전	전/NNG
문화	문화/NNG
예술	예술/NNG
기관의	기관/NNG+의/JKG
마케팅을	마케팅/NNG+을/JKO
연구하는	연구/NNG+하/XSV+는/ETM
'문화마케팅'	'/SS+문화/NNG+마케팅/NNG+'/SS
강의를	강의/NNG+를/JKO
개설했다.	개설/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.124.6.2
마케팅 학술 동아리·창업 동아리도 직접 만들었다.

마케팅	마케팅/NNG
학술	학술/NNG
동아리·창업	동아리/NNG+·/SP+창업/NNG
동아리도	동아리/NNG+도/JX
직접	직접/MAG
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.124.7.1
2005년엔 그동안 모은 자수들로 첫 전시회를 열었다.

2005년엔	2005/SN+년/NNB+에/JKB+ㄴ/JX
그동안	그동안/NNG
모은	모으/VV+ㄴ/ETM
자수들로	자수/NNG+들/XSN+로/JKB
첫	첫/MMN
전시회를	전시회/NNG+를/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.124.7.2
강릉에서 개최한 전시회는 전국에서 모여든 전문가들로부터 수준 높은 작품을 망라했다는 평을 받았다.

강릉에서	강릉/NNP+에서/JKB
개최한	개최/NNG+하/XSV+ㄴ/ETM
전시회는	전시회/NNG+는/JX
전국에서	전국/NNG+에서/JKB
모여든	모여들/VV+ㄴ/ETM
전문가들로부터	전문가/NNG+들/XSN+로부터/JKB
수준	수준/NNG
높은	높/VA+은/ETM
작품을	작품/NNG+을/JKO
망라했다는	망라/NNG+하/XSV+았/EP+다는/ETM
평을	평/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.124.7.3
안 관장은 이때부터 박물관 개관을 준비해왔다.

안	안/NNP
관장은	관장/NNG+은/JX
이때부터	이때/NNG+부터/JX
박물관	박물관/NNG
개관을	개관/NNG+을/JKO
준비해왔다.	준비/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.124.7.4
"강릉시가 2010년 폐교된 초등학교에 문화예술회관을 세우기로 하면서 해결됐죠.

"강릉시가	"/SS+강릉시/NNP+가/JKS
2010년	2010/SN+년/NNB
폐교된	폐교/NNG+되/XSV+ㄴ/ETM
초등학교에	초등학교/NNG+에/JKB
문화예술회관을	문화/NNG+예술/NNG+회관/NNG+을/JKO
세우기로	세우/VV+기/ETN+로/JKB
하면서	하/VV+면서/EC
해결됐죠.	해결/NNG+되/XSV+었/EP+죠/EF+./SF


# id : NWRW1800000038.124.7.5
인건비 등 운영비 일부도 정부에서 지원해줬습니다."

인건비	인건비/NNG
등	등/NNB
운영비	운영비/NNG
일부도	일부/NNG+도/JX
정부에서	정부/NNG+에서/JKB
지원해줬습니다."	지원/NNG+하/XSV+아/EC+주/VX+었/EP+습니다/EF+./SF+"/SS


# id : NWRW1800000038.124.8.1
결국 은퇴를 2년여 앞둔 2011년 1월 박물관을 개관했다.

결국	결국/MAG
은퇴를	은퇴/NNG+를/JKO
2년여	2/SN+년/NNB+여/XSN
앞둔	앞두/VV+ㄴ/ETM
2011년	2011/SN+년/NNB
1월	1/SN+월/NNB
박물관을	박물관/NNG+을/JKO
개관했다.	개관/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.124.8.2
안 관장은 요즘 은퇴를 앞둔 동료 교수들의 상담역까지 하느라 바쁘다.

안	안/NNP
관장은	관장/NNG+은/JX
요즘	요즘/NNG
은퇴를	은퇴/NNG+를/JKO
앞둔	앞두/VV+ㄴ/ETM
동료	동료/NNG
교수들의	교수/NNG+들/XSN+의/JKG
상담역까지	상담역/NNG+까지/JX
하느라	하/VV+느라/EC
바쁘다.	바쁘/VA+다/EF+./SF


# id : NWRW1800000038.124.8.3
"열정만 갖고는 안 되죠.

"열정만	"/SS+열정/NNG+만/JX
갖고는	갖/VV+고/EC+는/JX
안	안/MAG
되죠.	되/VV+죠/EF+./SF


# id : NWRW1800000038.124.8.4
체력과 금전적 여유가 있는 현직에 있을 때 은퇴 준비를 미리 시작하라고 귀띔합니다(웃음)."

체력과	체력/NNG+과/JC
금전적	금전/NNG+적/XSN
여유가	여유/NNG+가/JKS
있는	있/VA+는/ETM
현직에	현직/NNG+에/JKB
있을	있/VA+을/ETM
때	때/NNG
은퇴	은퇴/NNG
준비를	준비/NNG+를/JKO
미리	미리/MAG
시작하라고	시작/NNG+하/XSV+라고/EC
귀띔합니다(웃음)."	귀띔/NNG+하/XSV+ㅂ니다/EF+(/SS+웃음/NNG+)/SS+./SF+"/SS


