# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.73
metadata : {}


# id : NWRW1800000024.73.1.1
국립중앙박물관 ‘공짜전시’에도 관람객 줄어

국립중앙박물관	국립중앙박물관/NNP
감소했다.	감소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.73.7.1
2006년부터 매주 수, 토요일 저녁 6~9시에 시행하고 있는 야간 개장 관람객은 지난해 3만2184명으로 하루 평균 307명꼴이었고, 가장 적을 때는 하루 48명만 관람한 경우도 있었다.

2006년부터	2006/SN+년/NNB+부터/JX
매주	매주/MAG
수,	수/NNG+,/SP
토요일	토요일/NNG
저녁	저녁/NNG
6~9시에	6/SN+~/SO+9/SN+시/NNB+에/JKB
시행하고	시행/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
야간	야간/NNG
개장	개장/NNG
관람객은	관람객/NNG+은/JX
지난해	지난해/NNG
3만2184명으로	3/SN+만/NR+2184/SN+명/NNB+으로/JKB
하루	하루/NNG
평균	평균/NNG
307명꼴이었고,	307/SN+명/NNB+꼴/XSN+이/VCP+었/EP+고/EC+,/SP
가장	가장/MAG
적을	적/VA+을/ETM
때는	때/NNG+는/JX
48명만	48/SN+명/NNB+만/JX
관람한	관람/NNG+하/XSV+ㄴ/ETM
경우도	경우/NNG+도/JX
있었다.	있/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.73.8.1
보고서를 낸 박물관 고객지원팀은 ‘분석 내용 및 결과’를 통해 “지난해 전시 관람인원이 감소한 것은 신축 이전 개관 2년이 지나 개관 특수가 사라진데다, 2007년 루브르 특별전 같은 초대형 전시의 관객 동원을 따라가지 못했기 때문으로 보인다”고 분석했다.

보고서를	보고서/NNG+를/JKO
낸	내/VV+ㄴ/ETM
박물관	박물관/NNG
고객지원팀은	고객/NNG+지원/NNG+팀/NNG+은/JX
‘분석	‘/SS+분석/NNG
내용	내용/NNG
및	및/MAG
결과’를	결과/NNG+’/SS+를/JKO
통해	통하/VV+아/EC
“지난해	“/SS+지난해/NNG
전시	전시/NNG
관람인원이	관람/NNG+인원/NNG+이/JKS
감소한	감소/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
신축	신축/NNG
이전	이전/NNG
개관	개관/NNG
2년이	2/SN+년/NNB+이/JKS
지나	지나/VV+아/EC
특수가	특수/NNG+가/JKS
사라진데다,	사라지/VV+ㄴ/ETM+데/NNB+다/JX+,/SP
2007년	2007/SN+년/NNB
루브르	루브르/NNP
특별전	특별전/NNG
같은	같/VA+은/ETM
초대형	초/XPN+대형/NNG
전시의	전시/NNG+의/JKG
관객	관객/NNG
동원을	동원/NNG+을/JKO
따라가지	따라가/VV+지/EC
못했기	못하/VX+았/EP+기/ETN
때문으로	때문/NNB+으로/JKB
보인다”고	보이/VV+ㄴ다/EF+”/SS+고/JKQ
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.73.9.1
그러나 박물관의 한 관계자는 “관객의 감소 흐름이 무료화 이후에도 지속되고 있다는 것은 매우 심각한 문제”라며 “박물관 100주년 기념사업도 올해 대대적으로 벌이는 만큼 전시의 대중적 눈높이나 기획의 질 등을 좀더 성찰할 필요가 있다”고 말했다.

그러나	그러나/MAJ
박물관의	박물관/NNG+의/JKG
한	한/MMN
관계자는	관계자/NNG+는/JX
“관객의	“/SS+관객/NNG+의/JKG
감소	감소/NNG
흐름이	흐름/NNG+이/JKS
무료화	무료/NNG+화/XSN
이후에도	이후/NNG+에/JKB+도/JX
지속되고	지속/NNG+되/XSV+고/EC
있다는	있/VX+다는/ETM
것은	것/NNB+은/JX
매우	매우/MAG
심각한	심각하/VA+ㄴ/ETM
문제”라며	문제/NNG+”/SS+이/VCP+라며/EC
“박물관	“/SS+박물관/NNG
100주년	100/SN+주년/NNB
기념사업도	기념사업/NNG+도/JX
올해	올해/NNG
대대적으로	대대적/NNG+으로/JKB
벌이는	벌이/VV+는/ETM
만큼	만큼/NNB
전시의	전시/NNG+의/JKG
대중적	대중/NNG+적/XSN
눈높이나	눈높이/NNG+나/JC
기획의	기획/NNG+의/JKG
질	질/NNG
등을	등/NNB+을/JKO
좀더	좀/MAG+더/MAG
성찰할	성찰/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다”고	있/VV+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


