# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.10
metadata : {}


# id : NWRW1800000052.10.1.1
대우조선, 2조 손실 재무제표 미반영

대우조선,	대우조선/NNP+,/SP
오류를	오류/NNG+를/JKO
범해	범하/VV+아/EC
금융당국	금융/NNG+당국/NNG
감리에서	감리/NNG+에서/JKB
적발될	적발/NNG+되/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
제기되자	제기/NNG+되/XSV+자/EC
뒤늦게	뒤늦/VA+게/EC
스스로	스스로/MAG
이	이/MMD
사실을	사실/NNG+을/JKO
밝힌	밝히/VV+ㄴ/ETM
게	거/NNB+이/JKC
아니냐는	아니/VCN+냐는/ETM
관측도	관측/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.10.11.1
오는 30일 주주총회를 앞둔 대우조선은 최근 공시를 통해 22일까지 끝냈어야 하는 감사보고서 작성이 지연되고 있다는 사실을 알린 바 있다.

오는	오/VV+는/ETM
30일	30/SN+일/NNB
주주총회를	주주/NNG+총회/NNG+를/JKO
앞둔	앞두/VV+ㄴ/ETM
대우조선은	대우조선/NNP+은/JX
최근	최근/MAG
공시를	공시/NNG+를/JKO
통해	통하/VV+아/EC
22일까지	22/SN+일/NNB+까지/JX
끝냈어야	끝내/VV+었/EP+어야/EC
하는	하/VX+는/ETM
감사보고서	감사/NNG+보고서/NNG
작성이	작성/NNG+이/JKS
지연되고	지연/NNG+되/XSV+고/EC
있다는	있/VX+다는/ETM
사실을	사실/NNG+을/JKO
알린	알리/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000052.10.11.2
대우조선은 “앞으로 명확한 원가개념을 정립하고 정밀한 상황예측 등 관리역량을 강화해 전기 손익 수정 같은 일이 재발하지 않도록 노력하겠다”고 말했다.

대우조선은	대우조선/NNP+은/JX
“앞으로	“/SS+앞/NNG+으로/JKB
명확한	명확하/VA+ㄴ/ETM
원가개념을	원가/NNG+개념/NNG+을/JKO
정립하고	정립/NNG+하/XSV+고/EC
정밀한	정밀/NNG+하/XSA+ㄴ/ETM
상황예측	상황/NNG+예측/NNG
등	등/NNB
관리역량을	관리/NNG+역량/NNG+을/JKO
강화해	강화/NNG+하/XSV+아/EC
전기	전기/NNG
손익	손익/NNG
수정	수정/NNG
같은	같/VA+은/ETM
일이	일/NNG+이/JKS
재발하지	재발/NNG+하/XSV+지/EC
않도록	않/VX+도록/EC
노력하겠다”고	노력/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.10.12.1
업계에서는 이번 재무제표 정정으로 인해 흑자 상태를 믿고 투자한 개인투자자들이 집단 소송에 나설 가능성을 제기하고 있다.

업계에서는	업계/NNG+에서/JKB+는/JX
이번	이번/NNG
재무제표	재무제표/NNG
정정으로	정정/NNG+으로/JKB
인해	인/NNG+하/XSV+아/EC
흑자	흑자/NNG
상태를	상태/NNG+를/JKO
믿고	믿/VV+고/EC
투자한	투자/NNG+하/XSV+ㄴ/ETM
개인투자자들이	개인/NNG+투자자/NNG+들/XSN+이/JKS
집단	집단/NNG
소송에	소송/NNG+에/JKB
나설	나서/VV+ㄹ/ETM
가능성을	가능/NNG+성/XSN+을/JKO
제기하고	제기/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.10.12.2
흑자 시절 3만원이 넘던 주가가 현재 5천원대로 떨어짐에 따라 이미 소송을 제기한 투자자들도 있다.

흑자	흑자/NNG
시절	시절/NNG
3만원이	3/SN+만/NR+원/NNB+이/JKS
넘던	넘/VV+던/ETM
주가가	주가/NNG+가/JKS
현재	현재/MAG
5천원대로	5/SN+천/NR+원/NNB+대/XSN+로/JKB
떨어짐에	떨어지/VV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
이미	이미/MAG
소송을	소송/NNG+을/JKO
제기한	제기/NNG+하/XSV+ㄴ/ETM
투자자들도	투자자/NNG+들/XSN+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000052.10.12.3
또 향후 수주에도 영향을 미치는 등 후폭풍이 있을 것이란 관측이 나온다.

또	또/MAG
향후	향후/NNG
수주에도	수주/NNG+에/JKB+도/JX
영향을	영향/NNG+을/JKO
미치는	미치/VV+는/ETM
등	등/NNB
후폭풍이	후폭풍/NNG+이/JKS
있을	있/VA+을/ETM
것이란	것/NNB+이/VCP+란/ETM
관측이	관측/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


