# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.403
metadata : {}


# id : NWRW1800000032.403.1.1
지지층 막판 공략 ‘전화 대 SNS’

지지층	지지/NNG+층/XSN
사실을	사실/NNG+을/JKO
증명해	증명/NNG+하/XSV+아/EC
드리세요”라고	드리/VX+시/EP+어요/EF+”/SS+라고/JKQ
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.403.5.4
강금실 전 법무부장관 등 지지자들도 트위터에 투표 참여를 권하는 글을 잇달아 올리고 있다.

강금실	강금실/NNP
전	전/MMD
법무부장관	법무부/NNG+장관/NNG
등	등/NNB
지지자들도	지지자/NNG+들/XSN+도/JX
트위터에	트위터/NNP+에/JKB
투표	투표/NNG
참여를	참여/NNG+를/JKO
권하는	권/NNG+하/XSV+는/ETM
글을	글/NNG+을/JKO
잇달아	잇달/VV+아/EC
올리고	올리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.403.6.1
이에 맞서 나 후보 쪽은 전화 홍보에 공을 들이고 있다.

이에	이/NP+에/JKB
맞서	맞서/VV+어/EC
나	나/NNP
후보	후보/NNG
쪽은	쪽/NNB+은/JX
전화	전화/NNG
홍보에	홍보/NNG+에/JKB
공을	공/NNG+을/JKO
들이고	들이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.403.6.2
나 후보 선대위는 이날 일간지에 “더이상 침묵하지 마십시오! 대한민국과 아이들의 내일을 위해 지금부터 100통의 전화 함께 해주세요”라는 카피의 광고를 실었다.

나	나/NNP
후보	후보/NNG
선대위는	선대위/NNG+는/JX
이날	이날/NNG
일간지에	일간지/NNG+에/JKB
“더이상	“/SS+더/MAG+이상/NNG
침묵하지	침묵/NNG+하/XSV+지/EC
마십시오!	말/VX+시/EP+ㅂ시오/EF+!/SF
대한민국과	대한민국/NNP+과/JC
아이들의	아이/NNG+들/XSN+의/JKG
내일을	내일/NNG+을/JKO
위해	위하/VV+아/EC
지금부터	지금/NNG+부터/JX
100통의	100/SN+통/NNB+의/JKG
전화	전화/NNG
함께	함께/MAG
해주세요”라는	하/VV+아/EC+주/VX+시/EP+어요/EF+”/SS+이/VCP+라는/ETM
카피의	카피/NNG+의/JKG
광고를	광고/NNG+를/JKO
실었다.	싣/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.403.6.3
광고에는 “한강의 기적을 만든 우리 아버지”, “허리띠 졸라맸던 우리 어머니” 등 중장년층에 호소하는 문구를 넣었다.

광고에는	광고/NNG+에/JKB+는/JX
“한강의	“/SS+한강/NNP+의/JKG
기적을	기적/NNG+을/JKO
만든	만들/VV+ㄴ/ETM
우리	우리/NP
아버지”,	아버지/NNG+”/SS+,/SP
“허리띠	“/SS+허리띠/NNG
졸라맸던	졸라매/VV+었/EP+던/ETM
어머니”	어머니/NNG+”/SS
등	등/NNB
중장년층에	중장년/NNG+층/XSN+에/JKB
호소하는	호소/NNG+하/XSV+는/ETM
문구를	문구/NNG+를/JKO
넣었다.	넣/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.403.6.4
나 후보 쪽 관계자는 “나이 드신 분들은 에스엔에스를 하지 않는다”며 “저쪽에 에스엔에스가 있다면 우리에겐 전화가 있다”고 말했다.

나	나/NNP
후보	후보/NNG
쪽	쪽/NNB
관계자는	관계자/NNG+는/JX
“나이	“/SS+나이/NNG
드신	들/VV+시/EP+ㄴ/ETM
분들은	분/NNB+들/XSN+은/JX
에스엔에스를	에스엔에스/NNG+를/JKO
하지	하/VV+지/EC
않는다”며	않/VX+는다/EF+”/SS+며/EC
“저쪽에	“/SS+저쪽/NP+에/JKB
에스엔에스가	에스엔에스/NNG+가/JKS
있다면	있/VV+다면/EC
우리에겐	우리/NP+에게/JKB+ㄴ/JX
전화가	전화/NNG+가/JKS
있다”고	있/VV+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.403.7.1
여야의 이런 움직임은 투표율이 45% 선에 그치면 한나라당이, 50%를 넘으면 야권이 유리하리라는 견해에 바탕한 것이다.

여야의	여야/NNG+의/JKG
이런	이런/MMD
움직임은	움직임/NNG+은/JX
투표율이	투표/NNG+율/XSN+이/JKS
45%	45/SN+%/SW
선에	선/NNG+에/JKB
그치면	그치/VV+면/EC
한나라당이,	한나라당/NNP+이/JKS+,/SP
50%를	50/SN+%/SW+를/JKO
넘으면	넘/VV+으면/EC
야권이	야권/NNG+이/JKS
유리하리라는	유리/NNG+하/XSA+리라는/ETM
견해에	견해/NNG+에/JKB
바탕한	바탕/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.403.7.2
8·24 서울시 무상급식 주민투표 투표율 25.7%의 대부분인 22~23%포인트 정도를 한나라당 지지층이라고 가정한 셈법이다.

8·24	8/SN+·/SP+24/SN
서울시	서울시/NNP
무상급식	무상/NNG+급식/NNG
주민투표	주민/NNG+투표/NNG
투표율	투표/NNG+율/XSN
25.7%의	25/SN+./SP+7/SN+%/SW+의/JKG
대부분인	대/XPN+부분/NNG+이/VCP+ㄴ/ETM
22~23%포인트	22/SN+~/SO+23/SN+%포인트/NNG
정도를	정도/NNG+를/JKO
한나라당	한나라당/NNP
지지층이라고	지지/NNG+층/XSN+이/VCP+라고/EC
가정한	가정/NNG+하/XSV+ㄴ/ETM
셈법이다.	셈법/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.403.7.3
나 후보 쪽은 50대 이상, 보수 지지층을 투표장으로 끌어내는 데 초점을 두는 반면, 박 후보 쪽은 40대 이하, 중간층 끌어내기에 공을 들이는 것이다.

나	나/NNP
후보	후보/NNG
쪽은	쪽/NNB+은/JX
50대	50/SN+대/NNB
이상,	이상/NNG+,/SP
보수	보수/NNG
지지층을	지지/NNG+층/XSN+을/JKO
투표장으로	투표장/NNG+으로/JKB
끌어내는	끌어내/VV+는/ETM
데	데/NNB
초점을	초점/NNG+을/JKO
두는	두/VV+는/ETM
반면,	반면/NNG+,/SP
박	박/NNP
40대	40/SN+대/NNB
이하,	이하/NNG+,/SP
중간층	중간/NNG+층/XSN
끌어내기에	끌어내/VV+기/ETN+에/JKB
공을	공/NNG+을/JKO
들이는	들이/VV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


