# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.228
metadata : {}


# id : NWRW1800000021.228.1.1
[휴지통]‘피박’ 쓴 경찰

[휴지통]‘피박’	[/SS+휴지통/NNG+]/SS+‘/SS+피박/NNG+’/SS
경찰에 따르면 양 경감 등 경찰관 4명은 지난달 25일 오후 5시 반경 광주 북구 매곡동의 한 모텔에서 판돈 15만 원을 걸고 ‘고스톱’을 하다 시민의 신고를 받고 출동한 지구대 직원들에게 현장에서 붙잡혔다.

경찰에	경찰/NNG+에/JKB
따르면	따르/VV+면/EC
양	양/NNP
경감	경감/NNG
등	등/NNB
경찰관	경찰관/NNG
4명은	4/SN+명/NNB+은/JX
지난달	지난달/NNG
25일	25/SN+일/NNB
오후	오후/NNG
5시	5/SN+시/NNB
반경	반/NNG+경/XSN
광주	광주/NNP
북구	북구/NNP
매곡동의	매곡동/NNP+의/JKG
한	한/MMN
모텔에서	모텔/NNG+에서/JKB
판돈	판돈/NNG
15만	15/SN+만/NR
원을	원/NNB+을/JKO
걸고	걸/VV+고/EC
‘고스톱’을	‘/SS+고스톱/NNG+’/SS+을/JKO
하다	하/VV+다/EC
시민의	시민/NNG+의/JKG
신고를	신고/NNG+를/JKO
받고	받/VV+고/EC
출동한	출동/NNG+하/XSV+ㄴ/ETM
지구대	지구대/NNG
직원들에게	직원/NNG+들/XSN+에게/JKB
현장에서	현장/NNG+에서/JKB
붙잡혔다.	붙잡히/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.228.3.2
양 경감과 박 경위는 당시 근무 시간이었고 김 경위와 김 경사는 비번이었다고 경찰은 밝혔다.

양	양/NNP
경감과	경감/NNG+과/JC
박	박/NNP
경위는	경위/NNG+는/JX
당시	당시/NNG
근무	근무/NNG
시간이었고	시간/NNG+이/VCP+었/EP+고/EC
김	김/NNP
경위와	경위/NNG+와/JC
경사는	경사/NNG+는/JX
비번이었다고	비번/NNG+이/VCP+었/EP+다고/EC
경찰은	경찰/NNG+은/JX
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.228.4.1
양 경감 등은 “근무가 거의 끝난 시간대였고, 단순한 밥값 내기 도박이었다”고 해명했지만 이들이 평소에도 자주 도박을 한다는 소문이 있었던 것으로 알려졌다.

양	양/NNP
경감	경감/NNG
등은	등/NNB+은/JX
“근무가	“/SS+근무/NNG+가/JKS
거의	거의/MAG
끝난	끝나/VV+ㄴ/ETM
시간대였고,	시간대/NNG+이/VCP+었/EP+고/EC+,/SP
단순한	단순/NNG+하/XSA+ㄴ/ETM
밥값	밥값/NNG
내기	내기/NNG
도박이었다”고	도박/NNG+이/VCP+었/EP+다/EF+”/SS+고/JKQ
해명했지만	해명/NNG+하/XSV+았/EP+지만/EC
이들이	이/NP+들/XSN+이/JKS
평소에도	평소/NNG+에/JKB+도/JX
자주	자주/MAG
도박을	도박/NNG+을/JKO
한다는	하/VV+ㄴ다는/ETM
소문이	소문/NNG+이/JKS
있었던	있/VA+었/EP+던/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.228.4.2
양 경감과 박 경위는 감찰 조사가 시작되면서 광주 시내 모 경찰서로 전출됐다.

양	양/NNP
경감과	경감/NNG+과/JC
박	박/NNP
경위는	경위/NNG+는/JX
감찰	감찰/NNG
조사가	조사/NNG+가/JKS
시작되면서	시작/NNG+되/XSV+면서/EC
광주	광주/NNP
시내	시내/NNG
모	모/NP
경찰서로	경찰서/NNG+로/JKB
전출됐다.	전출/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000021.228.5.1
한편 광주 광산경찰서는 12일 만취 상태에서 운전하다 추돌 사고를 낸 혐의로 광산경찰서 수사과 박모 경사(48)를 입건해 조사하고 있다.

한편	한편/MAG
광주	광주/NNP
광산경찰서는	광산경찰서/NNP+는/JX
12일	12/SN+일/NNB
만취	만취/NNG
상태에서	상태/NNG+에서/JKB
운전하다	운전/NNG+하/XSV+다/EC
추돌	추돌/NNG
사고를	사고/NNG+를/JKO
낸	내/VV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
광산경찰서	광산경찰서/NNP
수사과	수사과/NNG
박모	박/NNP+모/NP
경사(48)를	경사/NNG+(/SS+48/SN+)/SS+를/JKO
입건해	입건/NNG+하/XSV+아/EC
조사하고	조사/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.228.5.2
조사 결과 박 경사는 면허취소 수준인 혈중 알코올농도 0.19% 상태로 광산구 하남중앙로에서 자신의 승용차를 몰고 가다 앞 차량을 추돌한 것으로 밝혀졌다.

조사	조사/NNG
결과	결과/NNG
박	박/NNP
경사는	경사/NNG+는/JX
면허취소	면허/NNG+취소/NNG
수준인	수준/NNG+이/VCP+ㄴ/ETM
혈중	혈중/NNG
알코올농도	알코올/NNG+농도/NNG
0.19%	0/SN+./SP+19/SN+%/SW
상태로	상태/NNG+로/JKB
광산구	광산구/NNP
하남중앙로에서	하남중앙로/NNP+에서/JKB
자신의	자신/NNG+의/JKG
승용차를	승용차/NNG+를/JKO
몰고	몰/VV+고/EC
가다	가/VV+다/EC
앞	앞/NNG
차량을	차량/NNG+을/JKO
추돌한	추돌/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
밝혀졌다.	밝혀지/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.228.5.3
사고 당일은 경찰청 주관 음주운전 특별 감찰 활동 기간이었다.

사고	사고/NNG
당일은	당일/NNG+은/JX
경찰청	경찰청/NNG
주관	주관/NNG
음주운전	음주/NNG+운전/NNG
특별	특별/NNG
감찰	감찰/NNG
활동	활동/NNG
기간이었다.	기간/NNG+이/VCP+었/EP+다/EF+./SF


