# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.208
metadata : {}


# id : NWRW1800000045.208.1.1
천경자 화백, 불꽃처럼 살다…‘슬픈 전설’로 남다

천경자	천경자/NNP
천 화백은 1995년 호암갤러리에서 15년 만의 개인전을 열고 3년 뒤 미국으로 떠났다가 일시 귀국해 서울시립미술관에 작품을 기증했다.

천	천/NNP
화백은	화백/NNG+은/JX
1995년	1995/SN+년/NNB
호암갤러리에서	호암갤러리/NNP+에서/JKB
15년	15/SN+년/NNB
만의	만/NNB+의/JKG
개인전을	개인전/NNG+을/JKO
열고	열/VV+고/EC
3년	3/SN+년/NNB
뒤	뒤/NNG
미국으로	미국/NNP+으로/JKB
떠났다가	떠나/VV+았/EP+다가/EC
일시	일시/MAG
귀국해	귀국/NNG+하/XSV+아/EC
서울시립미술관에	서울시립미술관/NNP+에/JKB
작품을	작품/NNG+을/JKO
기증했다.	기증/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.208.7.2
4년 후 서울시립미술관에 ‘천경자실’이 마련됐지만 2013년 딸 이 씨는 “서울시의 관리가 소홀하다”며 작품 반환을 요구해 다시 논란이 일었다.

4년	4/SN+년/NNB
후	후/NNG
서울시립미술관에	서울시립미술관/NNP+에/JKB
‘천경자실’이	‘/SS+천경자실/NNG+’/SS+이/JKS
마련됐지만	마련/NNG+되/XSV+었/EP+지만/EC
2013년	2013/SN+년/NNB
딸	딸/NNG
이	이/NNP
씨는	씨/NNB+는/JX
“서울시의	“/SS+서울시/NNP+의/JKG
관리가	관리/NNG+가/JKS
소홀하다”며	소홀/NNG+하/XSA+다/EF+”/SS+며/EC
작품	작품/NNG
반환을	반환/NNG+을/JKO
요구해	요구/NNG+하/XSV+아/EC
다시	다시/MAG
논란이	논란/NNG+이/JKS
일었다.	일/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.208.7.3
2007년 고향 전남 고흥군에 기증됐던 작품 66점도 2012년 딸 이 씨가 “작품 보관이 허술하다”며 갈등을 빚어 이듬해 그림이 모두 반환되고 기념미술관 건립 계획도 백지화됐다.

2007년	2007/SN+년/NNB
고향	고향/NNG
전남	전남/NNP
고흥군에	고흥군/NNP+에/JKB
기증됐던	기증/NNG+되/XSV+었/EP+던/ETM
작품	작품/NNG
66점도	66/SN+점/NNB+도/JX
2012년	2012/SN+년/NNB
딸	딸/NNG
이	이/NNP
씨가	씨/NNB+가/JKS
“작품	“/SS+작품/NNG
보관이	보관/NNG+이/JKS
허술하다”며	허술하/VA+다/EF+”/SS+며/EC
갈등을	갈등/NNG+을/JKO
빚어	빚/VV+어/EC
이듬해	이듬해/NNG
그림이	그림/NNG+이/JKS
모두	모두/MAG
반환되고	반환/NNG+되/XSV+고/EC
기념미술관	기념/NNG+미술관/NNG
건립	건립/NNG
계획도	계획/NNG+도/JX
백지화됐다.	백지/NNG+화/XSN+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000045.208.8.1
천 화백은 개인사가 순탄치 않았다.

천	천/NNP
화백은	화백/NNG+은/JX
개인사가	개인사/NNG+가/JKS
순탄치	순탄하/VA+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000045.208.8.2
스무 살 때 결혼해 큰딸 이 씨 등 1남 1녀를 낳았지만 남편과 곧 헤어졌다.

스무	스무/MMN
살	살/NNB
때	때/NNG
결혼해	결혼/NNG+하/XSV+아/EC
큰딸	큰딸/NNG
이	이/NNP
씨	씨/NNB
등	등/NNB
1남	1/SN+남/NNG
1녀를	1/SN+녀/NNG+를/JKO
낳았지만	낳/VV+았/EP+지만/EC
남편과	남편/NNG+과/JKB
곧	곧/MAG
헤어졌다.	헤어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.208.8.3
얼마 뒤 유부남이던 두 번째 연인과의 만남으로 다시 1남 1녀를 얻은 뒤 독신으로 지냈다.

얼마	얼마/NNG
뒤	뒤/NNG
유부남이던	유부남/NNG+이/VCP+던/ETM
두	두/MMN
번째	번/NNB+째/XSN
연인과의	연인/NNG+과/JKB+의/JKG
만남으로	만남/NNG+으로/JKB
다시	다시/MAG
1남	1/SN+남/NNG
1녀를	1/SN+녀/NNG+를/JKO
얻은	얻/VV+은/ETM
독신으로	독신/NNG+으로/JKB
지냈다.	지내/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.208.8.4
1978년 대한민국예술원 정회원이 된 그는 이듬해 예술원상을 받았다.

1978년	1978/SN+년/NNB
대한민국예술원	대한민국예술원/NNP
정회원이	정회원/NNG+이/JKC
된	되/VV+ㄴ/ETM
그는	그/NP+는/JX
이듬해	이듬해/NNG
예술원상을	예술원/NNG+상/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.208.8.5
그러나 천 화백의 생존 여부가 확인되지 않자 지난해 2월 예술원은 수당 지급을 중단했다.

그러나	그러나/MAJ
천	천/NNP
화백의	화백/NNG+의/JKG
생존	생존/NNG
여부가	여부/NNG+가/JKS
확인되지	확인/NNG+되/XSV+지/EC
않자	않/VX+자/EC
지난해	지난해/NNG
2월	2/SN+월/NNB
예술원은	예술원/NNG+은/JX
수당	수당/NNG
지급을	지급/NNG+을/JKO
중단했다.	중단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.208.8.6
이에 딸 이 씨는 원로 회원들에게 전화를 걸어 “어머니를 예술원 회원에서 탈퇴시켜 달라”고 요구했다.

이에	이/NP+에/JKB
딸	딸/NNG
이	이/NNP
씨는	씨/NNB+는/JX
원로	원로/NNG
회원들에게	회원/NNG+들/XSN+에게/JKB
전화를	전화/NNG+를/JKO
걸어	걸/VV+어/EC
“어머니를	“/SS+어머니/NNG+를/JKO
예술원	예술원/NNG
회원에서	회원/NNG+에서/JKB
탈퇴시켜	탈퇴/NNG+시키/XSV+어/EC
달라”고	달/VX+라/EF+”/SS+고/JKQ
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.208.8.7
예술원 측은 “9월 4일 서울 강남구청에 사망신고가 접수된 것을 22일 확인했다.

예술원	예술원/NNG
측은	측/NNB+은/JX
“9월	“/SS+9/SN+월/NNB
4일	4/SN+일/NNB
서울	서울/NNP
강남구청에	강남구청/NNP+에/JKB
사망신고가	사망/NNG+신고/NNG+가/JKS
접수된	접수/NNG+되/XSV+ㄴ/ETM
것을	것/NNB+을/JKO
22일	22/SN+일/NNB
확인했다.	확인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.208.8.8
미지급된 수당 약 3400만 원을 소급해 지급할 예정”이라고 밝혔다.

미지급된	미/XPN+지급/NNG+되/XSV+ㄴ/ETM
수당	수당/NNG
약	약/MMA
3400만	3400/SN+만/NR
원을	원/NNB+을/JKO
소급해	소급/NNG+하/XSV+아/EC
지급할	지급/NNG+하/XSV+ㄹ/ETM
예정”이라고	예정/NNG+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.208.9.1
서울시립미술관의 ‘천경자실’은 기획전 흐름을 차단하는 위치 때문에 이전해야 한다는 주장이 여러 차례 제기됐다.

서울시립미술관의	서울시립미술관/NNP+의/JKG
‘천경자실’은	‘/SS+천경자실/NNG+’/SS+은/JX
기획전	기획전/NNG
흐름을	흐름/NNG+을/JKO
차단하는	차단/NNG+하/XSV+는/ETM
위치	위치/NNG
때문에	때문/NNB+에/JKB
이전해야	이전/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
주장이	주장/NNG+이/JKS
여러	여러/MMN
차례	차례/NNG
제기됐다.	제기/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000045.208.9.2
김홍희 서울시립미술관장은 “지난해 이 씨와 논의했지만 거절당했다.

김홍희	김홍희/NNP
서울시립미술관장은	서울시립미술관장/NNG+은/JX
“지난해	“/SS+지난해/NNG
이	이/NNP
씨와	씨/NNB+와/JKB
논의했지만	논의/NNG+하/XSV+았/EP+지만/EC
거절당했다.	거절/NNG+당하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.208.9.3
기증 당시 계약에 따라 전시 공간을 유족 동의 없이 개조하거나 옮길 수 없다”고 했다.

기증	기증/NNG
당시	당시/NNG
계약에	계약/NNG+에/JKB
따라	따르/VV+아/EC
전시	전시/NNG
공간을	공간/NNG+을/JKO
유족	유족/NNG
동의	동의/NNG
없이	없이/MAG
개조하거나	개조/NNG+하/XSV+거나/EC
옮길	옮기/VV+ㄹ/ETM
수	수/NNB
없다”고	없/VA+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.208.9.4
예술원 회원인 민경갑 화백(82)은 “장녀와 서울시립미술관이 고인의 별세 사실을 숨긴 것은 모친과 작가에 대한 예의에 어긋나는 행위였다.

예술원	예술원/NNG
회원인	회원/NNG+이/VCP+ㄴ/ETM
민경갑	민경갑/NNP
화백(82)은	화백/NNG+(/SS+82/SN+)/SS+은/JX
“장녀와	“/SS+장녀/NNG+와/JC
서울시립미술관이	서울시립미술관/NNP+이/JKS
고인의	고인/NNG+의/JKG
별세	별세/NNG
사실을	사실/NNG+을/JKO
숨긴	숨기/VV+ㄴ/ETM
것은	것/NNB+은/JX
모친과	모친/NNG+과/JC
작가에	작가/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
예의에	예의/NNG+에/JKB
어긋나는	어긋나/VV+는/ETM
행위였다.	행위/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000045.208.9.5
석연찮은 미스터리만 남았다”고 아쉬워했다.

석연찮은	석연하/VA+지/EC+않/VX+은/ETM
미스터리만	미스터리/NNG+만/JX
남았다”고	남/VV+았/EP+다/EF+”/SS+고/JKQ
아쉬워했다.	아쉬워하/VV+았/EP+다/EF+./SF


