# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.181
metadata : {}


# id : NWRW1800000053.181.1.1
“석달 뒤 첫 손주 본다며 손꼽아 기다리시더니…”

“석달	“/SS+석/MMN+달/NNB
있었지만	있/VA+었/EP+지만/EC
부부는	부부/NNG+는/JX
함께	함께/MAG
극복했다.	극복/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.181.6.5
최근에는 사업도 안정을 찾았다.

최근에는	최근/NNG+에/JKB+는/JX
사업도	사업/NNG+도/JX
안정을	안정/NNG+을/JKO
찾았다.	찾/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.181.7.1
부부는 슬하에 아들 하나를 뒀다.

부부는	부부/NNG+는/JX
슬하에	슬하/NNG+에/JKB
아들	아들/NNG
하나를	하나/NR+를/JKO
뒀다.	두/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.181.7.2
외동이라 신 씨 부부의 사랑은 남달랐다.

외동이라	외동/NNG+이/VCP+라/EC
신	신/NNP
씨	씨/NNB
부부의	부부/NNG+의/JKG
사랑은	사랑/NNG+은/JX
남달랐다.	남다르/VA+았/EP+다/EF+./SF


# id : NWRW1800000053.181.7.3
봉제 일을 해서 번 돈으로 대학 공부까지 시켰다.

봉제	봉제/NNG
일을	일/NNG+을/JKO
해서	하/VV+아서/EC
번	벌/VV+ㄴ/ETM
돈으로	돈/NNG+으로/JKB
대학	대학/NNG
공부까지	공부/NNG+까지/JX
시켰다.	시키/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.181.7.4
취업에 성공한 아들(33)은 지난해 결혼해 현재 임신 7개월의 아내가 있다.

취업에	취업/NNG+에/JKB
성공한	성공/NNG+하/XSV+ㄴ/ETM
아들(33)은	아들/NNG+(/SS+33/SN+)/SS+은/JX
지난해	지난해/NNG
결혼해	결혼/NNG+하/XSV+아/EC
현재	현재/MAG
임신	임신/NNG
7개월의	7/SN+개월/NNB+의/JKG
아내가	아내/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000053.181.7.5
신 씨 부부는 3개월 후 첫 손주를 안아볼 수 있다는 꿈에 부풀어 늘 환하게 웃었다.

신	신/NNP
씨	씨/NNB
부부는	부부/NNG+는/JX
3개월	3/SN+개월/NNB
후	후/NNG
첫	첫/MMN
손주를	손주/NNG+를/JKO
안아볼	안/VV+아/EC+보/VX+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
꿈에	꿈/NNG+에/JKB
부풀어	부풀/VV+어/EC
늘	늘/MAG
환하게	환하/VA+게/EC
웃었다.	웃/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.181.7.6
유족들은 “부부가 그동안 그렇게 고생만 하다가 이제야 행복을 맛볼 때가 되었는데 애타게 기다리던 손주 얼굴도 못 보게 됐다”고 안타까워했다.

유족들은	유족/NNG+들/XSN+은/JX
“부부가	“/SS+부부/NNG+가/JKS
그동안	그동안/NNG
그렇게	그렇/VA+게/EC
고생만	고생/NNG+만/JX
하다가	하/VV+다가/EC
이제야	이제야/MAG
행복을	행복/NNG+을/JKO
맛볼	맛보/VV+ㄹ/ETM
때가	때/NNG+가/JKC
되었는데	되/VV+었/EP+는데/EC
애타게	애타/VV+게/EC
기다리던	기다리/VV+던/ETM
손주	손주/NNG
얼굴도	얼굴/NNG+도/JX
못	못/MAG
보게	보/VV+게/EC
됐다”고	되/VV+었/EP+다/EF+”/SS+고/JKQ
안타까워했다.	안타까워하/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.181.8.1
사고 당일 신 씨 부부는 충남 부여 인근으로 나들이를 다녀오던 길이었다.

사고	사고/NNG
당일	당일/NNG
신	신/NNP
씨	씨/NNB
부부는	부부/NNG+는/JX
충남	충남/NNP
부여	부여/NNP
인근으로	인근/NNG+으로/JKB
나들이를	나들이/NNG+를/JKO
다녀오던	다녀오/VV+던/ETM
길이었다.	길/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000053.181.8.2
부부는 시간이 날 때마다 K5 승용차를 타고 나들이를 즐겼다.

부부는	부부/NNG+는/JX
시간이	시간/NNG+이/JKS
날	나/VV+ㄹ/ETM
때마다	때/NNG+마다/JX
K5	K/SL+5/SN
승용차를	승용차/NNG+를/JKO
타고	타/VV+고/EC
나들이를	나들이/NNG+를/JKO
즐겼다.	즐기/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.181.8.3
5년 전 구입한 이 승용차는 신 씨 가족의 첫 차인데 이번에 사고를 당하고 말았다.

5년	5/SN+년/NNB
전	전/NNG
구입한	구입/NNG+하/XSV+ㄴ/ETM
이	이/MMD
승용차는	승용차/NNG+는/JX
신	신/NNP
씨	씨/NNB
가족의	가족/NNG+의/JKG
첫	첫/MMN
차인데	차/NNG+이/VCP+ㄴ데/EC
이번에	이번/NNG+에/JKB
사고를	사고/NNG+를/JKO
당하고	당하/VV+고/EC
말았다.	말/VX+았/EP+다/EF+./SF


# id : NWRW1800000053.181.8.4
처음에는 아들의 출퇴근용을 겸해 사용하다가 아들 결혼 후 신 씨가 썼다.

처음에는	처음/NNG+에/JKB+는/JX
아들의	아들/NNG+의/JKG
출퇴근용을	출퇴근/NNG+용/XSN+을/JKO
겸해	겸/NNB+하/XSV+아/EC
사용하다가	사용/NNG+하/XSV+다가/EC
아들	아들/NNG
결혼	결혼/NNG
후	후/NNG
신	신/NNP
씨가	씨/NNB+가/JKS
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.181.8.5
신 씨는 평소 장거리 운전을 하면 50∼60km 구간마다 꼭 휴게소에 들러 휴식을 취할 정도로 안전운전을 중시했다고 한다.

신	신/NNP
씨는	씨/NNB+는/JX
평소	평소/NNG
장거리	장거리/NNG
운전을	운전/NNG+을/JKO
하면	하/VV+면/EC
50∼60km	50/SN+∼/SO+60/SN+km/SW
구간마다	구간/NNG+마다/JX
꼭	꼭/MAG
휴게소에	휴게소/NNG+에/JKB
들러	들르/VV+어/EC
휴식을	휴식/NNG+을/JKO
취할	취하/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
안전운전을	안전/NNG+운전/NNG+을/JKO
중시했다고	중시/NNG+하/XSV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.181.9.1
이날 오후 8시 반쯤 부부의 빈소에 가해자인 광역버스 운전사 김모 씨(51)가 소속된 오산교통 간부와 노조원들이 찾아 조문했다.

이날	이날/NNG
오후	오후/NNG
8시	8/SN+시/NNB
반쯤	반/NNG+쯤/XSN
부부의	부부/NNG+의/JKG
빈소에	빈소/NNG+에/JKB
가해자인	가해자/NNG+이/VCP+ㄴ/ETM
광역버스	광역/NNG+버스/NNG
운전사	운전사/NNG
김모	김/NNP+모/NP
씨(51)가	씨/NNB+(/SS+51/SN+)/SS+가/JKS
소속된	소속/NNG+되/XSV+ㄴ/ETM
오산교통	오산교통/NNP
간부와	간부/NNG+와/JC
노조원들이	노조원/NNG+들/XSN+이/JKS
찾아	찾/VV+아/EC
조문했다.	조문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.181.9.2
또 신 씨의 아들 등 유족들에게 “드릴 말씀이 없다.

또	또/MAG
신	신/NNP
씨의	씨/NNB+의/JKG
아들	아들/NNG
등	등/NNB
유족들에게	유족/NNG+들/XSN+에게/JKB
“드릴	“/SS+드리/VV+ㄹ/ETM
말씀이	말씀/NNG+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000053.181.9.3
죄송하다”며 사과했다.

죄송하다”며	죄송하/VA+다/EF+”/SS+며/EC
사과했다.	사과/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.181.9.4
신 씨의 조카는 “버스회사 대표 등 임직원들이 먼저 와서 진정성 있는 사과를 해야 하는데 오후 2시에 버스공제조합 사람들이 먼저 찾아와서 돈 얘기만 하고 갔다.

신	신/NNP
씨의	씨/NNB+의/JKG
조카는	조카/NNG+는/JX
“버스회사	“/SS+버스/NNG+회사/NNG
대표	대표/NNG
등	등/NNB
임직원들이	임직원/NNG+들/XSN+이/JKS
먼저	먼저/MAG
와서	오/VV+아서/EC
진정성	진정/NNG+성/XSN
있는	있/VA+는/ETM
사과를	사과/NNG+를/JKO
해야	하/VV+아야/EC
하는데	하/VX+는데/EC
오후	오후/NNG
2시에	2/SN+시/NNB+에/JKB
버스공제조합	버스/NNG+공제/NNG+조합/NNG
사람들이	사람/NNG+들/XSN+이/JKS
찾아와서	찾아오/VV+아서/EC
돈	돈/NNG
얘기만	얘기/NNG+만/JX
하고	하/VV+고/EC
갔다.	가/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.181.9.5
사람을 한순간에 고아로 만들어놓고 뭐하는 짓이냐”며 울분을 토했다.

사람을	사람/NNG+을/JKO
한순간에	한순간/NNG+에/JKB
고아로	고아/NNG+로/JKB
만들어놓고	만들/VV+어/EC+놓/VX+고/EC
뭐하는	뭐/NP+하/VV+는/ETM
짓이냐”며	짓/NNG+이/VCP+냐/EF+”/SS+며/EC
울분을	울분/NNG+을/JKO
토했다.	토하/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.181.10.1
유족들은 이번 사고와 같은 참사가 다시는 반복돼선 안 된다고 강조했다.

유족들은	유족/NNG+들/XSN+은/JX
이번	이번/NNG
사고와	사고/NNG+와/JKB
같은	같/VA+은/ETM
참사가	참사/NNG+가/JKS
다시는	다시/MAG+는/JX
반복돼선	반복/NNG+되/XSV+어서/EC+ㄴ/JX
안	안/MAG
된다고	되/VV+ㄴ다고/EC
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.181.10.2
신 씨의 조카는 “1년 전 영동고속도로 봉평터널에서 졸음운전으로 4명이 숨졌는데 똑같은 사고가 또 발생했다”며 “누구나 이 같은 사고의 당사자가 될 수 있는 만큼 보다 강력한 법적 조치를 마련해야 한다”고 말했다.

신	신/NNP
씨의	씨/NNB+의/JKG
조카는	조카/NNG+는/JX
“1년	“/SS+1/SN+년/NNB
전	전/NNG
영동고속도로	영동고속도로/NNP
봉평터널에서	봉평터널/NNP+에서/JKB
졸음운전으로	졸음운전/NNG+으로/JKB
4명이	4/SN+명/NNB+이/JKS
숨졌는데	숨지/VV+었/EP+는데/EC
똑같은	똑같/VA+은/ETM
사고가	사고/NNG+가/JKS
또	또/MAG
발생했다”며	발생/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“누구나	“/SS+누구/NP+나/JX
이	이/NP
같은	같/VA+은/ETM
사고의	사고/NNG+의/JKG
당사자가	당사자/NNG+가/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
만큼	만큼/NNB
보다	보다/MAG
강력한	강력/NNG+하/XSA+ㄴ/ETM
법적	법/NNG+적/XSN
조치를	조치/NNG+를/JKO
마련해야	마련/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


