# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.180
metadata : {}


# id : NWRW1800000049.180.1.1
[단독]“‘가습기 살균제’ 옥시, 인체유해 여부 독성실험 안해”

[단독]“‘가습기	[/SS+단독/NNG+]/SS+“/SS+‘/SS+가습기/NNG
검찰은	검찰/NNG+은/JX
제조사	제조사/NNG
내부에서	내부/NNG+에서/JKB
독성	독성/NNG
실험을	실험/NNG+을/JKO
검토했다가	검토/NNG+하/XSV+았/EP+다가/EC
흐지부지된	흐지부지/MAG+되/XSV+ㄴ/ETM
배경과	배경/NNG+과/JC
2001년	2001/SN+년/NNB
제품	제품/NNG
출시	출시/NNG
당시	당시/NNG
연구진	연구진/NNG
및	및/MAG
경영진의	경영진/NNG+의/JKG
의사결정	의사/NNG+결정/NNG
과정을	과정/NNG+을/JKO
면밀히	면밀히/MAG
들여다보고	들여다보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.180.5.1
옥시레킷벤키저는 영국 기업 레킷벤키저가 2001년 4월 동양화학그룹의 계열사였던 ‘옥시’를 인수해 설립했다.

옥시레킷벤키저는	옥시레킷벤키저/NNP+는/JX
영국	영국/NNP
기업	기업/NNG
레킷벤키저가	레킷벤키저/NNP+가/JKS
2001년	2001/SN+년/NNB
4월	4/SN+월/NNB
동양화학그룹의	동양화학그룹/NNP+의/JKG
계열사였던	계열사/NNG+이/VCP+었/EP+던/ETM
‘옥시’를	‘/SS+옥시/NNP+’/SS+를/JKO
인수해	인수/NNG+하/XSV+아/EC
설립했다.	설립/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.180.5.2
옥시레킷벤키저는 사건 발생 후 회사명을 RB코리아로 변경했다.

옥시레킷벤키저는	옥시레킷벤키저/NNP+는/JX
사건	사건/NNG
발생	발생/NNG
후	후/NNG
회사명을	회사명/NNG+을/JKO
RB코리아로	RB코리아/NNP+로/JKB
변경했다.	변경/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.180.6.1
PHMG를 주성분으로 한 가습기 살균제는 옥시레킷벤키저가 인수하기 전인 옥시 때부터 출시 계획이 수립된 것으로 알려졌다.

PHMG를	PHMG/SL+를/JKO
주성분으로	주성분/NNG+으로/JKB
한	하/VV+ㄴ/ETM
가습기	가습기/NNG
살균제는	살균제/NNG+는/JX
옥시레킷벤키저가	옥시레킷벤키저/NNP+가/JKS
인수하기	인수/NNG+하/XSV+기/ETN
전인	전/NNG+이/VCP+ㄴ/ETM
옥시	옥시/NNP
때부터	때/NNG+부터/JX
출시	출시/NNG
계획이	계획/NNG+이/JKS
수립된	수립/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.180.6.2
특히 살균제 주성분이 바뀌는 만큼 옥시 내부에서 독성 실험이 검토된 것으로 검찰은 파악했다.

특히	특히/MAG
살균제	살균제/NNG
주성분이	주성분/NNG+이/JKS
바뀌는	바뀌/VV+는/ETM
만큼	만큼/NNB
옥시	옥시/NNP
내부에서	내부/NNG+에서/JKB
독성	독성/NNG
실험이	실험/NNG+이/JKS
검토된	검토/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
검찰은	검찰/NNG+은/JX
파악했다.	파악/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.180.6.3
가습기 살균제의 유해성을 따져봐야 한다는 의견이 업체 내부에서 나왔다는 뜻이다.

가습기	가습기/NNG
살균제의	살균제/NNG+의/JKG
유해성을	유해/NNG+성/XSN+을/JKO
따져봐야	따지/VV+어/EC+보/VX+아야/EC
한다는	하/VX+ㄴ다는/ETM
의견이	의견/NNG+이/JKS
업체	업체/NNG
내부에서	내부/NNG+에서/JKB
나왔다는	나오/VV+았/EP+다는/ETM
뜻이다.	뜻/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.180.6.4
하지만 회사가 레킷벤키저로 매각된 뒤 흡입독성 실험을 비롯해 피부독성 실험이 이뤄지지 않은 것으로 검찰은 보고 있다.

하지만	하지만/MAJ
회사가	회사/NNG+가/JKS
레킷벤키저로	레킷벤키저/NNP+로/JKB
매각된	매각/NNG+되/XSV+ㄴ/ETM
뒤	뒤/NNG
흡입독성	흡입/NNG+독성/NNG
실험을	실험/NNG+을/JKO
비롯해	비롯하/VV+아/EC
피부독성	피부/NNG+독성/NNG
실험이	실험/NNG+이/JKS
이뤄지지	이뤄지/VV+지/EC
않은	않/VX+은/ETM
것으로	것/NNB+으로/JKB
검찰은	검찰/NNG+은/JX
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.180.7.1
특히 검찰은 옥시레킷벤키저가 영유아와 임산부 수십 명이 숨지면서 사회적 문제로 커진 2011년까지 흡입독성 실험을 하지 않은 점도 조사할 계획이다.

특히	특히/MAG
검찰은	검찰/NNG+은/JX
옥시레킷벤키저가	옥시레킷벤키저/NNP+가/JKS
영유아와	영유아/NNG+와/JC
임산부	임산부/NNG
수십	수십/NR
명이	명/NNB+이/JKS
숨지면서	숨지/VV+면서/EC
사회적	사회/NNG+적/XSN
문제로	문제/NNG+로/JKB
커진	커지/VV+ㄴ/ETM
2011년까지	2011/SN+년/NNB+까지/JX
흡입독성	흡입/NNG+독성/NNG
실험을	실험/NNG+을/JKO
하지	하/VV+지/EC
않은	않/VX+은/ETM
점도	점/NNG+도/JX
조사할	조사/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.180.7.2
1997년 최초로 출시된 가습기 살균제는 2011년을 전후해 연간 국내 판매량이 60만 개에 육박했지만, 어떤 제조업체도 흔한 동물 실험 한번 하지 않고 소비자에게 대량으로 판매했다.

1997년	1997/SN+년/NNB
최초로	최초/NNG+로/JKB
출시된	출시/NNG+되/XSV+ㄴ/ETM
가습기	가습기/NNG
살균제는	살균제/NNG+는/JX
2011년을	2011/SN+년/NNB+을/JKO
전후해	전후/NNG+하/XSV+아/EC
연간	연간/NNG
국내	국내/NNG
판매량이	판매량/NNG+이/JKS
60만	60/SN+만/NR
개에	개/NNB+에/JKB
육박했지만,	육박/NNG+하/XSV+았/EP+지만/EC+,/SP
어떤	어떤/MMD
제조업체도	제조업체/NNG+도/JX
흔한	흔하/VA+ㄴ/ETM
동물	동물/NNG
실험	실험/NNG
한번	한/MMN+번/NNB
하지	하/VV+지/EC
않고	않/VX+고/EC
소비자에게	소비자/NNG+에게/JKB
대량으로	대량/NNG+으로/JKB
판매했다.	판매/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.180.7.3
이에 대해 옥시 관계자들은 “우리는 화학독성 실험을 계획했으나 회사가 매각돼 책임이 없다”는 입장이다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
옥시	옥시/NNP
관계자들은	관계자/NNG+들/XSN+은/JX
“우리는	“/SS+우리/NP+는/JX
화학독성	화학/NNG+독성/NNG
실험을	실험/NNG+을/JKO
계획했으나	계획/NNG+하/XSV+았/EP+으나/EC
회사가	회사/NNG+가/JKS
매각돼	매각/NNG+되/XSV+어/EC
책임이	책임/NNG+이/JKS
없다”는	없/VA+다/EF+”/SS+는/ETM
입장이다.	입장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.180.7.4
옥시레킷벤키저 측은 “인수하기 전 회사에서 이미 안전성 검토까지 마쳤다고 봤다”고 주장했다.

옥시레킷벤키저	옥시레킷벤키저/NNP
측은	측/NNB+은/JX
“인수하기	“/SS+인수/NNG+하/XSV+기/ETN
전	전/NNG
회사에서	회사/NNG+에서/JKB
이미	이미/MAG
안전성	안전/NNG+성/XSN
검토까지	검토/NNG+까지/JX
마쳤다고	마치/VV+었/EP+다고/EC
봤다”고	보/VV+았/EP+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.180.8.1
검찰은 전 옥시 대표와 옥시레킷벤키저 대표 등을 소환해 흡입독성 실험을 하지 않은 경위 등을 조사할 계획이다.

검찰은	검찰/NNG+은/JX
전	전/MMD
옥시	옥시/NNP
대표와	대표/NNG+와/JC
옥시레킷벤키저	옥시레킷벤키저/NNP
대표	대표/NNG
등을	등/NNB+을/JKO
소환해	소환/NNG+하/XSV+아/EC
흡입독성	흡입/NNG+독성/NNG
실험을	실험/NNG+을/JKO
하지	하/VV+지/EC
않은	않/VX+은/ETM
경위	경위/NNG
조사할	조사/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.180.8.2
다만 2001년 당시에는 가습기 살균제가 비누와 비슷한 ‘세정제’로 등록돼 있었던 만큼 동물실험이 의무적으로 이뤄져야 하는 것은 아니었다.

다만	다만/MAG
2001년	2001/SN+년/NNB
당시에는	당시/NNG+에/JKB+는/JX
가습기	가습기/NNG
살균제가	살균제/NNG+가/JKS
비누와	비누/NNG+와/JKB
비슷한	비슷하/VA+ㄴ/ETM
‘세정제’로	‘/SS+세정제/NNG+’/SS+로/JKB
등록돼	등록/NNG+되/XSV+어/EC
있었던	있/VX+었/EP+던/ETM
만큼	만큼/NNB
동물실험이	동물/NNG+실험/NNG+이/JKS
의무적으로	의무/NNG+적/XSN+으로/JKB
이뤄져야	이뤄지/VV+어야/EC
하는	하/VX+는/ETM
것은	것/NNB+은/JX
아니었다.	아니/VCN+었/EP+다/EF+./SF


# id : NWRW1800000049.180.8.3
하지만 검찰은 업체 관계자들에게 PHMG의 독성 여부를 면밀히 살펴야 할 의무를 소홀히 해 다수의 피해자를 낸 혐의(업무상과실치사)를 적용하는 방안을 검토 중이다.

하지만	하지만/MAJ
검찰은	검찰/NNG+은/JX
업체	업체/NNG
관계자들에게	관계자/NNG+들/XSN+에게/JKB
PHMG의	PHMG/SL+의/JKG
독성	독성/NNG
여부를	여부/NNG+를/JKO
면밀히	면밀히/MAG
살펴야	살피/VV+어야/EC
할	하/VX+ㄹ/ETM
의무를	의무/NNG+를/JKO
소홀히	소홀히/MAG
해	하/VV+아/EC
다수의	다수/NNG+의/JKG
피해자를	피해자/NNG+를/JKO
낸	내/VV+ㄴ/ETM
혐의(업무상과실치사)를	혐의/NNG+(/SS+업무/NNG+상/XSN+과실/NNG+치사/NNG+)/SS+를/JKO
적용하는	적용/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
검토	검토/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.180.8.4
한편 가습기 살균제 피해자 모임과 환경 시민단체는 롯데마트와 SK케미칼에 이어 가습기 살균제를 만들어 판매한 신세계그룹의 이마트 전현직 임원도 14일 검찰에 고발했다.

한편	한편/MAG
가습기	가습기/NNG
살균제	살균제/NNG
피해자	피해자/NNG
모임과	모임/NNG+과/JC
환경	환경/NNG
시민단체는	시민/NNG+단체/NNG+는/JX
롯데마트와	롯데마트/NNP+와/JC
SK케미칼에	SK케미칼/NNP+에/JKB
이어	잇/VV+어/EC
살균제를	살균제/NNG+를/JKO
만들어	만들/VV+어/EC
판매한	판매/NNG+하/XSV+ㄴ/ETM
신세계그룹의	신세계그룹/NNP+의/JKG
이마트	이마트/NNP
전현직	전현직/NNG
임원도	임원/NNG+도/JX
14일	14/SN+일/NNB
검찰에	검찰/NNG+에/JKB
고발했다.	고발/NNG+하/XSV+았/EP+다/EF+./SF


