# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.310
metadata : {}


# id : NWRW1800000024.310.1.1
‘키코 효력정지 신청’ 첫 항고심서 기각

‘키코	‘/SS+키코/NNG
서울고법 민사40부(재판장 이성보)는 화인케미칼 등이 신한은행 등을 상대로 낸 계약 효력정지 가처분신청사건 항고심에서 1심과 같이 기각 결정을 내렸다고 23일 밝혔다.

서울고법	서울고법/NNP
민사40부(재판장	민사/NNG+40/SN+부/NNG+(/SS+재판장/NNG
이성보)는	이성보/NNP+)/SS+는/JX
화인케미칼	화인케미칼/NNP
등이	등/NNB+이/JKS
신한은행	신한은행/NNP
등을	등/NNB+을/JKO
상대로	상대/NNG+로/JKB
낸	내/VV+ㄴ/ETM
계약	계약/NNG
효력정지	효력/NNG+정지/NNG
가처분신청사건	가/XPN+처분/NNG+신청/NNG+사건/NNG
항고심에서	항고심/NNG+에서/JKB
1심과	1심/NNG+과/JKB
같이	같이/MAG
기각	기각/NNG
결정을	결정/NNG+을/JKO
내렸다고	내리/VV+었/EP+다고/EC
23일	23/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.310.4.1
재판부는 “외환 거래가 잦은 수출기업인 신청인 업체들은 환율이 일정 수준의 변동폭을 벗어나면 큰 손해를 입을 수 있다는 사실을 충분히 인식한 뒤 계약을 체결한 것으로 보인다”며 “키코 상품을 계약한 기업들이 당시 위험을 예견할 수 있었으며, 계약 내용도 합리성을 결여했다고는 볼 수 없다”고 밝혔다.

재판부는	재판부/NNG+는/JX
“외환	“/SS+외환/NNG
거래가	거래/NNG+가/JKS
잦은	잦/VA+은/ETM
수출기업인	수출/NNG+기업/NNG+이/VCP+ㄴ/ETM
신청인	신청인/NNG
업체들은	업체/NNG+들/XSN+은/JX
환율이	환율/NNG+이/JKS
일정	일정/NNG
수준의	수준/NNG+의/JKG
변동폭을	변동/NNG+폭/NNG+을/JKO
벗어나면	벗어나/VV+면/EC
큰	크/VA+ㄴ/ETM
손해를	손해/NNG+를/JKO
입을	입/VV+을/ETM
수	수/NNB
있다는	있/VA+다는/ETM
사실을	사실/NNG+을/JKO
충분히	충분히/MAG
인식한	인식/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
계약을	계약/NNG+을/JKO
체결한	체결/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다”며	보이/VV+ㄴ다/EF+”/SS+며/EC
“키코	“/SS+키코/NNG
상품을	상품/NNG+을/JKO
계약한	계약/NNG+하/XSV+ㄴ/ETM
기업들이	기업/NNG+들/XSN+이/JKS
당시	당시/NNG
위험을	위험/NNG+을/JKO
예견할	예견/NNG+하/XSV+ㄹ/ETM
있었으며,	있/VA+었/EP+으며/EC+,/SP
계약	계약/NNG
내용도	내용/NNG+도/JX
합리성을	합리/NNG+성/XSN+을/JKO
결여했다고는	결여/NNG+하/XSV+았/EP+다고/EC+는/JX
볼	보/VV+ㄹ/ETM
없다”고	없/VA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.310.5.1
한편, 서울중앙지법은 에이원어패럴 등이 은행을 상대로 낸 가처분사건에서 지난 4월 “은행들은 위험성이 높은 파생금융상품을 판매할 때에는 잠재된 위험성을 명시적으로 설명해야 한다”며 은행의 설명 의무 위반을 이유로 계약 효력정지 결정을 내린 바 있다.

한편,	한편/MAG+,/SP
서울중앙지법은	서울중앙지법/NNP+은/JX
에이원어패럴	에이원어패럴/NNP
등이	등/NNB+이/JKS
은행을	은행/NNG+을/JKO
상대로	상대/NNG+로/JKB
낸	내/VV+ㄴ/ETM
가처분사건에서	가/XPN+처분/NNG+사건/NNG+에서/JKB
지난	지나/VV+ㄴ/ETM
4월	4/SN+월/NNB
“은행들은	“/SS+은행/NNG+들/XSN+은/JX
위험성이	위험/NNG+성/XSN+이/JKS
높은	높/VA+은/ETM
파생금융상품을	파생/NNG+금융/NNG+상품/NNG+을/JKO
판매할	판매/NNG+하/XSV+ㄹ/ETM
때에는	때/NNG+에/JKB+는/JX
잠재된	잠재/NNG+되/XSV+ㄴ/ETM
위험성을	위험/NNG+성/XSN+을/JKO
명시적으로	명시/NNG+적/XSN+으로/JKB
설명해야	설명/NNG+하/XSV+아야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
은행의	은행/NNG+의/JKG
설명	설명/NNG
의무	의무/NNG
위반을	위반/NNG+을/JKO
이유로	이유/NNG+로/JKB
계약	계약/NNG
효력정지	효력/NNG+정지/NNG
결정을	결정/NNG+을/JKO
내린	내리/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000024.310.5.2
당시 법원은 은행들이 위험 발생 가능성이 지극히 낮다고 설명했다며 이렇게 판단했다.

당시	당시/NNG
법원은	법원/NNG+은/JX
은행들이	은행/NNG+들/XSN+이/JKS
위험	위험/NNG
발생	발생/NNG
가능성이	가능/NNG+성/XSN+이/JKS
지극히	지극히/MAG
낮다고	낮/VA+다고/EC
설명했다며	설명/NNG+하/XSV+았/EP+다며/EC
이렇게	이렇/VA+게/EC
판단했다.	판단/NNG+하/XSV+았/EP+다/EF+./SF


