# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.351
metadata : {}


# id : NWRW1800000044.351.1.1
안철수계, 수도권 기초단체장 공천 ‘벼랑’

안철수계,	안철수/NNP+계/XSN+,/SP
치러야	치르/VV+어야/EC
할	하/VX+ㄹ/ETM
처지이기	처지/NNG+이/VCP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.351.5.3
당은 안 대표가 주도한 광주와 안산시장 후보 전략공천 후폭풍으로 인해 ‘더이상 전략공천은 없다’고 선언했다.

당은	당/NNG+은/JX
안	안/NNP
대표가	대표/NNG+가/JKS
주도한	주도/NNG+하/XSV+ㄴ/ETM
광주와	광주/NNP+와/JC
안산시장	안산시장/NNG
후보	후보/NNG
전략공천	전략/NNG+공천/NNG
후폭풍으로	후폭풍/NNG+으로/JKB
인해	인/NNG+하/XSV+아/EC
‘더이상	‘/SS+더/MAG+이상/NNG
전략공천은	전략/NNG+공천/NNG+은/JX
없다’고	없/VA+다/EF+’/SS+고/JKQ
선언했다.	선언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.351.6.1
새정치연합 관계자는 6일 “수도권 기초단체 61개(서울 25, 경기 28, 인천 8) 중 안 대표 쪽 인사가 단 한 곳도 공천을 못 받을 가능성도 있다”고 전했다.

새정치연합	새정치연합/NNP
관계자는	관계자/NNG+는/JX
6일	6/SN+일/NNB
“수도권	“/SS+수도/NNG+권/XSN
기초단체	기초/NNG+단체/NNG
61개(서울	61/SN+개/NNB+(/SS+서울/NNP
25,	25/SN+,/SP
경기	경기/NNP
28,	28/SN+,/SP
인천	인천/NNP
8)	8/SN+)/SS
중	중/NNB
안	안/NNP
대표	대표/NNG
쪽	쪽/NNB
인사가	인사/NNG+가/JKS
단	단/MMA
한	한/MMN
곳도	곳/NNG+도/JX
공천을	공천/NNG+을/JKO
못	못/MAG
받을	받/VV+을/ETM
가능성도	가능/NNG+성/XSN+도/JX
있다”고	있/VA+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.351.6.2
이날까지 수도권 기초단체 44곳의 공천심사가 마무리된 상황에서 안 대표 쪽 인사가 최종 경선 후보군에 들어간 곳은 서울 용산과 서대문, 경기도 오산 등 5곳에 불과하다.

이날까지	이날/NNG+까지/JX
수도권	수도/NNG+권/XSN
기초단체	기초/NNG+단체/NNG
44곳의	44/SN+곳/NNG+의/JKG
공천심사가	공천/NNG+심사/NNG+가/JKS
마무리된	마무리/NNG+되/XSV+ㄴ/ETM
상황에서	상황/NNG+에서/JKB
안	안/NNP
대표	대표/NNG
쪽	쪽/NNB
인사가	인사/NNG+가/JKS
최종	최종/NNG
경선	경선/NNG
후보군에	후보군/NNG+에/JKB
들어간	들어가/VV+ㄴ/ETM
곳은	곳/NNG+은/JX
서울	서울/NNP
용산과	용산/NNP+과/JC
서대문,	서대문/NNP+,/SP
경기도	경기도/NNP
오산	오산/NNP
등	등/NNB
5곳에	5/SN+곳/NNG+에/JKB
불과하다.	불과/MAG+하/XSA+다/EF+./SF


# id : NWRW1800000044.351.6.3
게다가 모두 옛 민주당 쪽 현직 단체장들과 경쟁해야 한다.

게다가	게다가/MAG
모두	모두/MAG
옛	옛/MMA
민주당	민주당/NNP
쪽	쪽/NNB
현직	현직/NNG
단체장들과	단체장/NNG+들/XSN+과/JKB
경쟁해야	경쟁/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000044.351.7.1
이날까지 16곳의 공천심사를 마친 서울에선 남아 있는 9곳의 기초단체 가운데 안 대표 쪽 인사가 경선 후보자에 포함될 여지가 있는 곳은 강북·관악·동작구 정도다.

이날까지	이날/NNG+까지/JX
16곳의	16/SN+곳/NNG+의/JKG
공천심사를	공천/NNG+심사/NNG+를/JKO
마친	마치/VV+ㄴ/ETM
서울에선	서울/NNP+에서/JKB+ㄴ/JX
남아	남/VV+아/EC
있는	있/VA+는/ETM
9곳의	9/SN+곳/NNG+의/JKG
기초단체	기초/NNG+단체/NNG
가운데	가운데/NNG
안	안/NNP
대표	대표/NNG
쪽	쪽/NNB
인사가	인사/NNG+가/JKS
경선	경선/NNG
후보자에	후보자/NNG+에/JKB
포함될	포함/NNG+되/XSV+ㄹ/ETM
여지가	여지/NNB+가/JKS
곳은	곳/NNG+은/JX
강북·관악·동작구	강북/NNP+·/SP+관악/NNP+·/SP+동작구/NNP
정도다.	정도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.351.7.2
관악·동작구의 경우 야당세가 강한 지역이어서 안 대표 쪽은 내심 전략공천을 강하게 요구했지만 현직 구청장과 나머지 출마자들의 반발이 거세 경선이 불가피할 전망이다.

관악·동작구의	관악/NNP+·/SP+동작구/NNP+의/JKG
경우	경우/NNG
야당세가	야당/NNG+세/NNG+가/JKS
강한	강하/VA+ㄴ/ETM
지역이어서	지역/NNG+이/VCP+어서/EC
안	안/NNP
대표	대표/NNG
쪽은	쪽/NNB+은/JX
내심	내심/NNG
전략공천을	전략/NNG+공천/NNG+을/JKO
강하게	강하/VA+게/EC
요구했지만	요구/NNG+하/XSV+았/EP+지만/EC
현직	현직/NNG
구청장과	구청장/NNG+과/JC
나머지	나머지/NNG
출마자들의	출마자/NNG+들/XSN+의/JKG
반발이	반발/NNG+이/JKS
거세	거세/VA+어/EC
경선이	경선/NNG+이/JKS
불가피할	불가피하/VA+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.351.8.1
오는 10일까지 공천심사가 진행되는 인천은 기초단체 8곳 가운데 4곳(동·서·부평·연수구)에서 안 대표 쪽 후보자들이 도전장을 냈다.

오는	오/VV+는/ETM
10일까지	10/SN+일/NNB+까지/JX
공천심사가	공천/NNG+심사/NNG+가/JKS
진행되는	진행/NNG+되/XSV+는/ETM
인천은	인천/NNP+은/JX
기초단체	기초/NNG+단체/NNG
8곳	8/SN+곳/NNG
가운데	가운데/NNG
4곳(동·서·부평·연수구)에서	4/SN+곳/NNG+(/SS+동/NNG+·/SP+서/NNG+·/SP+부평/NNP+·/SP+연수구/NNP+)/SS+에서/JKB
안	안/NNP
대표	대표/NNG
쪽	쪽/NNB
후보자들이	후보자/NNG+들/XSN+이/JKS
도전장을	도전장/NNG+을/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.351.8.2
하지만 동·서구는 당 소속 현직 구청장이 있는 지역이고, 나머지 두 곳 역시 옛 민주당 쪽 후보들과 인지도 차이가 커 공천심사를 통과하더라도 경선 승리가 난망하다.

하지만	하지만/MAJ
동·서구는	동/NNG+·/SP+서구/NNP+는/JX
당	당/NNG
소속	소속/NNG
현직	현직/NNG
구청장이	구청장/NNG+이/JKS
있는	있/VA+는/ETM
지역이고,	지역/NNG+이/VCP+고/EC+,/SP
나머지	나머지/NNG
두	두/MMN
곳	곳/NNG
역시	역시/MAG
옛	옛/MMA
민주당	민주당/NNP
쪽	쪽/NNB
후보들과	후보/NNG+들/XSN+과/JKB
인지도	인지도/NNG
차이가	차이/NNG+가/JKS
커	크/VA+어/EC
공천심사를	공천/NNG+심사/NNG+를/JKO
통과하더라도	통과/NNG+하/XSV+더라도/EC
경선	경선/NNG
승리가	승리/NNG+가/JKS
난망하다.	난망/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000044.351.9.1
현재까지 26곳의 공천심사가 마무리된 경기 지역은 12곳이 현직 단체장 단수 공천지역으로 묶였다.

현재까지	현재/NNG+까지/JX
26곳의	26/SN+곳/NNG+의/JKG
공천심사가	공천/NNG+심사/NNG+가/JKS
마무리된	마무리/NNG+되/XSV+ㄴ/ETM
경기	경기/NNP
지역은	지역/NNG+은/JX
12곳이	12/SN+곳/NNG+이/JKS
현직	현직/NNG
단체장	단체장/NNG
단수	단수/NNG
공천지역으로	공천/NNG+지역/NNG+으로/JKB
묶였다.	묶이/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.351.9.2
나머지 14곳 가운데 안 대표 쪽 후보자가 있는 곳은 수원·오산 2곳인데, 모두 현직 단체장과 경선을 치러야 한다.

나머지	나머지/NNG
14곳	14/SN+곳/NNG
가운데	가운데/NNG
안	안/NNP
대표	대표/NNG
쪽	쪽/NNB
후보자가	후보자/NNG+가/JKS
있는	있/VA+는/ETM
곳은	곳/NNG+은/JX
수원·오산	수원/NNP+·/SP+오산/NNP
2곳인데,	2/SN+곳/NNG+이/VCP+ㄴ데/EC+,/SP
모두	모두/MAG
현직	현직/NNG
단체장과	단체장/NNG+과/JKB
경선을	경선/NNG+을/JKO
치러야	치르/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000044.351.9.3
안 대표 쪽 관계자는 “인지도가 워낙 약하다 보니 공천심사의 벽을 넘지 못하고 대부분 탈락했다.

안	안/NNP
대표	대표/NNG
쪽	쪽/NNB
관계자는	관계자/NNG+는/JX
“인지도가	“/SS+인지도/NNG+가/JKS
워낙	워낙/MAG
약하다	약하/VA+다/EC
보니	보/VX+니/EC
공천심사의	공천/NNG+심사/NNG+의/JKG
벽을	벽/NNG+을/JKO
넘지	넘/VV+지/EC
못하고	못하/VX+고/EC
대부분	대/XPN+부분/NNG
탈락했다.	탈락/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.351.9.4
온통 옛 민주당 쪽 인사들만 후보로 나올 텐데 과연 통합의 효과가 발휘될 수나 있을지 모르겠다”고 말했다.

온통	온통/MAG
옛	옛/MMA
민주당	민주당/NNP
쪽	쪽/NNB
인사들만	인사/NNG+들/XSN+만/JX
후보로	후보/NNG+로/JKB
나올	나오/VV+ㄹ/ETM
텐데	터/NNB+이/VCP+ㄴ데/EC
과연	과연/MAG
통합의	통합/NNG+의/JKG
효과가	효과/NNG+가/JKS
발휘될	발휘/NNG+되/XSV+ㄹ/ETM
수나	수/NNB+나/JX
있을지	있/VA+을지/EF
모르겠다”고	모르/VV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.351.10.1
한편 이날 광주에서 윤장현 예비후보를 새정치연합 광주시장 후보로 전략공천한 데 반발해 다른 예비후보인 강운태 광주시장과 이용섭 의원의 지지자 250여명이 탈당하는 등 후폭풍이 멎지 않았다.

한편	한편/MAG
이날	이날/NNG
광주에서	광주/NNP+에서/JKB
윤장현	윤장현/NNP
예비후보를	예비/NNG+후보/NNG+를/JKO
새정치연합	새정치연합/NNP
광주시장	광주시장/NNG
후보로	후보/NNG+로/JKB
전략공천한	전략/NNG+공천/NNG+하/XSV+ㄴ/ETM
데	데/NNB
반발해	반발/NNG+하/XSV+아/EC
다른	다른/MMD
예비후보인	예비/NNG+후보/NNG+이/VCP+ㄴ/ETM
강운태	강운태/NNP
광주시장과	광주시장/NNG+과/JC
이용섭	이용섭/NNP
의원의	의원/NNG+의/JKG
지지자	지지자/NNG
250여명이	250/SN+여/XSN+명/NNB+이/JKS
탈당하는	탈당/NNG+하/XSV+는/ETM
등	등/NNB
후폭풍이	후폭풍/NNG+이/JKS
멎지	멎/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.351.10.2
윤 후보의 전략공천이 안 대표의 ‘측근 챙기기 공천’이라는 비판이 일자, 안 대표는 이날 국회에서 기자회견을 열어 “윤 후보는 30년간 시민운동과 인권운동에 앞장선 시민운동가로 ‘시민 리더십’을 실천해 ‘광주의 박원순’이 될 수 있는 분”이라고 해명한 뒤 “광주 시민도 새로운 인물을 키워줄 것이라고 믿는다”며 지지를 호소하는 등 진화에 나섰다.

윤	윤/NNP
후보의	후보/NNG+의/JKG
전략공천이	전략/NNG+공천/NNG+이/JKS
안	안/NNP
대표의	대표/NNG+의/JKG
‘측근	‘/SS+측근/NNG
챙기기	챙기/VV+기/ETN
공천’이라는	공천/NNG+’/SS+이/VCP+라는/ETM
비판이	비판/NNG+이/JKS
일자,	일/VV+자/EC+,/SP
대표는	대표/NNG+는/JX
이날	이날/NNG
국회에서	국회/NNG+에서/JKB
기자회견을	기자/NNG+회견/NNG+을/JKO
열어	열/VV+어/EC
“윤	“/SS+윤/NNP
후보는	후보/NNG+는/JX
30년간	30/SN+년/NNB+간/XSN
시민운동과	시민운동/NNG+과/JC
인권운동에	인권/NNG+운동/NNG+에/JKB
앞장선	앞장서/VV+ㄴ/ETM
시민운동가로	시민운동가/NNG+로/JKB
‘시민	‘/SS+시민/NNG
리더십’을	리더십/NNG+’/SS+을/JKO
실천해	실천/NNG+하/XSV+아/EC
‘광주의	‘/SS+광주/NNP+의/JKG
박원순’이	박원순/NNP+’/SS+이/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
분”이라고	분/NNB+”/SS+이라고/JKQ
해명한	해명/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
“광주	“/SS+광주/NNP
시민도	시민/NNG+도/JX
새로운	새롭/VA+ㄴ/ETM
인물을	인물/NNG+을/JKO
키워줄	키우/VV+어/EC+주/VX+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
믿는다”며	믿/VV+는다/EF+”/SS+며/EC
지지를	지지/NNG+를/JKO
호소하는	호소/NNG+하/XSV+는/ETM
등	등/NNB
진화에	진화/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


