# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000034.30
metadata : {}


# id : NWRW1800000034.30.1.1
기고자: 日 민주당도 몬주 고속증식로(핵무기 전용 가능한 플루토늄 생산) 유지 시사

기고자:	기고자/NNG+:/SP
도쿄신문은	도쿄신문/NNP+은/JX
보고서의	보고서/NNG+의/JKG
원안에	원안/NNG+에/JKB
'우리나라의	'/SS+우리나라/NNG+의/JKG
안전	안전/NNG
보장에	보장/NNG+에/JKB
미치는	미치/VV+는/ETM
영향도	영향/NNG+도/JX
고려한다'는	고려/NNG+하/XSV+ㄴ다/EF+'/SS+는/ETM
표현이	표현/NNG+이/JKS
포함돼	포함/NNG+되/XSV+어/EC
있었다고	있/VX+었/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000034.30.4.2
하지만 최근 원자력기본법에 '원자력 이용의 안전 확보는 국가의 안전 보장에 이바지하는 것을 목적으로 한다'는 항목을 추가한 것이 논란이 되면서 삭제됐다.

하지만	하지만/MAJ
최근	최근/MAG
원자력기본법에	원자력/NNG+기본법/NNG+에/JKB
'원자력	'/SS+원자력/NNG
이용의	이용/NNG+의/JKG
안전	안전/NNG
확보는	확보/NNG+는/JX
국가의	국가/NNG+의/JKG
보장에	보장/NNG+에/JKB
이바지하는	이바지/NNG+하/XSV+는/ETM
것을	것/NNB+을/JKO
목적으로	목적/NNG+으로/JKB
한다'는	하/VV+ㄴ다/EF+'/SS+는/ETM
항목을	항목/NNG+을/JKO
추가한	추가/NNG+하/XSV+ㄴ/ETM
것이	것/NNB+이/JKS
논란이	논란/NNG+이/JKC
되면서	되/VV+면서/EC
삭제됐다.	삭제/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000034.30.4.3
원자력기본법에 안전 보장 조항을 신설한 것은 사실상 핵개발을 염두에 둔 것이라는 비판이 국내외에서 쏟아졌기 때문이다.

원자력기본법에	원자력/NNG+기본법/NNG+에/JKB
안전	안전/NNG
보장	보장/NNG
조항을	조항/NNG+을/JKO
신설한	신설/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
사실상	사실상/MAG
핵개발을	핵/NNG+개발/NNG+을/JKO
염두에	염두/NNG+에/JKB
둔	두/VV+ㄴ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
비판이	비판/NNG+이/JKS
국내외에서	국내외/NNG+에서/JKB
쏟아졌기	쏟아지/VV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000034.30.4.4
민주당은 원자력기본법에 안전 보장 조항을 넣은 것은 자민당이 주도했으며 자신들은 어쩔 수 없이 동의했다고 해명한 바 있다.

민주당은	민주당/NNP+은/JX
원자력기본법에	원자력/NNG+기본법/NNG+에/JKB
안전	안전/NNG
보장	보장/NNG
조항을	조항/NNG+을/JKO
넣은	넣/VV+은/ETM
것은	것/NNB+은/JX
자민당이	자민당/NNP+이/JKS
주도했으며	주도/NNG+하/XSV+았/EP+으며/EC
자신들은	자신/NNG+들/XSN+은/JX
어쩔	어쩌/VV+ㄹ/ETM
수	수/NNB
없이	없이/MAG
동의했다고	동의/NNG+하/XSV+았/EP+다고/EC
해명한	해명/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000034.30.5.1
하지만 민주당 보고서 원안에 안전 보장이 포함돼 있었다는 것은 민주당도 원전기본법에 안전 보장 조항 신설에 동조했다는 의미이다.

하지만	하지만/MAJ
민주당	민주당/NNP
보고서	보고서/NNG
원안에	원안/NNG+에/JKB
안전	안전/NNG
보장이	보장/NNG+이/JKS
포함돼	포함/NNG+되/XSV+어/EC
있었다는	있/VX+었/EP+다는/ETM
것은	것/NNB+은/JX
민주당도	민주당/NNP+도/JX
원전기본법에	원전/NNG+기본법/NNG+에/JKB
보장	보장/NNG
조항	조항/NNG
신설에	신설/NNG+에/JKB
동조했다는	동조/NNG+하/XSV+았/EP+다는/ETM
의미이다.	의미/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000034.30.5.2
보고서는 또 '탈(脫)원전'이라는 표현 대신 '원자력 발전에 대한 의존도를 될 수 있는 한 낮춘다'는 표현을 사용, 원전을 유지하겠다는 의지를 드러냈다.

보고서는	보고서/NNG+는/JX
또	또/MAG
'탈(脫)원전'이라는	'/SS+탈/XPN+(/SS+脫/SH+)/SS+원전/NNG+'/SS+이/VCP+라는/ETM
표현	표현/NNG
대신	대신/NNG
'원자력	'/SS+원자력/NNG
발전에	발전/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
의존도를	의존도/NNG+를/JKO
될	되/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
한	한/NNG
낮춘다'는	낮추/VV+ㄴ다/EF+'/SS+는/ETM
표현을	표현/NNG+을/JKO
사용,	사용/NNG+,/SP
원전을	원전/NNG+을/JKO
유지하겠다는	유지/NNG+하/XSV+겠/EP+다는/ETM
의지를	의지/NNG+를/JKO
드러냈다.	드러내/VV+었/EP+다/EF+./SF


