# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.296
metadata : {}


# id : NWRW1800000021.296.1.1
“맡은 배역은 느끼한 남자지만 뮤지컬 꿈 펼치는 행복한 남자”

“맡은	“/SS+맡/VV+은/ETM
흰 티셔츠에 헐렁한 트레이닝 바지를 입고 온 그는 연방 쿨럭거렸다.

흰	희/VA+ㄴ/ETM
티셔츠에	티셔츠/NNG+에/JKB
헐렁한	헐렁하/VA+ㄴ/ETM
트레이닝	트레이닝/NNG
바지를	바지/NNG+를/JKO
입고	입/VV+고/EC
온	오/VX+ㄴ/ETM
그는	그/NP+는/JX
연방	연방/MAG
쿨럭거렸다.	쿨럭거리/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.296.4.2
극장에 머무는 시간이 길다 보니 5년 만에 천식이 도졌다면서 인터뷰 내내 따끈한 카모마일 차를 마셨다.

극장에	극장/NNG+에/JKB
머무는	머물/VV+는/ETM
시간이	시간/NNG+이/JKS
길다	길/VA+다/EC
보니	보/VX+니/EC
5년	5/SN+년/NNB
만에	만/NNB+에/JKB
천식이	천식/NNG+이/JKS
도졌다면서	도지/VV+었/EP+다면서/EC
인터뷰	인터뷰/NNG
내내	내내/MAG
따끈한	따끈하/VA+ㄴ/ETM
카모마일	카모마일/NNG
차를	차/NNG+를/JKO
마셨다.	마시/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.296.5.1
‘올슉업’은 엘비스 프레슬리의 노래 24곡을 엮어 만든 주크박스 뮤지컬.

‘올슉업’은	‘/SS+올슉업/NNG+’/SS+은/JX
엘비스	엘비스/NNP
프레슬리의	프레슬리/NNP+의/JKG
노래	노래/NNG
24곡을	24/SN+곡/NNG+을/JKO
엮어	엮/VV+어/EC
만든	만들/VV+ㄴ/ETM
주크박스	주크박스/NNG
뮤지컬.	뮤지컬/NNG+./SF


# id : NWRW1800000021.296.5.2
‘싱글즈’(2008년)에 이은 그의 두 번째 뮤지컬 무대다.

‘싱글즈’(2008년)에	‘/SS+싱글즈/NNG+’/SS+(/SS+2008/SN+년/NNB+)/SS+에/JKB
이은	잇/VV+은/ETM
그의	그/NP+의/JKG
두	두/MMN
번째	번/NNB+째/XSN
뮤지컬	뮤지컬/NNG
무대다.	무대/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.296.5.3
‘싱글즈’ 이후 출연하기로 한 영화 두 편이 잇따라 무산돼 힘든 시간을 보내던 중 출연 제의를 받았다.

‘싱글즈’	‘/SS+싱글즈/NNG+’/SS
이후	이후/NNG
출연하기로	출연/NNG+하/XSV+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
영화	영화/NNG
두	두/MMN
편이	편/NNB+이/JKS
잇따라	잇따르/VV+아/EC
무산돼	무산/NNG+되/XSV+어/EC
힘든	힘들/VA+ㄴ/ETM
시간을	시간/NNG+을/JKO
보내던	보내/VV+던/ETM
중	중/NNB
출연	출연/NNG
제의를	제의/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.296.5.4
그는 “뮤지컬 무대에 다시 서고 싶었다.

그는	그/NP+는/JX
“뮤지컬	“/SS+뮤지컬/NNG
무대에	무대/NNG+에/JKB
다시	다시/MAG
서고	서/VV+고/EC
싶었다.	싶/VX+었/EP+다/EF+./SF


# id : NWRW1800000021.296.5.5
다른 스케줄을 취소해도 뮤지컬을 할 거라고 했다”며 특유의 눈웃음을 지었다.

다른	다른/MMD
스케줄을	스케줄/NNG+을/JKO
취소해도	취소/NNG+하/XSV+아도/EC
뮤지컬을	뮤지컬/NNG+을/JKO
할	하/VV+ㄹ/ETM
거라고	거/NNB+이/VCP+라고/EC
했다”며	하/VV+았/EP+다/EF+”/SS+며/EC
특유의	특유/NNG+의/JKG
눈웃음을	눈웃음/NNG+을/JKO
지었다.	짓/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.296.6.1
‘올슉업’은 시장이 선포한 ‘정숙법’으로 노래와 춤, 애정행각이 금지된 마을에 이방인 채드가 오토바이를 타고 나타난 뒤 벌어지는 소동을 그렸다.

‘올슉업’은	‘/SS+올슉업/NNG+’/SS+은/JX
시장이	시장/NNG+이/JKS
선포한	선포/NNG+하/XSV+ㄴ/ETM
‘정숙법’으로	‘/SS+정숙/NNG+법/NNG+’/SS+으로/JKB
노래와	노래/NNG+와/JC
춤,	춤/NNG+,/SP
애정행각이	애정/NNG+행각/NNG+이/JKS
금지된	금지/NNG+되/XSV+ㄴ/ETM
마을에	마을/NNG+에/JKB
이방인	이방인/NNG
채드가	채드/NNP+가/JKS
오토바이를	오토바이/NNG+를/JKO
타고	타/VV+고/EC
나타난	나타나/VV+ㄴ/ETM
뒤	뒤/NNG
벌어지는	벌어지/VV+는/ETM
소동을	소동/NNG+을/JKO
그렸다.	그리/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.296.7.1
“저요?

“저요?	“/SS+저/NP+요/JX+?/SF


# id : NWRW1800000021.296.7.2
사람과 음악을 좋아한다거나 삶에 대한 긍정적인 자세는 채드와 비슷하지만 표현하는 방식은 완전히 달라요.

사람과	사람/NNG+과/JC
음악을	음악/NNG+을/JKO
좋아한다거나	좋아하/VV+ㄴ다/EF+거나/JX
삶에	삶/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
긍정적인	긍정/NNG+적/XSN+이/VCP+ㄴ/ETM
자세는	자세/NNG+는/JX
채드와	채드/NNP+와/JKB
비슷하지만	비슷하/VA+지만/EC
표현하는	표현/NNG+하/XSV+는/ETM
방식은	방식/NNG+은/JX
완전히	완전히/MAG
달라요.	다르/VA+아요/EF+./SF


# id : NWRW1800000021.296.7.3
채드는, 어우, 정말 느끼하죠.

채드는,	채드/NNP+는/JX+,/SP
어우,	어우/IC+,/SP
정말	정말/MAG
느끼하죠.	느끼하/VA+죠/EF+./SF


# id : NWRW1800000021.296.7.4
끈끈한 눈빛, ‘헬로 달링’같이 끈적하게 해야 하는 대사, 허리와 골반을 쓰는 춤까지 제 것으로 만들기가 쉽지 않았어요.

끈끈한	끈끈하/VA+ㄴ/ETM
눈빛,	눈빛/NNG+,/SP
‘헬로	‘/SS+헬로/NNG
달링’같이	달링/NNG+’/SS+같이/JKB
끈적하게	끈적/MAG+하/XSA+게/EC
해야	하/VX+아야/EC
하는	하/VX+는/ETM
대사,	대사/NNG+,/SP
허리와	허리/NNG+와/JC
골반을	골반/NNG+을/JKO
쓰는	쓰/VV+는/ETM
춤까지	춤/NNG+까지/JX
제	저/NP+의/JKG
것으로	것/NNB+으로/JKB
만들기가	만들/VV+기/ETN+가/JKS
쉽지	쉽/VA+지/EC
않았어요.	않/VX+았/EP+어요/EF+./SF


# id : NWRW1800000021.296.7.5
왜 이렇게 느끼해야 하는지 연출자와 끊임없이 얘기를 나눴어요.”

왜	왜/MAG
이렇게	이렇/VA+게/EC
느끼해야	느끼하/VA+아야/EC
하는지	하/VX+는지/EC
연출자와	연출자/NNG+와/JKB
끊임없이	끊임없이/MAG
얘기를	얘기/NNG+를/JKO
나눴어요.”	나누/VV+었/EP+어요/EF+./SF+”/SS


# id : NWRW1800000021.296.8.1
‘god’ 콘서트나 솔로 콘서트에서야 실수를 해도 팬들이 너그럽게 봐주겠지만, 뮤지컬 무대라면 그렇지만은 않을 것이다.

‘god’	‘/SS+god/SL+’/SS
콘서트나	콘서트/NNG+나/JC
솔로	솔로/NNG
콘서트에서야	콘서트/NNG+에서/JKB+야/JX
실수를	실수/NNG+를/JKO
해도	하/VV+아도/EC
팬들이	팬/NNG+들/XSN+이/JKS
너그럽게	너그럽/VA+게/EC
봐주겠지만,	봐주/VV+겠/EP+지만/EC+,/SP
뮤지컬	뮤지컬/NNG
무대라면	무대/NNG+이/VCP+라면/EC
그렇지만은	그렇/VA+지만/EC+은/JX
않을	않/VX+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.296.8.2
뮤지컬 무대에 선 가수에 대해 곱지 않은 시선도 있다.

뮤지컬	뮤지컬/NNG
무대에	무대/NNG+에/JKB
선	서/VV+ㄴ/ETM
가수에	가수/NNG+에/JKB
대해	대하/VV+아/EC
곱지	곱/VA+지/EC
않은	않/VX+은/ETM
시선도	시선/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000021.296.9.1
“콘서트에서는 틀려도 애드리브로 넘어갈 수 있죠.

“콘서트에서는	“/SS+콘서트/NNG+에서/JKB+는/JX
틀려도	틀리/VV+어도/EC
애드리브로	애드리브/NNG+로/JKB
넘어갈	넘어가/VV+ㄹ/ETM
수	수/NNB
있죠.	있/VA+죠/EF+./SF


# id : NWRW1800000021.296.9.2
하지만 뮤지컬 무대에서는 긴장을 늦출 수 없어요.

하지만	하지만/MAJ
뮤지컬	뮤지컬/NNG
무대에서는	무대/NNG+에서/JKB+는/JX
긴장을	긴장/NNG+을/JKO
늦출	늦추/VV+ㄹ/ETM
수	수/NNB
없어요.	없/VA+어요/EF+./SF


# id : NWRW1800000021.296.9.3
연예인이니까 얼굴로 대충 때워야지 하는 생각은 절대 안 해요.”

연예인이니까	연예인/NNG+이/VCP+니까/EC
얼굴로	얼굴/NNG+로/JKB
대충	대충/MAG
때워야지	때우/VV+어야지/EF
하는	하/VV+는/ETM
생각은	생각/NNG+은/JX
절대	절대/MAG
안	안/MAG
해요.”	하/VV+아요/EF+./SF+”/SS


# id : NWRW1800000021.296.10.1
극의 흐름 속에 있는 뮤지컬 넘버를 부를 때는 연기의 연장이기 때문에 감정을 한껏 싣고 바이브레이션을 많이 사용해 창법 자체가 달라진다고 설명했다.

극의	극/NNG+의/JKG
흐름	흐름/NNG
속에	속/NNG+에/JKB
있는	있/VA+는/ETM
뮤지컬	뮤지컬/NNG
넘버를	넘버/NNG+를/JKO
부를	부르/VV+ㄹ/ETM
때는	때/NNG+는/JX
연기의	연기/NNG+의/JKG
연장이기	연장/NNG+이/VCP+기/ETN
때문에	때문/NNB+에/JKB
감정을	감정/NNG+을/JKO
한껏	한껏/MAG
싣고	싣/VV+고/EC
바이브레이션을	바이브레이션/NNG+을/JKO
많이	많이/MAG
사용해	사용/NNG+하/XSV+아/EC
창법	창법/NNG
자체가	자체/NNG+가/JKS
달라진다고	달라지/VV+ㄴ다고/EC
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.296.11.1
그는 스포트라이트의 한가운데 섰던 ‘god’ 시절을 지나오면서 많은 것을 배웠다고 했다.

그는	그/NP+는/JX
스포트라이트의	스포트라이트/NNG+의/JKG
한가운데	한/XPN+가운데/NNG
섰던	서/VV+었/EP+던/ETM
‘god’	‘/SS+god/SL+’/SS
시절을	시절/NNG+을/JKO
지나오면서	지나오/VV+면서/EC
많은	많/VA+은/ETM
것을	것/NNB+을/JKO
배웠다고	배우/VV+었/EP+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.296.12.1
“인기가 사라질까봐 매일이 무서웠어요.

“인기가	“/SS+인기/NNG+가/JKS
사라질까봐	사라지/VV+ㄹ까/EF+보/VX+아/EC
매일이	매일/NNG+이/JKS
무서웠어요.	무섭/VA+었/EP+어요/EF+./SF


# id : NWRW1800000021.296.12.2
인기가 커지니 세상의 대우가 달라졌지요.

인기가	인기/NNG+가/JKS
커지니	커지/VV+니/EC
세상의	세상/NNG+의/JKG
대우가	대우/NNG+가/JKS
달라졌지요.	달라지/VV+었/EP+지요/EF+./SF


# id : NWRW1800000021.296.12.3
지금은 그때와 다르다는 걸 잘 알아요.

지금은	지금/NNG+은/JX
그때와	그때/NNG+와/JKB
다르다는	다르/VA+다는/ETM
걸	거/NNB+ㄹ/JKO
잘	잘/MAG
알아요.	알/VV+아요/EF+./SF


# id : NWRW1800000021.296.12.4
쓸쓸할 때도 있지만 다시 꿈꾸고 노력하고 걸어가야죠.

쓸쓸할	쓸쓸하/VA+ㄹ/ETM
때도	때/NNG+도/JX
있지만	있/VA+지만/EC
다시	다시/MAG
꿈꾸고	꿈꾸/VV+고/EC
노력하고	노력/NNG+하/XSV+고/EC
걸어가야죠.	걸어가/VV+아야지/EF+요/JX+./SF


# id : NWRW1800000021.296.12.5
솔로가수로, 뮤지컬 배우로 하고 싶은 일을 마음껏 할 수 있어서 좋아요.”

솔로가수로,	솔로/NNG+가수/NNG+로/JKB+,/SP
뮤지컬	뮤지컬/NNG
배우로	배우/NNG+로/JKB
하고	하/VV+고/EC
싶은	싶/VX+은/ETM
일을	일/NNG+을/JKO
마음껏	마음껏/MAG
할	하/VV+ㄹ/ETM
수	수/NNB
있어서	있/VA+어서/EC
좋아요.”	좋/VA+아요/EF+./SF+”/SS


# id : NWRW1800000021.296.13.1
그는 ‘올슉업’을 하면서 살아 있음을, 행복을 느꼈다고 여러 차례 말했다.

그는	그/NP+는/JX
‘올슉업’을	‘/SS+올슉업/NNG+’/SS+을/JKO
하면서	하/VV+면서/EC
살아	살/VV+아/EC
있음을,	있/VX+음/ETN+을/JKO+,/SP
행복을	행복/NNG+을/JKO
느꼈다고	느끼/VV+었/EP+다고/EC
여러	여러/MMN
차례	차례/NNG
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.296.13.2
우여곡절 끝에 네 커플이 맺어지는 해피 엔딩으로 ‘올슉업’이 끝난 뒤 ‘손호영 콘서트’ 같은 커튼콜이 이어졌다.

우여곡절	우여곡절/NNG
끝에	끝/NNG+에/JKB
네	네/MMN
커플이	커플/NNG+이/JKS
맺어지는	맺/VV+어/EC+지/VX+는/ETM
해피	해피/NNG
엔딩으로	엔딩/NNG+으로/JKB
‘올슉업’이	‘/SS+올슉업/NNG+’/SS+이/JKS
끝난	끝나/VV+ㄴ/ETM
뒤	뒤/NNG
‘손호영	‘/SS+손호영/NNP
콘서트’	콘서트/NNG+’/SS
같은	같/VA+은/ETM
커튼콜이	커튼콜/NNG+이/JKS
이어졌다.	이어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.296.13.3
삼삼오오 극장을 빠져나가는 관객들의 얼굴에도 미소가 가득했다.

삼삼오오	삼삼오오/NNG
극장을	극장/NNG+을/JKO
빠져나가는	빠져나가/VV+는/ETM
관객들의	관객/NNG+들/XSN+의/JKG
얼굴에도	얼굴/NNG+에/JKB+도/JX
미소가	미소/NNG+가/JKS
가득했다.	가득/MAG+하/XSA+았/EP+다/EF+./SF


