# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.336
metadata : {}


# id : NWRW1800000033.336.1.1
현대아산, 김정은체제 이후 첫 방북

현대아산,	현대아산/NNP+,/SP
# id : NWRW1800000033.336.5.1
우리 정부도 ‘북측이 현대아산 관계자들의 방북을 허용하면 보내지 못할 이유가 없다’는 입장이어서 정 전 회장에 대한 추모행사는 지난해처럼 올해도 금강산에서 열릴 것으로 보인다.

우리	우리/NP
정부도	정부/NNG+도/JX
‘북측이	‘/SS+북측/NNG+이/JKS
현대아산	현대아산/NNP
관계자들의	관계자/NNG+들/XSN+의/JKG
방북을	방북/NNG+을/JKO
허용하면	허용/NNG+하/XSV+면/EC
보내지	보내/VV+지/EC
못할	못하/VX+ㄹ/ETM
이유가	이유/NNG+가/JKS
없다’는	없/VA+다/EF+’/SS+는/ETM
입장이어서	입장/NNG+이/VCP+어서/EC
정	정/NNP
전	전/MMD
회장에	회장/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
추모행사는	추모/NNG+행사/NNG+는/JX
지난해처럼	지난해/NNG+처럼/JKB
올해도	올해/NNG+도/JX
금강산에서	금강산/NNP+에서/JKB
열릴	열리/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.336.6.1
현대아산 관계자의 방북은 ‘김정은 체제’가 들어선 이후 처음이다.

현대아산	현대아산/NNP
관계자의	관계자/NNG+의/JKG
방북은	방북/NNG+은/JX
‘김정은	‘/SS+김정은/NNP
체제’가	체제/NNG+’/SS+가/JKS
들어선	들어서/VV+ㄴ/ETM
이후	이후/NNG
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.336.6.2
현대아산은 이번 방북을 통해 북한이 압류한 금강산관광지구 내 현대아산 시설물의 상태를 확인할 수 있을 것으로 보고 있다.

현대아산은	현대아산/NNP+은/JX
이번	이번/NNG
방북을	방북/NNG+을/JKO
통해	통하/VV+아/EC
북한이	북한/NNP+이/JKS
압류한	압류/NNG+하/XSV+ㄴ/ETM
금강산관광지구	금강산관광지구/NNP
내	내/NNB
현대아산	현대아산/NNP
시설물의	시설물/NNG+의/JKG
상태를	상태/NNG+를/JKO
확인할	확인/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.336.6.3
북한은 현대아산 소유의 식당 ‘온정각’을 ‘별금강’이라는 이름으로 고치고 중국인 등을 상대로 영업을 하고 있는 것으로 알려졌다.

북한은	북한/NNP+은/JX
현대아산	현대아산/NNP
소유의	소유/NNG+의/JKG
식당	식당/NNG
‘온정각’을	‘/SS+온정각/NNP+’/SS+을/JKO
‘별금강’이라는	‘/SS+별금강/NNP+’/SS+이/VCP+라는/ETM
이름으로	이름/NNG+으로/JKB
고치고	고치/VV+고/EC
중국인	중국인/NNG
등을	등/NNB+을/JKO
상대로	상대/NNG+로/JKB
영업을	영업/NNG+을/JKO
하고	하/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.336.6.4
현대아산 관계자는 “추모행사를 위해 가기 때문에 방북 기간에 금강산지구 관계자들과 접촉을 가질 수 있을지는 미지수”라고 말했다.

현대아산	현대아산/NNP
관계자는	관계자/NNG+는/JX
“추모행사를	“/SS+추모/NNG+행사/NNG+를/JKO
위해	위하/VV+아/EC
가기	가/VV+기/ETN
때문에	때문/NNB+에/JKB
방북	방북/NNG
기간에	기간/NNG+에/JKB
금강산지구	금강산지구/NNP
관계자들과	관계자/NNG+들/XSN+과/JKB
접촉을	접촉/NNG+을/JKO
가질	가지/VV+ㄹ/ETM
수	수/NNB
있을지는	있/VA+을지/EF+는/JX
미지수”라고	미지수/NNG+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.336.7.1
방북단은 장경작 현대아산 사장을 비롯해 임직원 14명으로 구성된다.

방북단은	방북단/NNG+은/JX
장경작	장경작/NNP
현대아산	현대아산/NNP
사장을	사장/NNG+을/JKO
비롯해	비롯하/VV+아/EC
임직원	임직원/NNG
14명으로	14/SN+명/NNB+으로/JKB
구성된다.	구성/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.336.7.2
3일 방북해 금강산에서 간단한 추모식을 하고 회사 소유 시설물을 살펴본 뒤 당일 오후 귀환할 예정이다.

3일	3/SN+일/NNB
방북해	방북/NNG+하/XSV+아/EC
금강산에서	금강산/NNP+에서/JKB
간단한	간단하/VA+ㄴ/ETM
추모식을	추모식/NNG+을/JKO
하고	하/VV+고/EC
회사	회사/NNG
소유	소유/NNG
시설물을	시설물/NNG+을/JKO
살펴본	살펴보/VV+ㄴ/ETM
뒤	뒤/NNG
당일	당일/NNG
오후	오후/NNG
귀환할	귀환/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.336.7.3
정 전 회장의 부인 현정은 현대그룹 회장은 이번 방북에 참여하지 않고 4일 경기 하남시 창우리에 있는 정 전 회장의 묘소를 찾을 예정이다.

정	정/NNP
전	전/MMD
회장의	회장/NNG+의/JKG
부인	부인/NNG
현정은	현정은/NNP
현대그룹	현대그룹/NNP
회장은	회장/NNG+은/JX
이번	이번/NNG
방북에	방북/NNG+에/JKB
참여하지	참여/NNG+하/XSV+지/EC
않고	않/VX+고/EC
4일	4/SN+일/NNB
경기	경기/NNP
하남시	하남시/NNP
창우리에	창우리/NNP+에/JKB
있는	있/VA+는/ETM
묘소를	묘소/NNG+를/JKO
찾을	찾/VV+을/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


