# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.158
metadata : {}


# id : NWRW1800000029.158.1.1
美동북부 ‘10월 폭설’… 230만가구 정전사태

美동북부	美/SH+동북부/NNG
지역에도	지역/NNG+에/JKB+도/JX
25cm	25/SN+cm/SW
내렸다.	내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.158.5.1
뉴저지, 코네티컷, 매사추세츠 주 전역과 뉴욕 주 13개 카운티에는 비상사태가 선포됐다.

뉴저지,	뉴저지/NNP+,/SP
코네티컷,	코네티컷/NNP+,/SP
매사추세츠	매사추세츠/NNP
주	주/NNG
전역과	전역/NNG+과/JC
뉴욕	뉴욕/NNP
13개	13/SN+개/NNB
카운티에는	카운티/NNG+에/JKB+는/JX
비상사태가	비상사태/NNG+가/JKS
선포됐다.	선포/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000029.158.6.1
뉴욕국립기상청(NWS)에 따르면 10월 중 뉴욕에 눈이 내린 것은 1952년 이후 59년 만이다.

뉴욕국립기상청(NWS)에	뉴욕국립기상청/NNP+(/SS+NWS/SL+)/SS+에/JKB
따르면	따르/VV+면/EC
10월	10/SN+월/NNB
중	중/NNB
뉴욕에	뉴욕/NNP+에/JKB
눈이	눈/NNG+이/JKS
내린	내리/VV+ㄴ/ETM
것은	것/NNB+은/JX
1952년	1952/SN+년/NNB
이후	이후/NNG
59년	59/SN+년/NNB
만이다.	만/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.158.6.2
1869년 기상 관측을 시작한 이래 3번째다.

1869년	1869/SN+년/NNB
기상	기상/NNG
관측을	관측/NNG+을/JKO
시작한	시작/NNG+하/XSV+ㄴ/ETM
이래	이래/NNB
3번째다.	3/SN+번/NNB+째/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000029.158.6.3
NWS는 “예년보다 빨리 찾아온 찬 공기가 동북부 지역으로 밀려오면서 열대성 수증기와 만나 광범위한 지역에서 많은 눈과 비가 내렸다”고 밝혔다.

NWS는	NWS/SL+는/JX
“예년보다	“/SS+예년/NNG+보다/JKB
빨리	빨리/MAG
찾아온	찾아오/VV+ㄴ/ETM
찬	차/VA+ㄴ/ETM
공기가	공기/NNG+가/JKS
동북부	동북부/NNG
지역으로	지역/NNG+으로/JKB
밀려오면서	밀려오/VV+면서/EC
열대성	열대/NNG+성/XSN
수증기와	수증기/NNG+와/JKB
만나	만나/VV+아/EC
광범위한	광범위/NNG+하/XSA+ㄴ/ETM
지역에서	지역/NNG+에서/JKB
많은	많/VA+은/ETM
눈과	눈/NNG+과/JC
비가	비/NNG+가/JKS
내렸다”고	내리/VV+었/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.158.7.1
특히 강풍을 동반한 폭설로 인해 피해가 커졌다.

특히	특히/MAG
강풍을	강풍/NNG+을/JKO
동반한	동반/NNG+하/XSV+ㄴ/ETM
폭설로	폭설/NNG+로/JKB
인해	인/NNG+하/XSV+아/EC
피해가	피해/NNG+가/JKS
커졌다.	커지/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.158.7.2
나무가 쓰러지면서 전력선이 단절돼 뉴저지에서만 50만 가구가 정전을 겪었다.

나무가	나무/NNG+가/JKS
쓰러지면서	쓰러지/VV+면서/EC
전력선이	전력선/NNG+이/JKS
단절돼	단절/NNG+되/XSV+어/EC
뉴저지에서만	뉴저지/NNP+에서/JKB+만/JX
50만	50/SN+만/NR
가구가	가구/NNG+가/JKS
정전을	정전/NNG+을/JKO
겪었다.	겪/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.158.7.3
코네티컷과 펜실베이니아 지역에서도 50만 가구가 정전됐다.

코네티컷과	코네티컷/NNP+과/JC
펜실베이니아	펜실베이니아/NNP
지역에서도	지역/NNG+에서/JKB+도/JX
50만	50/SN+만/NR
가구가	가구/NNG+가/JKS
정전됐다.	정전/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000029.158.7.4
펜실베이니아에서는 집 위로 나무가 쓰러져 84세 노인이 숨졌으며 코네티컷과 매사추세츠에서도 빙판길 교통사고와 전력선에 감전돼 숨지는 사고가 발생했다.

펜실베이니아에서는	펜실베이니아/NNP+에서/JKB+는/JX
집	집/NNG
위로	위/NNG+로/JKB
나무가	나무/NNG+가/JKS
쓰러져	쓰러지/VV+어/EC
84세	84/SN+세/NNB
노인이	노인/NNG+이/JKS
숨졌으며	숨지/VV+었/EP+으며/EC
코네티컷과	코네티컷/NNP+과/JC
매사추세츠에서도	매사추세츠/NNP+에서/JKB+도/JX
빙판길	빙판길/NNG
교통사고와	교통사고/NNG+와/JC
전력선에	전력선/NNG+에/JKB
감전돼	감전/NNG+되/XSV+어/EC
숨지는	숨지/VV+는/ETM
사고가	사고/NNG+가/JKS
발생했다.	발생/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.158.8.1
뉴욕 케네디 공항과 뉴어크 공항, 필라델피아 국제공항의 항공편이 취소되거나 몇 시간씩 지연됐다.

뉴욕	뉴욕/NNP
케네디	케네디/NNP
공항과	공항/NNG+과/JC
뉴어크	뉴어크/NNP
공항,	공항/NNG+,/SP
필라델피아	필라델피아/NNP
국제공항의	국제공항/NNG+의/JKG
항공편이	항공편/NNG+이/JKS
취소되거나	취소/NNG+되/XSV+거나/EC
몇	몇/NR
시간씩	시간/NNB+씩/XSN
지연됐다.	지연/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000029.158.8.2
주요 철도망인 암트랙은 필라델피아와 해리스버그 구간 운행을 중단했다.

주요	주요/NNG
철도망인	철도망/NNG+이/VCP+ㄴ/ETM
암트랙은	암트랙/NNP+은/JX
필라델피아와	필라델피아/NNP+와/JC
해리스버그	해리스버그/NNP
구간	구간/NNG
운행을	운행/NNG+을/JKO
중단했다.	중단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.158.8.3
이번 겨울폭풍이 몰아닥친 지역은 올 8월 허리케인 ‘아이린’이 휩쓸고 지나간 지역이 대부분이어서 피해 규모가 더 클 것으로 예상된다.

이번	이번/NNG
겨울폭풍이	겨울/NNG+폭풍/NNG+이/JKS
몰아닥친	몰아닥치/VV+ㄴ/ETM
지역은	지역/NNG+은/JX
올	올/NNG
8월	8/SN+월/NNB
허리케인	허리케인/NNG
‘아이린’이	‘/SS+아이린/NNP+’/SS+이/JKS
휩쓸고	휩쓸/VV+고/EC
지나간	지나가/VV+ㄴ/ETM
지역이	지역/NNG+이/JKS
대부분이어서	대/XPN+부분/NNG+이/VCP+어서/EC
피해	피해/NNG
규모가	규모/NNG+가/JKS
더	더/MAG
클	크/VA+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.158.9.1
한편 눈이 3cm 이상 내린 뉴욕 시에서는 맨해튼 주코티 공원에서 농성 중이던 월가 시위대 일부가 철수하기도 했다.

한편	한편/MAG
눈이	눈/NNG+이/JKS
3cm	3/SN+cm/SW
이상	이상/NNG
내린	내리/VV+ㄴ/ETM
뉴욕	뉴욕/NNP
시에서는	시/NNG+에서/JKB+는/JX
맨해튼	맨해튼/NNP
주코티	주코티/NNP
공원에서	공원/NNG+에서/JKB
농성	농성/NNG
중이던	중/NNB+이/VCP+던/ETM
월가	월가/NNP
시위대	시위대/NNG
일부가	일부/NNG+가/JKS
철수하기도	철수/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


