# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.320
metadata : {}


# id : NWRW1800000049.320.1.1
야권 표 나뉜 15代, 여당표 잠식 14代

야권	야권/NNG
여당인	여당/NNG+이/VCP+ㄴ/ETM
민주자유당,	민주자유당/NNP+,/SP
야당인	야당/NNG+이/VCP+ㄴ/ETM
민주당의	민주당/NNP+의/JKG
양자	양자/NNG
구도에	구도/NNG+에/JKB
당시	당시/NNG
정주영	정주영/NNP
현대그룹	현대그룹/NNP
회장이	회장/NNG+이/JKS
대선을	대선/NNG+을/JKO
겨냥하며	겨냥/NNG+하/XSV+며/EC
창당한	창당/NNG+하/XSV+ㄴ/ETM
통일국민당이	통일국민당/NNP+이/JKS
도전장을	도전장/NNG+을/JKO
내밀었다.	내밀/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.320.4.2
통일국민당은 당시 서울 44개 전체 지역구 중 41곳에 후보를 냈고 2석을 얻었다.

통일국민당은	통일국민당/NNP+은/JX
당시	당시/NNG
서울	서울/NNP
44개	44/SN+개/NNB
전체	전체/NNG
지역구	지역구/NNG
중	중/NNB
41곳에	41/SN+곳/NNG+에/JKB
후보를	후보/NNG+를/JKO
냈고	내/VV+었/EP+고/EC
2석을	2/SN+석/NNB+을/JKO
얻었다.	얻/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.320.4.3
당선자 2명을 제외한 후보들은 최소 4.6%, 최대 31.8%로 평균 20% 안팎의 득표율을 보였다.

당선자	당선자/NNG
2명을	2/SN+명/NNB+을/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
후보들은	후보/NNG+들/XSN+은/JX
최소	최소/NNG
4.6%,	4/SN+./SP+6/SN+%/SW+,/SP
최대	최대/NNG
31.8%로	31/SN+./SP+8/SN+%/SW+로/JKB
평균	평균/NNG
20%	20/SN+%/SW
안팎의	안팎/NNG+의/JKG
득표율을	득표/NNG+율/XSN+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.320.5.1
그럼에도 당시 서울 선거 결과는 민주당이 25석을 차지했고 민자당은 16석에 그쳤다.

그럼에도	그렇/VA+ㅁ/ETN+에/JKB+도/JX
당시	당시/NNG
서울	서울/NNP
선거	선거/NNG
결과는	결과/NNG+는/JX
민주당이	민주당/NNP+이/JKS
25석을	25/SN+석/NNB+을/JKO
차지했고	차지/NNG+하/XSV+았/EP+고/EC
민자당은	민자당/NNP+은/JX
16석에	16/SN+석/NNB+에/JKB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.320.5.2
통일국민당이 야당이긴 했지만 내용적으로는 여권 분열이었다는 얘기다.

통일국민당이	통일국민당/NNP+이/JKS
야당이긴	야당/NNG+이/VCP+기/ETN+ㄴ/JX
했지만	하/VX+았/EP+지만/EC
내용적으로는	내용/NNG+적/XSN+으로/JKB+는/JX
여권	여권/NNG
분열이었다는	분열/NNG+이/VCP+었/EP+다는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.320.5.3
당시 통일국민당에 참여했던 정치권 인사는 5일 동아일보와의 통화에서 “이념 성향으로 보면 지금 국민의당보다 좀 더 오른쪽에 있었고, 여권 성향 지지층이 더 많았다”고 말했다.

당시	당시/NNG
통일국민당에	통일국민당/NNP+에/JKB
참여했던	참여/NNG+하/XSV+았/EP+던/ETM
정치권	정치/NNG+권/XSN
인사는	인사/NNG+는/JX
5일	5/SN+일/NNB
동아일보와의	동아일보/NNP+와/JKB+의/JKG
통화에서	통화/NNG+에서/JKB
“이념	“/SS+이념/NNG
성향으로	성향/NNG+으로/JKB
보면	보/VV+면/EC
지금	지금/MAG
국민의당보다	국민의당/NNP+보다/JKB
좀	좀/MAG
더	더/MAG
오른쪽에	오른쪽/NNG+에/JKB
있었고,	있/VA+었/EP+고/EC+,/SP
여권	여권/NNG
성향	성향/NNG
지지층이	지지/NNG+층/XSN+이/JKS
많았다”고	많/VA+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.320.6.1
1996년 4월 총선은 제1야당이던 통합민주당에서 의원들이 대거 탈당해 새정치국민회의로 옮겨가 새로운 제1야당을 이루면서 야권이 갈라졌다.

1996년	1996/SN+년/NNB
4월	4/SN+월/NNB
총선은	총선/NNG+은/JX
제1야당이던	제/XPN+1/SN+야당/NNG+이/VCP+던/ETM
통합민주당에서	통합민주당/NNP+에서/JKB
의원들이	의원/NNG+들/XSN+이/JKS
대거	대거/MAG
탈당해	탈당/NNG+하/XSV+아/EC
새정치국민회의로	새정치국민회의/NNP+로/JKB
옮겨가	옮기/VV+어/EC+가/VX+아/EC
새로운	새롭/VA+ㄴ/ETM
제1야당을	제/XPN+1/SN+야당/NNG+을/JKO
이루면서	이루/VV+면서/EC
야권이	야권/NNG+이/JKS
갈라졌다.	갈라지/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.320.6.2
새정치국민회의는 1995년 정계에 복귀한 김대중 전 대통령이 창당했다.

새정치국민회의는	새정치국민회의/NNP+는/JX
1995년	1995/SN+년/NNB
정계에	정계/NNG+에/JKB
복귀한	복귀/NNG+하/XSV+ㄴ/ETM
김대중	김대중/NNP
전	전/MMD
대통령이	대통령/NNG+이/JKS
창당했다.	창당/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.320.6.3
국민의당이 더불어민주당을 나온 의원들로 이뤄진 것은 새정치국민회의와 비슷하지만 의석수로 보면 통합민주당과 흡사하다.

국민의당이	국민의당/NNP+이/JKS
더불어민주당을	더불어민주당/NNP+을/JKO
나온	나오/VV+ㄴ/ETM
의원들로	의원/NNG+들/XSN+로/JKB
이뤄진	이뤄지/VV+ㄴ/ETM
것은	것/NNB+은/JX
새정치국민회의와	새정치국민회의/NNP+와/JKB
비슷하지만	비슷하/VA+지만/EC
의석수로	의석수/NNG+로/JKB
보면	보/VV+면/EC
통합민주당과	통합민주당/NNP+과/JKB
흡사하다.	흡사/MAG+하/XSA+다/EF+./SF


# id : NWRW1800000049.320.7.1
통합민주당은 서울 47개 전체 지역구에 모두 후보를 냈지만 1석을 얻는 데 그쳤다.

통합민주당은	통합민주당/NNP+은/JX
서울	서울/NNP
47개	47/SN+개/NNB
전체	전체/NNG
지역구에	지역구/NNG+에/JKB
모두	모두/MAG
후보를	후보/NNG+를/JKO
냈지만	내/VV+었/EP+지만/EC
1석을	1/SN+석/NNB+을/JKO
얻는	얻/VV+는/ETM
데	데/NNB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.320.7.2
승자는 27석을 얻은 여당 신한국당이었다.

승자는	승자/NNG+는/JX
27석을	27/SN+석/NNB+을/JKO
얻은	얻/VV+은/ETM
여당	여당/NNG
신한국당이었다.	신한국당/NNP+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000049.320.7.3
새정치국민회의는 18석에 그쳤다.

새정치국민회의는	새정치국민회의/NNP+는/JX
18석에	18/SN+석/NNB+에/JKB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.320.7.4
사실상 처음으로 여권에 서울을 내준 선거였다.

사실상	사실/NNG+상/XSN
처음으로	처음/NNG+으로/JKB
여권에	여권/NNG+에/JKB
서울을	서울/NNP+을/JKO
내준	내주/VV+ㄴ/ETM
선거였다.	선거/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000049.320.7.5
통합민주당이 잠식한 야권표가 승부를 가름한 지역구가 많았다.

통합민주당이	통합민주당/NNP+이/JKS
잠식한	잠식/NNG+하/XSV+ㄴ/ETM
야권표가	야권/NNG+표/NNG+가/JKS
승부를	승부/NNG+를/JKO
가름한	가름/NNG+하/XSV+ㄴ/ETM
지역구가	지역구/NNG+가/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000049.320.8.1
20대 총선에서 국민의당이 14대 통일국민당과 같은 결과를 낳을지, 15대 통합민주당의 효과를 나타낼지, 아니면 제3의 존재감을 과시할지는 미지수다.

20대	20/SN+대/NNB
총선에서	총선/NNG+에서/JKB
국민의당이	국민의당/NNP+이/JKS
14대	14/SN+대/NNB
통일국민당과	통일국민당/NNP+과/JKB
같은	같/VA+은/ETM
결과를	결과/NNG+를/JKO
낳을지,	낳/VV+을지/EC+,/SP
15대	15/SN+대/NNB
통합민주당의	통합민주당/NNP+의/JKG
효과를	효과/NNG+를/JKO
나타낼지,	나타내/VV+ㄹ지/EC+,/SP
아니면	아니/VCN+면/EC
제3의	제/XPN+3/SN+의/JKG
존재감을	존재감/NNG+을/JKO
과시할지는	과시/NNG+하/XSV+ㄹ지/EC+는/JX
미지수다.	미지수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.320.8.2
가장 큰 변수는 호남이다.

가장	가장/MAG
큰	크/VA+ㄴ/ETM
변수는	변수/NNG+는/JX
호남이다.	호남/NNP+이/VCP+다/EF+./SF


# id : NWRW1800000049.320.8.3
14대 때 민주당과 15대 때 새정치국민회의는 서울 선거 결과와 상관없이 호남을 석권했다.

14대	14/SN+대/NNB
때	때/NNG
민주당과	민주당/NNP+과/JC
15대	15/SN+대/NNB
새정치국민회의는	새정치국민회의/NNP+는/JX
서울	서울/NNP
선거	선거/NNG
결과와	결과/NNG+와/JKB
상관없이	상관없이/MAG
호남을	호남/NNP+을/JKO
석권했다.	석권/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.320.8.4
민주당은 호남 37석 중 36석을, 새정치국민회의는 호남 39석 중 37석을 가져갔다.

민주당은	민주당/NNP+은/JX
호남	호남/NNP
37석	37/SN+석/NNB
중	중/NNB
36석을,	36/SN+석/NNB+을/JKO+,/SP
새정치국민회의는	새정치국민회의/NNP+는/JX
39석	39/SN+석/NNB
37석을	37/SN+석/NNB+을/JKO
가져갔다.	가져가/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.320.8.5
하지만 현재 호남에서는 제1야당인 더민주당이 아니라 국민의당이 우세하다는 게 정치권 공통의 평가다.

하지만	하지만/MAJ
현재	현재/MAG
호남에서는	호남/NNP+에서/JKB+는/JX
제1야당인	제/XPN+1/SN+야당/NNG+이/VCP+ㄴ/ETM
더민주당이	더민주당/NNP+이/JKC
아니라	아니/VCN+라/EC
국민의당이	국민의당/NNP+이/JKS
우세하다는	우세/NNG+하/XSA+다는/ETM
게	거/NNB+이/JKS
정치권	정치/NNG+권/XSN
공통의	공통/NNG+의/JKG
평가다.	평가/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.320.8.6
‘의제와 전략 그룹 더모아’ 윤태곤 정치분석실장은 “호남의 탄탄한 지지 기반을 선거일까지 유지한다면 국민의당이 서울에서 의외의 결과를 낼 가능성이 있다”고 했다.

‘의제와	‘/SS+의제/NNG+와/JC
전략	전략/NNG
그룹	그룹/NNG
더모아’	더/MAG+모으/VV+아/EC+’/SS
윤태곤	윤태곤/NNP
정치분석실장은	정치/NNG+분석실장/NNG+은/JX
“호남의	“/SS+호남/NNP+의/JKG
탄탄한	탄탄하/VA+ㄴ/ETM
지지	지지/NNG
기반을	기반/NNG+을/JKO
선거일까지	선거일/NNG+까지/JX
유지한다면	유지/NNG+하/XSV+ㄴ다면/EC
국민의당이	국민의당/NNP+이/JKS
서울에서	서울/NNP+에서/JKB
의외의	의외/NNG+의/JKG
결과를	결과/NNG+를/JKO
낼	내/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


