# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.275
metadata : {}


# id : NWRW1800000054.275.1.1
김시우 '배상문의 뒤땅' 설욕할까

김시우	김시우/NNP
우세를	우세/NNG+를/JKO
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.275.4.4
김시우는 "올해 초에는 부상이 많아 고생했지만 다행히 몸 상태가 나아졌다"며 "같은 팀 선수들과 호흡만 잘 맞으면 잘 풀릴 것 같다"고 했다.

김시우는	김시우/NNP+는/JX
"올해	"/SS+올해/NNG
초에는	초/NNB+에/JKB+는/JX
부상이	부상/NNG+이/JKS
많아	많/VA+아/EC
고생했지만	고생/NNG+하/XSV+았/EP+지만/EC
다행히	다행히/MAG
몸	몸/NNG
상태가	상태/NNG+가/JKS
나아졌다"며	나아지/VV+었/EP+다/EF+"/SS+며/EC
"같은	"/SS+같/VA+은/ETM
팀	팀/NNG
선수들과	선수/NNG+들/XSN+과/JKB
호흡만	호흡/NNG+만/JX
잘	잘/MAG
맞으면	맞/VV+으면/EC
풀릴	풀리/VV+ㄹ/ETM
것	것/NNB
같다"고	같/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.275.5.1
김시우는 자기 인스타그램에 동료들과 찍은 셀카를 올리며 화기애애한 팀 분위기를 전했다.

김시우는	김시우/NNP+는/JX
자기	자기/NP
인스타그램에	인스타그램/NNP+에/JKB
동료들과	동료/NNG+들/XSN+과/JKB
찍은	찍/VV+은/ETM
셀카를	셀카/NNG+를/JKO
올리며	올리/VV+며/EC
화기애애한	화기애애하/VA+ㄴ/ETM
팀	팀/NNG
분위기를	분위기/NNG+를/JKO
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.275.5.2
사진에선 세계 랭킹 7위 제이슨 데이(30)와 애덤 스콧(37·이상 호주), 애덤 해드윈(30·캐나다) 등 각 나라를 대표하는 선수들이 김시우와 함께 환하게 웃고 있다.

사진에선	사진/NNG+에서/JKB+ㄴ/JX
세계	세계/NNG
랭킹	랭킹/NNG
7위	7/SN+위/NNB
제이슨	제이슨/NNP
데이(30)와	데이/NNP+(/SS+30/SN+)/SS+와/JC
애덤	애덤/NNP
스콧(37·이상	스콧/NNP+(/SS+37/SN+·/SP+이상/NNG
호주),	호주/NNP+)/SS+,/SP
해드윈(30·캐나다)	해드윈/NNP+(/SS+30/SN+·/SP+캐나다/NNP+)/SS
등	등/NNB
각	각/MMD
나라를	나라/NNG+를/JKO
대표하는	대표/NNG+하/XSV+는/ETM
선수들이	선수/NNG+들/XSN+이/JKS
김시우와	김시우/NNP+와/JKB
함께	함께/MAG
환하게	환하/VA+게/EC
웃고	웃/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.275.5.3
김시우는 대회 개막을 이틀 앞두고 참가한 연습 라운드에서 미국팀 부단장을 맡은 타이거 우즈(42)와 인사하는 사진도 공개했다.

김시우는	김시우/NNP+는/JX
대회	대회/NNG
개막을	개막/NNG+을/JKO
이틀	이틀/NNG
앞두고	앞두/VV+고/EC
참가한	참가/NNG+하/XSV+ㄴ/ETM
연습	연습/NNG
라운드에서	라운드/NNG+에서/JKB
미국팀	미국/NNP+팀/NNG
부단장을	부단장/NNG+을/JKO
맡은	맡/VV+은/ETM
타이거	타이거/NNP
우즈(42)와	우즈/NNP+(/SS+42/SN+)/SS+와/JKB
인사하는	인사/NNG+하/XSV+는/ETM
사진도	사진/NNG+도/JX
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.275.6.1
미국팀은 최근 자국에서 논란이 된 '국민의례 거부'를 두고 토론을 벌인 끝에 프레지던츠컵 국가(國歌) 연주에선 늘 해오던 대로 서 있기로 의견을 모았다.

미국팀은	미국/NNP+팀/NNG+은/JX
최근	최근/MAG
자국에서	자국/NNG+에서/JKB
논란이	논란/NNG+이/JKC
된	되/VV+ㄴ/ETM
'국민의례	'/SS+국민의례/NNG
거부'를	거부/NNG+'/SS+를/JKO
두고	두/VV+고/EC
토론을	토론/NNG+을/JKO
벌인	벌이/VV+ㄴ/ETM
끝에	끝/NNG+에/JKB
프레지던츠컵	프레지던츠컵/NNG
국가(國歌)	국가/NNG+(/SS+國歌/SH+)/SS
연주에선	연주/NNG+에서/JKB+ㄴ/JX
늘	늘/MAG
해오던	하/VV+아/EC+오/VX+던/ETM
대로	대로/NNB
서	서/VV+어/EC
있기로	있/VX+기/ETN+로/JKB
의견을	의견/NNG+을/JKO
모았다.	모으/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.275.6.2
미국팀 부단장인 데이비스 러브 3세(53)는 "저항해야 할 때가 있지만, 국가가 울려 퍼지는 동안은 아닌 것 같다"고 했다.

미국팀	미국/NNP+팀/NNG
부단장인	부단장/NNG+이/VCP+ㄴ/ETM
데이비스	데이비스/NNP
러브	러브/NNP
3세(53)는	3/SN+세/NNB+(/SS+53/SN+)/SS+는/JX
"저항해야	"/SS+저항/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
때가	때/NNG+가/JKS
있지만,	있/VA+지만/EC+,/SP
국가가	국가/NNG+가/JKS
울려	울리/VV+어/EC
퍼지는	퍼지/VV+는/ETM
동안은	동안/NNG+은/JX
아닌	아니/VCN+ㄴ/ETM
것	것/NNB
같다"고	같/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


