# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.169
metadata : {}


# id : NWRW1800000044.169.1.1
양대노총, 공공기관 ‘정상화대책’ 강경 대응키로

양대노총,	양대/MMA+노총/NNG+,/SP
책임을	책임/NNG+을/JKO
전가하고	전가/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.169.6.1
공대위는 부채를 줄인다는 명목으로 추진중인 정부 대책이 실효성도 없을 뿐더러, 민간자본을 끌어들여 공공부문의 ‘민영화’를 추진하기 위한 꼼수라고 본다.

공대위는	공대위/NNG+는/JX
부채를	부채/NNG+를/JKO
줄인다는	줄이/VV+ㄴ다는/ETM
명목으로	명목/NNG+으로/JKB
추진중인	추진/NNG+중/NNB+이/VCP+ㄴ/ETM
정부	정부/NNG
대책이	대책/NNG+이/JKS
실효성도	실효/NNG+성/XSN+도/JX
없을	없/VA+을/ETM
뿐더러,	뿐/NNB+더러/JKB+,/SP
민간자본을	민간/NNG+자본/NNG+을/JKO
끌어들여	끌어들이/VV+어/EC
공공부문의	공공/NNG+부문/NNG+의/JKG
‘민영화’를	‘/SS+민영/NNG+화/XSN+’/SS+를/JKO
추진하기	추진/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
꼼수라고	꼼수/NNG+이/VCP+라고/EC
본다.	보/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.169.6.2
공대위는 “정부 발표에 따르면 한국토지주택공사(LH), 한국전력 등에서 추진중인 임대주택, 발전시설 등 국가기간시설 사업이 지연되거나 축소된다.

공대위는	공대위/NNG+는/JX
“정부	“/SS+정부/NNG
발표에	발표/NNG+에/JKB
따르면	따르/VV+면/EC
한국토지주택공사(LH),	한국토지주택공사/NNP+(/SS+LH/SL+)/SS+,/SP
한국전력	한국전력/NNP
등에서	등/NNB+에서/JKB
추진중인	추진/NNG+중/NNB+이/VCP+ㄴ/ETM
임대주택,	임대/NNG+주택/NNG+,/SP
발전시설	발전/NNG+시설/NNG
등	등/NNB
국가기간시설	국가/NNG+기간/NNG+시설/NNG
사업이	사업/NNG+이/JKS
지연되거나	지연/NNG+되/XSV+거나/EC
축소된다.	축소/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000044.169.6.3
사업 축소로 인한 부채 감축은 실제로는 부채의 절대 규모가 축소되는 것이 아니라 부채 증가가 지연되는 것일 뿐이며, 축소된 공공사업을 민간이 대행한다면 결국 국민 부담이 증대될 가능성이 있다”고 주장했다.

사업	사업/NNG
축소로	축소/NNG+로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
부채	부채/NNG
감축은	감축/NNG+은/JX
실제로는	실제로/MAG+는/JX
부채의	부채/NNG+의/JKG
절대	절대/NNG
규모가	규모/NNG+가/JKS
축소되는	축소/NNG+되/XSV+는/ETM
것이	것/NNB+이/JKC
아니라	아니/VCN+라/EC
증가가	증가/NNG+가/JKS
지연되는	지연/NNG+되/XSV+는/ETM
것일	것/NNB+이/VCP+ㄹ/ETM
뿐이며,	뿐/NNB+이/VCP+며/EC+,/SP
축소된	축소/NNG+되/XSV+ㄴ/ETM
공공사업을	공공사업/NNG+을/JKO
민간이	민간/NNG+이/JKS
대행한다면	대행/NNG+하/XSV+ㄴ다면/EC
결국	결국/MAG
국민	국민/NNG
부담이	부담/NNG+이/JKS
증대될	증대/NNG+되/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.169.7.1
공대위는 정부가 공공기관 방만경영의 문제점으로 지목한 조합원에 대한 복리후생비도 전체 절감액이 1600억원 정도로 중점관리기관 부채 411조7000억원의 0.0364%에 불과하다고 설명했다.

공대위는	공대위/NNG+는/JX
정부가	정부/NNG+가/JKS
공공기관	공공/NNG+기관/NNG
방만경영의	방만경영/NNG+의/JKG
문제점으로	문제점/NNG+으로/JKB
지목한	지목/NNG+하/XSV+ㄴ/ETM
조합원에	조합원/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
복리후생비도	복리/NNG+후생비/NNG+도/JX
전체	전체/NNG
절감액이	절감액/NNG+이/JKS
1600억원	1600/SN+억/NR+원/NNB
정도로	정도/NNG+로/JKB
중점관리기관	중점/NNG+관리/NNG+기관/NNG
부채	부채/NNG
411조7000억원의	411/SN+조/NR+7000/SN+억/NR+원/NNB+의/JKG
0.0364%에	0/SN+./SP+0364/SN+%/SW+에/JKB
불과하다고	불과/MAG+하/XSA+다고/EC
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.169.7.2
박준형 공공운수노조 공공기관 팀장은 “정부가 요란하게 떠든 과도한 복리후생, 방만경영은 부채의 책임 소재를 은폐하기 위한 언론 플레이에 불과하다.

박준형	박준형/NNP
공공운수노조	공공운수노조/NNP
공공기관	공공/NNG+기관/NNG
팀장은	팀장/NNG+은/JX
“정부가	“/SS+정부/NNG+가/JKS
요란하게	요란/NNG+하/XSA+게/EC
떠든	떠들/VV+ㄴ/ETM
과도한	과도/NNG+하/XSA+ㄴ/ETM
복리후생,	복리/NNG+후생/NNG+,/SP
방만경영은	방만경영/NNG+은/JX
부채의	부채/NNG+의/JKG
책임	책임/NNG
소재를	소재/NNG+를/JKO
은폐하기	은폐/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
언론	언론/NNG
플레이에	플레이/NNG+에/JKB
불과하다.	불과/MAG+하/XSA+다/EF+./SF


# id : NWRW1800000044.169.7.3
되레 정부가 노조와 합의가 필요한 큰 폭의 복리후생비 삭감을 일체의 합의 없이 일방적으로 발표하면서 노동관계법과 헌법의 노동3권을 송두리째 위반하고 있다”고 말했다.

되레	되레/MAG
정부가	정부/NNG+가/JKS
노조와	노조/NNG+와/JKB
합의가	합의/NNG+가/JKS
필요한	필요/NNG+하/XSA+ㄴ/ETM
큰	크/VA+ㄴ/ETM
폭의	폭/NNG+의/JKG
복리후생비	복리/NNG+후생비/NNG
삭감을	삭감/NNG+을/JKO
일체의	일체/NNG+의/JKG
합의	합의/NNG
없이	없이/MAG
일방적으로	일방/NNG+적/XSN+으로/JKB
발표하면서	발표/NNG+하/XSV+면서/EC
노동관계법과	노동관계법/NNG+과/JC
헌법의	헌법/NNG+의/JKG
노동3권을	노동3권/NNG+을/JKO
송두리째	송두리/NNG+째/XSN
위반하고	위반/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.169.8.1
공대위는 5일 대표자회의를 열어 구체적인 투쟁 방침을 결정할 예정이다.

공대위는	공대위/NNG+는/JX
5일	5/SN+일/NNB
대표자회의를	대표자/NNG+회의/NNG+를/JKO
열어	열/VV+어/EC
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
투쟁	투쟁/NNG
방침을	방침/NNG+을/JKO
결정할	결정/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.169.8.2
현재까지는 25일 민주노총 국민총파업 때 공공부문 투쟁을 의제화하는 방안을 비롯해 △(정부) 경영실사단 방문 저지 △단체교섭 거부 △총파업 돌입 등을 논의하고 있는 것으로 알려졌다.

현재까지는	현재/NNG+까지/JX+는/JX
25일	25/SN+일/NNB
민주노총	민주노총/NNP
국민총파업	국민/NNG+총파업/NNG
때	때/NNG
공공부문	공공/NNG+부문/NNG
투쟁을	투쟁/NNG+을/JKO
의제화하는	의제/NNG+화/XSN+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
비롯해	비롯하/VV+아/EC
△(정부)	△/SW+(/SS+정부/NNG+)/SS
경영실사단	경영/NNG+실사단/NNG
방문	방문/NNG
저지	저지/NNG
△단체교섭	△/SW+단체/NNG+교섭/NNG
거부	거부/NNG
△총파업	△/SW+총파업/NNG
돌입	돌입/NNG
등을	등/NNB+을/JKO
논의하고	논의/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.169.8.3
공대위 관계자는 “정부의 경영 진단이 완료되는 9월 전에 총파업에 돌입할 것으로 보인다”고 말했다.

공대위	공대위/NNG
관계자는	관계자/NNG+는/JX
“정부의	“/SS+정부/NNG+의/JKG
경영	경영/NNG
진단이	진단/NNG+이/JKS
완료되는	완료/NNG+되/XSV+는/ETM
9월	9/SN+월/NNB
전에	전/NNG+에/JKB
총파업에	총파업/NNG+에/JKB
돌입할	돌입/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다”고	보이/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


