# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.369
metadata : {}


# id : NWRW1800000052.369.1.1
청와대, 중국의 사드 비판에 정면 반박

청와대,	청와대/NNP+,/SP
조치를	조치/NNG+를/JKO
문제삼기	문제/NNG+삼/VV+기/ETN
이전에	이전/NNG+에/JKB
그간	그/NP+간/XSN
네차례의	네/MMN+차례/NNG+의/JKG
핵실험과	핵/NNG+실험/NNG+과/JC
올해만도	올해/NNG+만/JX+도/JX
10차례	10/SN+차례/NNG
이상	이상/NNG
탄도미사일	탄도/NNG+미사일/NNG
발사를	발사/NNG+를/JKO
통해	통하/VV+아/EC
한반도와	한반도/NNP+와/JKB
동북아의	동북아/NNP+의/JKG
평화와	평화/NNG+와/JC
안정을	안정/NNG+을/JKO
깨고	깨/VV+고/EC
있는	있/VX+는/ETM
북한에	북한/NNP+에/JKB
대해서	대하/VV+아서/EC
보다	보다/MAG
강력한	강력/NNG+하/XSA+ㄴ/ETM
문제제기를	문제/NNG+제기/NNG+를/JKO
해야	하/VV+아야/EC
할	하/VX+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.369.8.1
청와대는 또 8~10일로 예정된 더불어민주당 초선의원 6명의 중국 방문 계획에 대해서도 “내부 분열을 심화시키는 계기가 될 것”이라며 재검토를 촉구했다.

청와대는	청와대/NNP+는/JX
또	또/MAG
8~10일로	8/SN+~/SO+10/SN+일/NNB+로/JKB
예정된	예정/NNG+되/XSV+ㄴ/ETM
더불어민주당	더불어민주당/NNP
초선의원	초선/NNG+의원/NNG
6명의	6/SN+명/NNB+의/JKG
중국	중국/NNP
방문	방문/NNG
계획에	계획/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
“내부	“/SS+내부/NNG
분열을	분열/NNG+을/JKO
심화시키는	심화/NNG+시키/XSV+는/ETM
계기가	계기/NNG+가/JKC
될	되/VV+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
재검토를	재/XPN+검토/NNG+를/JKO
촉구했다.	촉구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.369.8.2
김 수석은 “방중하는 의원들의 진의가 어디 있든 간에 이분들의 방중 활동이 결과적으로는 중국 쪽의 입장을 강화하고 우리 내부 분열을 심화시키는 기회가 될 것”이라며 “이번 여섯 분의 방중 계획을 재검토해줄 것을 의원 각자 및 더민주 지도부에 강력히 촉구한다”고 밝혔다.

김	김/NNP
수석은	수석/NNG+은/JX
“방중하는	“/SS+방중/NNG+하/XSV+는/ETM
의원들의	의원/NNG+들/XSN+의/JKG
진의가	진의/NNG+가/JKS
어디	어디/NP
있든	있/VA+든/EC
간에	간/NNB+에/JKB
이분들의	이분/NP+들/XSN+의/JKG
방중	방중/NNG
활동이	활동/NNG+이/JKS
결과적으로는	결과/NNG+적/XSN+으로/JKB+는/JX
중국	중국/NNP
쪽의	쪽/NNB+의/JKG
입장을	입장/NNG+을/JKO
강화하고	강화/NNG+하/XSV+고/EC
우리	우리/NP
내부	내부/NNG
분열을	분열/NNG+을/JKO
심화시키는	심화/NNG+시키/XSV+는/ETM
기회가	기회/NNG+가/JKC
될	되/VV+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“이번	“/SS+이번/NNG
여섯	여섯/NR
분의	분/NNB+의/JKG
계획을	계획/NNG+을/JKO
재검토해줄	재/XPN+검토/NNG+하/XSV+아/EC+주/VX+ㄹ/ETM
것을	것/NNB+을/JKO
의원	의원/NNG
각자	각자/MAG
및	및/MAG
더민주	더민주/NNP
지도부에	지도부/NNG+에/JKB
강력히	강력히/MAG
촉구한다”고	촉구/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


