# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.199
metadata : {}


# id : NWRW1800000037.199.1.1
[휴지통]애인에 차여 ‘여성혐오’하게 된 男, 히로뽕 취해 女명품 날치기

[휴지통]애인에	[/SS+휴지통/NNG+]/SS+애인/NNG+에/JKB
씨는	씨/NNB+는/JX
돈이	돈/NNG+이/JKS
필요해지자	필요/NNG+하/XSA+아/EC+지/VX+자/EC
평소	평소/NNG
혐오해온	혐오/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
‘여성’을	‘/SS+여성/NNG+’/SS+을/JKO
노렸다.	노리/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.199.3.2
그는 한밤중에 차를 타고 돌아다니며 범행 대상을 물색했다.

그는	그/NP+는/JX
한밤중에	한/XPN+밤중/NNG+에/JKB
차를	차/NNG+를/JKO
타고	타/VV+고/EC
돌아다니며	돌아다니/VV+며/EC
범행	범행/NNG
대상을	대상/NNG+을/JKO
물색했다.	물색/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.199.3.3
그러다 혼자 명품가방을 들고 걸어가는 젊은 여성에게 조용히 따라붙었다.

그러다	그러/VV+다/EC
혼자	혼자/MAG
명품가방을	명품/NNG+가방/NNG+을/JKO
들고	들/VV+고/EC
걸어가는	걸어가/VV+는/ETM
젊은	젊/VA+은/ETM
여성에게	여성/NNG+에게/JKB
조용히	조용히/MAG
따라붙었다.	따라붙/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.199.3.4
그러고는 오른손으로 운전대를 잡고 왼손을 창문으로 내밀어 가방을 낚아채 달아났다.

그러고는	그러/VV+고는/EC
오른손으로	오른손/NNG+으로/JKB
운전대를	운전대/NNG+를/JKO
잡고	잡/VV+고/EC
왼손을	왼손/NNG+을/JKO
창문으로	창문/NNG+으로/JKB
내밀어	내밀/VV+어/EC
가방을	가방/NNG+을/JKO
낚아채	낚아채/VV+어/EC
달아났다.	달아나/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.199.3.5
그는 지난달 14일부터 이달 1일까지 서울 일대를 누비며 여성 4명으로부터 루이뷔통, 구치 등 명품 가방 4개를 날치기하고 현금 100여만 원도 챙겼다.

그는	그/NP+는/JX
지난달	지난달/NNG
14일부터	14/SN+일/NNB+부터/JX
이달	이달/NNG
1일까지	1/SN+일/NNB+까지/JX
서울	서울/NNP
일대를	일대/NNG+를/JKO
누비며	누비/VV+며/EC
여성	여성/NNG
4명으로부터	4/SN+명/NNB+으로부터/JKB
루이뷔통,	루이뷔통/NNP+,/SP
구치	구치/NNP
등	등/NNB
명품	명품/NNG
가방	가방/NNG
4개를	4/SN+개/NNB+를/JKO
날치기하고	날치기/NNG+하/XSV+고/EC
현금	현금/NNG
100여만	100/SN+여/XSN+만/NR
원도	원/NNB+도/JX
챙겼다.	챙기/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.199.4.1
송 씨는 추적을 피하려고 위조된 번호판을 붙이고 다녔다.

송	송/NNP
씨는	씨/NNB+는/JX
추적을	추적/NNG+을/JKO
피하려고	피하/VV+려고/EC
위조된	위조/NNG+되/XSV+ㄴ/ETM
번호판을	번호판/NNG+을/JKO
붙이고	붙이/VV+고/EC
다녔다.	다니/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.199.4.2
경찰은 3일 오전 경기 광명시 하안동의 한 모텔에서 히로뽕에 취한 송 씨를 붙잡았다.

경찰은	경찰/NNG+은/JX
3일	3/SN+일/NNB
오전	오전/NNG
경기	경기/NNP
광명시	광명시/NNP
하안동의	하안동/NNP+의/JKG
한	한/MMN
모텔에서	모텔/NNG+에서/JKB
히로뽕에	히로뽕/NNG+에/JKB
취한	취하/VV+ㄴ/ETM
송	송/NNP
씨를	씨/NNB+를/JKO
붙잡았다.	붙잡/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.199.4.3
피해여성들은 가방이 모두 진품이라고 밝혔지만 송 씨는 경찰에서 “훔친 명품 가방 4개 중 2개가 가짜였다”며 분통을 터뜨렸다고 한다.

피해여성들은	피해/NNG+여성/NNG+들/XSN+은/JX
가방이	가방/NNG+이/JKS
모두	모두/MAG
진품이라고	진품/NNG+이/VCP+라고/EC
밝혔지만	밝히/VV+었/EP+지만/EC
송	송/NNP
씨는	씨/NNB+는/JX
경찰에서	경찰/NNG+에서/JKB
“훔친	“/SS+훔치/VV+ㄴ/ETM
명품	명품/NNG
가방	가방/NNG
4개	4/SN+개/NNB
중	중/NNB
2개가	2/SN+개/NNB+가/JKS
가짜였다”며	가짜/NNG+이/VCP+었/EP+다/EF+”/SS+며/EC
분통을	분통/NNG+을/JKO
터뜨렸다고	터뜨리/VV+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.199.4.4
모두 진품일 경우 가방 4개의 총 구매가는 500만 원이 넘는다.

모두	모두/MAG
진품일	진품/NNG+이/VCP+ㄹ/ETM
경우	경우/NNG
가방	가방/NNG
4개의	4/SN+개/NNB+의/JKG
총	총/MMA
구매가는	구매/NNG+가/XSN+는/JX
500만	500/SN+만/NR
원이	원/NNB+이/JKS
넘는다.	넘/VV+는다/EF+./SF


# id : NWRW1800000037.199.4.5
서울 금천경찰서는 송 씨를 절도와 마약류관리에 관한 법률 위반 혐의로 구속했다고 11일 밝혔다.

서울	서울/NNP
금천경찰서는	금천경찰서/NNP+는/JX
송	송/NNP
씨를	씨/NNB+를/JKO
절도와	절도/NNG+와/JC
마약류관리에	마약/NNG+류/XSN+관리/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법률	법률/NNG
위반	위반/NNG
혐의로	혐의/NNG+로/JKB
구속했다고	구속/NNG+하/XSV+았/EP+다고/EC
11일	11/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


