# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.391
metadata : {}


# id : NWRW1800000038.391.1.1
김원홍 SK해운 前고문, 先物투자로 한때 崔회장의 재산 1000억원대로 불려줘

김원홍	김원홍/NNP
고문을	고문/NNG+을/JKO
거론할	거론/NNG+하/XSV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없게	없/VA+게/EC
됐다"고	되/VV+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.391.8.1
펀드 출자 실무자인 김준홍(47) 전 베넥스인베스트먼트 대표는 최재원 부회장과 친분이 깊다.

펀드	펀드/NNG
출자	출자/NNG
실무자인	실무자/NNG+이/VCP+ㄴ/ETM
김준홍(47)	김준홍/NNP+(/SS+47/SN+)/SS
전	전/MMD
베넥스인베스트먼트	베넥스인베스트먼트/NNP
대표는	대표/NNG+는/JX
최재원	최재원/NNP
부회장과	부회장/NNG+과/JKB
친분이	친분/NNG+이/JKS
깊다.	깊/VA+다/EF+./SF


# id : NWRW1800000038.391.8.2
김 전 대표는 미국 하버드 케네디스쿨에서 금융 석사 학위를 받고 1998년 SK그룹에 입사해 3년 만에 상무로 초고속 승진했다.

김	김/NNP
전	전/MMD
대표는	대표/NNG+는/JX
미국	미국/NNP
하버드	하버드/NNP
케네디스쿨에서	케네디스쿨/NNP+에서/JKB
금융	금융/NNG
석사	석사/NNG
학위를	학위/NNG+를/JKO
받고	받/VV+고/EC
1998년	1998/SN+년/NNB
SK그룹에	SK그룹/NNP+에/JKB
입사해	입사/NNG+하/XSV+아/EC
3년	3/SN+년/NNB
만에	만/NNB+에/JKB
상무로	상무/NNG+로/JKB
초고속	초/XPN+고속/NNG
승진했다.	승진/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.391.8.3
창업 투자사인 베넥스를 차린 뒤에도 그룹 오너들과 깊은 관계를 유지해 'SK 오너 일가의 금고지기'라는 말이 나왔다.

창업	창업/NNG
투자사인	투자사/NNG+이/VCP+ㄴ/ETM
베넥스를	베넥스/NNP+를/JKO
차린	차리/VV+ㄴ/ETM
뒤에도	뒤/NNG+에/JKB+도/JX
그룹	그룹/NNG
오너들과	오너/NNG+들/XSN+과/JKB
깊은	깊/VA+은/ETM
관계를	관계/NNG+를/JKO
유지해	유지/NNG+하/XSV+아/EC
'SK	'/SS+SK/SL
오너	오너/NNG
일가의	일가/NNG+의/JKG
금고지기'라는	금고지기/NNG+'/SS+이/VCP+라는/ETM
말이	말/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


