# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.193
metadata : {}


# id : NWRW1800000021.193.1.1
생이별 47년 北남편 죽었다니…

생이별	생/XPN+이별/NNG
“죽기	“/SS+죽/VV+기/ETN
전에	전/NNG+에/JKB
북한을	북한/NNP+을/JKO
방문해	방문/NNG+하/XSV+아/EC
남편의	남편/NNG+의/JKG
흔적을	흔적/NNG+을/JKO
직접	직접/MAG
찾아보고	찾/VV+아/EC+보/VX+고/EC
싶다”고	싶/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


