# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.90
metadata : {}


# id : NWRW1800000046.90.1.1
32년 외길… "내 車는 멈추지 않는다"

32년	32/SN+년/NNB
조형물	조형물/NNG
제막식을	제막식/NNG+을/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.90.3.3
정상영 KCC 명예회장, 정몽준 아산재단 이사장, 정의선 현대자동차그룹 부회장, 정지선 현대백화점그룹 회장 등 범현대가(家) 인사 200여명이 참석했다.

정상영	정상영/NNP
KCC	KCC/SL
명예회장,	명예/NNG+회장/NNG+,/SP
정몽준	정몽준/NNP
아산재단	아산재단/NNP
이사장,	이사장/NNG+,/SP
정의선	정의선/NNP
현대자동차그룹	현대자동차그룹/NNP
부회장,	부회장/NNG+,/SP
정지선	정지선/NNP
현대백화점그룹	현대백화점그룹/NNP
회장	회장/NNG
등	등/NNB
범현대가(家)	범/XPN+현대가/NNG+(/SS+家/SH+)/SS
인사	인사/NNG
200여명이	200/SN+여/XSN+명/NNB+이/JKS
참석했다.	참석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.90.3.4
정세영 명예회장은 정주영 현대그룹 창업주의 넷째 동생으로 1967년 현대자동차 초대 사장을 맡았다.

정세영	정세영/NNP
명예회장은	명예/NNG+회장/NNG+은/JX
정주영	정주영/NNP
현대그룹	현대그룹/NNP
창업주의	창업주/NNG+의/JKG
넷째	넷째/NR
동생으로	동생/NNG+으로/JKB
1967년	1967/SN+년/NNB
현대자동차	현대자동차/NNP
초대	초대/NNG
사장을	사장/NNG+을/JKO
맡았다.	맡/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.90.3.5
특히 1974년 국내 최초 승용차 고유 모델인 '포니(PONY)'를 개발했다.

특히	특히/MAG
1974년	1974/SN+년/NNB
국내	국내/NNG
최초	최초/NNG
승용차	승용차/NNG
고유	고유/NNG
모델인	모델/NNG+이/VCP+ㄴ/ETM
'포니(PONY)'를	'/SS+포니/NNP+(/SS+PONY/SL+)/SS+'/SS+를/JKO
개발했다.	개발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.90.3.6
그는 세계시장에 포니를 수출하면서 '포니정'이라는 별칭을 얻었다.

그는	그/NP+는/JX
세계시장에	세계/NNG+시장/NNG+에/JKB
포니를	포니/NNP+를/JKO
수출하면서	수출/NNG+하/XSV+면서/EC
'포니정'이라는	'/SS+포니/NNP+정/NNP+'/SS+이/VCP+라는/ETM
별칭을	별칭/NNG+을/JKO
얻었다.	얻/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.90.3.7
1999년 자동차 업계를 떠나 건설회사인 현대산업개발 명예회장을 지내다가 2005년 세상을 떠났다.

1999년	1999/SN+년/NNB
자동차	자동차/NNG
업계를	업계/NNG+를/JKO
떠나	떠나/VV+아/EC
건설회사인	건설/NNG+회사/NNG+이/VCP+ㄴ/ETM
현대산업개발	현대산업개발/NNP
명예회장을	명예/NNG+회장/NNG+을/JKO
지내다가	지내/VV+다가/EC
2005년	2005/SN+년/NNB
세상을	세상/NNG+을/JKO
떠났다.	떠나/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.90.3.8
정 명예회장은 '우리도 자동차를 만들어보자'는 일념으로 현대자동차 간부 모두가 반대하던 고유모델 개발에 뛰어들었다.

정	정/NNP
명예회장은	명예/NNG+회장/NNG+은/JX
'우리도	'/SS+우리/NP+도/JX
자동차를	자동차/NNG+를/JKO
만들어보자'는	만들/VV+어/EC+보/VX+자/EF+'/SS+는/ETM
일념으로	일념/NNG+으로/JKB
현대자동차	현대자동차/NNP
간부	간부/NNG
모두가	모두/NNG+가/JKS
반대하던	반대/NNG+하/XSV+던/ETM
고유모델	고유/NNG+모델/NNG
개발에	개발/NNG+에/JKB
뛰어들었다.	뛰어들/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.90.3.9
그는 "고유모델을 안 만들면 우린 죽어. 반대할 사람은 비켜서서 구경이나 하라"며 강력히 추진했고, 당시 120만달러의 거액을 주고 촉망받던 이탈리아의 30대 자동차 디자이너 조르제토 주지아로를 섭외했다.

그는	그/NP+는/JX
"고유모델을	"/SS+고유/NNG+모델/NNG+을/JKO
안	안/MAG
만들면	만들/VV+면/EC
우린	우리/NP+ㄴ/JX
죽어.	죽/VV+어/EF+./SF
반대할	반대/NNG+하/XSV+ㄹ/ETM
사람은	사람/NNG+은/JX
비켜서서	비켜서/VV+어서/EC
구경이나	구경/NNG+이나/JX
하라"며	하/VV+라/EF+"/SS+며/EC
강력히	강력히/MAG
추진했고,	추진/NNG+하/XSV+았/EP+고/EC+,/SP
당시	당시/NNG
120만달러의	120/SN+만/NR+달러/NNB+의/JKG
거액을	거액/NNG+을/JKO
주고	주/VV+고/EC
촉망받던	촉망/NNG+받/XSV+던/ETM
이탈리아의	이탈리아/NNP+의/JKG
30대	30/SN+대/NNB
자동차	자동차/NNG
디자이너	디자이너/NNG
조르제토	조르제토/NNP
주지아로를	주지아로/NNP+를/JKO
섭외했다.	섭외/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.90.3.10
세계 굴지의 엔진·트랜스미션 회사를 찾아다녔고, 일본 미쓰비시와 기술전수 계약을 할 수 있었다.

세계	세계/NNG
굴지의	굴지/NNG+의/JKG
엔진·트랜스미션	엔진/NNG+·/SP+트랜스미션/NNG
회사를	회사/NNG+를/JKO
찾아다녔고,	찾아다니/VV+었/EP+고/EC+,/SP
일본	일본/NNP
미쓰비시와	미쓰비시/NNP+와/JKB
기술전수	기술/NNG+전수/NNG
계약을	계약/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000046.90.4.1
힘들게 자체 생산에 성공한 '포니'를 1976년 남미 에콰도르에 처음 수출했고 1978년엔 생산량 10만대를 돌파했다.

힘들게	힘들/VA+게/EC
자체	자체/NNG
생산에	생산/NNG+에/JKB
성공한	성공/NNG+하/XSV+ㄴ/ETM
'포니'를	'/SS+포니/NNP+'/SS+를/JKO
1976년	1976/SN+년/NNB
남미	남미/NNP
에콰도르에	에콰도르/NNP+에/JKB
처음	처음/NNG
수출했고	수출/NNG+하/XSV+았/EP+고/EC
1978년엔	1978/SN+년/NNB+에/JKB+ㄴ/JX
생산량	생산량/NNG
10만대를	10/SN+만/NR+대/NNB+를/JKO
돌파했다.	돌파/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.90.4.2
그는 "품질은 정성이다. 품질이 제일 좋으면 세계에서 제일 좋은 자동차가 된다"는 말을 입버릇처럼 했다.

그는	그/NP+는/JX
"품질은	"/SS+품질/NNG+은/JX
정성이다.	정성/NNG+이/VCP+다/EF+./SF
품질이	품질/NNG+이/JKS
제일	제일/MAG
좋으면	좋/VA+으면/EC
세계에서	세계/NNG+에서/JKB
좋은	좋/VA+은/ETM
자동차가	자동차/NNG+가/JKC
된다"는	되/VV+ㄴ다/EF+"/SS+는/ETM
말을	말/NNG+을/JKO
입버릇처럼	입버릇/NNG+처럼/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.90.4.3
이러한 정 명예회장의 모습이 추모 조형물에 담겼다.

이러한	이러하/VA+ㄴ/ETM
정	정/NNP
명예회장의	명예/NNG+회장/NNG+의/JKG
모습이	모습/NNG+이/JKS
추모	추모/NNG
조형물에	조형물/NNG+에/JKB
담겼다.	담기/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.90.4.4
조형물은 현대차 디자인연구소를 이끌며 정 명예회장과 인연을 맺은 박종서 전 국민대 테크노디자인 전문대학원장이 제작했다.

조형물은	조형물/NNG+은/JX
현대차	현대차/NNP
디자인연구소를	디자인/NNG+연구소/NNG+를/JKO
이끌며	이끌/VV+며/EC
정	정/NNP
명예회장과	명예/NNG+회장/NNG+과/JKB
인연을	인연/NNG+을/JKO
맺은	맺/VV+은/ETM
박종서	박종서/NNP
전	전/MMD
국민대	국민대/NNP
테크노디자인	테크노/NNG+디자인/NNG
전문대학원장이	전문/NNG+대학원장/NNG+이/JKS
제작했다.	제작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.90.4.5
한쪽 면에는 정 명예회장의 상반신이, 반대쪽에는 포니 자동차를 조각했다.

한쪽	한쪽/NNG
면에는	면/NNG+에/JKB+는/JX
정	정/NNP
명예회장의	명예/NNG+회장/NNG+의/JKG
상반신이,	상반신/NNG+이/JKS+,/SP
반대쪽에는	반대쪽/NNG+에/JKB+는/JX
포니	포니/NNP
자동차를	자동차/NNG+를/JKO
조각했다.	조각/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.90.4.6
'돌아보건대 길다면 길고 짧다면 짧았던 길, 그 길이 곧았다면 앞으로도 나는 곧은 길을 걸을 것이요, 그 길을 달리는 내 차 또한 멈추지 않을 것이다'라는 정 명예회장이 강조했던 말도 담겼다.

'돌아보건대	'/SS+돌아보/VV+건대/EC
길다면	길/VA+다면/EC
길고	길/VA+고/EC
짧다면	짧/VA+다면/EC
짧았던	짧/VA+았/EP+던/ETM
길,	길/NNG+,/SP
그	그/MMD
길이	길/NNG+이/JKS
곧았다면	곧/VA+았/EP+다면/EC
앞으로도	앞/NNG+으로/JKB+도/JX
나는	나/NP+는/JX
곧은	곧/VA+은/ETM
길을	길/NNG+을/JKO
걸을	걷/VV+을/ETM
것이요,	것/NNB+이/VCP+요/EC+,/SP
달리는	달리/VV+는/ETM
내	나/NP+의/JKG
차	차/NNG
또한	또한/MAG
멈추지	멈추/VV+지/EC
않을	않/VX+을/ETM
것이다'라는	것/NNB+이/VCP+다/EF+'/SS+이/VCP+라는/ETM
정	정/NNP
명예회장이	명예/NNG+회장/NNG+이/JKS
강조했던	강조/NNG+하/XSV+았/EP+던/ETM
말도	말/NNG+도/JX
담겼다.	담기/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.90.4.7
측면에는 '우리의 대장을 위하여'라는 뜻의 'Al mio capo(알미오카포)'라는 이탈리아어가 새겨졌다.

측면에는	측면/NNG+에/JKB+는/JX
'우리의	'/SS+우리/NP+의/JKG
대장을	대장/NNG+을/JKO
위하여'라는	위하/VV+아/EC+'/SS+이/VCP+라는/ETM
뜻의	뜻/NNG+의/JKG
'Al	'/SS+Al/SL
mio	mio/SL
capo(알미오카포)'라는	capo/SL+(/SS+알미오카포/NA+)/SS+'/SS+이/VCP+라는/ETM
이탈리아어가	이탈리아어/NNP+가/JKS
새겨졌다.	새기/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.90.4.8
아들 정몽규 회장은 제막식에서 "선친의 삶과 업적이 영원히 기억되길 바라는 마음에서 조형물을 만들었다"며 "32년 자동차 외길의 삶을 사셨던 선친은 영원히 포니와 함께하실 것"이라고 했다.

아들	아들/NNG
정몽규	정몽규/NNP
회장은	회장/NNG+은/JX
제막식에서	제막식/NNG+에서/JKB
"선친의	"/SS+선친/NNG+의/JKG
삶과	삶/NNG+과/JC
업적이	업적/NNG+이/JKS
영원히	영원히/MAG
기억되길	기억/NNG+되/XSV+기/ETN+ㄹ/JKO
바라는	바라/VV+는/ETM
마음에서	마음/NNG+에서/JKB
조형물을	조형물/NNG+을/JKO
만들었다"며	만들/VV+었/EP+다/EF+"/SS+며/EC
"32년	"/SS+32/SN+년/NNB
자동차	자동차/NNG
외길의	외길/NNG+의/JKG
삶을	삶/NNG+을/JKO
사셨던	살/VV+시/EP+었/EP+던/ETM
선친은	선친/NNG+은/JX
포니와	포니/NNP+와/JKB
함께하실	함께/MAG+하/XSV+시/EP+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.90.5.1
한편 현대산업개발은 이날 오후 서울 삼성동 아이파크타워에서 포니를 디자인한 조르제토 주지아로에게 '제9회 포니정 혁신상'을 수여했다.

한편	한편/MAG
현대산업개발은	현대산업개발/NNP+은/JX
이날	이날/NNG
오후	오후/NNG
서울	서울/NNP
삼성동	삼성동/NNP
아이파크타워에서	아이파크타워/NNP+에서/JKB
포니를	포니/NNP+를/JKO
디자인한	디자인/NNG+하/XSV+ㄴ/ETM
조르제토	조르제토/NNP
주지아로에게	주지아로/NNP+에게/JKB
'제9회	'/SS+제/XPN+9/SN+회/NNB
포니정	포니/NNP+정/NNP
혁신상'을	혁신/NNG+상/NNG+'/SS+을/JKO
수여했다.	수여/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.90.5.2
21일에는 서울 삼성동 그랜드인터컨티넨탈 서울파르나스호텔에서 추모식을 갖는다.

21일에는	21/SN+일/NNB+에/JKB+는/JX
서울	서울/NNP
삼성동	삼성동/NNP
그랜드인터컨티넨탈	그랜드인터컨티넨탈/NNP
서울파르나스호텔에서	서울파르나스호텔/NNP+에서/JKB
추모식을	추모식/NNG+을/JKO
갖는다.	갖/VV+는다/EF+./SF


# id : NWRW1800000046.90.5.3
정 명예회장의 유품과 사진이 전시되고 추모 음악회가 열릴 예정이다.

정	정/NNP
명예회장의	명예/NNG+회장/NNG+의/JKG
유품과	유품/NNG+과/JC
사진이	사진/NNG+이/JKS
전시되고	전시/NNG+되/XSV+고/EC
추모	추모/NNG
음악회가	음악회/NNG+가/JKS
열릴	열리/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


