# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.277
metadata : {}


# id : NWRW1800000053.277.1.1
[오늘과 내일/서영아]초장수사회 일본에 넘쳐나는 공포

[오늘과	[/SS+오늘/NNG+과/JC
일본에서는 인구 감소와 고령화라는 이중고를 맞아 위기의식을 토로하는 목소리로 가득하다.

일본에서는	일본/NNP+에서/JKB+는/JX
인구	인구/NNG
감소와	감소/NNG+와/JC
고령화라는	고령/NNG+화/XSN+이/VCP+라는/ETM
이중고를	이중고/NNG+를/JKO
맞아	맞/VV+아/EC
위기의식을	위기의식/NNG+을/JKO
토로하는	토로/NNG+하/XSV+는/ETM
목소리로	목소리/NNG+로/JKB
가득하다.	가득/MAG+하/XSA+다/EF+./SF


# id : NWRW1800000053.277.6.2
‘2025년 문제’, ‘2035년 문제’ 등 인구 피라미드에서 읽어낼 수 있는 미래상은 암울하기만 하다.

‘2025년	‘/SS+2025/SN+년/NNB
문제’,	문제/NNG+’/SS+,/SP
‘2035년	‘/SS+2035/SN+년/NNB
문제’	문제/NNG+’/SS
등	등/NNB
인구	인구/NNG
피라미드에서	피라미드/NNG+에서/JKB
읽어낼	읽/VV+어/EC+내/VX+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
미래상은	미래상/NNG+은/JX
암울하기만	암울/NNG+하/XSA+기/ETN+만/JX
하다.	하/VX+다/EF+./SF


# id : NWRW1800000053.277.6.3
오죽하면 군사안보 전문가인 이시바 시게루 전 자민당 간사장조차 “일본 최대의 안보 위기는 인구 문제”라고 지적했을까.

오죽하면	오죽/MAG+하/XSA+면/EC
군사안보	군사/NNG+안보/NNG
전문가인	전문가/NNG+이/VCP+ㄴ/ETM
이시바	이시바/NNP
시게루	시게루/NNP
전	전/MMD
자민당	자민당/NNP
간사장조차	간사장/NNG+조차/JX
“일본	“/SS+일본/NNP
최대의	최대/NNG+의/JKG
안보	안보/NNG
위기는	위기/NNG+는/JX
인구	인구/NNG
문제”라고	문제/NNG+”/SS+라고/JKQ
지적했을까.	지적/NNG+하/XSV+았/EP+을까/EF+./SF


# id : NWRW1800000053.277.7.1
“이거 등골 서늘해지는 책이에요.”

“이거	“/SS+이거/NP
등골	등골/NNG
서늘해지는	서늘하/VA+아/EC+지/VX+는/ETM
책이에요.”	책/NNG+이/VCP+에요/EF+./SF+”/SS


# id : NWRW1800000053.277.7.2
기자회견이 끝난 뒤 만난 사이키 슈지 총무성 통계조사부장은 ‘미래의 연표’라는 책을 소개했다.

기자회견이	기자/NNG+회견/NNG+이/JKS
끝난	끝나/VV+ㄴ/ETM
뒤	뒤/NNG
만난	만나/VV+ㄴ/ETM
사이키	사이키/NNG
슈지	슈지/NNP
총무성	총무성/NNP
통계조사부장은	통계/NNG+조사부장/NNG+은/JX
‘미래의	‘/SS+미래/NNG+의/JKG
연표’라는	연표/NNG+’/SS+이/VCP+라는/ETM
책을	책/NNG+을/JKO
소개했다.	소개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.277.7.3
8월 취임한 노다 세이코 총무상이 직원들에게 일독을 권했다고 한다.

8월	8/SN+월/NNB
취임한	취임/NNG+하/XSV+ㄴ/ETM
노다	노다/NNP
세이코	세이코/NNP
총무상이	총무상/NNG+이/JKS
직원들에게	직원/NNG+들/XSN+에게/JKB
일독을	일독/NNG+을/JKO
권했다고	권/NNG+하/XSV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.277.7.4
아닌 게 아니라 책에서 제시된 연표를 따라가다 보니 공포감이 몰려온다.

아닌	아니/VCN+ㄴ/ETM
게	거/NNB+이/JKC
아니라	아니/VCN+라/EC
책에서	책/NNG+에서/JKB
제시된	제시/NNG+되/XSV+ㄴ/ETM
연표를	연표/NNG+를/JKO
따라가다	따라가/VV+다/EC
보니	보/VX+니/EC
공포감이	공포감/NNG+이/JKS
몰려온다.	몰려오/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.277.8.1
‘2020년, 일본 여성의 절반이 50세를 넘긴다.

‘2020년,	‘/SS+2020/SN+년/NNB+,/SP
일본	일본/NNP
여성의	여성/NNG+의/JKG
절반이	절반/NNG+이/JKS
50세를	50/SN+세/NNB+를/JKO
넘긴다.	넘기/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.277.8.2
2024년이면 전 국민의 3분의 1이 65세 이상이 된다.

2024년이면	2024/SN+년/NNB+이/VCP+면/EC
전	전/MMN
국민의	국민/NNG+의/JKG
3분의	3/SN+분/XSN+의/JKG
1이	1/SN+이/JKS
65세	65/SN+세/NNB
이상이	이상/NNG+이/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.277.8.3
2025년엔 임종을 맞을 장소가, 2027년엔 수혈용 혈액이 부족해지고, 2033년이면 세 집 중 한 집이 빈집이 된다.

2025년엔	2025/SN+년/NNB+에/JKB+ㄴ/JX
임종을	임종/NNG+을/JKO
맞을	맞/VV+을/ETM
장소가,	장소/NNG+가/JKS+,/SP
2027년엔	2027/SN+년/NNB+에/JKB+ㄴ/JX
수혈용	수혈/NNG+용/XSN
혈액이	혈액/NNG+이/JKS
부족해지고,	부족/NNG+하/XSA+아/EC+지/VX+고/EC+,/SP
2033년이면	2033/SN+년/NNB+이/VCP+면/EC
세	세/MMN
집	집/NNG
중	중/NNB
한	한/MMN
집이	집/NNG+이/JKS
빈집이	빈집/NNG+이/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.277.8.4
2039년이 되면 시신을 처리할 화장장이 부족해지고, 2040년이면 지방자치단체의 절반이 소멸한다.

2039년이	2039/SN+년/NNB+이/JKC
되면	되/VV+면/EC
시신을	시신/NNG+을/JKO
처리할	처리/NNG+하/XSV+ㄹ/ETM
화장장이	화장장/NNG+이/JKS
부족해지고,	부족/NNG+하/XSA+아/EC+지/VX+고/EC+,/SP
2040년이면	2040/SN+년/NNB+이/VCP+면/EC
지방자치단체의	지방/NNG+자치/NNG+단체/NNG+의/JKG
절반이	절반/NNG+이/JKS
소멸한다.	소멸/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.277.8.5
2042년에는 고령자 인구가 정점을 맞이한다….’

2042년에는	2042/SN+년/NNB+에/JKB+는/JX
고령자	고령자/NNG
인구가	인구/NNG+가/JKS
정점을	정점/NNG+을/JKO
맞이한다….’	맞이하/VV+ㄴ다/EF+…/SE+./SF+’/SS


# id : NWRW1800000053.277.9.1
책은 처방전도 제시했다.

책은	책/NNG+은/JX
처방전도	처방전/NNG+도/JX
제시했다.	제시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.277.9.2
“고령자를 삭감하자”는 항목도 있다.

“고령자를	“/SS+고령자/NNG+를/JKO
삭감하자”는	삭감/NNG+하/XSV+자/EF+”/SS+는/JX
항목도	항목/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000053.277.9.3
고령자의 정의를 ‘65세 이상’에서 ‘75세 이상’으로 끌어올려야 한다는 것.

고령자의	고령자/NNG+의/JKG
정의를	정의/NNG+를/JKO
‘65세	‘/SS+65/SN+세/NNB
이상’에서	이상/NNG+’/SS+에서/JKB
‘75세	‘/SS+75/SN+세/NNB
이상’으로	이상/NNG+’/SS+으로/JKB
끌어올려야	끌어올리/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
것.	것/NNB+./SF


# id : NWRW1800000053.277.9.4
셋째 아이부터 국가가 1000만 엔(약 1억130만 원)씩 지원해 줄 것도 권하고 있다.

셋째	셋째/NR
아이부터	아이/NNG+부터/JX
국가가	국가/NNG+가/JKS
1000만	1000/SN+만/NR
엔(약	엔/NNB+(/SS+약/MMA
1억130만	1/SN+억/NR+130/SN+만/NR
원)씩	원/NNB+)/SS+씩/XSN
지원해	지원/NNG+하/XSV+아/EC
줄	주/VX+ㄹ/ETM
것도	것/NNB+도/JX
권하고	권/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.277.10.1
한국은 2018년에 고령화율 14%에 이른다.

한국은	한국/NNP+은/JX
2018년에	2018/SN+년/NNB+에/JKB
고령화율	고령/NNG+화/XSN+율/XSN
14%에	14/SN+%/SW+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.277.10.2
고령화 속도가 세계 최고다.

고령화	고령/NNG+화/XSN
속도가	속도/NNG+가/JKS
세계	세계/NNG
최고다.	최고/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.277.10.3
일본이 고령화율 7%에서 14%까지 가는 데 24년 걸렸지만 한국은 18년 걸렸다.

일본이	일본/NNP+이/JKS
고령화율	고령/NNG+화/XSN+율/XSN
7%에서	7/SN+%/SW+에서/JKB
14%까지	14/SN+%/SW+까지/JX
가는	가/VV+는/ETM
데	데/NNB
24년	24/SN+년/NNB
걸렸지만	걸리/VV+었/EP+지만/EC
한국은	한국/NNP+은/JX
18년	18/SN+년/NNB
걸렸다.	걸리/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.277.10.4
같은 구간을 프랑스는 114년, 스웨덴은 82년, 미국은 69년 걸려 지나갔다.

같은	같/VA+은/ETM
구간을	구간/NNG+을/JKO
프랑스는	프랑스/NNP+는/JX
114년,	114/SN+년/NNB+,/SP
스웨덴은	스웨덴/NNP+은/JX
82년,	82/SN+년/NNB+,/SP
미국은	미국/NNP+은/JX
69년	69/SN+년/NNB
걸려	걸리/VV+어/EC
지나갔다.	지나가/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.277.10.5
더군다나 한국의 현재 합계출산율은 1.17명으로 세계 최저 수준이다.

더군다나	더군다나/MAG
한국의	한국/NNP+의/JKG
현재	현재/MAG
합계출산율은	합계/NNG+출산/NNG+율/XSN+은/JX
1.17명으로	1/SN+./SP+17/SN+명/NNB+으로/JKB
세계	세계/NNG
최저	최저/NNG
수준이다.	수준/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.277.10.6
일본은 그래도 1.44는 된다.

일본은	일본/NNP+은/JX
그래도	그러/VV+어도/EC
1.44는	1/SN+./SP+44/SN+는/JX
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.277.11.1
머지않아 우리는 일본보다 더 심각한 미래를 맞게 된다.

머지않아	머지않/VA+아/EC
우리는	우리/NP+는/JX
일본보다	일본/NNP+보다/JKB
더	더/MAG
심각한	심각하/VA+ㄴ/ETM
미래를	미래/NNG+를/JKO
맞게	맞/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.277.11.2
정부와 민간이 힘을 합쳐 부디 희망이 보이는 길을 찾아내 주길 비는 마음이다.

정부와	정부/NNG+와/JC
민간이	민간/NNG+이/JKS
힘을	힘/NNG+을/JKO
합쳐	합치/VV+어/EC
부디	부디/MAG
희망이	희망/NNG+이/JKS
보이는	보이/VV+는/ETM
길을	길/NNG+을/JKO
찾아내	찾아내/VV+어/EC
주길	주/VX+기/ETN+ㄹ/JKO
비는	빌/VV+는/ETM
마음이다.	마음/NNG+이/VCP+다/EF+./SF


