# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.99
metadata : {}


# id : NWRW1800000049.99.1.1
“최상위권대 자연계-의대 가려면 수학 5.9%- 과탐 4.1%內 들어야”

“최상위권대	“/SS+최/XPN+상위권대/NNG
이는 의학전문대학원과 의예과를 병행하던 대학이 의대로 전환하며 의대 선발 인원이 늘어나서다.

이는	이/NP+는/JX
의학전문대학원과	의학/NNG+전문/NNG+대학원/NNG+과/JC
의예과를	의예과/NNG+를/JKO
병행하던	병행/NNG+하/XSV+던/ETM
대학이	대학/NNG+이/JKS
의대로	의대/NNG+로/JKB
전환하며	전환/NNG+하/XSV+며/EC
의대	의대/NNG
선발	선발/NNG
인원이	인원/NNG+이/JKS
늘어나서다.	늘어나/VV+아서/EC+다/EF+./SF


# id : NWRW1800000049.99.4.1
예상 수능 응시 인원을 기준으로 최상위권 대학 자연계열이나 의학계열에 합격하려면 수학‘가’형 응시자 15만9144명 중 5.9%, 과학탐구(과탐) 응시자 23만1082명 중 4.1% 안에 들어야 한다.

예상	예상/NNG
수능	수능/NNG
응시	응시/NNG
인원을	인원/NNG+을/JKO
기준으로	기준/NNG+으로/JKB
최상위권	최/XPN+상위/NNG+권/XSN
대학	대학/NNG
자연계열이나	자연/NNG+계열/NNG+이나/JC
의학계열에	의학/NNG+계열/NNG+에/JKB
합격하려면	합격/NNG+하/XSV+려면/EC
수학‘가’형	수학/NNG+‘/SS+가/NNG+’/SS+형/XSN
응시자	응시자/NNG
15만9144명	15/SN+만/NR+9144/SN+명/NNB
중	중/NNB
5.9%,	5/SN+./SP+9/SN+%/SW+,/SP
과학탐구(과탐)	과학/NNG+탐구/NNG+(/SS+과탐/NNG+)/SS
23만1082명	23/SN+만/NR+1082/SN+명/NNB
4.1%	4/SN+./SP+1/SN+%/SW
안에	안/NNG+에/JKB
들어야	들/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000049.99.4.2
대학별 입시전형을 잘 알고 대비해야 원하는 곳에 합격할 수 있다.

대학별	대학/NNG+별/XSN
입시전형을	입시/NNG+전형/NNG+을/JKO
잘	잘/MAG
알고	알/VV+고/EC
대비해야	대비/NNG+하/XSV+아야/EC
원하는	원/NNG+하/XSV+는/ETM
곳에	곳/NNG+에/JKB
합격할	합격/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.99.5.1
○ 의대 선발 인원 170명 이상 증가

○	○/SW
의대	의대/NNG
선발	선발/NNG
인원	인원/NNG
170명	170/SN+명/NNB
이상	이상/NNG
증가	증가/NNG


# id : NWRW1800000049.99.6.1
2017학년도 의대 정원은 2016학년도(2300명)보다 170명이나 증가한 2470명이다.

2017학년도	2017/SN+학년도/NNG
의대	의대/NNG
정원은	정원/NNG+은/JX
2016학년도(2300명)보다	2016/SN+학년도/NNG+(/SS+2300/SN+명/NNB+)/SS+보다/JKB
170명이나	170/SN+명/NNB+이나/JX
증가한	증가/NNG+하/XSV+ㄴ/ETM
2470명이다.	2470/SN+명/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.99.6.2
한양대 34명, 고려대 32명, 중앙대 26명, 영남대 23명, 성균관대 12명 등 의대로 전환한 11개교 중 8곳의 정원이 늘었다.

한양대	한양대/NNP
34명,	34/SN+명/NNB+,/SP
고려대	고려대/NNP
32명,	32/SN+명/NNB+,/SP
중앙대	중앙대/NNP
26명,	26/SN+명/NNB+,/SP
영남대	영남대/NNP
23명,	23/SN+명/NNB+,/SP
성균관대	성균관대/NNP
12명	12/SN+명/NNB
등	등/NNB
의대로	의대/NNG+로/JKB
전환한	전환/NNG+하/XSV+ㄴ/ETM
11개교	11/SN+개교/NNB
중	중/NNB
8곳의	8/SN+곳/NNG+의/JKG
정원이	정원/NNG+이/JKS
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.99.6.3
서울대와 연세대는 학사편입학을 1년 더 유지하기로 결정해 선발 인원에 변동이 없다.

서울대와	서울대/NNP+와/JC
연세대는	연세대/NNP+는/JX
학사편입학을	학사/NNG+편입학/NNG+을/JKO
1년	1/SN+년/NNB
더	더/MAG
유지하기로	유지/NNG+하/XSV+기/ETN+로/JKB
결정해	결정/NNG+하/XSV+아/EC
선발	선발/NNG
인원에	인원/NNG+에/JKB
변동이	변동/NNG+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000049.99.6.4
전남대까지 학사 신입학 선발을 확정하면 전체 의대 선발 인원은 전년보다 207명 늘어난다.

전남대까지	전남대/NNP+까지/JX
학사	학사/NNG
신입학	신/XPN+입학/NNG
선발을	선발/NNG+을/JKO
확정하면	확정/NNG+하/XSV+면/EC
전체	전체/NNG
의대	의대/NNG
선발	선발/NNG
인원은	인원/NNG+은/JX
전년보다	전년/NNG+보다/JKB
207명	207/SN+명/NNB
늘어난다.	늘어나/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.99.7.1
의학계열은 수시로 2044명(54.5%), 정시로 1705명(45.5%)을 선발한다.

의학계열은	의학/NNG+계열/NNG+은/JX
수시로	수시/NNG+로/JKB
2044명(54.5%),	2044/SN+명/NNB+(/SS+54/SN+./SP+5/SN+%/SW+)/SS+,/SP
정시로	정시/NNG+로/JKB
1705명(45.5%)을	1705/SN+명/NNB+(/SS+45/SN+./SP+5/SN+%/SW+)/SS+을/JKO
선발한다.	선발/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.99.7.2
치의예과는 2016학년도에는 정시로 더 많은 수를 뽑았지만 2017학년도에는 수시 선발 인원(281명·50.8%)이 정시(272명·49.2%)보다 더 많다.

치의예과는	치의예과/NNG+는/JX
2016학년도에는	2016/SN+학년도/NNG+에/JKB+는/JX
정시로	정시/NNG+로/JKB
더	더/MAG
많은	많/VA+은/ETM
수를	수/NNG+를/JKO
뽑았지만	뽑/VV+았/EP+지만/EC
2017학년도에는	2017/SN+학년도/NNG+에/JKB+는/JX
수시	수시/NNG
선발	선발/NNG
인원(281명·50.8%)이	인원/NNG+(/SS+281/SN+명/NNB+·/SP+50/SN+./SP+8/SN+%/SW+)/SS+이/JKS
정시(272명·49.2%)보다	정시/NNG+(/SS+272/SN+명/NNB+·/SP+49/SN+./SP+2/SN+%/SW+)/SS+보다/JKB
많다.	많/VA+다/EF+./SF


# id : NWRW1800000049.99.7.3
한의예과는 수시 선발 인원을 지난해보다 20명 늘렸지만 아직 정시 선발 비율(51.9%·377명)이 더 높다.

한의예과는	한의/NNG+예과/NNG+는/JX
수시	수시/NNG
선발	선발/NNG
인원을	인원/NNG+을/JKO
지난해보다	지난해/NNG+보다/JKB
20명	20/SN+명/NNB
늘렸지만	늘리/VV+었/EP+지만/EC
아직	아직/MAG
정시	정시/NNG
비율(51.9%·377명)이	비율/NNG+(/SS+51/SN+./SP+9/SN+%/SW+·/SP+377/SN+명/NNB+)/SS+이/JKS
더	더/MAG
높다.	높/VA+다/EF+./SF


# id : NWRW1800000049.99.8.1
최상위권 5개 대학 자연계열은 2017학년도에 모두 6009명을 뽑는다.

최상위권	최/XPN+상위/NNG+권/XSN
5개	5/SN+개/NNB
대학	대학/NNG
자연계열은	자연/NNG+계열/NNG+은/JX
2017학년도에	2017/SN+학년도/NNG+에/JKB
모두	모두/MAG
6009명을	6009/SN+명/NNB+을/JKO
뽑는다.	뽑/VV+는다/EF+./SF


# id : NWRW1800000049.99.8.2
수시 4750명(79.0%), 정시 1259명(21.0%)이다.

수시	수시/NNG
4750명(79.0%),	4750/SN+명/NNB+(/SS+79/SN+./SP+0/SN+%/SW+)/SS+,/SP
정시	정시/NNG
1259명(21.0%)이다.	1259/SN+명/NNB+(/SS+21/SN+./SP+0/SN+%/SW+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000049.99.8.3
수시 대부분은 학생부 종합전형이다.

수시	수시/NNG
대부분은	대/XPN+부분/NNG+은/JX
학생부	학생부/NNG
종합전형이다.	종합/NNG+전형/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.99.8.4
전체 선발 인원의 38.1%(2292명)다.

전체	전체/NNG
선발	선발/NNG
인원의	인원/NNG+의/JKG
38.1%(2292명)다.	38/SN+./SP+1/SN+%/SW+(/SS+2292/SN+명/NNB+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000049.99.8.5
다음은 수능 전형(1259명·21.0%), 학생부 교과 전형(950명·15.8%), 논술 전형(847명·14.1%), 실기 전형(661명·11.0%)이다.

다음은	다음/NNG+은/JX
수능	수능/NNG
전형(1259명·21.0%),	전형/NNG+(/SS+1259/SN+명/NNB+·/SP+21/SN+./SP+0/SN+%/SW+)/SS+,/SP
학생부	학생부/NNG
교과	교과/NNG
전형(950명·15.8%),	전형/NNG+(/SS+950/SN+명/NNB+·/SP+15/SN+./SP+8/SN+%/SW+)/SS+,/SP
논술	논술/NNG
전형(847명·14.1%),	전형/NNG+(/SS+847/SN+명/NNB+·/SP+14/SN+./SP+1/SN+%/SW+)/SS+,/SP
실기	실기/NNG
전형(661명·11.0%)이다.	전형/NNG+(/SS+661/SN+명/NNB+·/SP+11/SN+./SP+0/SN+%/SW+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000049.99.9.1
○ 자연계 최상위권은 과탐을 노려라

○	○/SW
자연계	자연/NNG+계/XSN
최상위권은	최/XPN+상위/NNG+권/XSN+은/JX
과탐을	과탐/NNG+을/JKO
노려라	노리/VV+어라/EF


# id : NWRW1800000049.99.10.1
최상위권 대학 자연계열 수시를 노린다면 수능 4개 영역 등급의 합을 8 이내로 받아야 한다.

최상위권	최/XPN+상위/NNG+권/XSN
대학	대학/NNG
자연계열	자연/NNG+계열/NNG
수시를	수시/NNG+를/JKO
노린다면	노리/VV+ㄴ다면/EC
수능	수능/NNG
4개	4/SN+개/NNB
영역	영역/NNG
등급의	등급/NNG+의/JKG
합을	합/NNG+을/JKO
8	8/SN
이내로	이내/NNG+로/JKB
받아야	받/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000049.99.10.2
서울대는 학교장추천 전형인 지역균형선발 전형만 수능 최저학력 기준이 있지만 연세대와 고려대는 실기(특기) 전형을 제외하고 모두 최저학력 기준이 있다.

서울대는	서울대/NNP+는/JX
학교장추천	학교장/NNG+추천/NNG
전형인	전형/NNG+이/VCP+ㄴ/ETM
지역균형선발	지역/NNG+균형/NNG+선발/NNG
전형만	전형/NNG+만/JX
수능	수능/NNG
최저학력	최저/NNG+학력/NNG
기준이	기준/NNG+이/JKS
있지만	있/VA+지만/EC
연세대와	연세대/NNP+와/JC
고려대는	고려대/NNP+는/JX
실기(특기)	실기/NNG+(/SS+특기/NNG+)/SS
전형을	전형/NNG+을/JKO
제외하고	제외/NNG+하/XSV+고/EC
모두	모두/MAG
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.99.11.1
서울대는 수능 3개 영역이 2등급 이내여야 한다.

서울대는	서울대/NNP+는/JX
수능	수능/NNG
3개	3/SN+개/NNB
영역이	영역/NNG+이/JKS
2등급	2/SN+등급/NNG
이내여야	이내/NNG+이/VCP+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000049.99.11.2
연세대 논술전형은 4개 영역 등급 합이 8 이내면서 수학 ‘가’형과 과탐(1과목)의 등급 합이 4 이내여야 해 까다롭다.

연세대	연세대/NNP
논술전형은	논술/NNG+전형/NNG+은/JX
4개	4/SN+개/NNB
영역	영역/NNG
등급	등급/NNG
합이	합/NNG+이/JKS
8	8/SN
이내면서	이내/NNG+이/VCP+면서/EC
수학	수학/NNG
‘가’형과	‘/SS+가/NNG+’/SS+형/XSN+과/JC
과탐(1과목)의	과탐/NNG+(/SS+1/SN+과목/NNG+)/SS+의/JKG
4	4/SN
이내여야	이내/NNG+이/VCP+어야/EC
해	하/VX+아/EC
까다롭다.	까다롭/VA+다/EF+./SF


# id : NWRW1800000049.99.11.3
고려대는 수능 2개 영역이 2등급 이내거나 등급 합이 5 이내여야 한다.

고려대는	고려대/NNP+는/JX
수능	수능/NNG
2개	2/SN+개/NNB
영역이	영역/NNG+이/JKS
2등급	2/SN+등급/NNG
이내거나	이내/NNG+이/VCP+거나/EC
등급	등급/NNG
합이	합/NNG+이/JKS
5	5/SN
이내여야	이내/NNG+이/VCP+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000049.99.11.4
의학계열은 대학마다 최저학력 기준이 다양하지만 보통 3개 영역 등급 합이 4 이내다.

의학계열은	의학/NNG+계열/NNG+은/JX
대학마다	대학/NNG+마다/JX
최저학력	최저/NNG+학력/NNG
기준이	기준/NNG+이/JKS
다양하지만	다양/NNG+하/XSA+지만/EC
보통	보통/MAG
3개	3/SN+개/NNB
영역	영역/NNG
등급	등급/NNG
합이	합/NNG+이/JKS
4	4/SN
이내다.	이내/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.99.12.1
자연계열 최상위권과 의학계열 변별력의 핵심은 과탐이다.

자연계열	자연/NNG+계열/NNG
최상위권과	최/XPN+상위/NNG+권/XSN+과/JC
의학계열	의학/NNG+계열/NNG
변별력의	변별력/NNG+의/JKG
핵심은	핵심/NNG+은/JX
과탐이다.	과탐/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.99.12.2
남윤곤 메가스터디 입시전략연구소 소장은 “국어와 수학 변별력이 낮아 1등급 컷이 높아지면 높은 수능 최저학력 기준을 충족하기 어렵다.

남윤곤	남윤곤/NNP
메가스터디	메가스터디/NNP
입시전략연구소	입시/NNG+전략/NNG+연구소/NNG
소장은	소장/NNG+은/JX
“국어와	“/SS+국어/NNG+와/JC
수학	수학/NNG
변별력이	변별력/NNG+이/JKS
낮아	낮/VA+아/EC
1등급	1/SN+등급/NNG
컷이	컷/NNG+이/JKS
높아지면	높아지/VV+면/EC
높은	높/VA+은/ETM
수능	수능/NNG
최저학력	최저/NNG+학력/NNG
기준을	기준/NNG+을/JKO
충족하기	충족/NNG+하/XSV+기/ETN
어렵다.	어렵/VA+다/EF+./SF


# id : NWRW1800000049.99.12.3
특히 의학계열을 희망한다면 과탐 2과목 모두 1등급을 받아야 한다”고 강조했다.

특히	특히/MAG
의학계열을	의학/NNG+계열/NNG+을/JKO
희망한다면	희망/NNG+하/XSV+ㄴ다면/EC
과탐	과탐/NNG
2과목	2/SN+과목/NNG
모두	모두/MAG
1등급을	1/SN+등급/NNG+을/JKO
받아야	받/VV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.99.12.4
그러나 과탐은 최상위권 학생도 2과목 모두 좋은 점수를 받기가 쉽지 않다.

그러나	그러나/MAJ
과탐은	과탐/NNG+은/JX
최상위권	최/XPN+상위/NNG+권/XSN
학생도	학생/NNG+도/JX
2과목	2/SN+과목/NNG
모두	모두/MAG
좋은	좋/VA+은/ETM
점수를	점수/NNG+를/JKO
받기가	받/VV+기/ETN+가/JKS
쉽지	쉽/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000049.99.12.5
메가스터디에 따르면 2012학년도 수능을 기준으로 자연계열 최상위권 수험생 중 과탐 만점을 받은 학생은 26명밖에 없었다.

메가스터디에	메가스터디/NNP+에/JKB
따르면	따르/VV+면/EC
2012학년도	2012/SN+학년도/NNG
수능을	수능/NNG+을/JKO
기준으로	기준/NNG+으로/JKB
자연계열	자연/NNG+계열/NNG
최상위권	최/XPN+상위/NNG+권/XSN
수험생	수험/NNG+생/XSN
중	중/NNB
과탐	과탐/NNG
만점을	만점/NNG+을/JKO
받은	받/VV+은/ETM
학생은	학생/NNG+은/JX
26명밖에	26/SN+명/NNB+밖에/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000049.99.12.6
수능 막바지에 가서 바짝 공부하면 된다는 생각을 가져서는 안 된다는 뜻이다.

수능	수능/NNG
막바지에	막바지/NNG+에/JKB
가서	가/VV+아서/EC
바짝	바짝/MAG
공부하면	공부/NNG+하/XSV+면/EC
된다는	되/VV+ㄴ다는/ETM
생각을	생각/NNG+을/JKO
가져서는	가지/VV+어서/EC+는/JX
안	안/MAG
뜻이다.	뜻/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.99.13.1
연세대와 일부 의학계열에서는 과탐 반영 조건이 있다.

연세대와	연세대/NNP+와/JC
일부	일부/NNG
의학계열에서는	의학/NNG+계열/NNG+에서/JKB+는/JX
과탐	과탐/NNG
반영	반영/NNG
조건이	조건/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.99.13.2
서울대는 서로 다른 분야의 Ⅰ+Ⅱ 또는 Ⅱ+Ⅱ 조합으로 지정하고 정시에서는 Ⅱ+Ⅱ 조합에 가산점을 준다.

서울대는	서울대/NNP+는/JX
서로	서로/MAG
다른	다른/MMD
분야의	분야/NNG+의/JKG
Ⅰ+Ⅱ	Ⅰ/SW++/SW+Ⅱ/SW
또는	또는/MAG
Ⅱ+Ⅱ	Ⅱ/SW++/SW+Ⅱ/SW
조합으로	조합/NNG+으로/JKB
지정하고	지정/NNG+하/XSV+고/EC
정시에서는	정시/NNG+에서/JKB+는/JX
조합에	조합/NNG+에/JKB
가산점을	가산점/NNG+을/JKO
준다.	주/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.99.13.3
연세대는 Ⅰ, Ⅱ 구분 없이 서로 다른 두 과목을 응시해야 한다.

연세대는	연세대/NNP+는/JX
Ⅰ,	Ⅰ/SW+,/SP
Ⅱ	Ⅱ/SW
구분	구분/NNG
없이	없이/MAG
서로	서로/MAG
다른	다르/VA+ㄴ/ETM
두	두/MMN
과목을	과목/NNG+을/JKO
응시해야	응시/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000049.99.13.4
단국대(천안)와 한양대는 응시 과목 제한은 없지만 Ⅱ과목에 가산점을 준다.

단국대(천안)와	단국대/NNP+(/SS+천안/NNP+)/SS+와/JC
한양대는	한양대/NNP+는/JX
응시	응시/NNG
과목	과목/NNG
제한은	제한/NNG+은/JX
없지만	없/VA+지만/EC
Ⅱ과목에	Ⅱ/SW+과목/NNG+에/JKB
가산점을	가산점/NNG+을/JKO
준다.	주/VV+ㄴ다/EF+./SF


