# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.64
metadata : {}


# id : NWRW1800000033.64.1.1
뉴욕은 지금 / ‘美 자존심’ 메트로폴리탄뮤지엄 4년만에 재개장

뉴욕은	뉴욕/NNP+은/JX
강을	강/NNG+을/JKO
건너는	건너/VV+는/ETM
미	미/NNP
초대	초대/NNG
대통령	대통령/NNG
조지	조지/NNP
워싱턴을	워싱턴/NNP+을/JKO
묘사한	묘사/NNG+하/XSV+ㄴ/ETM
‘델라웨어	‘/SS+델라웨어/NNP
워싱턴’(에마누엘	워싱턴/NNP+’/SS+(/SS+에마누엘/NNP
로이체·1851년	로이체/NNP+·/SP+1851/SN+년/NNB
작)이	작/NNG+)/SS+이/JKS
가장	가장/MAG
눈길을	눈길/NNG+을/JKO
끈다.	끌/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.64.3.4
그 옆으로 ‘안데스의 심장’(프레더릭 처치·1859년 작)과 ‘로키 마운틴, 랜더스 피크’(앨버트 비어스타트·1863년 작)가 18, 19세기의 미국에 와 있는 듯한 착각을 불러일으킨다.

그	그/MMD
옆으로	옆/NNG+으로/JKB
‘안데스의	‘/SS+안데스/NNP+의/JKG
심장’(프레더릭	심장/NNG+’/SS+(/SS+프레더릭/NNP
처치·1859년	처치/NNP+·/SP+1859/SN+년/NNB
작)과	작/NNG+)/SS+과/JC
‘로키	‘/SS+로키/NNP
마운틴,	마운틴/NNP+,/SP
랜더스	랜더스/NNP
피크’(앨버트	피크/NNP+’/SS+(/SS+앨버트/NNP
비어스타트·1863년	비어스타트/NNP+·/SP+1863/SN+년/NNB
작)가	작/NNG+)/SS+가/JKS
18,	18/SN+,/SP
19세기의	19/SN+세기/NNG+의/JKG
미국에	미국/NNP+에/JKB
와	오/VV+아/EC
있는	있/VX+는/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
착각을	착각/NNG+을/JKO
불러일으킨다.	불러일으키/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.64.4.1
메트로폴리탄뮤지엄은 4년 동안 1억 달러를 투자해 306m²를 확장했으며 2개 층에 어지럽게 널려 있던 작품들을 한 개 층에 모았다.

메트로폴리탄뮤지엄은	메트로폴리탄뮤지엄/NNP+은/JX
4년	4/SN+년/NNB
동안	동안/NNG
1억	1/SN+억/NR
달러를	달러/NNB+를/JKO
투자해	투자/NNG+하/XSV+아/EC
306m²를	306/SN+m²/SW+를/JKO
확장했으며	확장/NNG+하/XSV+았/EP+으며/EC
2개	2/SN+개/NNB
층에	층/NNG+에/JKB
어지럽게	어지럽/VA+게/EC
널려	널리/VV+어/EC
있던	있/VX+던/ETM
작품들을	작품/NNG+들/XSN+을/JKO
한	한/MMN
개	개/NNB
모았다.	모으/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.64.4.2
시대와 주제에 맞게 작품들이 일관성을 유지했다는 것이 특징.

시대와	시대/NNG+와/JC
주제에	주제/NNG+에/JKB
맞게	맞/VV+게/EC
작품들이	작품/NNG+들/XSN+이/JKS
일관성을	일관/NNG+성/XSN+을/JKO
유지했다는	유지/NNG+하/XSV+았/EP+다는/ETM
것이	것/NNB+이/JKS
특징.	특징/NNG+./SF


# id : NWRW1800000033.64.4.3
모리슨 헤스너 회장은 개장 기념식에서 “미국의 미래를 바라볼 장엄한 역사를 이곳에 담았다”고 말했다.

모리슨	모리슨/NNP
헤스너	헤스너/NNP
회장은	회장/NNG+은/JX
개장	개장/NNG
기념식에서	기념식/NNG+에서/JKB
“미국의	“/SS+미국/NNP+의/JKG
미래를	미래/NNG+를/JKO
바라볼	바라보/VV+ㄹ/ETM
장엄한	장엄/NNG+하/XSA+ㄴ/ETM
역사를	역사/NNG+를/JKO
이곳에	이곳/NP+에/JKB
담았다”고	담/VV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


