# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.363
metadata : {}


# id : NWRW1800000046.363.1.1
김일성大 유학한 '북한通' 中 장더장(전인대 상무위원장·서열 3위) "北核 반대… 한반도 평화통일은 큰 추세"

김일성大	김일성/NNP+大/SH
유학했으며	유학/NNG+하/XSV+았/EP+으며/EC
우리말에	우리말/NNG+에/JKB
능통하다.	능통하/VA+다/EF+./SF


# id : NWRW1800000046.363.5.2
장 위원장은 정의화 국회의장 초청으로 방한했다.

장	장/NNP
위원장은	위원장/NNG+은/JX
정의화	정의화/NNP
국회의장	국회/NNG+의장/NNG
초청으로	초청/NNG+으로/JKB
방한했다.	방한/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.363.5.3
전인대 상무위원장 방한은 2003년 우방궈(吳邦國) 상무위원장 이후 12년 만이다.

전인대	전인대/NNP
상무위원장	상무/NNG+위원장/NNG
방한은	방한/NNG+은/JX
2003년	2003/SN+년/NNB
우방궈(吳邦國)	우방궈/NNP+(/SS+吳邦國/SH+)/SS
이후	이후/NNG
12년	12/SN+년/NNB
만이다.	만/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.363.5.4
국회 관계자는 "북한 전문가로 평가받는 장 위원장이 2013년 취임 이후 첫 아시아지역 방문에서 북한보다 한국을 먼저 방문했다는 것은 큰 의미가 있다"고 말했다.

국회	국회/NNG
관계자는	관계자/NNG+는/JX
"북한	"/SS+북한/NNP
전문가로	전문가/NNG+로/JKB
평가받는	평가/NNG+받/XSV+는/ETM
장	장/NNP
위원장이	위원장/NNG+이/JKS
2013년	2013/SN+년/NNB
취임	취임/NNG
이후	이후/NNG
첫	첫/MMN
아시아지역	아시아지역/NNP
방문에서	방문/NNG+에서/JKB
북한보다	북한/NNP+보다/JKB
한국을	한국/NNP+을/JKO
먼저	먼저/MAG
방문했다는	방문/NNG+하/XSV+았/EP+다는/ETM
것은	것/NNB+은/JX
큰	크/VA+ㄴ/ETM
의미가	의미/NNG+가/JKS
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.363.6.1
이후 장 위원장은 국회에서 정의화 국회의장 등 우리 측 국회 대표단을 만났다.

이후	이후/NNG
장	장/NNP
위원장은	위원장/NNG+은/JX
국회에서	국회/NNG+에서/JKB
정의화	정의화/NNP
국회의장	국회/NNG+의장/NNG
등	등/NNB
우리	우리/NP
측	측/NNB
국회	국회/NNG
대표단을	대표단/NNG+을/JKO
만났다.	만나/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.363.6.2
정의화 국회의장이 "접견실 공기가 차갑지 않으냐"고 묻자, 장 위원장은 우리말로 "괜찮습니다"라고 답했다.

정의화	정의화/NNP
국회의장이	국회/NNG+의장/NNG+이/JKS
"접견실	"/SS+접견실/NNG
공기가	공기/NNG+가/JKS
차갑지	차갑/VA+지/EC
않으냐"고	않/VX+으냐/EF+"/SS+고/JKQ
묻자,	묻/VV+자/EC+,/SP
장	장/NNP
위원장은	위원장/NNG+은/JX
우리말로	우리말/NNG+로/JKB
"괜찮습니다"라고	"/SS+괜찮/VA+습니다/EF+"/SS+라고/JKQ
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.363.6.3
중동호흡기증후군(메르스) 문제도 화제에 올랐다.

중동호흡기증후군(메르스)	중동/NNP+호흡기/NNG+증후군/NNG+(/SS+메르스/NNG+)/SS
문제도	문제/NNG+도/JX
화제에	화제/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.363.6.4
장 위원장은 "한국을 방문하기 전에 사실 메르스 문제로 고민했지만 WHO(세계보건기구)가 한국에 여행금지 조치를 내리지 않는 이상 예정대로 일정을 추진하기로 했다"고 말했다.

장	장/NNP
위원장은	위원장/NNG+은/JX
"한국을	"/SS+한국/NNP+을/JKO
방문하기	방문/NNG+하/XSV+기/ETN
전에	전/NNG+에/JKB
사실	사실/MAG
메르스	메르스/NNG
문제로	문제/NNG+로/JKB
고민했지만	고민/NNG+하/XSV+았/EP+지만/EC
WHO(세계보건기구)가	WHO/SL+(/SS+세계보건기구/NNP+)/SS+가/JKS
한국에	한국/NNP+에/JKB
여행금지	여행/NNG+금지/NNG
조치를	조치/NNG+를/JKO
내리지	내리/VV+지/EC
않는	않/VX+는/ETM
이상	이상/NNG
예정대로	예정/NNG+대로/JX
일정을	일정/NNG+을/JKO
추진하기로	추진/NNG+하/XSV+기/ETN+로/JKB
했다"고	하/VV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.363.6.5
장 위원장은 "한국 국민이 박 대통령 아래에서 반드시 메르스를 극복할 것으로 믿는다"고 했다.

장	장/NNP
위원장은	위원장/NNG+은/JX
"한국	"/SS+한국/NNP
국민이	국민/NNG+이/JKS
박	박/NNP
대통령	대통령/NNG
아래에서	아래/NNG+에서/JKB
반드시	반드시/MAG
메르스를	메르스/NNG+를/JKO
극복할	극복/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
믿는다"고	믿/VV+는다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.363.6.6
한반도 문제와 관련, 장 위원장은 "한반도의 자주적인 평화 통일은 큰 추세"라고 밝혔다.

한반도	한반도/NNP
문제와	문제/NNG+와/JKB
관련,	관련/NNG+,/SP
장	장/NNP
위원장은	위원장/NNG+은/JX
"한반도의	"/SS+한반도/NNP+의/JKG
자주적인	자주/NNG+적/XSN+이/VCP+ㄴ/ETM
평화	평화/NNG
통일은	통일/NNG+은/JX
큰	크/VA+ㄴ/ETM
추세"라고	추세/NNG+"/SS+라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.363.6.7
정의화 국회의장은 "메르스 문제에도 북한보다 한국을 먼저 방문해줘 고맙다"고 말했다.

정의화	정의화/NNP
국회의장은	국회/NNG+의장/NNG+은/JX
"메르스	"/SS+메르스/NNG
문제에도	문제/NNG+에/JKB+도/JX
북한보다	북한/NNP+보다/JKB
한국을	한국/NNP+을/JKO
먼저	먼저/MAG
방문해줘	방문/NNG+하/XSV+아/EC+주/VX+어/EC
고맙다"고	고맙/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.363.7.1
장 위원장은 이후 새누리당 김무성 대표와 새정치연합 문재인 대표를 각각 만났다.

장	장/NNP
위원장은	위원장/NNG+은/JX
이후	이후/NNG
새누리당	새누리당/NNP
김무성	김무성/NNP
대표와	대표/NNG+와/JC
새정치연합	새정치연합/NNP
문재인	문재인/NNP
대표를	대표/NNG+를/JKO
각각	각각/MAG
만났다.	만나/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.363.7.2
장 위원장은 김무성 대표에게 "한·중 FTA가 조속히 발효될 수 있도록 노력해주길 바란다"고 했고, 문재인 대표에게는 "편안한 때에 중국을 방문해달라"고 말했다.

장	장/NNP
위원장은	위원장/NNG+은/JX
김무성	김무성/NNP
대표에게	대표/NNG+에게/JKB
"한·중	"/SS+한·중/NNP
FTA가	FTA/SL+가/JKS
조속히	조속히/MAG
발효될	발효/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
노력해주길	노력/NNG+하/XSV+아/EC+주/VX+기/ETN+ㄹ/JKO
바란다"고	바라/VV+ㄴ다/EF+"/SS+고/JKQ
했고,	하/VV+았/EP+고/EC+,/SP
문재인	문재인/NNP
대표에게는	대표/NNG+에게/JKB+는/JX
"편안한	"/SS+편안/NNG+하/XSA+ㄴ/ETM
때에	때/NNG+에/JKB
중국을	중국/NNP+을/JKO
방문해달라"고	방문/NNG+하/XSV+아/EC+달/VX+라/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


