# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.280
metadata : {}


# id : NWRW1800000026.280.1.1
고종, 1910년 6월 러 망명하려 했다

고종,	고종/NNP+,/SP
막아달라고	막/VV+아/EC+달/VX+라고/EC
주한러시아총영사	주한/NNG+러시아/NNP+총영사/NNG
소모프를	소모프/NNP+를/JKO
통해	통하/VV+아/EC
요청했다.	요청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.280.4.1
고이에르 보고서를 공개한 최덕규 동북아역사재단 연구위원은 "당시 러시아 육군은 극동 방위를 위해 연해주 한인을 대일(對日) 방첩활동에 활용할 계획을 갖고 있었다"며 "그런데 일본과 관계 악화를 우려한 이즈볼스키 외상과 스톨리핀 총리 등이 반대하면서 러시아가 고종의 망명 요청을 받아들이지 않았다"고 말했다.

고이에르	고이에르/NNP
보고서를	보고서/NNG+를/JKO
공개한	공개/NNG+하/XSV+ㄴ/ETM
최덕규	최덕규/NNP
동북아역사재단	동북아역사재단/NNP
연구위원은	연구/NNG+위원/NNG+은/JX
"당시	"/SS+당시/NNG
러시아	러시아/NNP
육군은	육군/NNG+은/JX
극동	극동/NNG
방위를	방위/NNG+를/JKO
위해	위하/VV+아/EC
연해주	연해주/NNP
한인을	한인/NNG+을/JKO
대일(對日)	대일/NNG+(/SS+對日/SH+)/SS
방첩활동에	방첩/NNG+활동/NNG+에/JKB
활용할	활용/NNG+하/XSV+ㄹ/ETM
계획을	계획/NNG+을/JKO
갖고	갖/VV+고/EC
있었다"며	있/VA+었/EP+다/EF+"/SS+며/EC
"그런데	"/SS+그런데/MAJ
일본과	일본/NNP+과/JKB
관계	관계/NNG
악화를	악화/NNG+를/JKO
우려한	우려/NNG+하/XSV+ㄴ/ETM
이즈볼스키	이즈볼스키/NNP
외상과	외상/NNG+과/JC
스톨리핀	스톨리핀/NNP
총리	총리/NNG
등이	등/NNB+이/JKS
반대하면서	반대/NNG+하/XSV+면서/EC
러시아가	러시아/NNP+가/JKS
고종의	고종/NNP+의/JKG
망명	망명/NNG
요청을	요청/NNG+을/JKO
받아들이지	받아들이/VV+지/EC
않았다"고	않/VX+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


