# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.485
metadata : {}


# id : NWRW1800000024.485.1.1
농구계의 산타클로스

농구계의	농구/NNG+계/XSN+의/JKG
위한	위하/VV+ㄴ/ETM
농구팀을	농구/NNG+팀/NNG+을/JKO
무려	무려/MAG
6개나	6/SN+개/NNB+나/JX
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.485.3.2
서울 동대문구 장애청소년들로 구성된 ‘독수리농구단’, 아동복지시설 어린이들로 이뤄진 ‘드림농구팀’, 부모 중 한 사람이 중국, 몽골 등 외국인인 ‘글로벌농구팀’ 등이 모두 그가 만든 농구팀이다.

서울	서울/NNP
동대문구	동대문구/NNP
장애청소년들로	장애/NNG+청소년/NNG+들/XSN+로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
‘독수리농구단’,	‘/SS+독수리농구단/NNP+’/SS+,/SP
아동복지시설	아동/NNG+복지/NNG+시설/NNG
어린이들로	어린이/NNG+들/XSN+로/JKB
이뤄진	이뤄지/VV+ㄴ/ETM
‘드림농구팀’,	‘/SS+드림농구팀/NNP+’/SS+,/SP
부모	부모/NNG
중	중/NNB
한	한/MMN
사람이	사람/NNG+이/JKS
중국,	중국/NNP+,/SP
몽골	몽골/NNP
등	등/NNB
외국인인	외국인/NNG+이/VCP+ㄴ/ETM
‘글로벌농구팀’	‘/SS+글로벌농구팀/NNP+’/SS
등이	등/NNB+이/JKS
모두	모두/MAG
그가	그/NP+가/JKS
만든	만들/VV+ㄴ/ETM
농구팀이다.	농구/NNG+팀/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.485.3.3
돈 버는 일이기는커녕 스폰서를 찾아다니며 ‘아쉬운 소리’를 해야 하지만 그의 ‘집념’은 아무도 못 말린다.

돈	돈/NNG
버는	벌/VV+는/ETM
일이기는커녕	일/NNG+이/VCP+기/ETN+는커녕/JX
스폰서를	스폰서/NNG+를/JKO
찾아다니며	찾아다니/VV+며/EC
‘아쉬운	‘/SS+아쉽/VA+ㄴ/ETM
소리’를	소리/NNG+’/SS+를/JKO
해야	하/VV+아야/EC
하지만	하/VX+지만/EC
그의	그/NP+의/JKG
‘집념’은	‘/SS+집념/NNG+’/SS+은/JX
아무도	아무/NP+도/JX
못	못/MAG
말린다.	말리/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.485.3.4
무산되긴 했지만 지난달 버락 오바마 미국 대통령 방한 때 다문화가정 어린이들과 오바마 대통령이 농구를 하려던 이벤트도 사실은 그의 아이디어로 추진된 일이었다.

무산되긴	무산/NNG+되/XSV+기/ETN+ㄴ/JX
했지만	하/VX+았/EP+지만/EC
지난달	지난달/NNG
버락	버락/NNP
오바마	오바마/NNP
미국	미국/NNP
대통령	대통령/NNG
방한	방한/NNG
때	때/NNG
다문화가정	다문화/NNG+가정/NNG
어린이들과	어린이/NNG+들/XSN+과/JC
대통령이	대통령/NNG+이/JKS
농구를	농구/NNG+를/JKO
하려던	하/VV+려던/ETM
이벤트도	이벤트/NNG+도/JX
사실은	사실/NNG+은/JX
그의	그/NP+의/JKG
아이디어로	아이디어/NNG+로/JKB
추진된	추진/NNG+되/XSV+ㄴ/ETM
일이었다.	일/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000024.485.4.1
그는 이달 초 뜻깊은 행사를 치렀다.

그는	그/NP+는/JX
이달	이달/NNG
초	초/NNB
뜻깊은	뜻깊/VA+은/ETM
행사를	행사/NNG+를/JKO
치렀다.	치르/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.485.4.2
“받기만 했던” 드림팀 어린이들을 데리고 서울 개포동 구룡마을에 사는 국민기초생활 수급자 열 가정을 찾아가 쌀과 김치, 라면, 연탄 등을 전달하고 즐거운 시간을 보낸 것이다.

“받기만	“/SS+받/VV+기/ETN+만/JX
했던”	하/VX+았/EP+던/ETM+”/SS
드림팀	드림팀/NNG
어린이들을	어린이/NNG+들/XSN+을/JKO
데리고	데리/VV+고/EC
서울	서울/NNP
개포동	개포동/NNP
구룡마을에	구룡마을/NNP+에/JKB
사는	살/VV+는/ETM
국민기초생활	국민/NNG+기초/NNG+생활/NNG
수급자	수급자/NNG
열	열/NR
가정을	가정/NNG+을/JKO
찾아가	찾아가/VV+아/EC
쌀과	쌀/NNG+과/JC
김치,	김치/NNG+,/SP
라면,	라면/NNG+,/SP
연탄	연탄/NNG
등을	등/NNB+을/JKO
전달하고	전달/NNG+하/XSV+고/EC
즐거운	즐겁/VA+ㄴ/ETM
시간을	시간/NNG+을/JKO
보낸	보내/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.485.5.1
추일승(46) 전 부산 케이티에프(KTF·현 KT) 감독은 지난 3월 일선에서 물러난 뒤 사비를 털어 ‘바스켓코리아’라는 농구 사이트를 운영하고 있다.

추일승(46)	추일승/NNP+(/SS+46/SN+)/SS
전	전/MMD
부산	부산/NNP
케이티에프(KTF·현	케이티에프/NNP+(/SS+KTF/SL+·/SP+현/MMD
KT)	KT/SL+)/SS
감독은	감독/NNG+은/JX
지난	지나/VV+ㄴ/ETM
3월	3/SN+월/NNB
일선에서	일선/NNG+에서/JKB
물러난	물러나/VV+ㄴ/ETM
뒤	뒤/NNG
사비를	사비/NNG+를/JKO
털어	털/VV+어/EC
‘바스켓코리아’라는	‘/SS+바스켓코리아/NNP+’/SS+이/VCP+라는/ETM
농구	농구/NNG
사이트를	사이트/NNG+를/JKO
운영하고	운영/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.485.5.2
프로농구보다는 주로 아마농구를 조명하면서 유망한 청소년 선수들을 발굴해 소개하는 사이트다.

프로농구보다는	프로/NNG+농구/NNG+보다/JKB+는/JX
주로	주로/MAG
아마농구를	아마/NNG+농구/NNG+를/JKO
조명하면서	조명/NNG+하/XSV+면서/EC
유망한	유망/NNG+하/XSA+ㄴ/ETM
청소년	청소년/NNG
선수들을	선수/NNG+들/XSN+을/JKO
발굴해	발굴/NNG+하/XSV+아/EC
소개하는	소개/NNG+하/XSV+는/ETM
사이트다.	사이트/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.485.5.3
또 외국 유명선수의 동영상과 세계농구연맹 사이트에 소개된 글을 번역해 올리는 등 세계 농구의 흐름을 읽을 수 있는 최신 정보도 올려놓는다.

또	또/MAG
외국	외국/NNG
유명선수의	유명/NNG+선수/NNG+의/JKG
동영상과	동영상/NNG+과/JC
세계농구연맹	세계/NNG+농구/NNG+연맹/NNG
사이트에	사이트/NNG+에/JKB
소개된	소개/NNG+되/XSV+ㄴ/ETM
글을	글/NNG+을/JKO
번역해	번역/NNG+하/XSV+아/EC
올리는	올리/VV+는/ETM
등	등/NNB
세계	세계/NNG
농구의	농구/NNG+의/JKG
흐름을	흐름/NNG+을/JKO
읽을	읽/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
최신	최신/NNG
정보도	정보/NNG+도/JX
올려놓는다.	올려놓/VV+는다/EF+./SF


# id : NWRW1800000024.485.6.1
초기 투자비용만 5000만원에다가 한 달 운영비가 1000만원 가까이 들지만 그는 기꺼이 헌신하고 있다.

초기	초기/NNG
투자비용만	투자/NNG+비용/NNG+만/JX
5000만원에다가	5000/SN+만/NR+원/NNB+에다가/JKB
한	한/MMN
달	달/NNB
운영비가	운영비/NNG+가/JKS
1000만원	1000/SN+만/NR+원/NNB
가까이	가까이/MAG
들지만	들/VV+지만/EC
그는	그/NP+는/JX
기꺼이	기꺼이/MAG
헌신하고	헌신/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.485.6.2
그는 “잠재력 있는 고교생과 대학생 선수들을 바스켓코리아를 통해 널리 알리고, 세계 농구의 최신 정보를 우리 청소년 선수들이 접하도록 하는 게 목적”이라고 했다.

그는	그/NP+는/JX
“잠재력	“/SS+잠재력/NNG
있는	있/VA+는/ETM
고교생과	고교/NNG+생/XSN+과/JC
대학생	대학/NNG+생/XSN
선수들을	선수/NNG+들/XSN+을/JKO
바스켓코리아를	바스켓코리아/NNP+를/JKO
통해	통하/VV+아/EC
널리	널리/MAG
알리고,	알리/VV+고/EC+,/SP
세계	세계/NNG
농구의	농구/NNG+의/JKG
최신	최신/NNG
정보를	정보/NNG+를/JKO
우리	우리/NP
청소년	청소년/NNG
선수들이	선수/NNG+들/XSN+이/JKS
접하도록	접하/VV+도록/EC
하는	하/VX+는/ETM
게	거/NNB+이/JKS
목적”이라고	목적/NNG+”/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.485.6.3
이들을 ‘농구계의 산타클로스’라고 부르고 싶다.

이들을	이/NP+들/XSN+을/JKO
‘농구계의	‘/SS+농구/NNG+계/XSN+의/JKG
산타클로스’라고	산타클로스/NNP+’/SS+라고/JKQ
부르고	부르/VV+고/EC
싶다.	싶/VX+다/EF+./SF


