# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.179
metadata : {}


# id : NWRW1800000022.179.1.1
[부산ㆍ경남] 부산에서 '자율형 사립고' 몇개 나올까

[부산ㆍ경남]	[/SS+부산/NNP+ㆍ/SP+경남/NNP+]/SS
특히 일부 학교에서는 자율형 사립고 전환을 위한 전담팀을 구성해 전환 여부를 숙고하고 있으며, 매년 전체 운영비의 20~30%를 재단전입금으로 부담하고 있는 자립형 사립고인 해운대고의 경우 전입금 부담을 5%로 낮출 수 있는 자율형 사립고 전환을 희망하고 있는 것으로 알려졌다.

특히	특히/MAG
일부	일부/NNG
학교에서는	학교/NNG+에서/JKB+는/JX
자율형	자율/NNG+형/XSN
사립고	사립고/NNG
전환을	전환/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
전담팀을	전담/NNG+팀/NNG+을/JKO
구성해	구성/NNG+하/XSV+아/EC
전환	전환/NNG
여부를	여부/NNG+를/JKO
숙고하고	숙고/NNG+하/XSV+고/EC
있으며,	있/VX+으며/EC+,/SP
매년	매년/MAG
전체	전체/NNG
운영비의	운영비/NNG+의/JKG
20~30%를	20/SN+~/SO+30/SN+%/SW+를/JKO
재단전입금으로	재단/NNG+전입금/NNG+으로/JKB
부담하고	부담/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
자립형	자립/NNG+형/XSN
사립고인	사립고/NNG+이/VCP+ㄴ/ETM
해운대고의	해운대고/NNP+의/JKG
경우	경우/NNG
전입금	전입금/NNG
부담을	부담/NNG+을/JKO
5%로	5/SN+%/SW+로/JKB
낮출	낮추/VV+ㄹ/ETM
수	수/NNB
희망하고	희망/NNG+하/XSV+고/EC
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.179.8.1
하지만 재단전입금 5%를 부담할 수 있을 만큼 재정 구조가 탄탄한 사립고 재단이 많지 않아 부산지역에서 1~2개 정도 자율형 사립고로 선정될 것이라는 전망도 나오고 있다.

하지만	하지만/MAJ
재단전입금	재단/NNG+전입금/NNG
5%를	5/SN+%/SW+를/JKO
부담할	부담/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
만큼	만큼/NNB
재정	재정/NNG
구조가	구조/NNG+가/JKS
탄탄한	탄탄하/VA+ㄴ/ETM
사립고	사립고/NNG
재단이	재단/NNG+이/JKS
많지	많/VA+지/EC
않아	않/VX+아/EC
부산지역에서	부산지역/NNP+에서/JKB
1~2개	1/SN+~/SO+2/SN+개/NNB
정도	정도/NNG
자율형	자율/NNG+형/XSN
사립고로	사립고/NNG+로/JKB
선정될	선정/NNG+되/XSV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
전망도	전망/NNG+도/JX
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.179.9.1
교육 관계자들은 "재단전입금 규모가 5%나 되는 데다 학생 모집 인원도 자율적이지 못해 자율형 사립고 전환에 매력을 느끼지 못하는 경우가 많을 것"이라고 말했다.

교육	교육/NNG
관계자들은	관계자/NNG+들/XSN+은/JX
"재단전입금	"/SS+재단/NNG+전입금/NNG
규모가	규모/NNG+가/JKS
5%나	5/SN+%/SW+나/JX
되는	되/VV+는/ETM
데다	데/NNB+다/JX
학생	학생/NNG
모집	모집/NNG
인원도	인원/NNG+도/JX
자율적이지	자율/NNG+적/XSN+이/VCP+지/EC
못해	못하/VX+아/EC
자율형	자율/NNG+형/XSN
사립고	사립고/NNG
전환에	전환/NNG+에/JKB
매력을	매력/NNG+을/JKO
느끼지	느끼/VV+지/EC
못하는	못하/VX+는/ETM
경우가	경우/NNG+가/JKS
많을	많/VA+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


