# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.259
metadata : {}


# id : NWRW1800000022.259.1.1
['워킹푸어' 300만명 시대](6ㆍ끝)전문가 좌담; "중산층·빈곤층 사이 외줄타기… '안전망'이 없다"

['워킹푸어'	[/SS+'/SS+워킹푸어/NNG+'/SS
유지하고	유지/NNG+하/XSV+고/EC
있지만,	있/VX+지만/EC+,/SP
가족	가족/NNG
중	중/NNB
한	한/MMN
사람이	사람/NNG+이/JKS
실직하거나	실직/NNG+하/XSV+거나/EC
몸이	몸/NNG+이/JKS
아프면	아프/VA+면/EC
언제든	언제/NP+든/JX
워킹푸어로	워킹푸어/NNG+로/JKB
떨어질	떨어지/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
'워킹푸어	'/SS+워킹푸어/NNG
예비군'도	예비군/NNG+'/SS+도/JX
불어나고	불어나/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.259.3.2
고용이 불안하고 보수가 박한 이른바 '나쁜 일자리'가 늘어난 탓이다.

고용이	고용/NNG+이/JKS
불안하고	불안/NNG+하/XSA+고/EC
보수가	보수/NNG+가/JKS
박한	박하/VA+ㄴ/ETM
이른바	이른바/MAG
'나쁜	'/SS+나쁘/VA+ㄴ/ETM
일자리'가	일자리/NNG+'/SS+가/JKS
늘어난	늘어나/VV+ㄴ/ETM
탓이다.	탓/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.259.4.1
문제는 워킹푸어로 몰락한 사람들을 다시 중산층으로 끌어올릴 대책이 턱없이 부족하다는 점이다.

문제는	문제/NNG+는/JX
워킹푸어로	워킹푸어/NNG+로/JKB
몰락한	몰락/NNG+하/XSV+ㄴ/ETM
사람들을	사람/NNG+들/XSN+을/JKO
다시	다시/MAG
중산층으로	중산/NNG+층/XSN+으로/JKB
끌어올릴	끌어올리/VV+ㄹ/ETM
대책이	대책/NNG+이/JKS
턱없이	턱없이/MAG
부족하다는	부족/NNG+하/XSA+다는/ETM
점이다.	점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.259.4.2
지난 22일 조선일보사에 모인 전문가들은 "정책은커녕 정책 설계의 기본이 되는 실태조사조차 제대로 돼 있지 않은 상황"이라고 지적했다.

지난	지나/VV+ㄴ/ETM
22일	22/SN+일/NNB
조선일보사에	조선일보사/NNP+에/JKB
모인	모이/VV+ㄴ/ETM
전문가들은	전문가/NNG+들/XSN+은/JX
"정책은커녕	"/SS+정책/NNG+은커녕/JX
정책	정책/NNG
설계의	설계/NNG+의/JKG
기본이	기본/NNG+이/JKC
되는	되/VV+는/ETM
실태조사조차	실태/NNG+조사/NNG+조차/JX
제대로	제대로/MAG
돼	되/VV+어/EC
있지	있/VX+지/EC
않은	않/VX+은/ETM
상황"이라고	상황/NNG+"/SS+이라고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.259.5.1
좌담에는 성신여대 경제학과 강석훈(姜錫勳) 교수, 한국빈곤문제연구소 류정순(柳貞順) 소장, 한국개발연구원(KDI) 유경준(兪京濬) 선임연구위원, 세신철강㈜ 장준배(張俊培) 대표이사, 한국사회복지사협회 조성철(趙聖鐵) 회장이 참석했다.

좌담에는	좌담/NNG+에/JKB+는/JX
성신여대	성신여대/NNP
경제학과	경제학과/NNG
강석훈(姜錫勳)	강석훈/NNP+(/SS+姜錫勳/SH+)/SS
교수,	교수/NNG+,/SP
한국빈곤문제연구소	한국빈곤문제연구소/NNP
류정순(柳貞順)	류정순/NNP+(/SS+柳貞順/SH+)/SS
소장,	소장/NNG+,/SP
한국개발연구원(KDI)	한국개발연구원/NNP+(/SS+KDI/SL+)/SS
유경준(兪京濬)	유경준/NNP+(/SS+兪京濬/SH+)/SS
선임연구위원,	선임/NNG+연구/NNG+위원/NNG+,/SP
세신철강㈜	세신철강/NNP+㈜/SW
장준배(張俊培)	장준배/NNP+(/SS+張俊培/SH+)/SS
대표이사,	대표/NNG+이사/NNG+,/SP
한국사회복지사협회	한국사회복지사협회/NNP
조성철(趙聖鐵)	조성철/NNP+(/SS+趙聖鐵/SH+)/SS
회장이	회장/NNG+이/JKS
참석했다.	참석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.259.6.1
◆'인생 역전' 줄고 '인생 유전' 넘쳐

◆'인생	◆/SW+'/SS+인생/NNG
역전'	역전/NNG+'/SS
줄고	줄/VV+고/EC
'인생	'/SS+인생/NNG
유전'	유전/NNG+'/SS
넘쳐	넘치/VV+어/EC


# id : NWRW1800000022.259.7.1
조성철 회장='인생 역전'보다는 '인생 유전(遺傳)'이라는 말이 더 익숙해져 버렸다.

조성철	조성철/NNP
회장='인생	회장/NNG+=/SW+'/SS+인생/NNG
역전'보다는	역전/NNG+'/SS+보다/JKB+는/JX
'인생	'/SS+인생/NNG
유전(遺傳)'이라는	유전/NNG+(/SS+遺傳/SH+)/SS+'/SS+이/VCP+라는/ETM
말이	말/NNG+이/JKS
더	더/MAG
익숙해져	익숙하/VA+아/EC+지/VX+어/EC
버렸다.	버리/VX+었/EP+다/EF+./SF


# id : NWRW1800000022.259.7.2
불과 20년 전만 해도 능력 있고 품성 강한 사람이라면 일어설 수 있었다.

불과	불과/MAG
20년	20/SN+년/NNB
전만	전/NNG+만/JX
해도	하/VV+아도/EC
능력	능력/NNG
있고	있/VA+고/EC
품성	품성/NNG
강한	강하/VA+ㄴ/ETM
사람이라면	사람/NNG+이/VCP+라면/EC
일어설	일어서/VV+ㄹ/ETM
수	수/NNB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000022.259.7.3
하지만 그 길이 점점 쪼그라들고 있다.

하지만	하지만/MAJ
그	그/MMD
길이	길/NNG+이/JKS
점점	점점/MAG
쪼그라들고	쪼그라들/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.259.8.1
장준배 대표=외환위기 직후인 1998년, 5개 은행에서 8500명이 퇴출됐다.

장준배	장준배/NNP
대표=외환위기	대표/NNG+=/SW+외환/NNG+위기/NNG
직후인	직후/NNG+이/VCP+ㄴ/ETM
1998년,	1998/SN+년/NNB+,/SP
5개	5/SN+개/NNB
은행에서	은행/NNG+에서/JKB
8500명이	8500/SN+명/NNB+이/JKS
퇴출됐다.	퇴출/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000022.259.8.2
나도 그중 하나다.

나도	나/NP+도/JX
그중	그중/NNG
하나다.	하나/NR+이/VCP+다/EF+./SF


# id : NWRW1800000022.259.8.3
충청은행 과장으로 근무하다 나와서 김밥집을 열었는데 2년 만에 종자돈 5000만원만 날렸다.

충청은행	충청은행/NNP
과장으로	과장/NNG+으로/JKB
근무하다	근무/NNG+하/XSV+다/EC
나와서	나오/VV+아서/EC
김밥집을	김밥집/NNG+을/JKO
열었는데	열/VV+었/EP+는데/EC
2년	2/SN+년/NNB
만에	만/NNB+에/JKB
종자돈	종자/NNG+돈/NNG
5000만원만	5000/SN+만/NR+원/NNB+만/JX
날렸다.	날리/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.259.8.4
그 뒤로 11년이 흘렀다.

그	그/MMD
뒤로	뒤/NNG+로/JKB
11년이	11/SN+년/NNB+이/JKS
흘렀다.	흐르/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.259.8.5
잘린 사람들 중 잘 된 사람도 물론 있지만, 대부분이 그 당시에서 한 걸음도 앞으로 못 나갔다.

잘린	잘리/VV+ㄴ/ETM
사람들	사람/NNG+들/XSN
중	중/NNB
잘	잘/MAG
된	되/VV+ㄴ/ETM
사람도	사람/NNG+도/JX
물론	물론/MAG
있지만,	있/VA+지만/EC+,/SP
대부분이	대/XPN+부분/NNG+이/JKS
그	그/MMD
당시에서	당시/NNG+에서/JKB
한	한/MMN
걸음도	걸음/NNG+도/JX
앞으로	앞/NNG+으로/JKB
못	못/MAG
나갔다.	나가/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.259.8.6
대기업 여신을 심사하던 동료는 요즘 야간에 택배회사에서 화물을 정리하고 새벽에 퇴근한다.

대기업	대/XPN+기업/NNG
여신을	여신/NNG+을/JKO
심사하던	심사/NNG+하/XSV+던/ETM
동료는	동료/NNG+는/JX
요즘	요즘/NNG
야간에	야간/NNG+에/JKB
택배회사에서	택배/NNG+회사/NNG+에서/JKB
화물을	화물/NNG+을/JKO
정리하고	정리/NNG+하/XSV+고/EC
새벽에	새벽/NNG+에/JKB
퇴근한다.	퇴근/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.259.8.7
나이 50살에 월 150만원을 버는 '시급(時給) 인생'이 된 거다.

나이	나이/NNG
50살에	50/SN+살/NNB+에/JKB
월	월/NNG
150만원을	150/SN+만/NR+원/NNB+을/JKO
버는	벌/VV+는/ETM
'시급(時給)	'/SS+시급/NNG+(/SS+時給/SH+)/SS
인생'이	인생/NNG+'/SS+이/JKC
된	되/VV+ㄴ/ETM
거다.	거/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.259.8.8
나도 작년까지 워킹푸어였다.

나도	나/NP+도/JX
작년까지	작년/NNG+까지/JX
워킹푸어였다.	워킹푸어/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.259.8.9
세신철강에서 사무를 보면서 월 200만원을 벌어 아들·딸 학비를 댔다.

세신철강에서	세신철강/NNP+에서/JKB
사무를	사무/NNG+를/JKO
보면서	보/VV+면서/EC
월	월/NNG
200만원을	200/SN+만/NR+원/NNB+을/JKO
벌어	벌/VV+어/EC
아들·딸	아들/NNG+·/SP+딸/NNG
학비를	학비/NNG+를/JKO
댔다.	대/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.259.8.10
은행 대출을 받아 세신철강을 인수한 게 작년 11월이다.

은행	은행/NNG
대출을	대출/NNG+을/JKO
받아	받/VV+아/EC
세신철강을	세신철강/NNP+을/JKO
인수한	인수/NNG+하/XSV+ㄴ/ETM
게	거/NNB+이/JKS
작년	작년/NNG
11월이다.	11/SN+월/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.259.8.11
지금은 월 매출 1억2000만원을 올리고 있다.

지금은	지금/NNG+은/JX
월	월/NNG
매출	매출/NNG
1억2000만원을	1/SN+억/NR+2000/SN+만/NR+원/NNB+을/JKO
올리고	올리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.259.9.1
류정순 소장=11살짜리 초등학생이 지방은행에 다니다 구조조정된 아빠한테 묻더란다.

류정순	류정순/NNP
소장=11살짜리	소장/NNG+=/SW+11/SN+살/NNB+짜리/XSN
초등학생이	초등학생/NNG+이/JKS
지방은행에	지방/NNG+은행/NNG+에/JKB
다니다	다니/VV+다/EC
구조조정된	구조/NNG+조정/NNG+되/XSV+ㄴ/ETM
아빠한테	아빠/NNG+한테/JKB
묻더란다.	묻/VV+더란다/EF+./SF


# id : NWRW1800000022.259.9.2
"아빠는 왜 애초에 농협 안 갔어?" 가슴 찢어지는 얘기다.

"아빠는	"/SS+아빠/NNG+는/JX
왜	왜/MAG
애초에	애초/NNG+에/JKB
농협	농협/NNP
안	안/MAG
갔어?"	가/VV+았/EP+어/EF+?/SF+"/SS
가슴	가슴/NNG
찢어지는	찢어지/VV+는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.259.9.3
일선에서 상담하다 보면 워킹푸어 가정은 단순히 곤궁한 데 그치지 않고, 가정 자체가 깨지기 쉽다.

일선에서	일선/NNG+에서/JKB
상담하다	상담/NNG+하/XSV+다/EC
보면	보/VX+면/EC
워킹푸어	워킹푸어/NNG
가정은	가정/NNG+은/JX
단순히	단순히/MAG
곤궁한	곤궁/NNG+하/XSA+ㄴ/ETM
데	데/NNB
그치지	그치/VV+지/EC
않고,	않/VX+고/EC+,/SP
가정	가정/NNG
자체가	자체/NNG+가/JKS
깨지기	깨지/VV+기/ETN
쉽다.	쉽/VA+다/EF+./SF


# id : NWRW1800000022.259.9.4
그 점이 가장 큰 문제다.

그	그/MMD
점이	점/NNG+이/JKS
가장	가장/MAG
큰	크/VA+ㄴ/ETM
문제다.	문제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.259.10.1
유경준 연구위원=통계를 보면 워킹푸어는 외환위기 때부터 급증했다.

유경준	유경준/NNP
연구위원=통계를	연구/NNG+위원/NNG+=/SW+통계/NNG+를/JKO
보면	보/VV+면/EC
워킹푸어는	워킹푸어/NNG+는/JX
외환위기	외환/NNG+위기/NNG
때부터	때/NNG+부터/JX
급증했다.	급증/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.259.10.2
처음엔 경기(景氣)가 안 좋아서 회사를 나왔는데, 경기가 좋아져도 다시 직장에 돌아가지 못했다.

처음엔	처음/NNG+에/JKB+ㄴ/JX
경기(景氣)가	경기/NNG+(/SS+景氣/SH+)/SS+가/JKS
안	안/MAG
좋아서	좋/VA+아서/EC
회사를	회사/NNG+를/JKO
나왔는데,	나오/VV+았/EP+는데/EC+,/SP
경기가	경기/NNG+가/JKS
좋아져도	좋/VA+아/EC+지/VX+어도/EC
다시	다시/MAG
직장에	직장/NNG+에/JKB
돌아가지	돌아가/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.259.10.3
경기적인 요인이 구조적인 요인으로 굳어 버린 거다.

경기적인	경기/NNG+적/XSN+이/VCP+ㄴ/ETM
요인이	요인/NNG+이/JKS
구조적인	구조/NNG+적/XSN+이/VCP+ㄴ/ETM
요인으로	요인/NNG+으로/JKB
굳어	굳/VV+어/EC
버린	버리/VX+ㄴ/ETM
거다.	거/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.259.11.1
◆"정교한 빈곤정책 없는 게 더 문제"

◆"정교한	◆/SW+"/SS+정교하/VA+ㄴ/ETM
빈곤정책	빈곤/NNG+정책/NNG
없는	없/VA+는/ETM
게	거/NNB+이/JKS
더	더/MAG
문제"	문제/NNG+"/SS


# id : NWRW1800000022.259.12.1
강석훈 교수=워킹푸어가 증가한 배경은 단기적으로는 경기 요인이 컸지만, 근본적인 원인은 따로 있다.

강석훈	강석훈/NNP
교수=워킹푸어가	교수/NNG+=/SW+워킹푸어/NNG+가/JKS
증가한	증가/NNG+하/XSV+ㄴ/ETM
배경은	배경/NNG+은/JX
단기적으로는	단기/NNG+적/XSN+으로/JKB+는/JX
경기	경기/NNG
요인이	요인/NNG+이/JKS
컸지만,	크/VA+었/EP+지만/EC+,/SP
근본적인	근본/NNG+적/XSN+이/VCP+ㄴ/ETM
원인은	원인/NNG+은/JX
따로	따로/MAG
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.259.12.2
기술 진보와 세계화(globalization)이다.

기술	기술/NNG
진보와	진보/NNG+와/JC
세계화(globalization)이다.	세계/NNG+화/XSN+(/SS+globalization/SL+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000022.259.12.3
최근에 삼성전자가 40나노급 D램을 양산하기 시작했다.

최근에	최근/NNG+에/JKB
삼성전자가	삼성전자/NNP+가/JKS
40나노급	40/SN+나노급/NNG
D램을	D/SL+램/NNG+을/JKO
양산하기	양산/NNG+하/XSV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.259.12.4
삼성전자가 그걸 만들어 내면 GDP(국내총생산)는 늘어난다.

삼성전자가	삼성전자/NNP+가/JKS
그걸	그거/NP+ㄹ/JKO
만들어	만들/VV+어/EC
내면	내/VX+면/EC
GDP(국내총생산)는	GDP/SL+(/SS+국내/NNG+총생산/NNG+)/SS+는/JX
늘어난다.	늘어나/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.259.12.5
하지만 숙련 근로자에 대한 수요가 조금 늘어날 뿐 전체 일자리는 크게 늘지 않는다.

하지만	하지만/MAJ
숙련	숙련/NNG
근로자에	근로자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
수요가	수요/NNG+가/JKS
조금	조금/MAG
늘어날	늘어나/VV+ㄹ/ETM
뿐	뿐/NNB
전체	전체/NNG
일자리는	일자리/NNG+는/JX
크게	크/VA+게/EC
늘지	늘/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000022.259.12.6
또, 세계화로 인해 우리 근로자들은 이제 동남아 근로자와 경쟁을 해야 한다.

또,	또/MAG+,/SP
세계화로	세계/NNG+화/XSN+로/JKB
인해	인/NNG+하/XSV+아/EC
우리	우리/NP
근로자들은	근로자/NNG+들/XSN+은/JX
이제	이제/MAG
동남아	동남아/NNP
근로자와	근로자/NNG+와/JKB
경쟁을	경쟁/NNG+을/JKO
해야	하/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000022.259.12.7
가족 해체와 인구 고령화도 간과할 수 없는 요인이다.

가족	가족/NNG
해체와	해체/NNG+와/JC
인구	인구/NNG
고령화도	고령/NNG+화/XSN+도/JX
간과할	간과/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
요인이다.	요인/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.259.13.1
류정순=정부도 책임이 있다.

류정순=정부도	류정순/NNP+=/SW+정부/NNG+도/JX
책임이	책임/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.259.13.2
외환위기 때를 돌아보자.

외환위기	외환/NNG+위기/NNG
때를	때/NNG+를/JKO
돌아보자.	돌아보/VV+자/EF+./SF


# id : NWRW1800000022.259.13.3
실직한 사람들이 자영업으로 몰려갔다.

실직한	실직/NNG+하/XSV+ㄴ/ETM
사람들이	사람/NNG+들/XSN+이/JKS
자영업으로	자영업/NNG+으로/JKB
몰려갔다.	몰려가/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.259.13.4
정부가 교통정리를 해 줬어야 하는데, 오히려 창업자에게 신용을 풀었다.

정부가	정부/NNG+가/JKS
교통정리를	교통정리/NNG+를/JKO
해	하/VV+아/EC
줬어야	주/VX+었/EP+어야/EC
하는데,	하/VX+는데/EC+,/SP
오히려	오히려/MAG
창업자에게	창업자/NNG+에게/JKB
신용을	신용/NNG+을/JKO
풀었다.	풀/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.259.13.5
작게 말아먹을 수 있는 사람들을 크게 말아먹게 한 거다.

작게	작/VA+게/EC
말아먹을	말아먹/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
사람들을	사람/NNG+들/XSN+을/JKO
크게	크/VA+게/EC
말아먹게	말아먹/VV+게/EC
한	하/VX+ㄴ/ETM
거다.	거/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.259.14.1
유경준=그동안 정부는 양극화를 고민하면서도 정교한 빈곤대책을 세우지 못했다.

유경준=그동안	유경준/NNP+=/SW+그동안/NNG
정부는	정부/NNG+는/JX
양극화를	양극/NNG+화/XSN+를/JKO
고민하면서도	고민/NNG+하/XSV+면서/EC+도/JX
정교한	정교하/VA+ㄴ/ETM
빈곤대책을	빈곤/NNG+대책/NNG+을/JKO
세우지	세우/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.259.14.2
2008년 현재 비정규직 중 39%만 고용보험에 가입해 있다.

2008년	2008/SN+년/NNB
현재	현재/MAG
비정규직	비/XPN+정규직/NNG
중	중/NNB
39%만	39/SN+%/SW+만/JX
고용보험에	고용/NNG+보험/NNG+에/JKB
가입해	가입/NNG+하/XSV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.259.14.3
경기 침체로 가장 타격을 받는 계층은 비정규직과 영세자영업자인데, 정작 이들은 사회안전망이 떠받쳐 주지 못하는 것이다.

경기	경기/NNG
침체로	침체/NNG+로/JKB
가장	가장/MAG
타격을	타격/NNG+을/JKO
받는	받/VV+는/ETM
계층은	계층/NNG+은/JX
비정규직과	비/XPN+정규직/NNG+과/JC
영세자영업자인데,	영세/NNG+자영업자/NNG+이/VCP+ㄴ데/EC+,/SP
정작	정작/MAG
이들은	이/NP+들/XSN+은/JX
사회안전망이	사회/NNG+안전망/NNG+이/JKS
떠받쳐	떠받치/VV+어/EC
주지	주/VX+지/EC
못하는	못하/VX+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.259.14.4
이미 빈곤층으로 떨어진 사람들을 중산층으로 끌어올리는 노력과 함께 중산층과 빈곤층의 중간 지점에 아슬아슬하게 서 있는 사람들이 아래로 떨어지지 않게 막는 노력도 병행해야 한다.

이미	이미/MAG
빈곤층으로	빈곤/NNG+층/XSN+으로/JKB
떨어진	떨어지/VV+ㄴ/ETM
사람들을	사람/NNG+들/XSN+을/JKO
중산층으로	중산/NNG+층/XSN+으로/JKB
끌어올리는	끌어올리/VV+는/ETM
노력과	노력/NNG+과/JKB
함께	함께/MAG
중산층과	중산/NNG+층/XSN+과/JC
빈곤층의	빈곤/NNG+층/XSN+의/JKG
중간	중간/NNG
지점에	지점/NNG+에/JKB
아슬아슬하게	아슬아슬/MAG+하/XSA+게/EC
서	서/VV+어/EC
있는	있/VX+는/ETM
사람들이	사람/NNG+들/XSN+이/JKS
아래로	아래/NNG+로/JKB
떨어지지	떨어지/VV+지/EC
않게	않/VX+게/EC
막는	막/VV+는/ETM
노력도	노력/NNG+도/JX
병행해야	병행/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000022.259.15.1
류정순=영세자영업자들과 일용직을 보호하는 안전망이 없다.

류정순=영세자영업자들과	류정순/NNP+=/SW+영세/NNG+자영업자/NNG+들/XSN+과/JC
일용직을	일용직/NNG+을/JKO
보호하는	보호/NNG+하/XSV+는/ETM
안전망이	안전망/NNG+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000022.259.15.2
직장에 나가는 근로자는 고용보험이 있어 실직하면 실업급여라도 받는다.

직장에	직장/NNG+에/JKB
나가는	나가/VV+는/ETM
근로자는	근로자/NNG+는/JX
고용보험이	고용/NNG+보험/NNG+이/JKS
있어	있/VA+어/EC
실직하면	실직/NNG+하/XSV+면/EC
실업급여라도	실업/NNG+급여/NNG+라도/JX
받는다.	받/VV+는다/EF+./SF


# id : NWRW1800000022.259.15.3
영세자영업자와 일용직에겐 최소한의 보장도 없다.

영세자영업자와	영세/NNG+자영업자/NNG+와/JC
일용직에겐	일용직/NNG+에게/JKB+ㄴ/JX
최소한의	최소한/NNG+의/JKG
보장도	보장/NNG+도/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000022.259.15.4
일본에서는 인력파견업체들이 일용직 노동자가 일을 나간 날 도장을 찍어 준다.

일본에서는	일본/NNP+에서/JKB+는/JX
인력파견업체들이	인력/NNG+파견/NNG+업체/NNG+들/XSN+이/JKS
일용직	일용직/NNG
노동자가	노동자/NNG+가/JKS
일을	일/NNG+을/JKO
나간	나가/VV+ㄴ/ETM
날	날/NNG
도장을	도장/NNG+을/JKO
찍어	찍/VV+어/EC
준다.	주/VX+ㄴ다/EF+./SF


# id : NWRW1800000022.259.15.5
이 같은 근무기록을 바탕으로 일용직도 고용보험·건강보험 혜택을 받을 수 있다.

이	이/NP
같은	같/VA+은/ETM
근무기록을	근무/NNG+기록/NNG+을/JKO
바탕으로	바탕/NNG+으로/JKB
일용직도	일용직/NNG+도/JX
고용보험·건강보험	고용/NNG+보험/NNG+·/SP+건강/NNG+보험/NNG
혜택을	혜택/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.259.16.1
◆"일하는 사람이 혜택 보는 복지 시스템을"

◆"일하는	◆/SW+"/SS+일/NNG+하/XSV+는/ETM
사람이	사람/NNG+이/JKS
혜택	혜택/NNG
보는	보/VV+는/ETM
복지	복지/NNG
시스템을"	시스템/NNG+을/JKO+"/SS


