# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.32
metadata : {}


# id : NWRW1800000038.32.1.1
곤충이 식량의 미래다

곤충이	곤충/NNG+이/JKS
같은	같/VA+은/ETM
양의	양/NNG+의/JKG
단백질을	단백질/NNG+을/JKO
생산하는	생산/NNG+하/XSV+는/ETM
데	데/NNB
드는	들/VV+는/ETM
사료비는	사료비/NNG+는/JX
귀뚜라미의	귀뚜라미/NNG+의/JKG
경우	경우/NNG
소의	소/NNG+의/JKG
12분의	12/SN+분/NNB+의/JKG
1이다.	1/SN+이/VCP+다/EF+./SF


# id : NWRW1800000038.32.8.1
보고서는 이미 전 세계적으로 최소 20억명이 곤충을 먹고 있지만 서구권 소비자들이 곤충을 먹는 데 혐오감을 가지고 있어 곤충을 식용으로 이용하는 데 장벽이 되고 있다고 지적했다.

보고서는	보고서/NNG+는/JX
이미	이미/MAG
전	전/MMN
세계적으로	세계/NNG+적/XSN+으로/JKB
최소	최소/NNG
20억명이	20/SN+억/NR+명/NNB+이/JKS
곤충을	곤충/NNG+을/JKO
먹고	먹/VV+고/EC
있지만	있/VX+지만/EC
서구권	서구/NNG+권/XSN
소비자들이	소비자/NNG+들/XSN+이/JKS
먹는	먹/VV+는/ETM
데	데/NNB
혐오감을	혐오감/NNG+을/JKO
가지고	가지/VV+고/EC
있어	있/VX+어/EC
식용으로	식용/NNG+으로/JKB
이용하는	이용/NNG+하/XSV+는/ETM
장벽이	장벽/NNG+이/JKC
되고	되/VV+고/EC
있다고	있/VX+다고/EC
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.32.8.2
FAO는 이를 극복하기 위해 레스토랑 메뉴에 곤충류를 포함하고 곤충을 이용한 요리법을 개발할 것을 제안했다.

FAO는	FAO/SL+는/JX
이를	이/NP+를/JKO
극복하기	극복/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
레스토랑	레스토랑/NNG
메뉴에	메뉴/NNG+에/JKB
곤충류를	곤충/NNG+류/XSN+를/JKO
포함하고	포함/NNG+하/XSV+고/EC
곤충을	곤충/NNG+을/JKO
이용한	이용/NNG+하/XSV+ㄴ/ETM
요리법을	요리법/NNG+을/JKO
개발할	개발/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.32.8.3
애벌레 요리가 최고급 요리로 대접받는 남부 아프리카처럼 곤충 음식의 지위를 높여야 한다는 것이다.

애벌레	애벌레/NNG
요리가	요리/NNG+가/JKS
최고급	최/XPN+고급/NNG
요리로	요리/NNG+로/JKB
대접받는	대접/NNG+받/XSV+는/ETM
남부	남부/NNG
아프리카처럼	아프리카/NNP+처럼/JKB
곤충	곤충/NNG
음식의	음식/NNG+의/JKG
지위를	지위/NNG+를/JKO
높여야	높이/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


