# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.381
metadata : {}


# id : NWRW1800000041.381.1.1
[수도권]이필운 경기 안양시장 “구도심 재개발, 전면 철거방식 탈피”

[수도권]이필운	[/SS+수도/NNG+권/XSN+]/SS+이필운/NNP
소규모	소/XPN+규모/NNG
동호회	동호회/NNG
중심의	중심/NNG+의/JKG
생활체육을	생활/NNG+체육/NNG+을/JKO
활성화하고,	활성/NNG+화/XSN+하/XSV+고/EC+,/SP
권역별	권역/NNG+별/XSN
특색	특색/NNG
있는	있/VA+는/ETM
체육공원	체육공원/NNG
조성을	조성/NNG+을/JKO
통해	통하/VV+아/EC
생활체육이	생활/NNG+체육/NNG+이/JKS
뿌리내리도록	뿌리내리/VV+도록/EC
할	하/VX+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.381.4.9
이 시장은 “원칙이 바로 서고 비리가 없는 안양을 만들어 달라는 뜻에서 저를 재선시켜 주신 것으로 생각한다”며 “시민들이 행복하고 안전하게 살 수 있는 안양을 만들겠다”고 강조했다.

이	이/NNP
시장은	시장/NNG+은/JX
“원칙이	“/SS+원칙/NNG+이/JKS
바로	바로/MAG
서고	서/VV+고/EC
비리가	비리/NNG+가/JKS
없는	없/VA+는/ETM
안양을	안양/NNP+을/JKO
만들어	만들/VV+어/EC
달라는	달/VX+라는/ETM
뜻에서	뜻/NNG+에서/JKB
저를	저/NP+를/JKO
재선시켜	재선/NNG+시키/XSV+어/EC
주신	주/VX+시/EP+ㄴ/ETM
것으로	것/NNB+으로/JKB
생각한다”며	생각/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
“시민들이	“/SS+시민/NNG+들/XSN+이/JKS
행복하고	행복/NNG+하/XSA+고/EC
안전하게	안전/NNG+하/XSA+게/EC
살	살/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
만들겠다”고	만들/VV+겠/EP+다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


