# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.115
metadata : {}


# id : NWRW1800000028.115.1.1
주가 오르는데 펀드 ‘썰물’

주가	주가/NNG
가까운	가깝/VA+ㄴ/ETM
외국인들의	외국인/NNG+들/XSN+의/JKG
매도물량을	매도/NNG+물량/NNG+을/JKO
소화했는데,	소화/NNG+하/XSV+았/EP+는데/EC+,/SP
지금은	지금/NNG+은/JX
환매로	환매/NNG+로/JKB
나온	나오/VV+ㄴ/ETM
물량을	물량/NNG+을/JKO
외국인들이	외국인/NNG+들/XSN+이/JKS
사들이고	사들이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.115.5.3
김학균 대우증권 투자전략팀장은 “적립기간이 끝났더라도 펀드를 오래 유지하면 최소한 은행 금리보다는 유리한 수익을 올릴 수 있다”고 조언했다.

김학균	김학균/NNP
대우증권	대우증권/NNP
투자전략팀장은	투자/NNG+전략/NNG+팀장/NNG+은/JX
“적립기간이	“/SS+적립/NNG+기간/NNG+이/JKS
끝났더라도	끝나/VV+았/EP+더라도/EC
펀드를	펀드/NNG+를/JKO
오래	오래/MAG
유지하면	유지/NNG+하/XSV+면/EC
최소한	최소한/MAG
은행	은행/NNG
금리보다는	금리/NNG+보다/JKB+는/JX
유리한	유리/NNG+하/XSA+ㄴ/ETM
수익을	수익/NNG+을/JKO
올릴	올리/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
조언했다.	조언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.115.6.1
이날 자산운용사 사장들은 긴급 대책회의를 열어 금융투자협회에 주식형펀드 환매 특별대책반을 설치해 운영하기로 결의했다.

이날	이날/NNG
자산운용사	자산/NNG+운용사/NNG
사장들은	사장/NNG+들/XSN+은/JX
긴급	긴급/NNG
대책회의를	대책/NNG+회의/NNG+를/JKO
열어	열/VV+어/EC
금융투자협회에	금융투자협회/NNP+에/JKB
주식형펀드	주식/NNG+형/XSN+펀드/NNG
환매	환매/NNG
특별대책반을	특별/NNG+대책반/NNG+을/JKO
설치해	설치/NNG+하/XSV+아/EC
운영하기로	운영/NNG+하/XSV+기/ETN+로/JKB
결의했다.	결의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.115.6.2
이들은 환매 모니터링을 강화하고 타개책을 마련해 정책당국에 건의할 계획이다.

이들은	이/NP+들/XSN+은/JX
환매	환매/NNG
모니터링을	모니터링/NNG+을/JKO
강화하고	강화/NNG+하/XSV+고/EC
타개책을	타개책/NNG+을/JKO
마련해	마련/NNG+하/XSV+아/EC
정책당국에	정책/NNG+당국/NNG+에/JKB
건의할	건의/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


