# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.398
metadata : {}


# id : NWRW1800000053.398.1.1
“치매센터 다닌 엄마, 몰라보게 좋아져”

“치매센터	“/SS+치매/NNG+센터/NNG


# id : NWRW1800000053.398.4.2
하지만 두 아이를 챙기며 치매를 앓는 어머니까지 돌보는 삶에는 자기최면도 소용없었다.

하지만	하지만/MAJ
두	두/MMN
아이를	아이/NNG+를/JKO
챙기며	챙기/VV+며/EC
치매를	치매/NNG+를/JKO
앓는	앓/VV+는/ETM
어머니까지	어머니/NNG+까지/JX
돌보는	돌보/VV+는/ETM
삶에는	삶/NNG+에/JKB+는/JX
자기최면도	자기/NNG+최면/NNG+도/JX
소용없었다.	소용없/VA+었/EP+다/EF+./SF


# id : NWRW1800000053.398.4.3
“치매 없이 먼저 가신 아버지가 고맙다는 생각이 문득 들었을 때, 안 되겠다 싶었어요.”

“치매	“/SS+치매/NNG
없이	없이/MAG
먼저	먼저/MAG
가신	가/VV+시/EP+ㄴ/ETM
아버지가	아버지/NNG+가/JKS
고맙다는	고맙/VA+다는/ETM
생각이	생각/NNG+이/JKS
문득	문득/MAG
들었을	들/VV+었/EP+을/ETM
때,	때/NNG+,/SP
안	안/MAG
되겠다	되/VV+겠/EP+다/EF
싶었어요.”	싶/VX+었/EP+어요/EF+./SF+”/SS


# id : NWRW1800000053.398.5.1
이 씨는 1년 전 집 근처 ‘치매 전용 데이케어센터’에 엄마를 맡겼다.

이	이/NNP
씨는	씨/NNB+는/JX
1년	1/SN+년/NNB
전	전/NNG
집	집/NNG
근처	근처/NNG
‘치매	‘/SS+치매/NNG
전용	전용/NNG
데이케어센터’에	데이케어센터/NNG+’/SS+에/JKB
엄마를	엄마/NNG+를/JKO
맡겼다.	맡기/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.398.5.2
오전 8시 센터에 갔다가 오후 8시에 돌아온다.

오전	오전/NNG
8시	8/SN+시/NNB
센터에	센터/NNG+에/JKB
갔다가	가/VV+았/EP+다가/EC
오후	오후/NNG
8시에	8/SN+시/NNB+에/JKB
돌아온다.	돌아오/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.398.5.3
그는 “처음에는 엄마를 시설에 맡기는 게 불효 같았다”면서도 “치매 진행 속도가 훨씬 더뎌지는 걸 보고서야 잘했다고 생각했다”고 말했다.

그는	그/NP+는/JX
“처음에는	“/SS+처음/NNG+에/JKB+는/JX
엄마를	엄마/NNG+를/JKO
시설에	시설/NNG+에/JKB
맡기는	맡기/VV+는/ETM
게	거/NNB+이/JKS
불효	불효/NNG
같았다”면서도	같/VA+았/EP+다/EF+”/SS+면서/EC+도/JX
“치매	“/SS+치매/NNG
진행	진행/NNG
속도가	속도/NNG+가/JKS
훨씬	훨씬/MAG
더뎌지는	더디/VA+어/EC+지/VX+는/ETM
걸	거/NNB+ㄹ/JKO
보고서야	보/VV+고서/EC+야/JX
잘했다고	잘/MAG+하/XSV+았/EP+다고/EC
생각했다”고	생각/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.398.6.1
○ 평온한 풍경 속 긴장

○	○/SW
평온한	평온/NNG+하/XSA+ㄴ/ETM
풍경	풍경/NNG
속	속/NNG
긴장	긴장/NNG


# id : NWRW1800000053.398.7.1
“왼손으로 동그라미 세 번, 오른손은 옆 사람에게 쭉!”

“왼손으로	“/SS+왼손/NNG+으로/JKB
동그라미	동그라미/NNG
세	세/MMN
번,	번/NNB+,/SP
오른손은	오른손/NNG+은/JX
옆	옆/NNG
사람에게	사람/NNG+에게/JKB
쭉!”	쭉/MAG+!/SF+”/SS


# id : NWRW1800000053.398.8.1
‘치매 극복의 날’(21일)을 이틀 앞둔 19일 서울 마포구 창전데이케어센터.

‘치매	‘/SS+치매/NNG
극복의	극복/NNG+의/JKG
날’(21일)을	날/NNG+’/SS+(/SS+21/SN+일/NNB+)/SS+을/JKO
이틀	이틀/NNG
앞둔	앞두/VV+ㄴ/ETM
19일	19/SN+일/NNB
서울	서울/NNP
마포구	마포구/NNP
창전데이케어센터.	창전/NNP+데이케어센터/NNG+./SF


# id : NWRW1800000053.398.8.2
동작치료강사 이윤지예 씨가 팔을 크게 휘저었다.

동작치료강사	동작/NNG+치료/NNG+강사/NNG
이윤지예	이윤지예/NNP
씨가	씨/NNB+가/JKS
팔을	팔/NNG+을/JKO
크게	크/VA+게/EC
휘저었다.	휘젓/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.398.8.3
따라 하는 노인 열댓 명의 움직임은 뻣뻣하고 어색하다.

따라	따르/VV+아/EC
하는	하/VX+는/ETM
노인	노인/NNG
열댓	열댓/NR
명의	명/NNB+의/JKG
움직임은	움직임/NNG+은/JX
뻣뻣하고	뻣뻣하/VA+고/EC
어색하다.	어색하/VA+다/EF+./SF


# id : NWRW1800000053.398.8.4
파킨슨병을 앓고 있는 할머니는 전혀 다른 동작을 끊임없이 반복한다.

파킨슨병을	파킨슨병/NNG+을/JKO
앓고	앓/VV+고/EC
있는	있/VX+는/ETM
할머니는	할머니/NNG+는/JX
전혀	전혀/MAG
다른	다른/MMD
동작을	동작/NNG+을/JKO
끊임없이	끊임없이/MAG
반복한다.	반복/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.398.8.5
할아버지는 흐리멍덩한 눈빛으로 쳐다만 보고 있다.

할아버지는	할아버지/NNG+는/JX
흐리멍덩한	흐리멍덩하/VA+ㄴ/ETM
눈빛으로	눈빛/NNG+으로/JKB
쳐다만	치/VV+어다/EC+만/JX
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.398.8.6
그는 치매 3등급 환자다.

그는	그/NP+는/JX
치매	치매/NNG
3등급	3/SN+등급/NNG
환자다.	환자/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.398.9.1
동작치료는 특정 동작을 따라 하도록 유도해 치매 환자의 기억력과 신체능력 유지를 돕는다.

동작치료는	동작/NNG+치료/NNG+는/JX
특정	특정/NNG
동작을	동작/NNG+을/JKO
따라	따르/VV+아/EC
하도록	하/VV+도록/EC
유도해	유도/NNG+하/XSV+아/EC
치매	치매/NNG
환자의	환자/NNG+의/JKG
기억력과	기억력/NNG+과/JC
신체능력	신체/NNG+능력/NNG
유지를	유지/NNG+를/JKO
돕는다.	돕/VV+는다/EF+./SF


# id : NWRW1800000053.398.9.2
이 씨는 “치매 환자들은 방향을 헷갈리거나 여러 동작을 연속으로 시키면 기억해 내지 못하는 경우가 많다”며 “반면 일부 중증 환자를 제외하면 대부분 의사소통에는 큰 문제가 없어 치료 효율성이 높다”고 말했다.

이	이/NNP
씨는	씨/NNB+는/JX
“치매	“/SS+치매/NNG
환자들은	환자/NNG+들/XSN+은/JX
방향을	방향/NNG+을/JKO
헷갈리거나	헷갈리/VV+거나/EC
여러	여러/MMN
동작을	동작/NNG+을/JKO
연속으로	연속/NNG+으로/JKB
시키면	시키/VV+면/EC
기억해	기억/NNG+하/XSV+아/EC
내지	내/VX+지/EC
못하는	못하/VX+는/ETM
경우가	경우/NNG+가/JKS
많다”며	많/VA+다/EF+”/SS+며/EC
“반면	“/SS+반면/NNG
일부	일부/NNG
중증	중증/NNG
환자를	환자/NNG+를/JKO
제외하면	제외/NNG+하/XSV+면/EC
대부분	대/XPN+부분/NNG
의사소통에는	의사소통/NNG+에/JKB+는/JX
큰	크/VA+ㄴ/ETM
문제가	문제/NNG+가/JKS
없어	없/VA+어/EC
치료	치료/NNG
효율성이	효율/NNG+성/XSN+이/JKS
높다”고	높/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.398.10.1
센터 내부는 화사한 벽지와 밝은 조명, 잔잔하게 흐르는 음악으로 평온한 분위기를 자아내지만 이곳 직원들은 한시도 긴장을 풀 수 없다.

센터	센터/NNG
내부는	내부/NNG+는/JX
화사한	화사하/VA+ㄴ/ETM
벽지와	벽지/NNG+와/JC
밝은	밝/VA+은/ETM
조명,	조명/NNG+,/SP
잔잔하게	잔잔하/VA+게/EC
흐르는	흐르/VV+는/ETM
음악으로	음악/NNG+으로/JKB
평온한	평온/NNG+하/XSA+ㄴ/ETM
분위기를	분위기/NNG+를/JKO
자아내지만	자아내/VV+지만/EC
이곳	이곳/NP
직원들은	직원/NNG+들/XSN+은/JX
한시도	한시/NNG+도/JX
긴장을	긴장/NNG+을/JKO
풀	풀/VV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000053.398.10.2
치매 환자는 떨어지는 인지능력 자체도 문제지만 이로 인한 사고가 더 위험하다.

치매	치매/NNG
환자는	환자/NNG+는/JX
떨어지는	떨어지/VV+는/ETM
인지능력	인지/NNG+능력/NNG
자체도	자체/NNG+도/JX
문제지만	문제/NNG+이/VCP+지만/EC
이로	이/NP+로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
사고가	사고/NNG+가/JKS
더	더/MAG
위험하다.	위험/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000053.398.10.3
사회복지사 서선미 씨는 “낙상은 물론이고 이물질을 삼키거나 물 마시는 걸 잊어 탈수 현상이 나타나기도 한다”고 말했다.

사회복지사	사회/NNG+복지사/NNG
서선미	서선미/NNP
씨는	씨/NNB+는/JX
“낙상은	“/SS+낙상/NNG+은/JX
물론이고	물론/NNG+이/VCP+고/EC
이물질을	이물질/NNG+을/JKO
삼키거나	삼키/VV+거나/EC
물	물/NNG
마시는	마시/VV+는/ETM
걸	거/NNB+ㄹ/JKO
잊어	잊/VV+어/EC
탈수	탈수/NNG
현상이	현상/NNG+이/JKS
나타나기도	나타나/VV+기/ETN+도/JX
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.398.11.1
○ “치매 환자는 꼭 전문가에게”

○	○/SW
“치매	“/SS+치매/NNG
환자는	환자/NNG+는/JX
꼭	꼭/MAG
전문가에게”	전문가/NNG+에게/JKB+”/SS


# id : NWRW1800000053.398.12.1
창전데이케어센터는 2015년 8월 서울시가 ‘서울형 치매 전용 데이케어센터’ 시범사업을 시작하면서 서울의 첫 치매 전용 주야간 보호시설이 됐다.

창전데이케어센터는	창전/NNP+데이케어센터/NNG+는/JX
2015년	2015/SN+년/NNB
8월	8/SN+월/NNB
서울시가	서울시/NNP+가/JKS
‘서울형	‘/SS+서울/NNP+형/XSN
치매	치매/NNG
전용	전용/NNG
데이케어센터’	데이케어센터/NNG+’/SS
시범사업을	시범/NNG+사업/NNG+을/JKO
시작하면서	시작/NNG+하/XSV+면서/EC
서울의	서울/NNP+의/JKG
첫	첫/MMN
주야간	주야간/NNG
보호시설이	보호/NNG+시설/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.398.12.2
센터에 등록한 25명 중 3등급 치매 환자가 4명, 4등급 8명, 5등급 12명 등 1명을 제외한 모두가 치매 환자다.

센터에	센터/NNG+에/JKB
등록한	등록/NNG+하/XSV+ㄴ/ETM
25명	25/SN+명/NNB
중	중/NNB
3등급	3/SN+등급/NNG
치매	치매/NNG
환자가	환자/NNG+가/JKS
4명,	4/SN+명/NNB+,/SP
4등급	4/SN+등급/NNG
8명,	8/SN+명/NNB+,/SP
5등급	5/SN+등급/NNG
12명	12/SN+명/NNB
등	등/NNB
1명을	1/SN+명/NNB+을/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
모두가	모두/NNG+가/JKS
환자다.	환자/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.398.13.1
치매 전용 데이케어센터는 서울 시내에 10곳이 있다.

치매	치매/NNG
전용	전용/NNG
데이케어센터는	데이케어센터/NNG+는/JX
서울	서울/NNP
시내에	시내/NNG+에/JKB
10곳이	10/SN+곳/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000053.398.13.2
일반 데이케어센터와 달리 치매 환자에게 특화된 프로그램으로 하루가 채워진다.

일반	일반/NNG
데이케어센터와	데이케어센터/NNG+와/JKB
달리	달리/MAG
치매	치매/NNG
환자에게	환자/NNG+에게/JKB
특화된	특화/NNG+되/XSV+ㄴ/ETM
프로그램으로	프로그램/NNG+으로/JKB
하루가	하루/NNG+가/JKS
채워진다.	채우/VV+어/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000053.398.13.3
동작치료 말고도 각종 도구를 이용해 만들기나 그리기, 간단한 규칙이 있는 게임 등을 하며 인지기능을 회복시키는 작업치료, 옥상 텃밭 가꾸기를 통해 정서적, 사회적으로 일상생활에서 쓰던 능력을 유지시키는 원예치료 등이 있다.

동작치료	동작/NNG+치료/NNG
말고도	말/VV+고/EC+도/JX
각종	각종/NNG
도구를	도구/NNG+를/JKO
이용해	이용/NNG+하/XSV+아/EC
만들기나	만들/VV+기/ETN+나/JX
그리기,	그리/VV+기/ETN+,/SP
간단한	간단하/VA+ㄴ/ETM
규칙이	규칙/NNG+이/JKS
있는	있/VA+는/ETM
게임	게임/NNG
등을	등/NNB+을/JKO
하며	하/VV+며/EC
인지기능을	인지/NNG+기능/NNG+을/JKO
회복시키는	회복/NNG+시키/XSV+는/ETM
작업치료,	작업/NNG+치료/NNG+,/SP
옥상	옥상/NNG
텃밭	텃밭/NNG
가꾸기를	가꾸/VV+기/ETN+를/JKO
통해	통하/VV+아/EC
정서적,	정서/NNG+적/XSN+,/SP
사회적으로	사회/NNG+적/XSN+으로/JKB
일상생활에서	일상생활/NNG+에서/JKB
쓰던	쓰/VV+던/ETM
능력을	능력/NNG+을/JKO
유지시키는	유지/NNG+시키/XSV+는/ETM
원예치료	원예/NNG+치료/NNG
등이	등/NNB+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000053.398.14.1
이 같은 치료활동은 시간이 지날수록 증세가 악화하는 치매 환자의 일상생활 능력을 유지시키거나 높이기도 한다.

이	이/NP
같은	같/VA+은/ETM
치료활동은	치료/NNG+활동/NNG+은/JX
시간이	시간/NNG+이/JKS
지날수록	지나/VV+ㄹ수록/EC
증세가	증세/NNG+가/JKS
악화하는	악화/NNG+하/XSV+는/ETM
치매	치매/NNG
환자의	환자/NNG+의/JKG
일상생활	일상생활/NNG
능력을	능력/NNG+을/JKO
유지시키거나	유지/NNG+시키/XSV+거나/EC
높이기도	높이/VV+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000053.398.14.2
창전데이케어센터는 지난해 5월 1일부터 12월 31일까지 창전데이케어센터를 다니며 치료 프로그램을 경험한 환자 20명의 보호자를 설문조사했다.

창전데이케어센터는	창전/NNP+데이케어센터/NNG+는/JX
지난해	지난해/NNG
5월	5/SN+월/NNB
1일부터	1/SN+일/NNB+부터/JX
12월	12/SN+월/NNB
31일까지	31/SN+일/NNB+까지/JX
창전데이케어센터를	창전/NNP+데이케어센터/NNG+를/JKO
다니며	다니/VV+며/EC
치료	치료/NNG
프로그램을	프로그램/NNG+을/JKO
경험한	경험/NNG+하/XSV+ㄴ/ETM
환자	환자/NNG
20명의	20/SN+명/NNB+의/JKG
보호자를	보호자/NNG+를/JKO
설문조사했다.	설문/NNG+조사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.398.14.3
식사, 목욕, 대소변 가리기나 물건 사기, 교통수단 이용 등 이들 치매 환자의 일상생활 능력이 ‘치료를 받기 전보다 좋아지거나 유지됐다’는 응답이 절반을 넘었다.

식사,	식사/NNG+,/SP
목욕,	목욕/NNG+,/SP
대소변	대소변/NNG
가리기나	가리/VV+기/ETN+나/JC
물건	물건/NNG
사기,	사/VV+기/ETN+,/SP
교통수단	교통수단/NNG
이용	이용/NNG
등	등/NNB
이들	이/NP+들/XSN
치매	치매/NNG
환자의	환자/NNG+의/JKG
일상생활	일상생활/NNG
능력이	능력/NNG+이/JKS
‘치료를	‘/SS+치료/NNG+를/JKO
받기	받/VV+기/ETN
전보다	전/NNG+보다/JKB
좋아지거나	좋/VA+아/EC+지/VX+거나/EC
유지됐다’는	유지/NNG+되/XSV+었/EP+다/EF+’/SS+는/ETM
응답이	응답/NNG+이/JKS
절반을	절반/NNG+을/JKO
넘었다.	넘/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.398.14.4
차정철 센터장은 “모집단이 작긴 하지만 특화 프로그램이 효과가 있다는 점은 분명히 보여준다”며 “그만큼 보호자의 부양 부담도 줄었다”고 말했다.

차정철	차정철/NNP
센터장은	센터장/NNG+은/JX
“모집단이	“/SS+모집단/NNG+이/JKS
작긴	작/VA+기/ETN+ㄴ/JX
하지만	하/VX+지만/EC
특화	특화/NNG
프로그램이	프로그램/NNG+이/JKS
효과가	효과/NNG+가/JKS
있다는	있/VA+다는/ETM
점은	점/NNG+은/JX
분명히	분명히/MAG
보여준다”며	보이/VV+어/EC+주/VX+ㄴ다/EF+”/SS+며/EC
“그만큼	“/SS+그만큼/MAG
보호자의	보호자/NNG+의/JKG
부양	부양/NNG
부담도	부담/NNG+도/JX
줄었다”고	줄/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


