# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.241
metadata : {}


# id : NWRW1800000036.241.1.1
대구공고, 전두환·노태우 자료실 폐쇄

대구공고,	대구공고/NNP+,/SP
빚은	빚/VV+은/ETM
육군사관학교는	육군사관학교/NNP+는/JX
누리집	누리집/NNG
자유게시판에서	자유/NNG+게시판/NNG+에서/JKB
관련	관련/NNG
글을	글/NNG+을/JKO
모두	모두/MAG
삭제해	삭제/NNG+하/XSV+아/EC
치부를	치부/NNG+를/JKO
감추려는	감추/VV+려는/ETM
꼼수라는	꼼수/NNG+이/VCP+라는/ETM
비판이	비판/NNG+이/JKS
일고	일/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.241.5.1
대구공고 총동창회는 이날 “자료실이 학생들의 교육 취지에 맞지 않는다고 판단해 총동창회 이사회를 열어 폐쇄를 결정했다”며 “지난달 30일 대구공고 안 역사관 건물 5층에 들어선 330㎡ 크기의 전두환 자료실은 폐쇄했고, 4층 건물에 있는 50여㎡의 노태우 자료관도 문을 닫아놨다”고 밝혔다.

대구공고	대구공고/NNP
총동창회는	총동창회/NNG+는/JX
이날	이날/NNG
“자료실이	“/SS+자료실/NNG+이/JKS
학생들의	학생/NNG+들/XSN+의/JKG
교육	교육/NNG
취지에	취지/NNG+에/JKB
맞지	맞/VV+지/EC
않는다고	않/VX+는다고/EC
판단해	판단/NNG+하/XSV+아/EC
총동창회	총동창회/NNG
이사회를	이사회/NNG+를/JKO
열어	열/VV+어/EC
폐쇄를	폐쇄/NNG+를/JKO
결정했다”며	결정/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“지난달	“/SS+지난달/NNG
30일	30/SN+일/NNB
안	안/NNG
역사관	역사관/NNG
건물	건물/NNG
5층에	5/SN+층/NNG+에/JKB
들어선	들어서/VV+ㄴ/ETM
330㎡	330/SN+㎡/SW
크기의	크기/NNG+의/JKG
전두환	전두환/NNP
자료실은	자료실/NNG+은/JX
폐쇄했고,	폐쇄/NNG+하/XSV+았/EP+고/EC+,/SP
4층	4/SN+층/NNG
건물에	건물/NNG+에/JKB
있는	있/VA+는/ETM
50여㎡의	50/SN+여/XSN+㎡/SW+의/JKG
노태우	노태우/NNP
자료관도	자료관/NNG+도/JX
문을	문/NNG+을/JKO
닫아놨다”고	닫/VV+아/EC+놓/VX+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.241.5.2
김진해 총동창회장은 “자료실 내용을 크게 수정해서 학교 역사를 중심으로 한 대구공고 역사관으로 다시 꾸밀 생각”이라며 “3~6개월 뒤 다시 문을 여는 방안을 학교와 논의하겠다”고 말했다.

김진해	김진해/NNP
총동창회장은	총동창회장/NNG+은/JX
“자료실	“/SS+자료실/NNG
내용을	내용/NNG+을/JKO
크게	크/VA+게/EC
수정해서	수정/NNG+하/XSV+아서/EC
학교	학교/NNG
역사를	역사/NNG+를/JKO
중심으로	중심/NNG+으로/JKB
한	하/VV+ㄴ/ETM
대구공고	대구공고/NNP
역사관으로	역사관/NNG+으로/JKB
다시	다시/MAG
꾸밀	꾸미/VV+ㄹ/ETM
생각”이라며	생각/NNG+”/SS+이/VCP+라며/EC
“3~6개월	“/SS+3/SN+~/SO+6/SN+개월/NNB
뒤	뒤/NNG
문을	문/NNG+을/JKO
여는	열/VV+는/ETM
방안을	방안/NNG+을/JKO
학교와	학교/NNG+와/JC
논의하겠다”고	논의/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.241.5.3
그러나 새로 꾸밀 대구공고 역사관에 두 전직 대통령의 자료를 포함시킬지 여부는 밝히지 않았다.

그러나	그러나/MAJ
새로	새로/MAG
꾸밀	꾸미/VV+ㄹ/ETM
대구공고	대구공고/NNP
역사관에	역사관/NNG+에/JKB
두	두/MMN
전직	전직/NNG
대통령의	대통령/NNG+의/JKG
자료를	자료/NNG+를/JKO
포함시킬지	포함/NNG+시키/XSV+ㄹ지/EF
여부는	여부/NNG+는/JX
밝히지	밝히/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000036.241.6.1
한편 육군사관학교는 학교 누리집 자유게시판에 올라 있는 전두환 전 대통령의 사열 관련 글을 모두 삭제한 것으로 27일 확인됐다.

한편	한편/MAG
육군사관학교는	육군사관학교/NNP+는/JX
학교	학교/NNG
누리집	누리집/NNG
자유게시판에	자유/NNG+게시판/NNG+에/JKB
올라	오르/VV+아/EC
있는	있/VX+는/ETM
전두환	전두환/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
사열	사열/NNG
관련	관련/NNG
글을	글/NNG+을/JKO
모두	모두/MAG
삭제한	삭제/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
27일	27/SN+일/NNB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000036.241.6.2
육사는 지난 6월10일 ‘사열 논란’ 직후에도 누리집을 폐쇄해 ‘국민의 쓴소리는 절대 안 듣겠다는 건가’라는 비판을 받았다.

육사는	육사/NNP+는/JX
지난	지나/VV+ㄴ/ETM
6월10일	6/SN+월/NNB+10/SN+일/NNB
‘사열	‘/SS+사열/NNG
논란’	논란/NNG+’/SS
직후에도	직후/NNG+에/JKB+도/JX
누리집을	누리집/NNG+을/JKO
폐쇄해	폐쇄/NNG+하/XSV+아/EC
‘국민의	‘/SS+국민/NNG+의/JKG
쓴소리는	쓴소리/NNG+는/JX
절대	절대/MAG
안	안/MAG
듣겠다는	듣/VV+겠/EP+다는/ETM
건가’라는	거/NNB+이/VCP+ㄴ가/EF+’/SS+이/VCP+라는/ETM
비판을	비판/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.241.6.3
육사는 이튿날 자유게시판을 다시 열었지만, 누리꾼들의 비판 글은 멈추지 않았다.

육사는	육사/NNP+는/JX
이튿날	이튿날/NNG
자유게시판을	자유/NNG+게시판/NNG+을/JKO
다시	다시/MAG
열었지만,	열/VV+었/EP+지만/EC+,/SP
누리꾼들의	누리/NNG+꾼/XSN+들/XSN+의/JKG
비판	비판/NNG
글은	글/NNG+은/JX
멈추지	멈추/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000036.241.6.4
결국 육사는 전두환 전 대통령의 사열에 관한 글을 모두 삭제했고 “욕설, 비방, 광고 내용은 임의로 삭제됩니다”라는 공지를 띄웠다.

결국	결국/MAG
육사는	육사/NNP+는/JX
전두환	전두환/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
사열에	사열/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
글을	글/NNG+을/JKO
모두	모두/MAG
삭제했고	삭제/NNG+하/XSV+았/EP+고/EC
“욕설,	“/SS+욕설/NNG+,/SP
비방,	비방/NNG+,/SP
광고	광고/NNG
내용은	내용/NNG+은/JX
임의로	임의/NNG+로/JKB
삭제됩니다”라는	삭제/NNG+되/XSV+ㅂ니다/EF+”/SS+라는/ETM
공지를	공지/NNG+를/JKO
띄웠다.	띄우/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.241.6.5
육사 관계자는 “6월22일 광고성 게시물 6건을 포함해 문제의 글 105건을 일괄 삭제했다”며 “단 한 건도 욕설과 명예훼손을 하지 않은 글이 없어 지울 수밖에 없었다”고 해명했다.

육사	육사/NNP
관계자는	관계자/NNG+는/JX
“6월22일	“/SS+6/SN+월/NNB+22/SN+일/NNB
광고성	광고/NNG+성/XSN
게시물	게시물/NNG
6건을	6/SN+건/NNB+을/JKO
포함해	포함/NNG+하/XSV+아/EC
문제의	문제/NNG+의/JKG
글	글/NNG
105건을	105/SN+건/NNB+을/JKO
일괄	일괄/NNG
삭제했다”며	삭제/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“단	“/SS+단/MMA
한	한/MMN
건도	건/NNB+도/JX
욕설과	욕설/NNG+과/JC
명예훼손을	명예/NNG+훼손/NNG+을/JKO
하지	하/VV+지/EC
않은	않/VX+은/ETM
글이	글/NNG+이/JKS
없어	없/VA+어/EC
지울	지우/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없었다”고	없/VA+었/EP+다/EF+”/SS+고/JKQ
해명했다.	해명/NNG+하/XSV+았/EP+다/EF+./SF


