# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.270
metadata : {}


# id : NWRW1800000036.270.1.1
복지정보개발원 ‘빗나간 재정관리’

복지정보개발원	복지/NNG+정보/NNG+개발원/NNG
기관이다.	기관/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.270.7.1
김 의원이 보건복지정보개발원에서 제출받아 이날 공개한 자료를 보면, 개발원은 지난 5~6월 이 원장이 학회장으로 있는 한국케어매니지먼트학회의 학술대회 지원을 추진했다가 7월25일 갑자기 이를 취소했다.

김	김/NNP
의원이	의원/NNG+이/JKS
보건복지정보개발원에서	보건/NNG+복지/NNG+정보/NNG+개발원/NNG+에서/JKB
제출받아	제출/NNG+받/XSV+아/EC
이날	이날/NNG
공개한	공개/NNG+하/XSV+ㄴ/ETM
자료를	자료/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
개발원은	개발원/NNG+은/JX
지난	지나/VV+ㄴ/ETM
5~6월	5/SN+~/SO+6/SN+월/NNB
이	이/NNP
원장이	원장/NNG+이/JKS
학회장으로	학회장/NNG+으로/JKB
있는	있/VA+는/ETM
한국케어매니지먼트학회의	한국케어매니지먼트학회/NNP+의/JKG
학술대회	학술/NNG+대회/NNG
지원을	지원/NNG+을/JKO
추진했다가	추진/NNG+하/XSV+았/EP+다가/EC
7월25일	7/SN+월/NNB+25/SN+일/NNB
갑자기	갑자기/MAG
이를	이/NP+를/JKO
취소했다.	취소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.270.7.2
김 의원은 “특별감사에서 지적된 2011년 부당 지원 내용이 7월24일 일부 언론에 보도되자, 다음날 부랴부랴 재정지원을 취소한 것으로 보인다”고 주장했다.

김	김/NNP
의원은	의원/NNG+은/JX
“특별감사에서	“/SS+특별/NNG+감사/NNG+에서/JKB
지적된	지적/NNG+되/XSV+ㄴ/ETM
2011년	2011/SN+년/NNB
부당	부당/NNG
지원	지원/NNG
내용이	내용/NNG+이/JKS
7월24일	7/SN+월/NNB+24/SN+일/NNB
일부	일부/NNG
언론에	언론/NNG+에/JKB
보도되자,	보도/NNG+되/XSV+자/EC+,/SP
다음날	다음날/NNG
부랴부랴	부랴부랴/MAG
재정지원을	재정/NNG+지원/NNG+을/JKO
취소한	취소/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다”고	보이/VV+ㄴ다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.270.7.3
현재 이 원장은 학회장을 사임한 상태다.

현재	현재/MAG
이	이/NNP
원장은	원장/NNG+은/JX
학회장을	학회장/NNG+을/JKO
사임한	사임/NNG+하/XSV+ㄴ/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.270.8.1
보건복지정보개발원은 복지부 특별감사에서 이 학회의 2011년 춘·추계 학술대회에 재정지원과 함께 직원 50명을 참석하도록 동원한 사실이 적발돼 논란이 됐다.

보건복지정보개발원은	보건/NNG+복지/NNG+정보/NNG+개발원/NNG+은/JX
복지부	복지부/NNG
특별감사에서	특별/NNG+감사/NNG+에서/JKB
이	이/MMD
학회의	학회/NNG+의/JKG
2011년	2011/SN+년/NNB
춘·추계	춘·추계/NNG
학술대회에	학술/NNG+대회/NNG+에/JKB
재정지원과	재정/NNG+지원/NNG+과/JKB
함께	함께/MAG
직원	직원/NNG
50명을	50/SN+명/NNB+을/JKO
참석하도록	참석/NNG+하/XSV+도록/EC
동원한	동원/NNG+하/XSV+ㄴ/ETM
사실이	사실/NNG+이/JKS
적발돼	적발/NNG+되/XSV+어/EC
논란이	논란/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.270.8.2
또 일부 간부들이 직원들에게서 1580만원을 모아 이 중 1220만5000원을 확인되지 않는 용도로 사용한 것으로 드러났다.

또	또/MAG
일부	일부/NNG
간부들이	간부/NNG+들/XSN+이/JKS
직원들에게서	직원/NNG+들/XSN+에게서/JKB
1580만원을	1580/SN+만/NR+원/NNB+을/JKO
모아	모으/VV+아/EC
이	이/NP
중	중/NNB
1220만5000원을	1220/SN+만/NR+5000/SN+원/NNB+을/JKO
확인되지	확인/NNG+되/XSV+지/EC
않는	않/VX+는/ETM
용도로	용도/NNG+로/JKB
사용한	사용/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.270.8.3
김현숙 새누리당 의원은 이날 국감에서 “개발원이 수기로 메모한 갹출금 사용내역을 폐기처분해 오해의 소지가 있는 행동을 했다”며 “특별감사 결과는 개발원의 도덕적 해이와 조직 관리의 문제점을 보여준다”고 비판했다.

김현숙	김현숙/NNP
새누리당	새누리당/NNP
의원은	의원/NNG+은/JX
이날	이날/NNG
국감에서	국감/NNG+에서/JKB
“개발원이	“/SS+개발원/NNG+이/JKS
수기로	수기/NNG+로/JKB
메모한	메모/NNG+하/XSV+ㄴ/ETM
갹출금	갹출금/NNG
사용내역을	사용/NNG+내역/NNG+을/JKO
폐기처분해	폐기/NNG+처분/NNG+하/XSV+아/EC
오해의	오해/NNG+의/JKG
소지가	소지/NNG+가/JKS
있는	있/VA+는/ETM
행동을	행동/NNG+을/JKO
했다”며	하/VV+았/EP+다/EF+”/SS+며/EC
“특별감사	“/SS+특별/NNG+감사/NNG
결과는	결과/NNG+는/JX
개발원의	개발원/NNG+의/JKG
도덕적	도덕/NNG+적/XSN
해이와	해이/NNG+와/JC
조직	조직/NNG
관리의	관리/NNG+의/JKG
문제점을	문제점/NNG+을/JKO
보여준다”고	보이/VV+어/EC+주/VX+ㄴ다/EF+”/SS+고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.270.9.1
이 원장은 “케어매니지먼트학회뿐만 아니라 다른 학회에도 200만~300만원 정도씩 지원하고 있다”며 “(복지부 감사는) 투서에 의해 벌어진 일이며, 감사 결과에 따라 행정적으로 마무리하고 있다”고 해명했다.

이	이/NNP
원장은	원장/NNG+은/JX
“케어매니지먼트학회뿐만	“/SS+케어매니지먼트학회/NNP+뿐/JX+만/JX
아니라	아니/VCN+라/EC
다른	다른/MMD
학회에도	학회/NNG+에/JKB+도/JX
200만~300만원	200/SN+만/NR+~/SO+300/SN+만/NR+원/NNB
정도씩	정도/NNG+씩/XSN
지원하고	지원/NNG+하/XSV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“(복지부	“/SS+(/SS+복지부/NNG
감사는)	감사/NNG+는/JX+)/SS
투서에	투서/NNG+에/JKB
의해	의하/VV+아/EC
벌어진	벌어지/VV+ㄴ/ETM
일이며,	일/NNG+이/VCP+며/EC+,/SP
감사	감사/NNG
결과에	결과/NNG+에/JKB
따라	따르/VV+아/EC
행정적으로	행정/NNG+적/XSN+으로/JKB
마무리하고	마무리/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
해명했다.	해명/NNG+하/XSV+았/EP+다/EF+./SF


