# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.268
metadata : {}


# id : NWRW1800000029.268.1.1
프로농구 / 조성민, 흔들고… 로드, 더블 더블

프로농구	프로/NNG+농구/NNG
한	하/VV+ㄴ/ETM
듯	듯/NNB
동부	동부/NNP
강동희	강동희/NNP
감독은	감독/NNG+은/JX
“우리	“/SS+우리/NP
수비의	수비/NNG+의/JKG
타깃은	타깃/NNG+은/JX
조성민이	조성민/NNP+이/JKC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.268.5.2
강 감독은 “많이 줘야 12, 13점이고 잘 막으면 한 자릿수 점수에서 묶을 수 있는 수비를 준비했다”며 ‘질식 수비’의 타깃을 조성민으로 삼았다.

강	강/NNP
감독은	감독/NNG+은/JX
“많이	“/SS+많이/MAG
줘야	주/VV+어야/EC
12,	12/SN+,/SP
13점이고	13/SN+점/NNB+이/VCP+고/EC
잘	잘/MAG
막으면	막/VV+으면/EC
한	한/MMN
자릿수	자릿수/NNG
점수에서	점수/NNG+에서/JKB
묶을	묶/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
수비를	수비/NNG+를/JKO
준비했다”며	준비/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
‘질식	‘/SS+질식/NNG
수비’의	수비/NNG+’/SS+의/JKG
타깃을	타깃/NNG+을/JKO
조성민으로	조성민/NNP+으로/JKB
삼았다.	삼/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.268.6.1
적중한 건 전 감독의 예상이었다.

적중한	적중/NNG+하/XSV+ㄴ/ETM
건	거/NNB+ㄴ/JX
전	전/NNP
감독의	감독/NNG+의/JKG
예상이었다.	예상/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000029.268.6.2
KT가 조성민의 활약을 앞세워 동부를 73-68로 꺾고 첫 판을 따냈다.

KT가	KT/SL+가/JKS
조성민의	조성민/NNP+의/JKG
활약을	활약/NNG+을/JKO
앞세워	앞세우/VV+어/EC
동부를	동부/NNP+를/JKO
73-68로	73/SN+-/SO+68/SN+로/JKB
꺾고	꺾/VV+고/EC
첫	첫/MMN
판을	판/NNB+을/JKO
따냈다.	따/VV+아/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000029.268.6.3
1차전 승리 팀이 챔피언 결정전에 진출할 확률은 78.6%.

1차전	1/SN+차전/NNB
승리	승리/NNG
팀이	팀/NNG+이/JKS
챔피언	챔피언/NNG
결정전에	결정전/NNG+에/JKB
진출할	진출/NNG+하/XSV+ㄹ/ETM
확률은	확률/NNG+은/JX
78.6%.	78/SN+./SP+6/SN+%/SW+./SF


# id : NWRW1800000029.268.6.4
역대 28차례 4강 플레이오프에서 1차전 승리 팀은 챔프전에 22번 올랐다.

역대	역대/NNG
28차례	28/SN+차례/NNG
4강	4/SN+강/NNB
플레이오프에서	플레이오프/NNG+에서/JKB
1차전	1/SN+차전/NNB
승리	승리/NNG
팀은	팀/NNG+은/JX
챔프전에	챔프전/NNG+에/JKB
22번	22/SN+번/NNB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.268.6.5
경기 내내 코트를 휘젓고 다니며 승리를 이끈 조성민은 3점슛 2개를 포함해 19점을 넣고 리바운드 5개, 어시스트 3개, 가로채기 3개를 기록하며 가드로서 보여줄 수 있는 건 다 보여줬다.

경기	경기/NNG
내내	내내/MAG
코트를	코트/NNG+를/JKO
휘젓고	휘젓/VV+고/EC
다니며	다니/VV+며/EC
승리를	승리/NNG+를/JKO
이끈	이끌/VV+ㄴ/ETM
조성민은	조성민/NNP+은/JX
3점슛	3/SN+점/NNB+슛/NNG
2개를	2/SN+개/NNB+를/JKO
포함해	포함/NNG+하/XSV+아/EC
19점을	19/SN+점/NNB+을/JKO
넣고	넣/VV+고/EC
리바운드	리바운드/NNG
5개,	5/SN+개/NNB+,/SP
어시스트	어시스트/NNG
3개,	3/SN+개/NNB+,/SP
가로채기	가로채기/NNG
3개를	3/SN+개/NNB+를/JKO
기록하며	기록/NNG+하/XSV+며/EC
가드로서	가드/NNG+로서/JKB
보여줄	보이/VV+어/EC+주/VX+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
건	거/NNB+ㄴ/JX
다	다/MAG
보여줬다.	보이/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000029.268.7.1
KT 찰스 로드는 양 팀 최다인 24점을 넣고 리바운드 15개를 잡아내는 더블 더블의 활약으로 든든한 버팀목 역할을 했다.

KT	KT/SL
찰스	찰스/NNP
로드는	로드/NNP+는/JX
양	양/MMN
팀	팀/NNG
최다인	최다/NNG+이/VCP+ㄴ/ETM
24점을	24/SN+점/NNB+을/JKO
넣고	넣/VV+고/EC
리바운드	리바운드/NNG
15개를	15/SN+개/NNB+를/JKO
잡아내는	잡아내/VV+는/ETM
더블	더블/NNG
더블의	더블/NNG+의/JKG
활약으로	활약/NNG+으로/JKB
든든한	든든하/VA+ㄴ/ETM
버팀목	버팀목/NNG
역할을	역할/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.268.7.2
로드가 골밑을 장악한 KT는 높이에서 절대 열세라는 평가에도 리바운드에서 27-24로 우위를 보였다.

로드가	로드/NNP+가/JKS
골밑을	골/NNG+밑/NNG+을/JKO
장악한	장악/NNG+하/XSV+ㄴ/ETM
KT는	KT/SL+는/JX
높이에서	높이/NNG+에서/JKB
절대	절대/NNG
열세라는	열세/NNG+이/VCP+라는/ETM
평가에도	평가/NNG+에/JKB+도/JX
리바운드에서	리바운드/NNG+에서/JKB
27-24로	27/SN+-/SO+24/SN+로/JKB
우위를	우위/NNG+를/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.268.7.3
“4강전에서 전자랜드보다는 KT를 만나는 게 더 낫다”고 했던 강 감독은 믿었던 삼각편대 김주성 윤호영 로드 벤슨의 동반 부진으로 기선을 제압당하고 말았다.

“4강전에서	“/SS+4/SN+강전/NNB+에서/JKB
전자랜드보다는	전자랜드/NNP+보다/JKB+는/JX
KT를	KT/SL+를/JKO
만나는	만나/VV+는/ETM
게	거/NNB+이/JKS
더	더/MAG
낫다”고	낫/VA+다/EF+”/SS+고/JKQ
했던	하/VV+았/EP+던/ETM
강	강/NNP
감독은	감독/NNG+은/JX
믿었던	믿/VV+었/EP+던/ETM
삼각편대	삼각/NNG+편대/NNG
김주성	김주성/NNP
윤호영	윤호영/NNP
로드	로드/NNP
벤슨의	벤슨/NNP+의/JKG
동반	동반/NNG
부진으로	부진/NNG+으로/JKB
기선을	기선/NNG+을/JKO
제압당하고	제압/NNG+당하/XSV+고/EC
말았다.	말/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.268.7.4
전 감독이 “20점 정도는 준다고 생각하고 경기를 하겠다”고 말했던 ‘만능 포워드’ 김주성은 10득점 5리바운드에 그쳤고, 전반에 득점이 없었던 윤호영은 4득점에 머물렀다.

전	전/NNP
감독이	감독/NNG+이/JKS
“20점	“/SS+20/SN+점/NNB
정도는	정도/NNG+는/JX
준다고	주/VV+ㄴ다고/EC
생각하고	생각/NNG+하/XSV+고/EC
경기를	경기/NNG+를/JKO
하겠다”고	하/VV+겠/EP+다/EF+”/SS+고/JKQ
말했던	말/NNG+하/XSV+았/EP+던/ETM
‘만능	‘/SS+만능/NNG
포워드’	포워드/NNG+’/SS
김주성은	김주성/NNP+은/JX
10득점	10/SN+득점/NNG
5리바운드에	5/SN+리바운드/NNG+에/JKB
그쳤고,	그치/VV+었/EP+고/EC+,/SP
전반에	전반/NNG+에/JKB
득점이	득점/NNG+이/JKS
없었던	없/VA+었/EP+던/ETM
윤호영은	윤호영/NNP+은/JX
4득점에	4/SN+득점/NNG+에/JKB
머물렀다.	머무르/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.268.7.5
2차전은 6일 같은 장소에서 열린다.

2차전은	2/SN+차전/NNB+은/JX
6일	6/SN+일/NNB
같은	같/VA+은/ETM
장소에서	장소/NNG+에서/JKB
열린다.	열리/VV+ㄴ다/EF+./SF


