# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.181
metadata : {}


# id : NWRW1800000028.181.1.1
1표라도 더…전략지로 몰린 후보들 ‘밑바닥 훑기’

1표라도	1/SN+표/NNG+라도/JX
대표선수로	대표/NNG+선수/NNG+로/JKB
키워달라고	키우/VV+어/EC+달/VX+라고/EC
유권자들에게	유권자/NNG+들/XSN+에게/JKB
호소했다.	호소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.181.3.4
박상돈 자유선진당 후보는 대전에서 이회창 총재와 함께 기자회견을 연 뒤 아산·천안지역 유세에 돌입했으며 자신이 지역 민심을 가장 잘 아는 지역 행정가 출신임을 강조했다.

박상돈	박상돈/NNP
자유선진당	자유선진당/NNP
후보는	후보/NNG+는/JX
대전에서	대전/NNP+에서/JKB
이회창	이회창/NNP
총재와	총재/NNG+와/JKB
함께	함께/MAG
기자회견을	기자/NNG+회견/NNG+을/JKO
연	열/VV+ㄴ/ETM
뒤	뒤/NNG
아산·천안지역	아산/NNP+·/SP+천안지역/NNP
유세에	유세/NNG+에/JKB
돌입했으며	돌입/NNG+하/XSV+았/EP+으며/EC
자신이	자신/NNG+이/JKS
지역	지역/NNG
민심을	민심/NNG+을/JKO
가장	가장/MAG
잘	잘/MAG
아는	알/VV+는/ETM
행정가	행정가/NNG
출신임을	출신/NNG+이/VCP+ㅁ/ETN+을/JKO
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.181.4.1
대전시장 선거에 출마한 박성효 한나라당 후보는 오정·노은시장을 방문해 지역상권 보호조례를 제정하는 내용을 뼈대로 한 소상공인 보호·육성을 위한 10대 정책공약을 발표하고, 동구 낭월동 일대에 중부권 최대 의류유통단지를 조성하겠다며 지지를 호소했다.

대전시장	대전시장/NNG
선거에	선거/NNG+에/JKB
출마한	출마/NNG+하/XSV+ㄴ/ETM
박성효	박성효/NNP
한나라당	한나라당/NNP
후보는	후보/NNG+는/JX
오정·노은시장을	오정/NNP+·/SP+노은시장/NNP+을/JKO
방문해	방문/NNG+하/XSV+아/EC
지역상권	지역/NNG+상권/NNG
보호조례를	보호/NNG+조례/NNG+를/JKO
제정하는	제정/NNG+하/XSV+는/ETM
내용을	내용/NNG+을/JKO
뼈대로	뼈대/NNG+로/JKB
한	하/VV+ㄴ/ETM
소상공인	소/XPN+상공인/NNG
보호·육성을	보호/NNG+·/SP+육성/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
10대	10/SN+대/NNG
정책공약을	정책/NNG+공약/NNG+을/JKO
발표하고,	발표/NNG+하/XSV+고/EC+,/SP
동구	동구/NNP
낭월동	낭월동/NNP
일대에	일대/NNG+에/JKB
중부권	중부/NNG+권/XSN
최대	최대/NNG
의류유통단지를	의류/NNG+유통/NNG+단지/NNG+를/JKO
조성하겠다며	조성/NNG+하/XSV+겠/EP+다며/EC
지지를	지지/NNG+를/JKO
호소했다.	호소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.181.4.2
김원웅 민주당 후보는 중구 은행동 등에서 열린 합동유세에 참석해 새로운 경험과 상상력, 노선을 가진 사람이 시장이 돼야 대전 발전을 이끌 수 있다고 주장했다.

김원웅	김원웅/NNP
민주당	민주당/NNP
후보는	후보/NNG+는/JX
중구	중구/NNP
은행동	은행동/NNP
등에서	등/NNB+에서/JKB
열린	열리/VV+ㄴ/ETM
합동유세에	합동/NNG+유세/NNG+에/JKB
참석해	참석/NNG+하/XSV+아/EC
새로운	새롭/VA+ㄴ/ETM
경험과	경험/NNG+과/JC
상상력,	상상력/NNG+,/SP
노선을	노선/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
사람이	사람/NNG+이/JKS
시장이	시장/NNG+이/JKC
돼야	되/VV+어야/EC
대전	대전/NNP
발전을	발전/NNG+을/JKO
이끌	이끌/VV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.181.4.3
염홍철 자유선진당 후보도 대전 곳곳을 돌며 유세에 나서 사람이 모이는 대전을 만들어 먹고사는 문제를 해결하는 등 추락한 대전 경제를 살리는 시장이 되겠다고 목소리를 높였다.

염홍철	염홍철/NNP
자유선진당	자유선진당/NNP
후보도	후보/NNG+도/JX
대전	대전/NNP
곳곳을	곳곳/NNG+을/JKO
돌며	돌/VV+며/EC
유세에	유세/NNG+에/JKB
나서	나서/VV+어/EC
사람이	사람/NNG+이/JKS
모이는	모이/VV+는/ETM
대전을	대전/NNP+을/JKO
만들어	만들/VV+어/EC
먹고사는	먹고살/VV+는/ETM
문제를	문제/NNG+를/JKO
해결하는	해결/NNG+하/XSV+는/ETM
등	등/NNB
추락한	추락/NNG+하/XSV+ㄴ/ETM
경제를	경제/NNG+를/JKO
살리는	살리/VV+는/ETM
시장이	시장/NNG+이/JKC
되겠다고	되/VV+겠/EP+다고/EC
목소리를	목소리/NNG+를/JKO
높였다.	높이/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.181.4.4
김윤기 진보신당 후보 역시 신탄진 철도정비창, 서구 아파트 단지 등에서 거리 유세를 벌였다.

김윤기	김윤기/NNP
진보신당	진보신당/NNP
후보	후보/NNG
역시	역시/MAG
신탄진	신탄진/NNP
철도정비창,	철도/NNG+정비창/NNG+,/SP
서구	서구/NNP
아파트	아파트/NNG
단지	단지/NNG
등에서	등/NNB+에서/JKB
거리	거리/NNG
유세를	유세/NNG+를/JKO
벌였다.	벌이/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.181.5.1
충북에서는 한나라당 정우택, 민주당 이시종, 진보신당 김백규 도지사 후보가 청주권을 중심으로 마지막 유세전을 벌였다.

충북에서는	충북/NNP+에서/JKB+는/JX
한나라당	한나라당/NNP
정우택,	정우택/NNP+,/SP
민주당	민주당/NNP
이시종,	이시종/NNP+,/SP
진보신당	진보신당/NNP
김백규	김백규/NNP
도지사	도지사/NNG
후보가	후보/NNG+가/JKS
청주권을	청주/NNP+권/XSN+을/JKO
중심으로	중심/NNG+으로/JKB
마지막	마지막/NNG
유세전을	유세전/NNG+을/JKO
벌였다.	벌이/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.181.5.2
정 후보는 오전 청주체육관에서 나들이객 배웅을 시작으로 청원 미원장터와 보은장터를 오가는 200여㎞ 강행군을 하며 일 잘하는 후보를 선택해 달라고 목소리를 높였다.

정	정/NNP
후보는	후보/NNG+는/JX
오전	오전/NNG
청주체육관에서	청주체육관/NNP+에서/JKB
나들이객	나들이객/NNG
배웅을	배웅/NNG+을/JKO
시작으로	시작/NNG+으로/JKB
청원	청원/NNP
미원장터와	미원장터/NNP+와/JC
보은장터를	보은장터/NNP+를/JKO
오가는	오가/VV+는/ETM
200여㎞	200/SN+여/XSN+㎞/SW
강행군을	강행군/NNG+을/JKO
하며	하/VV+며/EC
일	일/NNG
잘하는	잘/MAG+하/XSV+는/ETM
후보를	후보/NNG+를/JKO
선택해	선택/NNG+하/XSV+아/EC
달라고	달/VX+라고/EC
목소리를	목소리/NNG+를/JKO
높였다.	높이/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.181.5.3
이 후보는 새벽 청주육거리시장에서 출발해 하루 종일 유세차량을 타고 청주 전역을 돌며 ‘이번 선거는 세종시 수정안을 심판하는 현 정권 중간평가’라며 바닥 표심을 훑었다.

이	이/NNP
후보는	후보/NNG+는/JX
새벽	새벽/NNG
청주육거리시장에서	청주육거리시장/NNP+에서/JKB
출발해	출발/NNG+하/XSV+아/EC
하루	하루/NNG
종일	종일/NNG
유세차량을	유세/NNG+차량/NNG+을/JKO
타고	타/VV+고/EC
청주	청주/NNP
전역을	전역/NNG+을/JKO
돌며	돌/VV+며/EC
‘이번	‘/SS+이번/NNG
선거는	선거/NNG+는/JX
세종시	세종시/NNP
수정안을	수정안/NNG+을/JKO
심판하는	심판/NNG+하/XSV+는/ETM
현	현/MMD
정권	정권/NNG
중간평가’라며	중간/NNG+평가/NNG+’/SS+이/VCP+라며/EC
바닥	바닥/NNG
표심을	표심/NNG+을/JKO
훑었다.	훑/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.181.6.1
강원도지사 선거에 나선 이계진 한나라당 후보와 이광재 민주당 후보는 각각 원주·춘천, 영동 지역에서 마지막 유세를 벌였다.

강원도지사	강원/NNP+도지사/NNG
선거에	선거/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
이계진	이계진/NNP
한나라당	한나라당/NNP
후보와	후보/NNG+와/JC
이광재	이광재/NNP
민주당	민주당/NNP
후보는	후보/NNG+는/JX
각각	각각/MAG
원주·춘천,	원주/NNP+·/SP+춘천/NNP+,/SP
영동	영동/NNP
지역에서	지역/NNG+에서/JKB
마지막	마지막/NNG
유세를	유세/NNG+를/JKO
벌였다.	벌이/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.181.6.2
이계진 후보는 유권자 비율 1, 2위 지역인 원주와 춘천에서 이광재 후보가 맹추격했다는 판단에서, 이광재 후보는 취약지역인 영동의 지지율 격차를 줄이는 것이 당락을 결정한다고 판단한 것으로 읽힌다.

이계진	이계진/NNP
후보는	후보/NNG+는/JX
유권자	유권자/NNG
비율	비율/NNG
1,	1/SN+,/SP
2위	2/SN+위/NNB
지역인	지역/NNG+이/VCP+ㄴ/ETM
원주와	원주/NNP+와/JC
춘천에서	춘천/NNP+에서/JKB
이광재	이광재/NNP
후보가	후보/NNG+가/JKS
맹추격했다는	맹추격/NNG+하/XSV+았/EP+다는/ETM
판단에서,	판단/NNG+에서/JKB+,/SP
취약지역인	취약/NNG+지역/NNG+이/VCP+ㄴ/ETM
영동의	영동/NNP+의/JKG
지지율	지지/NNG+율/XSN
격차를	격차/NNG+를/JKO
줄이는	줄이/VV+는/ETM
것이	것/NNB+이/JKS
당락을	당락/NNG+을/JKO
결정한다고	결정/NNG+하/XSV+ㄴ다고/EC
판단한	판단/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
읽힌다.	읽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.181.6.3
이계진 후보는 “힘 있는 여당 도지사를 만들어 주시면, 300만 강원도민이 ‘특별한 대접’을 받는 강원특별자치도를 만들겠다”, 이광재 후보는 “우리가 살고 있는 이 강원도에서 소외의 땅, 변방의 시대를 끝내고 싶다”며 “당이 아닌 인물을 선택해 달라”고 강조했다.

이계진	이계진/NNP
후보는	후보/NNG+는/JX
“힘	“/SS+힘/NNG
있는	있/VX+는/ETM
여당	여당/NNG
도지사를	도지사/NNG+를/JKO
만들어	만들/VV+어/EC
주시면,	주/VX+시/EP+면/EC+,/SP
300만	300/SN+만/NR
강원도민이	강원/NNP+도민/NNG+이/JKS
‘특별한	‘/SS+특별/NNG+하/XSA+ㄴ/ETM
대접’을	대접/NNG+’/SS+을/JKO
받는	받/VV+는/ETM
강원특별자치도를	강원특별자치도/NNP+를/JKO
만들겠다”,	만들/VV+겠/EP+다/EF+”/SS+,/SP
이광재	이광재/NNP
“우리가	“/SS+우리/NP+가/JKS
살고	살/VV+고/EC
이	이/MMD
강원도에서	강원도/NNP+에서/JKB
소외의	소외/NNG+의/JKG
땅,	땅/NNG+,/SP
변방의	변방/NNG+의/JKG
시대를	시대/NNG+를/JKO
끝내고	끝내/VV+고/EC
싶다”며	싶/VX+다/EF+”/SS+며/EC
“당이	“/SS+당/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
인물을	인물/NNG+을/JKO
선택해	선택/NNG+하/XSV+아/EC
달라”고	달/VX+라/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


