# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.101
metadata : {}


# id : NWRW1800000024.101.1.1
‘경제 대들보’ 자동차 발판삼아 경기 부양

‘경제	‘/SS+경제/NNG
현영석 한남대 교수(경영학)는 “새 차 구입 때 세금을 70%까지 감면해주는 건 정부로서도 성의를 보이고, 직접지원 논란을 피해 가는 한도에서 최대한 짜낸 지원책으로 보인다”며 “다만 폐차가 전제되지 않아 이산화탄소 절감 의지가 적극적으로 드러나지 않는데 폐차 보조금 지원 같은 후속 대책이나 중고차 수출 활성화 방안 등 보완책이 필요하다”고 말했다.

현영석	현영석/NNP
한남대	한남대/NNP
교수(경영학)는	교수/NNG+(/SS+경영학/NNG+)/SS+는/JX
“새	“/SS+새/MMA
차	차/NNG
구입	구입/NNG
때	때/NNG
세금을	세금/NNG+을/JKO
70%까지	70/SN+%/SW+까지/JX
감면해주는	감면/NNG+하/XSV+아/EC+주/VX+는/ETM
건	거/NNB+ㄴ/JX
정부로서도	정부/NNG+로서/JKB+도/JX
성의를	성의/NNG+를/JKO
보이고,	보이/VV+고/EC+,/SP
직접지원	직접/NNG+지원/NNG
논란을	논란/NNG+을/JKO
피해	피하/VV+아/EC
가는	가/VX+는/ETM
한도에서	한도/NNG+에서/JKB
최대한	최대한/MAG
짜낸	짜내/VV+ㄴ/ETM
지원책으로	지원책/NNG+으로/JKB
보인다”며	보이/VV+ㄴ다/EF+”/SS+며/EC
“다만	“/SS+다만/MAG
폐차가	폐차/NNG+가/JKS
전제되지	전제/NNG+되/XSV+지/EC
않아	않/VX+아/EC
이산화탄소	이산화/NNG+탄소/NNG
절감	절감/NNG
의지가	의지/NNG+가/JKS
적극적으로	적극/NNG+적/XSN+으로/JKB
드러나지	드러나/VV+지/EC
않는데	않/VX+는데/EC
폐차	폐차/NNG
보조금	보조금/NNG
지원	지원/NNG
같은	같/VA+은/ETM
후속	후속/NNG
대책이나	대책/NNG+이나/JC
중고차	중고차/NNG
수출	수출/NNG
활성화	활성/NNG+화/XSN
방안	방안/NNG
등	등/NNB
보완책이	보완책/NNG+이/JKS
필요하다”고	필요/NNG+하/XSA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.101.6.1
할부금융사 유동성 지원과 관련해선, 자동차 소비자금융의 활성화로 이어지려면 사후 감독이 필요하다는 지적도 제기됐다.

할부금융사	할부/NNG+금융사/NNG
유동성	유동/NNG+성/XSN
지원과	지원/NNG+과/JKB
관련해선,	관련/NNG+하/XSV+아서/EC+ㄴ/JX+,/SP
자동차	자동차/NNG
소비자금융의	소비자/NNG+금융/NNG+의/JKG
활성화로	활성/NNG+화/XSN+로/JKB
이어지려면	이어지/VV+려면/EC
사후	사후/NNG
감독이	감독/NNG+이/JKS
필요하다는	필요/NNG+하/XSA+다는/ETM
지적도	지적/NNG+도/JX
제기됐다.	제기/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000024.101.6.2
김필수 대림대 교수(자동차공학과)는 “막상 일선 캐피털사에선 신용 문제로 소비자들이 거절되기 일쑤라 돈을 뿌려도 중간에 멈춰버린다”며 “지원책을 실시하면 일선 소비자에게 얼마나 전달됐는지 철저하게 사후 검증이 되어야 한다”고 말했다.

김필수	김필수/NNP
대림대	대림대/NNP
교수(자동차공학과)는	교수/NNG+(/SS+자동차/NNG+공학과/NNG+)/SS+는/JX
“막상	“/SS+막상/MAG
일선	일선/NNG
캐피털사에선	캐피털사/NNG+에서/JKB+ㄴ/JX
신용	신용/NNG
문제로	문제/NNG+로/JKB
소비자들이	소비자/NNG+들/XSN+이/JKS
거절되기	거절/NNG+되/XSV+기/ETN
일쑤라	일쑤/NNG+이/VCP+라/EC
돈을	돈/NNG+을/JKO
뿌려도	뿌리/VV+어도/EC
중간에	중간/NNG+에/JKB
멈춰버린다”며	멈추/VV+어/EC+버리/VX+ㄴ다/EF+”/SS+며/EC
“지원책을	“/SS+지원책/NNG+을/JKO
실시하면	실시/NNG+하/XSV+면/EC
소비자에게	소비자/NNG+에게/JKB
얼마나	얼마나/MAG
전달됐는지	전달/NNG+되/XSV+었/EP+는지/EC
철저하게	철저/NNG+하/XSA+게/EC
사후	사후/NNG
검증이	검증/NNG+이/JKC
되어야	되/VV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.101.6.3
또 이번 대책의 혜택이 그나마 여유자금이 있어 차를 바꾸려는 이들에게만 돌아가거나 차 업체들이 지원만 받고 자기 부담으로 하던 할인행사를 축소할 가능성에 대한 우려를 제기하는 이도 있다.

또	또/MAG
이번	이번/NNG
대책의	대책/NNG+의/JKG
혜택이	혜택/NNG+이/JKS
그나마	그나마/MAG
여유자금이	여유/NNG+자금/NNG+이/JKS
있어	있/VA+어/EC
차를	차/NNG+를/JKO
바꾸려는	바꾸/VV+려는/ETM
이들에게만	이/NNB+들/XSN+에게/JKB+만/JX
돌아가거나	돌아가/VV+거나/EC
차	차/NNG
업체들이	업체/NNG+들/XSN+이/JKS
지원만	지원/NNG+만/JX
받고	받/VV+고/EC
자기	자기/NNG
부담으로	부담/NNG+으로/JKB
하던	하/VV+던/ETM
할인행사를	할인/NNG+행사/NNG+를/JKO
축소할	축소/NNG+하/XSV+ㄹ/ETM
가능성에	가능/NNG+성/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
우려를	우려/NNG+를/JKO
제기하는	제기/NNG+하/XSV+는/ETM
이도	이/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000024.101.7.1
어쨌든 세금 감면이 본격화하는 5월부터 자동차 내수판매는 크게 활성화할 것으로 보인다.

어쨌든	어쨌든/MAG
세금	세금/NNG
감면이	감면/NNG+이/JKS
본격화하는	본격/NNG+화/XSN+하/XSV+는/ETM
5월부터	5/SN+월/NNB+부터/JX
자동차	자동차/NNG
내수판매는	내수/NNG+판매/NNG+는/JX
크게	크/VA+게/EC
활성화할	활성/NNG+화/XSN+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.101.7.2
지식경제부 관계자는 “감면 대상 차량 550만대 중에 5%만 차를 바꿔도 25만대인데, 한달 신차 판매량이 평균 8만대인 걸 생각하면 상당한 효과”라고 예상했다.

지식경제부	지식/NNG+경제부/NNG
관계자는	관계자/NNG+는/JX
“감면	“/SS+감면/NNG
대상	대상/NNG
차량	차량/NNG
550만대	550/SN+만/NR+대/NNB
중에	중/NNB+에/JKB
5%만	5/SN+%/SW+만/JX
차를	차/NNG+를/JKO
바꿔도	바꾸/VV+어도/EC
25만대인데,	25/SN+만/NR+대/NNB+이/VCP+ㄴ데/EC+,/SP
한달	한/MMN+달/NNB
신차	신차/NNG
판매량이	판매량/NNG+이/JKS
평균	평균/NNG
8만대인	8/SN+만/NR+대/NNB+이/VCP+ㄴ/ETM
걸	거/NNB+ㄹ/JKO
생각하면	생각/NNG+하/XSV+면/EC
상당한	상당/NNG+하/XSA+ㄴ/ETM
효과”라고	효과/NNG+”/SS+라고/JKQ
예상했다.	예상/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.101.7.3
지방세 감소 부분에 대해선 “신차가 판매되고 경기가 살아남으로써 얻는 이득이 더 많다”고 강조했다.

지방세	지방세/NNG
감소	감소/NNG
부분에	부분/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
“신차가	“/SS+신차/NNG+가/JKS
판매되고	판매/NNG+되/XSV+고/EC
경기가	경기/NNG+가/JKS
살아남으로써	살아나/VV+ㅁ/ETN+으로써/JKB
얻는	얻/VV+는/ETM
이득이	이득/NNG+이/JKS
더	더/MAG
많다”고	많/VA+다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.101.8.1
다만 자동차부품산업 지원방안은 당장 효과를 내기 어렵다.

다만	다만/MAG
자동차부품산업	자동차/NNG+부품/NNG+산업/NNG
지원방안은	지원/NNG+방안/NNG+은/JX
당장	당장/NNG
효과를	효과/NNG+를/JKO
내기	내/VV+기/ETN
어렵다.	어렵/VA+다/EF+./SF


# id : NWRW1800000024.101.8.2
부품업계 유동성 지원을 위한 ‘지역상생보증 펀드’나 1조원 규모의 ‘부품소재 인수·합병 펀드’의 경우 펀드 조성에 시간이 걸릴 수밖에 없기 때문이다.

부품업계	부품업/NNG+계/XSN
유동성	유동/NNG+성/XSN
지원을	지원/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
‘지역상생보증	‘/SS+지역/NNG+상생/NNG+보증/NNG
펀드’나	펀드/NNG+’/SS+나/JC
1조원	1/SN+조/NR+원/NNB
규모의	규모/NNG+의/JKG
‘부품소재	‘/SS+부품/NNG+소재/NNG
인수·합병	인수/NNG+·/SP+합병/NNG
펀드’의	펀드/NNG+’/SS+의/JKG
경우	경우/NNG
펀드	펀드/NNG
조성에	조성/NNG+에/JKB
시간이	시간/NNG+이/JKS
걸릴	걸리/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없기	없/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


