# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.260
metadata : {}


# id : NWRW1800000046.260.1.1
[데스크에서] 해외로 '移民' 가는 기업들

[데스크에서]	[/SS+데스크/NNG+에서/JKB+]/SS
이처럼 본사를 해외로 옮기거나 처음부터 해외에 두는 기업이 차츰 늘고 있다.

이처럼	이/NP+처럼/JKB
본사를	본사/NNG+를/JKO
해외로	해외/NNG+로/JKB
옮기거나	옮기/VV+거나/EC
처음부터	처음/NNG+부터/JX
해외에	해외/NNG+에/JKB
두는	두/VV+는/ETM
기업이	기업/NNG+이/JKS
차츰	차츰/MAG
늘고	늘/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.260.3.2
주로 벤처 동네 얘기지만 컨설팅업계에 따르면 대기업에서도 이런 고민을 하는 곳이 있다고 한다.

주로	주로/MAG
벤처	벤처/NNG
동네	동네/NNG
얘기지만	얘기/NNG+이/VCP+지만/EC
컨설팅업계에	컨설팅/NNG+업계/NNG+에/JKB
따르면	따르/VV+면/EC
대기업에서도	대/XPN+기업/NNG+에서/JKB+도/JX
이런	이런/MMD
고민을	고민/NNG+을/JKO
하는	하/VV+는/ETM
곳이	곳/NNG+이/JKS
있다고	있/VA+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.260.3.3
보안 관련 벤처업체 에스이웍스와 기업 취업·정보 사이트 잡플래닛은 미국 샌프란시스코행(行)을 택했고, 온라인 수학 교육업체 노리와 쇼핑업체 티드(TID)는 뉴욕으로 날아갔다.

보안	보안/NNG
관련	관련/NNG
벤처업체	벤처/NNG+업체/NNG
에스이웍스와	에스이웍스/NNP+와/JC
기업	기업/NNG
취업·정보	취업/NNG+·/SP+정보/NNG
사이트	사이트/NNG
잡플래닛은	잡플래닛/NNP+은/JX
미국	미국/NNP
샌프란시스코행(行)을	샌프란시스코행/NNG+(/SS+行/SH+)/SS+을/JKO
택했고,	택하/VV+았/EP+고/EC+,/SP
온라인	온라인/NNG
수학	수학/NNG
교육업체	교육업체/NNG
노리와	노리/NNP+와/JC
쇼핑업체	쇼핑/NNG+업체/NNG
티드(TID)는	티드/NNP+(/SS+TID/SL+)/SS+는/JX
뉴욕으로	뉴욕/NNP+으로/JKB
날아갔다.	날아가/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.260.3.4
직장인 익명 게시판 '블라인드앱'을 만든 팀블라인드는 원래부터 본사 주소가 미국 델라웨어였다.

직장인	직장인/NNG
익명	익명/NNG
게시판	게시판/NNG
'블라인드앱'을	'/SS+블라인드/NNG+앱/NNG+'/SS+을/JKO
만든	만들/VV+ㄴ/ETM
팀블라인드는	팀블라인드/NNP+는/JX
원래부터	원래/NNG+부터/JX
본사	본사/NNG
주소가	주소/NNG+가/JKS
미국	미국/NNP
델라웨어였다.	델라웨어/NNP+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.260.3.5
지난해 부산에서 열렸던 게임 박람회 지스타에서는 룩셈부르크·캐나다·독일 등이 홍보관을 차리고 세금 감면과 연구·개발비 지원 등을 내세워 기업 유치 활동을 벌였다.

지난해	지난해/NNG
부산에서	부산/NNP+에서/JKB
열렸던	열리/VV+었/EP+던/ETM
게임	게임/NNG
박람회	박람회/NNG
지스타에서는	지스타/NNG+에서/JKB+는/JX
룩셈부르크·캐나다·독일	룩셈부르크/NNP+·/SP+캐나다/NNP+·/SP+독일/NNP
등이	등/NNB+이/JKS
홍보관을	홍보관/NNG+을/JKO
차리고	차리/VV+고/EC
세금	세금/NNG
감면과	감면/NNG+과/JC
연구·개발비	연구/NNG+·/SP+개발비/NNG
지원	지원/NNG
등을	등/NNB+을/JKO
내세워	내세우/VV+어/EC
기업	기업/NNG
유치	유치/NNG
활동을	활동/NNG+을/JKO
벌였다.	벌이/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.260.3.6
이후 룩셈부르크로 본사를 옮겼거나 몬트리올로 본사를 옮기기 위해 실사(實査) 작업을 벌이는 국내 업체들이 속속 나오고 있다.

이후	이후/NNG
룩셈부르크로	룩셈부르크/NNP+로/JKB
본사를	본사/NNG+를/JKO
옮겼거나	옮기/VV+었/EP+거나/EC
몬트리올로	몬트리올/NNP+로/JKB
옮기기	옮기/VV+기/ETN
위해	위하/VV+아/EC
실사(實査)	실사/NNG+(/SS+實査/SH+)/SS
작업을	작업/NNG+을/JKO
벌이는	벌이/VV+는/ETM
국내	국내/NNG
업체들이	업체/NNG+들/XSN+이/JKS
속속	속속/MAG
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.260.4.1
이들이 '이민(移民)'을 결심하는 속내는 복잡하다.

이들이	이/NP+들/XSN+이/JKS
'이민(移民)'을	'/SS+이민/NNG+(/SS+移民/SH+)/SS+'/SS+을/JKO
결심하는	결심/NNG+하/XSV+는/ETM
속내는	속내/NNG+는/JX
복잡하다.	복잡하/VA+다/EF+./SF


# id : NWRW1800000046.260.4.2
"해외시장 진출을 위한 교두보" "본사가 해외에 있으면 해외 투자 유치에 유리하다"는 등 수긍할 만한 해명도 있지만 "(국내는) 규제가 심해서" "기업을 경영하는 데 불편한 점이 많아서"라는 착잡한 이유도 있다.

"해외시장	"/SS+해외/NNG+시장/NNG
진출을	진출/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
교두보"	교두보/NNG+"/SS
"본사가	"/SS+본사/NNG+가/JKS
해외에	해외/NNG+에/JKB
있으면	있/VA+으면/EC
해외	해외/NNG
투자	투자/NNG
유치에	유치/NNG+에/JKB
유리하다"는	유리/NNG+하/XSA+다/EF+"/SS+는/ETM
등	등/NNB
수긍할	수긍/NNG+하/XSV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
해명도	해명/NNG+도/JX
있지만	있/VA+지만/EC
"(국내는)	"/SS+(/SS+국내/NNG+는/JX+)/SS
규제가	규제/NNG+가/JKS
심해서"	심하/VA+아서/EC+"/SS
"기업을	"/SS+기업/NNG+을/JKO
경영하는	경영/NNG+하/XSV+는/ETM
데	데/NNB
불편한	불편/NNG+하/XSA+ㄴ/ETM
점이	점/NNG+이/JKS
많아서"라는	많/VA+아서/EC+"/SS+이/VCP+라는/ETM
착잡한	착잡/NNG+하/XSA+ㄴ/ETM
이유도	이유/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.260.5.1
한 게임업체 임원은 "규제가 심한 한국에 비해 외국은 상대적으로 활동이 자유롭고 지원책이 풍부하다"고 말했다.

한	한/MMN
게임업체	게임업체/NNG
임원은	임원/NNG+은/JX
"규제가	"/SS+규제/NNG+가/JKS
심한	심하/VA+ㄴ/ETM
한국에	한국/NNP+에/JKB
비해	비/NNG+하/XSV+아/EC
외국은	외국/NNG+은/JX
상대적으로	상대/NNG+적/XSN+으로/JKB
활동이	활동/NNG+이/JKS
자유롭고	자유/NNG+롭/XSA+고/EC
지원책이	지원책/NNG+이/JKS
풍부하다"고	풍부하/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.260.5.2
본사와 함께 서버를 외국으로 이전하면 각종 규제에서 해방될 수 있다고 한다.

본사와	본사/NNG+와/JKB
함께	함께/MAG
서버를	서버/NNG+를/JKO
외국으로	외국/NNG+으로/JKB
이전하면	이전/NNG+하/XSV+면/EC
각종	각종/NNG
규제에서	규제/NNG+에서/JKB
해방될	해방/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.260.6.1
미국 델라웨어가 본사 소재지로 인기를 끄는 것도 기업에 유리한 법제도와 낮은 세금 등 친(親)기업 정서가 풍부하기 때문이다.

미국	미국/NNP
델라웨어가	델라웨어/NNP+가/JKS
본사	본사/NNG
소재지로	소재지/NNG+로/JKB
인기를	인기/NNG+를/JKO
끄는	끌/VV+는/ETM
것도	것/NNB+도/JX
기업에	기업/NNG+에/JKB
유리한	유리/NNG+하/XSA+ㄴ/ETM
법제도와	법/NNG+제도/NNG+와/JC
낮은	낮/VA+은/ETM
세금	세금/NNG
등	등/NNB
친(親)기업	친/XPN+(/SS+親/SH+)/SS+기업/NNG
정서가	정서/NNG+가/JKS
풍부하기	풍부하/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.260.6.2
구글이나 애플·월마트·JP모건을 비롯해 미국 500대 기업 중 60% 이상이 서류상 본사를 델라웨어에 두고 있다.

구글이나	구글/NNP+이나/JC
애플·월마트·JP모건을	애플/NNP+·/SP+월마트/NNP+·/SP+JP모건/NNP+을/JKO
비롯해	비롯하/VV+아/EC
미국	미국/NNP
500대	500/SN+대/NNG
기업	기업/NNG
중	중/NNB
60%	60/SN+%/SW
이상이	이상/NNG+이/JKS
서류상	서류/NNG+상/XSN
본사를	본사/NNG+를/JKO
델라웨어에	델라웨어/NNP+에/JKB
두고	두/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.260.6.3
국내 벤처기업의 해외 진출을 지원하는 미래글로벌창업지원센터를 통해 지난 2년간 해외에 법인을 세운 직토·옥셔노리·요쿠스 등 벤처기업 13곳도 전부 델라웨어로 향했다.

국내	국내/NNG
벤처기업의	벤처/NNG+기업/NNG+의/JKG
해외	해외/NNG
진출을	진출/NNG+을/JKO
지원하는	지원/NNG+하/XSV+는/ETM
미래글로벌창업지원센터를	미래/NNG+글로벌/NNG+창업/NNG+지원/NNG+센터/NNG+를/JKO
통해	통하/VV+아/EC
지난	지나/VV+ㄴ/ETM
2년간	2/SN+년/NNB+간/XSN
해외에	해외/NNG+에/JKB
법인을	법인/NNG+을/JKO
세운	세우/VV+ㄴ/ETM
직토·옥셔노리·요쿠스	직토/NNP+·/SP+옥셔노리/NNP+·/SP+요쿠스/NNP
등	등/NNB
벤처기업	벤처/NNG+기업/NNG
13곳도	13/SN+곳/NNG+도/JX
전부	전부/MAG
델라웨어로	델라웨어/NNP+로/JKB
향했다.	향하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.260.7.1
이렇게 '탈(脫)코리아' 바람이 강해지면 세수(稅收)에 영향을 미칠 수밖에 없다.

이렇게	이렇/VA+게/EC
'탈(脫)코리아'	'/SS+탈/XPN+(/SS+脫/SH+)/SS+코리아/NNP+'/SS
바람이	바람/NNG+이/JKS
강해지면	강하/VA+아/EC+지/VX+면/EC
세수(稅收)에	세수/NNG+(/SS+稅收/SH+)/SS+에/JKB
영향을	영향/NNG+을/JKO
미칠	미치/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000046.260.7.2
본사가 해외에 있으면 법인세를 현지에 내야 하고, 본사 이전과 함께 서버까지 옮기면 국제 전자상거래 관행상 서버가 있는 지역에서 과세가 이뤄지기 때문에 대부분 세금을 외국에 내게 된다.

본사가	본사/NNG+가/JKS
해외에	해외/NNG+에/JKB
있으면	있/VA+으면/EC
법인세를	법인세/NNG+를/JKO
현지에	현지/NNG+에/JKB
내야	내/VV+어야/EC
하고,	하/VX+고/EC+,/SP
본사	본사/NNG
이전과	이전/NNG+과/JKB
함께	함께/MAG
서버까지	서버/NNG+까지/JX
옮기면	옮기/VV+면/EC
국제	국제/NNG
전자상거래	전자/NNG+상거래/NNG
관행상	관행/NNG+상/XSN
서버가	서버/NNG+가/JKS
있는	있/VA+는/ETM
지역에서	지역/NNG+에서/JKB
과세가	과세/NNG+가/JKS
이뤄지기	이뤄지/VV+기/ETN
때문에	때문/NNB+에/JKB
대부분	대/XPN+부분/NNG
세금을	세금/NNG+을/JKO
외국에	외국/NNG+에/JKB
내게	내/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.260.7.3
또 본사가 해외로 이전하면 현지 인력 채용이 늘고 국내 고용 창출에도 부정적인 영향을 미칠 수밖에 없다.

또	또/MAG
본사가	본사/NNG+가/JKS
해외로	해외/NNG+로/JKB
이전하면	이전/NNG+하/XSV+면/EC
현지	현지/NNG
인력	인력/NNG
채용이	채용/NNG+이/JKS
늘고	늘/VV+고/EC
국내	국내/NNG
고용	고용/NNG
창출에도	창출/NNG+에/JKB+도/JX
부정적인	부정/NNG+적/XSN+이/VCP+ㄴ/ETM
영향을	영향/NNG+을/JKO
미칠	미치/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000046.260.8.1
글로벌 시대에 본사가 어디 있느냐는 중요하지 않을 수도 있다.

글로벌	글로벌/NNG
시대에	시대/NNG+에/JKB
본사가	본사/NNG+가/JKS
어디	어디/NP
있느냐는	있/VA+느냐는/ETM
중요하지	중요/NNG+하/XSA+지/EC
않을	않/VX+을/ETM
수도	수/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.260.8.2
하지만 국내 기업 활동 환경이 만족스럽지 않아 이전한다면 고민해봐야 할 문제가 아닐까.

하지만	하지만/MAJ
국내	국내/NNG
기업	기업/NNG
활동	활동/NNG
환경이	환경/NNG+이/JKS
만족스럽지	만족/NNG+스럽/XSA+지/EC
않아	않/VX+아/EC
이전한다면	이전/NNG+하/XSV+ㄴ다면/EC
고민해봐야	고민/NNG+하/XSV+아/EC+보/VX+아야/EC
할	하/VX+ㄹ/ETM
문제가	문제/NNG+가/JKC
아닐까.	아니/VCN+ㄹ까/EF+./SF


