# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.255
metadata : {}


# id : NWRW1800000030.255.1.1
[조선데스크] 한국 여자골프의 두 얼굴

[조선데스크]	[/SS+조선/NNP+데스크/NNG+]/SS
그 과정에서 직무대행 선출 하루 만에 절차상 하자로 무효처리가 되는 해프닝까지 있었다.

그	그/MMD
과정에서	과정/NNG+에서/JKB
직무대행	직무/NNG+대행/NNG
선출	선출/NNG
하루	하루/NNG
만에	만/NNB+에/JKB
절차상	절차/NNG+상/XSN
하자로	하자/NNG+로/JKB
무효처리가	무효/NNG+처리/NNG+가/JKC
되는	되/VV+는/ETM
해프닝까지	해프닝/NNG+까지/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000030.255.6.4
해고 위협에 노출된 사무국 직원들이 노조를 만들어 민주노총에 가입하고, 선배들의 행동에 반발하는 현역 선수들이 선수협의회를 결성하는 등 일련의 사태가 숨돌릴 틈도 없이 벌어졌다.

해고	해고/NNG
위협에	위협/NNG+에/JKB
노출된	노출/NNG+되/XSV+ㄴ/ETM
사무국	사무국/NNG
직원들이	직원/NNG+들/XSN+이/JKS
노조를	노조/NNG+를/JKO
만들어	만들/VV+어/EC
민주노총에	민주노총/NNP+에/JKB
가입하고,	가입/NNG+하/XSV+고/EC+,/SP
선배들의	선배/NNG+들/XSN+의/JKG
행동에	행동/NNG+에/JKB
반발하는	반발/NNG+하/XSV+는/ETM
현역	현역/NNG
선수들이	선수/NNG+들/XSN+이/JKS
선수협의회를	선수/NNG+협의회/NNG+를/JKO
결성하는	결성/NNG+하/XSV+는/ETM
등	등/NNB
일련의	일련/NNG+의/JKG
사태가	사태/NNG+가/JKS
숨돌릴	숨/NNG+돌리/VV+ㄹ/ETM
틈도	틈/NNB+도/JX
없이	없이/MAG
벌어졌다.	벌어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.255.7.1
이 와중에 얼마 전 한·미·일에서 44승을 거둔 '한국 여자골프의 전설' 구옥희씨가 새 회장에 선출됐고, 역시 선수 출신인 강춘자씨가 수석부회장에 선임됐다.

이	이/MMD
와중에	와중/NNG+에/JKB
얼마	얼마/NNG
전	전/NNG
한·미·일에서	한·미·일/NNP+에서/JKB
44승을	44/SN+승/NNB+을/JKO
거둔	거두/VV+ㄴ/ETM
'한국	'/SS+한국/NNP
여자골프의	여자/NNG+골프/NNG+의/JKG
전설'	전설/NNG+'/SS
구옥희씨가	구옥희/NNP+씨/NNB+가/JKS
새	새/MMA
회장에	회장/NNG+에/JKB
선출됐고,	선출/NNG+되/XSV+었/EP+고/EC+,/SP
역시	역시/MAG
선수	선수/NNG
출신인	출신/NNG+이/VCP+ㄴ/ETM
강춘자씨가	강춘자/NNP+씨/NNB+가/JKS
수석부회장에	수석/NNG+부회장/NNG+에/JKB
선임됐다.	선임/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000030.255.7.2
하지만 전임 회장의 잔여임기 1년이 아니라 새로 4년을 하겠다는 신임 집행부에 대한 반발은 사그라지지 않고 있다.

하지만	하지만/MAJ
전임	전임/NNG
회장의	회장/NNG+의/JKG
잔여임기	잔여/NNG+임기/NNG
1년이	1/SN+년/NNB+이/JKC
아니라	아니/VCN+라/EC
새로	새로/MAG
4년을	4/SN+년/NNB+을/JKO
하겠다는	하/VV+겠/EP+다는/ETM
신임	신임/NNG
집행부에	집행부/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
반발은	반발/NNG+은/JX
사그라지지	사그라지/VV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.255.7.3
절차상 적법성을 묻는 목소리도 여전하다.

절차상	절차/NNG+상/XSN
적법성을	적법/NNG+성/XSN+을/JKO
묻는	묻/VV+는/ETM
목소리도	목소리/NNG+도/JX
여전하다.	여전하/VA+다/EF+./SF


# id : NWRW1800000030.255.7.4
이러다 보니 여자골프 대회를 후원해온 기업들은 "도저히 못 봐주겠다"며 슬슬 다른 스포츠 종목을 기웃거리고 있다.

이러다	이러/VV+다/EC
보니	보/VX+니/EC
여자골프	여자/NNG+골프/NNG
대회를	대회/NNG+를/JKO
후원해온	후원/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
기업들은	기업/NNG+들/XSN+은/JX
"도저히	"/SS+도저히/MAG
못	못/MAG
봐주겠다"며	봐주/VV+겠/EP+다/EF+"/SS+며/EC
슬슬	슬슬/MAG
다른	다른/MMD
스포츠	스포츠/NNG
종목을	종목/NNG+을/JKO
기웃거리고	기웃거리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.255.7.5
대회 흥행에 중요한 TV 중계권 협상도 여전히 매듭지어지지 않은 상황이다.

대회	대회/NNG
흥행에	흥행/NNG+에/JKB
중요한	중요/NNG+하/XSA+ㄴ/ETM
TV	TV/SL
중계권	중계/NNG+권/XSN
협상도	협상/NNG+도/JX
여전히	여전히/MAG
매듭지어지지	매듭짓/VV+어/EC+지/VX+지/EC
않은	않/VX+은/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.255.7.6
이 모든 소동의 주역들에게 한국 여자골프가 진짜 대접받기 위해선 어떻게 행동해야 할지를 묻고 싶다.

이	이/MMD
모든	모든/MMN
소동의	소동/NNG+의/JKG
주역들에게	주역/NNG+들/XSN+에게/JKB
한국	한국/NNP
여자골프가	여자/NNG+골프/NNG+가/JKS
진짜	진짜/MAG
대접받기	대접/NNG+받/XSV+기/ETN
위해선	위하/VV+아서/EC+ㄴ/JX
어떻게	어떻/VA+게/EC
행동해야	행동/NNG+하/XSV+아야/EC
할지를	하/VX+ㄹ지/EC+를/JKO
묻고	묻/VV+고/EC
싶다.	싶/VX+다/EF+./SF


