# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.308
metadata : {}


# id : NWRW1800000030.308.1.1
[신공항 오늘 결정] 민주 '가덕도' 공약으로 '부산' 노린다

[신공항	[/SS+신/XPN+공항/NNG
세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
추세다.	추세/NNG+이/VCP+다/EF+./SF
내륙과의	내륙/NNG+과/JKB+의/JKG
접근성	접근/NNG+성/XSN
면에서도	면/NNG+에서/JKB+도/JX
가덕도와	가덕도/NNP+와/JC
밀양은	밀양/NNP+은/JX
큰	크/VA+ㄴ/ETM
차이가	차이/NNG+가/JKS
없다"며	없/VA+다/EF+"/SS+며/EC
'신공항	'/SS+신/XPN+공항/NNG
가덕도	가덕도/NNP
유치'가	유치/NNG+'/SS+가/JKS
내년	내년/NNG
총선에서	총선/NNG+에서/JKB
민주당의	민주당/NNP+의/JKG
부산	부산/NNP
지역	지역/NNG
주요	주요/NNG
공약으로	공약/NNG+으로/JKB
채택될	채택/NNG+되/XSV+ㄹ/ETM
가능성을	가능/NNG+성/XSN+을/JKO
시사했다.	시사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.308.4.1
부산 출신인 김 최고위원은 내년 총선에서 '부산 공략'을 위해 손학규 대표가 임명한 지명직 최고위원이다.

부산	부산/NNP
출신인	출신/NNG+이/VCP+ㄴ/ETM
김	김/NNP
최고위원은	최고/NNG+위원/NNG+은/JX
내년	내년/NNG
총선에서	총선/NNG+에서/JKB
'부산	'/SS+부산/NNP
공략'을	공략/NNG+'/SS+을/JKO
위해	위하/VV+아/EC
손학규	손학규/NNP
대표가	대표/NNG+가/JKS
임명한	임명/NNG+하/XSV+ㄴ/ETM
지명직	지명직/NNG
최고위원이다.	최고/NNG+위원/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.308.4.2
작년 지방선거 결과를 토대로 박근혜 전 대표의 아성인 대구보다는 부산에서 '민주당 전국 정당화'의 교두보를 마련할 수 있다는 전략적 고려에 따른 인사였다.

작년	작년/NNG
지방선거	지방/NNG+선거/NNG
결과를	결과/NNG+를/JKO
토대로	토대/NNG+로/JKB
박근혜	박근혜/NNP
전	전/MMD
대표의	대표/NNG+의/JKG
아성인	아성/NNG+이/VCP+ㄴ/ETM
대구보다는	대구/NNP+보다/JKB+는/JX
부산에서	부산/NNP+에서/JKB
'민주당	'/SS+민주당/NNP
전국	전국/NNG
정당화'의	정당화/NNG+'/SS+의/JKG
교두보를	교두보/NNG+를/JKO
마련할	마련/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
전략적	전략/NNG+적/XSN
고려에	고려/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
인사였다.	인사/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.308.4.3
민주당은 동남권 신공항 문제가 부산의 최대 현안으로 떠오르자 '가덕도 유치'를 전면에 내세움으로써 김대중·노무현 대통령이 실패했던 '동진(東進) 정책'의 실현을 기대하는 모습이다.

민주당은	민주당/NNP+은/JX
동남권	동남/NNG+권/XSN
신공항	신/XPN+공항/NNG
문제가	문제/NNG+가/JKS
부산의	부산/NNP+의/JKG
최대	최대/NNG
현안으로	현안/NNG+으로/JKB
떠오르자	떠오르/VV+자/EC
'가덕도	'/SS+가덕도/NNP
유치'를	유치/NNG+'/SS+를/JKO
전면에	전면/NNG+에/JKB
내세움으로써	내세우/VV+ㅁ/ETN+으로써/JKB
김대중·노무현	김대중/NNP+·/SP+노무현/NNP
대통령이	대통령/NNG+이/JKS
실패했던	실패/NNG+하/XSV+았/EP+던/ETM
'동진(東進)	'/SS+동진/NNG+(/SS+東進/SH+)/SS
정책'의	정책/NNG+'/SS+의/JKG
실현을	실현/NNG+을/JKO
기대하는	기대/NNG+하/XSV+는/ETM
모습이다.	모습/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.308.4.4
지난 6·2 지방선거에서 민주당 부산시장 후보였던 김정길 전 장관은 44.57%(한나라당 허남식 후보 55.42%)를 얻은 반면, 민주당 대구시장 후보였던 이승천 교수가 얻은 표는 16.86%(한나라당 김범일 후보 72.92%)에 불과했다.

지난	지나/VV+ㄴ/ETM
6·2	6/SN+·/SP+2/SN
지방선거에서	지방/NNG+선거/NNG+에서/JKB
민주당	민주당/NNP
부산시장	부산시장/NNG
후보였던	후보/NNG+이/VCP+었/EP+던/ETM
김정길	김정길/NNP
전	전/MMD
장관은	장관/NNG+은/JX
44.57%(한나라당	44/SN+./SP+57/SN+%/SW+(/SS+한나라당/NNP
허남식	허남식/NNP
후보	후보/NNG
55.42%)를	55/SN+./SP+42/SN+%/SW+)/SS+를/JKO
얻은	얻/VV+은/ETM
반면,	반면/NNG+,/SP
대구시장	대구시장/NNG
이승천	이승천/NNP
교수가	교수/NNG+가/JKS
표는	표/NNG+는/JX
16.86%(한나라당	16/SN+./SP+86/SN+%/SW+(/SS+한나라당/NNP
김범일	김범일/NNP
72.92%)에	72/SN+./SP+92/SN+%/SW+)/SS+에/JKB
불과했다.	불과/MAG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000030.308.5.1
내년에 부산에서 뛸 인사들도 거론되기 시작했는데 주로 친노 진영에 몰려 있다.

내년에	내년/NNG+에/JKB
부산에서	부산/NNP+에서/JKB
뛸	뛰/VV+ㄹ/ETM
인사들도	인사/NNG+들/XSN+도/JX
거론되기	거론/NNG+되/XSV+기/ETN
시작했는데	시작/NNG+하/XSV+았/EP+는데/EC
주로	주로/MAG
친노	친/XPN+노/NNP
진영에	진영/NNG+에/JKB
몰려	몰리/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.308.5.2
최근 대권 도전을 시사한 김정길 전 의원, 최인호 전 청와대 비서관, 노무현 전 대통령의 조카사위인 정재성 변호사의 출마가 유력시되며 이해찬 전 총리 쪽 인사인 김형주 전 의원, 이강진 전 국무총리실 공보수석도 입에 오르내린다.

최근	최근/MAG
대권	대권/NNG
도전을	도전/NNG+을/JKO
시사한	시사/NNG+하/XSV+ㄴ/ETM
김정길	김정길/NNP
전	전/MMD
의원,	의원/NNG+,/SP
최인호	최인호/NNP
청와대	청와대/NNP
비서관,	비서관/NNG+,/SP
노무현	노무현/NNP
대통령의	대통령/NNG+의/JKG
조카사위인	조카사위/NNG+이/VCP+ㄴ/ETM
정재성	정재성/NNP
변호사의	변호사/NNG+의/JKG
출마가	출마/NNG+가/JKS
유력시되며	유력/NNG+시/XSN+되/XSV+며/EC
이해찬	이해찬/NNP
총리	총리/NNG
쪽	쪽/NNB
인사인	인사/NNG+이/VCP+ㄴ/ETM
김형주	김형주/NNP
이강진	이강진/NNP
국무총리실	국무총리실/NNG
공보수석도	공보/NNG+수석/NNG+도/JX
입에	입/NNG+에/JKB
오르내린다.	오르내리/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.308.6.1
또 정치권 밖에 있는 부산 출신 조국 서울대 교수, 서울대 총학생회장 출신으로 사노맹 사건을 주도했던 백태웅씨 등도 영입 대상으로 거론된다.

또	또/MAG
정치권	정치/NNG+권/XSN
밖에	밖/NNG+에/JKB
있는	있/VA+는/ETM
부산	부산/NNP
출신	출신/NNG
조국	조국/NNP
서울대	서울대/NNP
교수,	교수/NNG+,/SP
총학생회장	총학생회장/NNG
출신으로	출신/NNG+으로/JKB
사노맹	사노맹/NNG
사건을	사건/NNG+을/JKO
주도했던	주도/NNG+하/XSV+았/EP+던/ETM
백태웅씨	백태웅/NNP+씨/NNB
등도	등/NNB+도/JX
영입	영입/NNG
대상으로	대상/NNG+으로/JKB
거론된다.	거론/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.308.7.1
민주당 영남미래특위 공동위원장을 맡고 있는 이강철 전 청와대 수석은 "신공항 문제는 당장 김해을 보궐선거에 영향을 미칠 것"이라며 "이번 보선이 끝나고 관료, 교수, 시민사회 진영에 대한 영입 교섭을 시작할 것"이라고 했다.

민주당	민주당/NNP
영남미래특위	영남/NNP+미래/NNG+특위/NNG
공동위원장을	공동/NNG+위원장/NNG+을/JKO
맡고	맡/VV+고/EC
있는	있/VX+는/ETM
이강철	이강철/NNP
전	전/MMD
청와대	청와대/NNP
수석은	수석/NNG+은/JX
"신공항	"/SS+신/XPN+공항/NNG
문제는	문제/NNG+는/JX
당장	당장/NNG
김해을	김해을/NNP
보궐선거에	보궐/NNG+선거/NNG+에/JKB
영향을	영향/NNG+을/JKO
미칠	미치/VV+ㄹ/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"이번	"/SS+이번/NNG
보선이	보선/NNG+이/JKS
끝나고	끝나/VV+고/EC
관료,	관료/NNG+,/SP
교수,	교수/NNG+,/SP
시민사회	시민/NNG+사회/NNG
진영에	진영/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
영입	영입/NNG
교섭을	교섭/NNG+을/JKO
시작할	시작/NNG+하/XSV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


