# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.160
metadata : {}


# id : NWRW1800000046.160.1.1
고검장 출신 변호사(박영수), 訴訟불만 60代에 흉기 피습

고검장	고검장/NNG
박 변호사는 지난 16일 자정쯤 서울 반포동 자신의 법무법인 건물 앞에서 공업용 커터 칼을 든 이모(63)씨의 습격을 받았다.

박	박/NNP
변호사는	변호사/NNG+는/JX
지난	지나/VV+ㄴ/ETM
16일	16/SN+일/NNB
자정쯤	자정/NNG+쯤/XSN
서울	서울/NNP
반포동	반포동/NNP
자신의	자신/NNG+의/JKG
법무법인	법무/NNG+법인/NNG
건물	건물/NNG
앞에서	앞/NNG+에서/JKB
공업용	공업/NNG+용/XSN
커터	커터/NNG
칼을	칼/NNG+을/JKO
든	들/VV+ㄴ/ETM
이모(63)씨의	이/NNP+모/NP+(/SS+63/SN+)/SS+씨/NNB+의/JKG
습격을	습격/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.160.4.2
범인은 박 변호사의 얼굴과 목 부위를 칼로 그었고, 박 변호사는 서울 강남의 한 종합병원에서 두 차례 봉합 수술을 받았다.

범인은	범인/NNG+은/JX
박	박/NNP
변호사의	변호사/NNG+의/JKG
얼굴과	얼굴/NNG+과/JC
목	목/NNG
부위를	부위/NNG+를/JKO
칼로	칼/NNG+로/JKB
그었고,	긋/VV+었/EP+고/EC+,/SP
변호사는	변호사/NNG+는/JX
서울	서울/NNP
강남의	강남/NNP+의/JKG
한	한/MMN
종합병원에서	종합/NNG+병원/NNG+에서/JKB
두	두/MMN
차례	차례/NNG
봉합	봉합/NNG
수술을	수술/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.160.4.3
상처 부위는 10㎝가 넘었던 것으로 알려졌다.

상처	상처/NNG
부위는	부위/NNG+는/JX
10㎝가	10/SN+㎝/SW+가/JKS
넘었던	넘/VV+었/EP+던/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.160.4.4
박 변호사 측 인사는 "다행히 생명에는 지장이 없고, 대화도 가능한 상태"라며 "수일 내로 퇴원이 가능할 것으로 보인다"고 말했다.

박	박/NNP
변호사	변호사/NNG
측	측/NNB
인사는	인사/NNG+는/JX
"다행히	"/SS+다행히/MAG
생명에는	생명/NNG+에/JKB+는/JX
지장이	지장/NNG+이/JKS
없고,	없/VA+고/EC+,/SP
대화도	대화/NNG+도/JX
가능한	가능/NNG+하/XSA+ㄴ/ETM
상태"라며	상태/NNG+"/SS+이/VCP+라며/EC
"수일	"/SS+수일/NNG
내로	내/NNB+로/JKB
퇴원이	퇴원/NNG+이/JKS
가능할	가능/NNG+하/XSA+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다"고	보이/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.160.5.1
이씨는 2009년 자신의 형사사건에서 거짓 증언을 교사(敎唆)한 혐의로 고소한 '슬롯머신 대부' 정덕진(75)씨의 대리인을 맡았던 박 변호사에게 불만을 품어오다 범행을 저지른 것으로 전해졌다.

이씨는	이/NNP+씨/NNB+는/JX
2009년	2009/SN+년/NNB
자신의	자신/NNG+의/JKG
형사사건에서	형사/NNG+사건/NNG+에서/JKB
거짓	거짓/NNG
증언을	증언/NNG+을/JKO
교사(敎唆)한	교사/NNG+(/SS+敎唆/SH+)/SS+하/VV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
고소한	고소/NNG+하/XSV+ㄴ/ETM
'슬롯머신	'/SS+슬롯머신/NNG
대부'	대부/NNG+'/SS
정덕진(75)씨의	정덕진/NNP+(/SS+75/SN+)/SS+씨/NNB+의/JKG
대리인을	대리인/NNG+을/JKO
맡았던	맡/VV+았/EP+던/ETM
박	박/NNP
변호사에게	변호사/NNG+에게/JKB
불만을	불만/NNG+을/JKO
품어오다	품/VV+어/EC+오/VX+다/EC
범행을	범행/NNG+을/JKO
저지른	저지르/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.160.6.1
이씨는 범행 4시간 만인 17일 새벽 경찰에 자수했다.

이씨는	이/NNP+씨/NNB+는/JX
범행	범행/NNG
4시간	4/SN+시간/NNB
만인	만/NNB+이/VCP+ㄴ/ETM
17일	17/SN+일/NNB
새벽	새벽/NNG
경찰에	경찰/NNG+에/JKB
자수했다.	자수/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.160.6.2
이씨는 경찰에서 "과거 소송과 관련해 앙심을 품었고, 화가 나 범행을 저질렀다"는 취지로 진술했다.

이씨는	이/NNP+씨/NNB+는/JX
경찰에서	경찰/NNG+에서/JKB
"과거	"/SS+과거/NNG
소송과	소송/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
앙심을	앙심/NNG+을/JKO
품었고,	품/VV+었/EP+고/EC+,/SP
화가	화/NNG+가/JKS
나	나/VV+아/EC
범행을	범행/NNG+을/JKO
저질렀다"는	저지르/VV+었/EP+다/EF+"/SS+는/ETM
취지로	취지/NNG+로/JKB
진술했다.	진술/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.160.6.3
이씨도 자해(自害)해 박 변호사와 같은 병원 응급실로 후송돼 치료를 받았다.

이씨도	이/NNP+씨/NNB+도/JX
자해(自害)해	자해/NNG+(/SS+自害/SH+)/SS+하/VV+아/EC
박	박/NNP
변호사와	변호사/NNG+와/JKB
같은	같/VA+은/ETM
병원	병원/NNG
응급실로	응급실/NNG+로/JKB
후송돼	후송/NNG+되/XSV+어/EC
치료를	치료/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.160.6.4
경찰은 이씨를 살인미수로 구속영장을 신청할 방침이다.

경찰은	경찰/NNG+은/JX
이씨를	이/NNP+씨/NNB+를/JKO
살인미수로	살인/NNG+미수/NNG+로/JKB
구속영장을	구속/NNG+영장/NNG+을/JKO
신청할	신청/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.160.7.1
박 변호사가 속한 법무법인 관계자 등에 따르면 이씨는 범행 당일 박 변호사 사무실 주위를 맴돌다 박 변호사가 퇴근하자 칼을 들고 위협했다고 한다.

박	박/NNP
변호사가	변호사/NNG+가/JKS
속한	속하/VV+ㄴ/ETM
법무법인	법무/NNG+법인/NNG
관계자	관계자/NNG
등에	등/NNB+에/JKB
따르면	따르/VV+면/EC
이씨는	이/NNP+씨/NNB+는/JX
범행	범행/NNG
당일	당일/NNG
변호사	변호사/NNG
사무실	사무실/NNG
주위를	주위/NNG+를/JKO
맴돌다	맴돌/VV+다/EC
퇴근하자	퇴근/NNG+하/XSV+자/EC
칼을	칼/NNG+을/JKO
들고	들/VV+고/EC
위협했다고	위협/NNG+하/XSV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.160.7.2
박 변호사가 "무슨 일이냐. 말로 하자"며 이씨를 설득해 칼을 내려놓게 했고 한 시간 넘게 이씨와 대화를 나눴다고 한다.

박	박/NNP
변호사가	변호사/NNG+가/JKS
"무슨	"/SS+무슨/MMD
일이냐.	일/NNG+이/VCP+냐/EF+./SF
말로	말/NNG+로/JKB
하자"며	하/VV+자/EF+"/SS+며/EC
이씨를	이/NNP+씨/NNB+를/JKO
설득해	설득/NNG+하/XSV+아/EC
칼을	칼/NNG+을/JKO
내려놓게	내려놓/VV+게/EC
했고	하/VX+았/EP+고/EC
한	한/MMN
시간	시간/NNB
넘게	넘/VV+게/EC
이씨와	이/NNP+씨/NNB+와/JKB
대화를	대화/NNG+를/JKO
나눴다고	나누/VV+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.160.7.3
박 변호사가 "문제 삼지 않을 테니 돌아가라"고 하자 이씨는 "내 칼을 돌려달라"고 했고 함께 있던 박 변호사의 운전기사가 칼을 가지러 간 사이 주머니에 준비해온 다른 커터 칼을 꺼내 박 변호사를 공격한 것으로 알려졌다.

박	박/NNP
변호사가	변호사/NNG+가/JKS
"문제	"/SS+문제/NNG
삼지	삼/VV+지/EC
않을	않/VX+을/ETM
테니	터/NNB+이/VCP+니/EC
돌아가라"고	돌아가/VV+라/EF+"/SS+고/JKQ
하자	하/VV+자/EC
이씨는	이/NNP+씨/NNB+는/JX
"내	"/SS+나/NP+의/JKG
칼을	칼/NNG+을/JKO
돌려달라"고	돌리/VV+어/EC+달/VX+라/EF+"/SS+고/JKQ
했고	하/VV+았/EP+고/EC
함께	함께/MAG
있던	있/VA+던/ETM
변호사의	변호사/NNG+의/JKG
운전기사가	운전기사/NNG+가/JKS
가지러	가지/VV+러/EC
간	가/VV+ㄴ/ETM
사이	사이/NNG
주머니에	주머니/NNG+에/JKB
준비해온	준비/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
다른	다른/MMD
커터	커터/NNG
꺼내	꺼내/VV+어/EC
변호사를	변호사/NNG+를/JKO
공격한	공격/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.160.8.1
H건설을 운영했던 이씨는 2000년대 중반부터 슬롯머신 대부 정덕진씨와 금전 문제로 소송을 벌여 왔다.

H건설을	H/SL+건설/NNG+을/JKO
운영했던	운영/NNG+하/XSV+았/EP+던/ETM
이씨는	이/NNP+씨/NNB+는/JX
2000년대	2000/SN+년대/NNB
중반부터	중반/NNG+부터/JX
슬롯머신	슬롯머신/NNG
대부	대부/NNG
정덕진씨와	정덕진/NNP+씨/NNB+와/JC
금전	금전/NNG
문제로	문제/NNG+로/JKB
소송을	소송/NNG+을/JKO
벌여	벌이/VV+어/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.160.8.2
정씨는 2008년 이씨를 분양 대금 횡령, 배임·사기 등의 혐의로 고소했다.

정씨는	정/NNP+씨/NNB+는/JX
2008년	2008/SN+년/NNB
이씨를	이/NNP+씨/NNB+를/JKO
분양	분양/NNG
대금	대금/NNG
횡령,	횡령/NNG+,/SP
배임·사기	배임/NNG+·/SP+사기/NNG
등의	등/NNB+의/JKG
혐의로	혐의/NNG+로/JKB
고소했다.	고소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.160.8.3
이씨는 구속돼 2009년 6월 1심에서 징역 2년6개월의 실형을 선고받았다.

이씨는	이/NNP+씨/NNB+는/JX
구속돼	구속/NNG+되/XSV+어/EC
2009년	2009/SN+년/NNB
6월	6/SN+월/NNB
1심에서	1심/NNG+에서/JKB
징역	징역/NNG
2년6개월의	2/SN+년/NNB+6/SN+개월/NNB+의/JKG
실형을	실형/NNG+을/JKO
선고받았다.	선고/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.160.8.4
이후 피해자들과 합의해 같은 해 9월 항소심에서는 집행유예로 풀려났다.

이후	이후/NNG
피해자들과	피해자/NNG+들/XSN+과/JKB
합의해	합의/NNG+하/XSV+아/EC
같은	같/VA+은/ETM
해	해/NNG
9월	9/SN+월/NNB
항소심에서는	항소심/NNG+에서/JKB+는/JX
집행유예로	집행/NNG+유예/NNG+로/JKB
풀려났다.	풀려나/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.160.9.1
석방된 이씨는 정씨를 위증교사 혐의로 고소했다.

석방된	석방/NNG+되/XSV+ㄴ/ETM
이씨는	이/NNP+씨/NNB+는/JX
정씨를	정/NNP+씨/NNB+를/JKO
위증교사	위증/NNG+교사/NNG
혐의로	혐의/NNG+로/JKB
고소했다.	고소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.160.9.2
자신의 횡령 사건에 대한 수사와 재판 때 정씨가 자신에게 불리한 진술을 하도록 증인들을 사주했다는 것이다.

자신의	자신/NNG+의/JKG
횡령	횡령/NNG
사건에	사건/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
수사와	수사/NNG+와/JC
재판	재판/NNG
때	때/NNG
정씨가	정/NNP+씨/NNB+가/JKS
자신에게	자신/NNG+에게/JKB
불리한	불리/NNG+하/XSA+ㄴ/ETM
진술을	진술/NNG+을/JKO
하도록	하/VV+도록/EC
증인들을	증인/NNG+들/XSN+을/JKO
사주했다는	사주/NNG+하/XSV+았/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.160.9.3
고소를 당한 정씨는 박 변호사를 선임했고, 검찰에서 무혐의 처분을 받은 것으로 알려졌다.

고소를	고소/NNG+를/JKO
당한	당하/VV+ㄴ/ETM
정씨는	정/NNP+씨/NNB+는/JX
박	박/NNP
변호사를	변호사/NNG+를/JKO
선임했고,	선임/NNG+하/XSV+았/EP+고/EC+,/SP
검찰에서	검찰/NNG+에서/JKB
무혐의	무/XPN+혐의/NNG
처분을	처분/NNG+을/JKO
받은	받/VV+은/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.160.9.4
이씨는 그동안 상복(喪服)을 입은 채 검찰 청사 앞에서 '480억 갈취당한 피해사건을… 고검장 출신 변호사를 선임했다고 무혐의 처리한 부패한 검찰'이라는 피켓을 들고 1인 시위를 벌이기도 했다.

이씨는	이/NNP+씨/NNB+는/JX
그동안	그동안/NNG
상복(喪服)을	상복/NNG+(/SS+喪服/SH+)/SS+을/JKO
입은	입/VV+은/ETM
채	채/NNB
검찰	검찰/NNG
청사	청사/NNG
앞에서	앞/NNG+에서/JKB
'480억	'/SS+480/SN+억/NR
갈취당한	갈취/NNG+당하/XSV+ㄴ/ETM
피해사건을…	피해/NNG+사건/NNG+을/JKO+…/SE
고검장	고검장/NNG
출신	출신/NNG
변호사를	변호사/NNG+를/JKO
선임했다고	선임/NNG+하/XSV+았/EP+다고/EC
무혐의	무/XPN+혐의/NNG
처리한	처리/NNG+하/XSV+ㄴ/ETM
부패한	부패/NNG+하/XSV+ㄴ/ETM
검찰'이라는	검찰/NNG+'/SS+이/VCP+라는/ETM
피켓을	피켓/NNG+을/JKO
들고	들/VV+고/EC
1인	1/SN+인/NNG
시위를	시위/NNG+를/JKO
벌이기도	벌이/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.160.10.1
박 변호사 측은 "당시 정씨가 과거 인연이 있던 박 변호사를 찾아와 '검찰이 색안경을 끼고 볼 수 있으니 억울하지 않도록 사건을 맡아달라'고 해 수임했지만 수사 중간부터는 사실상 관여하지 않았다"며 "박 변호사는 (자신을 공격한) 이씨가 누구인지, 너무 오래돼 사건이 무엇인지도 몰랐다"고 말했다.

박	박/NNP
변호사	변호사/NNG
측은	측/NNB+은/JX
"당시	"/SS+당시/NNG
정씨가	정/NNP+씨/NNB+가/JKS
과거	과거/NNG
인연이	인연/NNG+이/JKS
있던	있/VA+던/ETM
변호사를	변호사/NNG+를/JKO
찾아와	찾아오/VV+아/EC
'검찰이	'/SS+검찰/NNG+이/JKS
색안경을	색안경/NNG+을/JKO
끼고	끼/VV+고/EC
볼	보/VX+ㄹ/ETM
수	수/NNB
있으니	있/VA+으니/EC
억울하지	억울/NNG+하/XSA+지/EC
않도록	않/VX+도록/EC
사건을	사건/NNG+을/JKO
맡아달라'고	맡/VV+아/EC+달/VX+라/EF+'/SS+고/JKQ
해	하/VV+아/EC
수임했지만	수임/NNG+하/XSV+았/EP+지만/EC
수사	수사/NNG
중간부터는	중간/NNG+부터/JX+는/JX
사실상	사실/NNG+상/XSN
관여하지	관여/NNG+하/XSV+지/EC
않았다"며	않/VX+았/EP+다/EF+"/SS+며/EC
"박	"/SS+박/NNP
변호사는	변호사/NNG+는/JX
(자신을	(/SS+자신/NNG+을/JKO
공격한)	공격/NNG+하/XSV+ㄴ/ETM+)/SS
이씨가	이/NNP+씨/NNB+가/JKS
누구인지,	누구/NP+이/VCP+ㄴ지/EC+,/SP
너무	너무/MAG
오래돼	오래/MAG+되/XSA+어/EC
사건이	사건/NNG+이/JKS
무엇인지도	무엇/NP+이/VCP+ㄴ지/EC+도/JX
몰랐다"고	모르/VV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.160.10.2
박 변호사는 서울지검 강력부장 시절인 1998년 9월 해외 상습 도박과 재산 국외 도피 혐의로 정씨를 구속한 인연이 있다.

박	박/NNP
변호사는	변호사/NNG+는/JX
서울지검	서울지검/NNP
강력부장	강력부장/NNG
시절인	시절/NNG+이/VCP+ㄴ/ETM
1998년	1998/SN+년/NNB
9월	9/SN+월/NNB
해외	해외/NNG
상습	상습/NNG
도박과	도박/NNG+과/JC
재산	재산/NNG
국외	국외/NNG
도피	도피/NNG
혐의로	혐의/NNG+로/JKB
정씨를	정/NNP+씨/NNB+를/JKO
구속한	구속/NNG+하/XSV+ㄴ/ETM
인연이	인연/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.160.11.1
박 변호사는 김대중 정부 시절 청와대 사정비서관을 지냈고, 노무현 정부 때에는 대검 중수부장을 거쳐 2009년 서울고검장을 끝으로 검찰을 떠났다.

박	박/NNP
변호사는	변호사/NNG+는/JX
김대중	김대중/NNP
정부	정부/NNG
시절	시절/NNG
청와대	청와대/NNP
사정비서관을	사정/NNG+비서관/NNG+을/JKO
지냈고,	지내/VV+었/EP+고/EC+,/SP
노무현	노무현/NNP
때에는	때/NNG+에/JKB+는/JX
대검	대검/NNG
중수부장을	중수부장/NNG+을/JKO
거쳐	거치/VV+어/EC
2009년	2009/SN+년/NNB
서울고검장을	서울고검장/NNG+을/JKO
끝으로	끝/NNG+으로/JKB
검찰을	검찰/NNG+을/JKO
떠났다.	떠나/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.160.11.2
중수부장 시절 외환은행 헐값 매각 사건, 현대차 비자금 사건을 지휘했다.

중수부장	중수부장/NNG
시절	시절/NNG
외환은행	외환은행/NNP
헐값	헐값/NNG
매각	매각/NNG
사건,	사건/NNG+,/SP
현대차	현대차/NNP
비자금	비자금/NNG
사건을	사건/NNG+을/JKO
지휘했다.	지휘/NNG+하/XSV+았/EP+다/EF+./SF


